----------------------------------------
Observation 1:	 Cluster 2
Observation 2:	 Cluster 2
Observation 3:	 Cluster 2
Observation 4:	 Cluster 2
Observation 5:	 Cluster 2
Observation 6:	 Cluster 2
Observation 7:	 Cluster 2
Observation 8:	 Cluster 2
Observation 9:	 Cluster 2
Observation 10:	 Cluster 2
Observation 11:	 Cluster 2
Observation 12:	 Cluster 2
Observation 13:	 Cluster 2
Observation 14:	 Cluster 2
Observation 15:	 Cluster 2
Observation 16:	 Cluster 2
Observation 17:	 Cluster 2
Observation 18:	 Cluster 2
Observation 19:	 Cluster 2
Observation 20:	 Cluster 2
Observation 21:	 Cluster 2
Observation 22:	 Cluster 2
Observation 23:	 Cluster 2
Observation 24:	 Cluster 2
Observation 25:	 Cluster 2
Observation 26:	 Cluster 2
Observation 27:	 Cluster 2
Observation 28:	 Cluster 2
Observation 29:	 Cluster 2
Observation 30:	 Cluster 2
Observation 31:	 Cluster 2
Observation 32:	 Cluster 2
Observation 33:	 Cluster 2
Observation 34:	 Cluster 2
Observation 35:	 Cluster 2
Observation 36:	 Cluster 2
Observation 37:	 Cluster 2
Observation 38:	 Cluster 2
Observation 39:	 Cluster 2
Observation 40:	 Cluster 2
Observation 41:	 Cluster 2
Observation 42:	 Cluster 2
Observation 43:	 Cluster 2
Observation 44:	 Cluster 2
Observation 45:	 Cluster 2
Observation 46:	 Cluster 2
Observation 47:	 Cluster 2
Observation 48:	 Cluster 2
Observation 49:	 Cluster 2
Observation 50:	 Cluster 2
Observation 51:	 Cluster 1
Observation 52:	 Cluster 2
Observation 53:	 Cluster 2
Observation 54:	 Cluster 2
Observation 55:	 Cluster 2
Observation 56:	 Cluster 2
Observation 57:	 Cluster 2
Observation 58:	 Cluster 2
Observation 59:	 Cluster 2
Observation 60:	 Cluster 2
Observation 61:	 Cluster 2
Observation 62:	 Cluster 2
Observation 63:	 Cluster 2
Observation 64:	 Cluster 2
Observation 65:	 Cluster 2
Observation 66:	 Cluster 2
Observation 67:	 Cluster 2
Observation 68:	 Cluster 2
Observation 69:	 Cluster 2
Observation 70:	 Cluster 2
Observation 71:	 Cluster 2
Observation 72:	 Cluster 2
Observation 73:	 Cluster 2
Observation 74:	 Cluster 2
Observation 75:	 Cluster 2
Observation 76:	 Cluster 2
Observation 77:	 Cluster 2
Observation 78:	 Cluster 2
Observation 79:	 Cluster 2
Observation 80:	 Cluster 2
Observation 81:	 Cluster 2
Observation 82:	 Cluster 2
Observation 83:	 Cluster 2
Observation 84:	 Cluster 2
Observation 85:	 Cluster 2
Observation 86:	 Cluster 2
Observation 87:	 Cluster 2
Observation 88:	 Cluster 2
Observation 89:	 Cluster 2
Observation 90:	 Cluster 2
Observation 91:	 Cluster 2
Observation 92:	 Cluster 2
Observation 93:	 Cluster 2
Observation 94:	 Cluster 2
Observation 95:	 Cluster 2
Observation 96:	 Cluster 2
Observation 97:	 Cluster 2
Observation 98:	 Cluster 2
Observation 99:	 Cluster 2
Observation 100:	 Cluster 2
Observation 101:	 Cluster 2
Observation 102:	 Cluster 2
Observation 103:	 Cluster 2
Observation 104:	 Cluster 2
Observation 105:	 Cluster 2
Observation 106:	 Cluster 2
Observation 107:	 Cluster 2
Observation 108:	 Cluster 2
Observation 109:	 Cluster 0
Observation 110:	 Cluster 0
Observation 111:	 Cluster 0
Observation 112:	 Cluster 0
Observation 113:	 Cluster 0
Observation 114:	 Cluster 0
Observation 115:	 Cluster 0
Observation 116:	 Cluster 0
Observation 117:	 Cluster 1
Observation 118:	 Cluster 0
Observation 119:	 Cluster 0
Observation 120:	 Cluster 0
Observation 121:	 Cluster 0
Observation 122:	 Cluster 0
Observation 123:	 Cluster 0
Observation 124:	 Cluster 0
Observation 125:	 Cluster 0
Observation 126:	 Cluster 0
Observation 127:	 Cluster 0
Observation 128:	 Cluster 0
Observation 129:	 Cluster 0
Observation 130:	 Cluster 1
Observation 131:	 Cluster 0
Observation 132:	 Cluster 0
Observation 133:	 Cluster 0
Observation 134:	 Cluster 2
Observation 135:	 Cluster 0
Observation 136:	 Cluster 0
Observation 137:	 Cluster 1
Observation 138:	 Cluster 0
Observation 139:	 Cluster 0
Observation 140:	 Cluster 2
Observation 141:	 Cluster 0
Observation 142:	 Cluster 2
Observation 143:	 Cluster 0
Observation 144:	 Cluster 1
Observation 145:	 Cluster 2
Observation 146:	 Cluster 1
Observation 147:	 Cluster 0
Observation 148:	 Cluster 2
Observation 149:	 Cluster 1
Observation 150:	 Cluster 0
Observation 151:	 Cluster 0
Observation 152:	 Cluster 0
Observation 153:	 Cluster 0
Observation 154:	 Cluster 0
Observation 155:	 Cluster 0
Observation 156:	 Cluster 2
Observation 157:	 Cluster 0
Observation 158:	 Cluster 0
Observation 159:	 Cluster 1
Observation 160:	 Cluster 0
Observation 161:	 Cluster 1
Observation 162:	 Cluster 1
Observation 163:	 Cluster 1
Observation 164:	 Cluster 0
Observation 165:	 Cluster 0
Observation 166:	 Cluster 1
Observation 167:	 Cluster 0
Observation 168:	 Cluster 0
Observation 169:	 Cluster 1
Observation 170:	 Cluster 1
Observation 171:	 Cluster 0
Observation 172:	 Cluster 0
Observation 173:	 Cluster 0
Observation 174:	 Cluster 0
Observation 175:	 Cluster 0
Observation 176:	 Cluster 1
Observation 177:	 Cluster 0
Observation 178:	 Cluster 1
Observation 179:	 Cluster 0
Observation 180:	 Cluster 1
Observation 181:	 Cluster 0
Observation 182:	 Cluster 0
Observation 183:	 Cluster 0
Observation 184:	 Cluster 1
Observation 185:	 Cluster 0
Observation 186:	 Cluster 1
Observation 187:	 Cluster 0
Observation 188:	 Cluster 0
Observation 189:	 Cluster 0
Observation 190:	 Cluster 1
Observation 191:	 Cluster 1
Observation 192:	 Cluster 0
Observation 193:	 Cluster 0
Observation 194:	 Cluster 0
Observation 195:	 Cluster 1
Observation 196:	 Cluster 0
Observation 197:	 Cluster 1
Observation 198:	 Cluster 1
Observation 199:	 Cluster 0
Observation 200:	 Cluster 1
Observation 201:	 Cluster 1
Observation 202:	 Cluster 0
Observation 203:	 Cluster 1
Observation 204:	 Cluster 0
Observation 205:	 Cluster 1
Observation 206:	 Cluster 0
Observation 207:	 Cluster 0
Observation 208:	 Cluster 0
Observation 209:	 Cluster 0
Observation 210:	 Cluster 1
Observation 211:	 Cluster 0
Observation 212:	 Cluster 0
Observation 213:	 Cluster 1
Observation 214:	 Cluster 1
Observation 215:	 Cluster 1
Observation 216:	 Cluster 0
Observation 217:	 Cluster 1
Observation 218:	 Cluster 1
Observation 219:	 Cluster 0
Observation 220:	 Cluster 0
Observation 221:	 Cluster 0
Observation 222:	 Cluster 0
Observation 223:	 Cluster 0
Observation 224:	 Cluster 0
Observation 225:	 Cluster 1
Observation 226:	 Cluster 0
Observation 227:	 Cluster 0
Observation 228:	 Cluster 1
Observation 229:	 Cluster 1
Observation 230:	 Cluster 1
Observation 231:	 Cluster 1
Observation 232:	 Cluster 1
Observation 233:	 Cluster 1
Observation 234:	 Cluster 0
Observation 235:	 Cluster 0
Observation 236:	 Cluster 0
Observation 237:	 Cluster 1
Observation 238:	 Cluster 2
Observation 239:	 Cluster 0
Observation 240:	 Cluster 0
Observation 241:	 Cluster 1
Observation 242:	 Cluster 0
Observation 243:	 Cluster 0
Observation 244:	 Cluster 0
Observation 245:	 Cluster 0
Observation 246:	 Cluster 0
Observation 247:	 Cluster 1
Observation 248:	 Cluster 1
Observation 249:	 Cluster 1
Cluster 1:	 Observation 89
Cluster 2:	 Observation 46
Cluster 3:	 Observation 114
WCSS: 29.91954944365888
BCSS: 43.36761620433208
Dunn Index: 23.07140297430652
