A,B,,
46,45.9,,
125.6,108.9,,
125.3,100.2,,
124.9,73,,
118.5,83.1,,
113.5,89.9,,
111.1,90.6,,
110.3,87,,
109.1,84.8,,
106,76.4,,
104.6,83,,
103.5,88,,
103.3,85.5,,
98.7,86.1,,
98.5,80.3,,
98.5,78.7,,
97.2,77.6,,
96.5,78.9,,
96.1,61.4,,
96.1,80.7,,
95.6,82.5,,
95.3,81.3,,
95.1,82.8,,
94.9,78.4,,
94.6,79.5,,
92.7,67.4,,
92.5,77.1,,
92.3,64.7,,
91.9,66.4,,
90.8,74.9,,
90.8,65.2,,
90.5,73.1,,
90.2,73.5,,
89.6,64,,
89.3,70.8,,
89.2,71.8,,
89.1,51.9,,
89,72.8,,
88.9,64.2,,
88.9,63.2,,
88,69.6,,
87.9,73.9,,
87.9,71,,
87.4,78.7,,
87.2,50.3,,
87,71.7,,
86.8,76,,
86.6,69.6,,
86.6,68.3,,
86.6,72,,
85.9,67.9,,
85.9,73.1,,
85.9,72.1,,
85.4,76.4,,
85.1,67.1,,
84.8,70.6,,
84.5,76.2,,
84.5,68.9,,
84.3,64.4,,
84.3,57,,
84.2,72.1,,
84.1,57.4,,
84.1,68.5,,
84.1,65.3,,
84.1,72.8,,
84,63.4,,
83.8,58.8,,
83.8,68.1,,
83.6,70,,
83.5,67.4,,
83.5,65.9,,
83.1,64.6,,
83.1,69.3,,
83,67.5,,
82.7,55.2,,
82.3,66.7,,
82,65.2,,
81.9,64.5,,
81.9,64.8,,
81.7,65.2,,
81.6,61.8,,
81.6,68.1,,
81.6,63.4,,
81.6,62.7,,
81.5,62.6,,
81.5,52.5,,
81.5,61.5,,
81.5,67.5,,
81.4,58.3,,
81.4,65,,
81.3,65.8,,
81.2,66.7,,
81.2,69.2,,
81.1,66.8,,
81.1,56.4,,
81,60,,
80.8,59.2,,
80.6,55,,
80.6,63.8,,
80.6,64.8,,
80.6,67.9,,
80.5,60.6,,
80.3,62.6,,
80.2,59.3,,
80.1,64.9,,
80.1,51.7,,
80,59.3,,
80,65.1,,
80,66,,
79.9,63.9,,
79.9,61.5,,
79.8,71.6,,
79.8,66.1,,
79.6,63.1,,
79.5,65,,
79.5,68.2,,
79.3,62.7,,
79.3,57.4,,
79.1,64.1,,
79,57.5,,
78.8,58,,
78.7,64.7,,
78.5,59,,
78.4,60.7,,
78.3,54.7,,
78.3,68.4,,
78.2,60.2,,
78.2,64.8,,
78.1,62.2,,
78.1,71,,
78,62.5,,
77.8,64.9,,
77.8,65.4,,
77.7,59.1,,
77.6,53.4,,
77.6,60.9,,
77.5,66.6,,
77.5,65.5,,
77.5,63.1,,
77.4,58.2,,
77.3,67.7,,
77.3,65.7,,
77.3,63.3,,
77.3,56.3,,
77.3,63.2,,
76.9,61.1,,
76.8,55.5,,
76.8,56.4,,
76.8,43.5,,
76.7,68.2,,
76.7,66.1,,
76.7,66,,
76.6,58,,
76.6,56.6,,
76.6,60.5,,
76.6,62.1,,
76.4,68.2,,
76.4,65.1,,
76.4,61.9,,
76.3,62.6,,
76.3,43.3,,
76.2,47.9,,
76.2,60.8,,
76.1,56,,
76.1,55.3,,
76.1,58.9,,
76,62,,
76,63.4,,
76,61,,
76,57.9,,
75.9,66.1,,
75.9,59.4,,
75.8,49.7,,
75.7,60.4,,
75.6,44.9,,
75.6,53.7,,
75.4,66,,
75.3,63.9,,
75.3,62,,
75.3,61.9,,
75.2,61,,
75.2,55.5,,
75.2,62.8,,
75.1,65,,
75,62.1,,
75,64.4,,
74.9,57.6,,
74.8,58.7,,
74.7,66.6,,
74.7,60,,
74.6,64.9,,
74.5,61.3,,
74.5,62.3,,
74.4,59.7,,
74.4,65.2,,
74.4,62.5,,
74.3,51.1,,
74.3,65.8,,
74.2,60.2,,
74.2,46.2,,
74.1,64.3,,
74.1,58,,
74.1,50.9,,
74,53.6,,
74,64.1,,
74,62.8,,
74,65.9,,
74,56,,
73.9,61.9,,
73.9,63.5,,
73.8,59.2,,
73.8,65.5,,
73.8,61.9,,
73.8,63.3,,
73.7,63.9,,
73.7,56.4,,
73.6,60.3,,
73.6,59.5,,
73.6,61.5,,
73.6,57.3,,
73.5,61,,
73.5,64.3,,
73.4,63.8,,
73.4,64.3,,
73.2,55.7,,
73.2,65.7,,
73.2,59.8,,
73.1,62.6,,
73,63.1,,
73,54.1,,
73,59.9,,
72.8,62.4,,
72.7,57.9,,
72.7,60.7,,
72.6,48.9,,
72.6,53.2,,
72.6,57.5,,
72.5,59.1,,
72.5,63.7,,
72.5,55.1,,
72.4,55.3,,
72.4,59.9,,
72.3,63.3,,
72.2,56.8,,
72.2,61.8,,
72.2,52.3,,
72.2,60.2,,
72.2,64.7,,
72.2,61.4,,
72.1,60.8,,
71.9,62.1,,
71.9,58.1,,
71.9,61.7,,
71.9,61.8,,
71.9,59.9,,
71.9,57.3,,
71.8,55.2,,
71.8,59.1,,
71.7,52.1,,
71.7,56.9,,
71.7,40.6,,
71.7,56.8,,
71.7,57.7,,
71.6,61.7,,
71.6,58.7,,
71.6,66.5,,
71.6,56.3,,
71.5,60.4,,
71.4,59,,
71.4,56.4,,
71.3,51,,
71.2,59.6,,
71.2,60.1,,
71.2,57,,
71.1,64,,
71.1,63,,
70.9,51.4,,
70.8,50.1,,
70.8,58.1,,
70.8,52.9,,
70.8,56.5,,
70.8,57.5,,
70.7,55.3,,
70.7,60.7,,
70.7,55.7,,
70.7,58.1,,
70.6,58.8,,
70.6,60.7,,
70.6,55.5,,
70.6,50.9,,
70.5,59.8,,
70.5,55.8,,
70.5,51.7,,
70.5,53.3,,
70.5,54.5,,
70.4,57.6,,
70.4,46.6,,
70.4,57.5,,
70.4,55.3,,
70.4,60.5,,
70.2,60,,
70.2,45.7,,
70.2,53.1,,
70.1,55.6,,
70.1,58.7,,
70.1,58.8,,
70.1,58,,
70.1,61,,
70,58.8,,
70,56.5,,
70,61.2,,
70,43.4,,
69.9,57.8,,
69.9,55.9,,
69.9,50.5,,
69.9,53.3,,
69.9,58.4,,
69.9,56.4,,
69.7,58.2,,
69.7,55.8,,
69.6,59.5,,
69.6,62,,
69.6,57.4,,
69.6,55.1,,
69.6,62.6,,
69.5,54.6,,
69.5,61.8,,
69.5,57.6,,
69.5,58.7,,
69.5,53.1,,
69.5,49.2,,
69.4,41.6,,
69.4,58,,
69.4,55.7,,
69.4,61,,
69.4,53.8,,
69.3,59.4,,
69.3,62.1,,
69.3,56.6,,
69.2,58.9,,
69.2,59.4,,
69.2,51.2,,
69.1,53.1,,
69.1,56,,
69.1,54.1,,
69.1,62.1,,
69,48,,
68.9,51.6,,
68.9,55.9,,
68.9,50.6,,
68.9,54.6,,
68.9,50.3,,
68.9,57.7,,
68.8,53.5,,
68.8,49.4,,
68.7,58.6,,
68.7,55.9,,
68.7,60.7,,
68.6,55.1,,
68.6,59.9,,
68.5,49,,
68.5,57.5,,
68.5,53.9,,
68.4,52.6,,
68.4,51,,
68.4,56,,
68.3,51.1,,
68.3,58.7,,
68.2,53.7,,
68.2,58.1,,
68.2,59.8,,
68.1,53.9,,
68.1,49.6,,
68.1,51.6,,
68,57.3,,
68,47.8,,
67.9,55.2,,
67.9,58.9,,
67.9,53.3,,
67.9,47.2,,
67.9,55.8,,
67.9,59.5,,
67.9,55.9,,
67.8,54,,
67.8,53.8,,
67.8,62.2,,
67.8,53.8,,
67.8,46.7,,
67.8,57.9,,
67.8,60.7,,
67.8,59.8,,
67.8,56,,
67.7,61.5,,
67.7,48.8,,
67.7,55.5,,
67.7,56,,
67.7,56.6,,
67.7,46.7,,
67.6,57.9,,
67.5,55.1,,
67.5,53,,
67.5,58,,
67.5,62.4,,
67.4,61.5,,
67.4,50.5,,
67.4,56.7,,
67.4,58.1,,
67.3,59.6,,
67.3,60.8,,
67.3,60.1,,
67.3,52.7,,
67.2,54.2,,
67.2,56.1,,
67.2,59.3,,
67.2,55.7,,
67.2,46.9,,
67.1,48.8,,
67.1,52.8,,
67.1,50.2,,
67.1,59.6,,
67.1,57.8,,
67,56.9,,
67,46.5,,
67,55.4,,
66.9,52.5,,
66.9,51.9,,
66.9,56.1,,
66.9,51.5,,
66.8,54,,
66.8,44.6,,
66.8,51,,
66.8,51.2,,
66.7,56.8,,
66.7,55,,
66.7,57.2,,
66.6,60,,
66.6,53.4,,
66.6,57.7,,
66.6,50.7,,
66.6,43,,
66.6,53.4,,
66.5,61.6,,
66.5,47.5,,
66.5,53.1,,
66.4,51.9,,
66.4,53,,
66.4,58.3,,
66.4,43.2,,
66.4,59.7,,
66.4,56.7,,
66.4,55.8,,
66.3,58.3,,
66.3,54.9,,
66.3,54.9,,
66.2,54.3,,
66.2,62.1,,
66.2,55.2,,
66.2,43,,
66.1,58.3,,
66.1,47.2,,
66.1,50.1,,
66.1,44.6,,
66.1,35.5,,
66.1,48.2,,
66,56.3,,
66,46.3,,
66,57.1,,
66,48.2,,
65.9,47.6,,
65.9,47.5,,
65.9,59.7,,
65.9,48.9,,
65.9,57.1,,
65.8,54.7,,
65.8,54.2,,
65.8,55,,
65.8,55.8,,
65.8,50.9,,
65.7,50.3,,
65.7,47.2,,
65.7,54.2,,
65.6,53.8,,
65.6,49.4,,
65.6,54.9,,
65.6,47.8,,
65.5,58.7,,
65.5,56.8,,
65.5,48.9,,
65.4,55.8,,
65.4,53.8,,
65.4,55.2,,
65.4,54.4,,
65.3,55.6,,
65.3,50.5,,
65.3,56.8,,
65.3,58.7,,
65.2,50.4,,
65.2,43,,
65.2,54.2,,
65.2,50.5,,
65.2,57.8,,
65.1,50.3,,
65.1,56.4,,
65.1,47.5,,
65.1,51.1,,
65.1,47.7,,
65.1,58.2,,
65.1,56.7,,
65.1,58.2,,
65,57.7,,
65,40.5,,
65,58.5,,
65,57.6,,
65,59.4,,
65,55.7,,
65,42.1,,
64.9,44.7,,
64.9,47,,
64.9,49.8,,
64.8,42.8,,
64.8,58.1,,
64.8,50.3,,
64.8,51.4,,
64.7,55.9,,
64.7,36.8,,
64.7,57.9,,
64.6,46.8,,
64.6,54.5,,
64.6,55.9,,
64.6,54.7,,
64.6,48,,
64.6,52.6,,
64.6,50.6,,
64.5,52.1,,
64.5,57.6,,
64.5,52,,
64.5,49,,
64.5,50.6,,
64.5,55.4,,
64.5,48.1,,
64.5,55.8,,
64.5,60.1,,
64.4,52.8,,
64.4,54.4,,
64.4,50.3,,
64.4,57.6,,
64.4,54.8,,
64.3,56.6,,
64.3,45.7,,
64.3,61.9,,
64.3,51.9,,
64.3,42.7,,
64.3,52.5,,
64.3,41.3,,
64.3,58,,
64.2,60,,
64.2,54.1,,
64.2,52.2,,
64.2,57.6,,
64.2,55,,
64.2,49.4,,
64.1,55.1,,
