Word,Frequency,Frequency For 
dil,139814,4150
merkez,138885,9326
ulusal,130879,4896
yazarlar,122710,1415
derg,120050,4115
deü,104822,12877
yer,93677,5466
poster,93229,2057
hakem,92160,2387
makale,92056,2205
turkish,91897,2441
internationaldomestic,89440,1259
antalya,88353,1970
kongre,87319,3121
location,83327,1339
organization,82716,1680
izmir,81434,12128
eylül,81067,16304
uluslararasiulusal,79781,1392
üniversite,78906,16035
türkç,75503,2867
organizasyon,75401,3376
toplanti,72596,1454
tarihleri,72588,1430
araştır,69637,8895
english,67570,3736
domestic,66697,1240
dr,64244,6170
fakülte,63837,9971
basim,62094,1385
proje,61327,7114
publishing,61300,1383
monthyear,60954,1245
hastane,60813,3635
yurtdiş,60675,2319
ingiliz,60648,2327
name,60438,1526
international,59295,3306
böl,58415,8416
domesticinternational,57996,1246
yes,57225,1236
tıp,56559,4512
n,55997,1850
ayiyili,55398,1378
citation,54979,2033
issuepageyear,54403,1232
evet,53749,1423
eğit,52255,10509
session,51544,940
science,51204,1794
kitap,48905,4581
sayisayfayil,48724,1348
yurtiçiyurtdişi,48724,1348
progra,48342,10928
yurtiç,47647,3214
sağlık,47504,7824
öğrenç,47051,9007
research,46285,2888
hastalık,46189,3708
bilgi,45540,10837
project,44821,1203
öğre,43309,10076
çocuk,42876,3870
no,41482,9937
akademik,41472,12127
ders,40878,7390
dal,40784,8102
tedavi,39624,3822
uluslararasi,39400,3890
bir,38539,9091
istanbul,37825,2549
d,37370,2636
haber,36412,4378
hizmet,35802,5926
iç,35216,6040
index,34549,2223
lisans,33970,7100
dergi,33570,3830
iletiş,33403,13052
alan,32814,6182
bil,32449,8902
prof,31568,4930
personel,31558,6996
cerrahi,31302,3045
form,30984,8943
anabil,30605,6155
web,29784,8696
anasayfa,28572,11172
poliklinik,28566,2023
for,28292,5317
kuru,28226,6332
serbest,27210,1649
chapter,27149,957
yük,26801,7031
hakk,26791,8864
olg,26574,1406
gör,26536,4046
ödül,26423,2167
hasta,26179,3102
türk,26035,3596
hayir,25413,1079
