Latitude,Longitude,Type,Depth,Magnitude
19246,145616,0,131.6,6
1863,127352,0,80,5.8
-20579,-173972,0,20,6.2
-59076,-23557,0,15,5.8
11938,126427,0,15,5.8
-13405,166629,0,35,6.7
27357,87867,0,20,5.9
-13309,166212,0,35,6
-56452,-27043,0,95,6
-24563,178487,0,565,5.8
-6807,108988,0,227.9,5.9
-2608,125952,0,20,8.2
54636,161703,0,55,5.5
-18697,-177864,0,482.9,5.6
37523,73251,0,15,6
-51.84,139741,0,10,6.1
51251,178715,0,30.3,8.7
51639,175055,0,30,6
52528,172007,0,25,5.7
51626,175746,0,25,5.8
51037,177848,0,25,5.9
51.73,173975,0,20,5.9
51775,173058,0,10,5.7
52611,172588,0,24,5.7
51831,174368,0,31.8,5.7
51948,173969,0,20,5.6
51443,179605,0,30,7.3
52773,171974,0,30,6.5
51772,174696,0,20,5.6
52975,171091,0,25,6.4
52.99,170874,0,25,5.8
51536,175045,0,25,5.8
13245,-44922,0,10,5.8
51812,174206,0,10,5.7
51762,174841,0,25,5.7
52438,174321,0,39.5,6.3
51946,173.84,0,30,5.7
51738,174566,0,20,6
51487,176558,0,30.4,5.6
53008,-162008,0,17.8,6.4
52184,175505,0,27.7,6.2
52076,172918,0,30.1,5.6
51744,175213,0,37.4,5.7
52057,174116,0,17.5,5.7
53191,-161859,0,22.5,6.3
51447,176469,0,25.2,5.8
51258,173393,0,17.7,5.7
52031,175411,0,25,5.7
51294,179092,0,25,5.8
55223,165426,0,32.5,5.9
-18718,169386,0,200,5.6
52815,171904,0,30,6
52188,172752,0,25,5.8
51009,179325,0,20,5.8
3026,125951,0,100,5.9
38908,142095,0,53.5,5.7
51694,176446,0,30,5.7
21527,143081,0,340,5.6
25011,94186,0,55,5.6
-7251,126715,0,35,5.9
51415,179358,0,40.4,5.8
-15343,-172889,0,35,5.8
-25633,-70679,0,35,7
-5461,151.98,0,40,6.2
51884,173072,0,20.3,6.2
6746,-72971,0,160,5.6
28133,-112208,0,10,6
-5377,152115,0,30,5.9
21104,121218,0,30,5.7
-5371,152055,0,40,5.5
21122,121148,0,30,5.6
52204,173911,0,33.6,5.7
15404,-92623,0,105.2,5.6
38399,28226,0,10,5.8
-27145,-177262,0,15,5.6
-5514,151819,0,14.8,6.7
53046,171308,0,25.7,6.3
-5487,146993,0,200,5.7
50928,179511,0,30,5.5
52.39,174937,0,35,5.6
-27027,-63214,0,560.8,5.8
52416,174239,0,35,5.6
-18425,-132923,0,10,5.6
20.13,121461,0,45,5.8
-29998,-177968,0,50,6
39197,23.86,0,15,6.1
53292,-162331,0,20,5.7
36405,70724,0,207.8,7.4
22635,121117,0,15,5.8
40697,143032,0,32.1,6.4
52785,171821,0,25,6
-20036,-175.89,0,224.9,6.3
-55857,-26758,0,35,5.7
-1887,119836,0,40,6
-1547,126623,0,28.9,6.3
-15262,-173254,0,30.5,6.5
-31974,-71573,0,48.8,6.2
-15382,-173194,0,25,6.2
8418,126553,0,55,5.7
55.26,161904,0,40,5.8
-32522,-71233,0,70,7.4
40687,142915,0,30,6.4
-20502,-173701,0,20,5.9
50282,177959,0,20,7.6
38365,22405,0,75,6.8
9986,125896,0,60,5.9
15.8,-98067,0,10,5.8
51865,175172,0,30.7,5.7
-27088,-176046,0,25,5.6
37505,22067,0,20,6.1
44812,150871,0,39.2,5.7
36083,139968,0,50,5.7
-463,120039,0,25,6.2
52192,173437,0,25,6.1
-32707,-178207,0,20,6
35047,24318,0,65,6.2
-20455,-173621,0,17.5,5.7
-17857,-178646,0,543.7,6.5
-13409,170376,0,635,6.3
-42692,174205,0,20,5.9
-26168,178628,0,570,5.7
30317,138702,0,421.7,5.6
25.08,122897,0,165,5.6
64572,-160375,0,15,6
41.46,-127416,0,10,5.9
-59687,-26454,0,25,6.1
-59586,-26372,0,25,6.1
34848,138332,0,35,6
11451,140231,0,70,5.8
24409,142776,0,30,6
