Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Dag II,Alper Caglar,9.1,101109,"
Action, Drama, War            ",(2016)
Reis,Hüdaverdi Yavuz,1.6,71924,"
Biography, Drama            ",(2017)
Babam ve Oglum,Çagan Irmak,8.3,68950,"
Drama, Family            ",(2005)
Eskiya,Yavuz Turgul,8.3,56176,"
Crime, Drama, Thriller            ",(1996)
Fetih 1453,Faruk Aksoy,6.9,54886,"
Action, Drama, History            ",(2012)
Enes Batur Hayal mi Gerçek mi?,Kamil Cetin,4.9,52664,"
Comedy            ",(2018)
G.O.R.A.,Ömer Faruk Sorak,8.0,50405,"
Adventure, Comedy, SciFi            ",(2004)
Gegen die Wand,Fatih Akin,7.9,47502,"
Drama, Romance            ",(2004)
Celal ile Ceren,Togan Gökbakar,2.7,40104,"
Comedy, Romance            ",(2013)
Kis Uykusu,Nuri Bilge Ceylan,8.2,37677,"
Drama            ",(2014)
Cumali Ceber: Allah Seni Alsin,Gökhan Gök,1.1,37121,"
Comedy            ",(2017)
Whiteout,Dominic Sena,5.5,35799,"
Action, Crime, Horror            ",(2009)
Bir Zamanlar Anadolu'da,Nuri Bilge Ceylan,7.8,35125,"
Crime, Drama            ",(2011)
Hababam Sinifi,Ertem Egilmez,9.4,34059,"
Comedy, Drama            ",(1975)
A.R.O.G,Ali Taner Baltaci,7.3,32527,"
Comedy, Fantasy, SciFi            ",(2008)
Mustang,Deniz Gamze Ergüven,7.6,31320,"
Drama            ",(2015)
Nefes: Vatan Sagolsun,Levent Semerci,8.1,29764,"
Action, Drama, Thriller            ",(2009)
Vizontele,Yilmaz Erdogan,8.0,29074,"
Comedy, Drama            ",(2001)
Auf der anderen Seite,Fatih Akin,7.8,29023,"
Drama            ",(2007)
Pek Yakinda,Cem Yilmaz,7.5,28290,"
Comedy            ",(2014)
Av Mevsimi,Yavuz Turgul,7.5,27493,"
Crime, Drama, Mystery            ",(2010)
Ayla: The Daughter of War,Can Ulkay,8.6,27410,"
Biography, Drama, History            ",(2017)
Yahsi Bati,Ömer Faruk Sorak,7.4,27006,"
Comedy, Western            ",(2009)
Arif V 216,Kivanç Baruönü,7.3,26993,"
Comedy, SciFi            ",(2018)
Kod Adi K.O.Z.,Celal Çimen,1.4,26785,"
Crime, Mystery            ",(2015)
Organize Isler,Yilmaz Erdogan,7.4,26619,"
Comedy, Drama            ",(2005)
Hokkabaz,Ali Taner Baltaci,7.4,26615,"
Comedy, Drama            ",(2006)
The Ottoman Lieutenant,Joseph Ruben,6.6,22863,"
Drama, War            ",(2017)
Recep Ivedik,Togan Gökbakar,4.7,22112,"
Comedy            ",(2008)
Hababam Sinifi Sinifta Kaldi,Ertem Egilmez,9.0,19774,"
Comedy            ",(1976)
Tosun Pasa,Kartal Tibet,9.0,19354,"
Comedy, History            ",(1976)
Kaybedenler Kulübü,Tolga Örnek,7.6,18930,"
Comedy, Drama, Romance            ",(2011)
Her Sey Çok Güzel Olacak,Ömer Vargi,8.2,18912,"
Comedy, Drama            ",(1998)
Dügün Dernek,Selçuk Aydemir,7.2,18497,"
Comedy            ",(2013)
Dag,Alper Caglar,7.9,17700,"
Adventure, Drama, Thriller            ",(2012)
Üç Maymun,Nuri Bilge Ceylan,7.4,17665,"
Drama            ",(2008)
Kabadayi,Ömer Vargi,7.8,17525,"
Action, Crime, Drama            ",(2007)
Kelebegin Rüyasi,Yilmaz Erdogan,7.8,17252,"
Biography, Drama, History            ",(2013)
Eyyvah Eyvah,Hakan Algül,7.0,17145,"
Comedy            ",(2010)
Recep Ivedik 2,Togan Gökbakar,4.2,17067,"
Comedy            ",(2009)
