Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Dag II,Alper Caglar,9.1,101109,"
Action, Drama, War            ",(2016)
Fetih 1453,Faruk Aksoy,6.9,54886,"
Action, Drama, History            ",(2012)
Whiteout,Dominic Sena,5.5,35799,"
Action, Crime, Horror            ",(2009)
Nefes: Vatan Sagolsun,Levent Semerci,8.1,29764,"
Action, Drama, Thriller            ",(2009)
Kabadayi,Ömer Vargi,7.8,17525,"
Action, Crime, Drama            ",(2007)
Ali Baba ve 7 Cüceler,Cem Yilmaz,5.9,16484,"
Action, Comedy, Drama            ",(2015)
Kurtlar Vadisi: Irak,Serdar Akar,5.8,16169,"
Action, Drama, War            ",(2006)
Dünyayi Kurtaran Adam'in Oglu,Kartal Tibet,1.7,15195,"
Action, Comedy, SciFi            ",(2006)
Five Minarets in New York,Mahsun Kirmizigül,5.8,13788,"
Action, Drama            ",(2010)
Ölümlü Dünya,Ali Atay,7.8,12690,"
Action, Comedy            ",(2018)
Itirazim Var,Onur Ünlü,7.9,9936,"
Action, Crime, Drama            ",(2014)
Behzat Ç.: Seni Kalbime Gömdüm,Serdar Akar,7.7,8562,"
Action, Crime, Mystery            ",(2011)
Kurtlar Vadisi: Filistin,Zübeyr Sasmaz,6.2,8012,"
Action, Adventure, Drama            ",(2011)
Kolpaçino,Atil Inaç,6.0,7630,"
Action, Comedy            ",(2009)
Dünyayi Kurtaran Adam,Çetin Inanç,4.6,6938,"
Action, Adventure, SciFi            ",(1982)
Emret Komutanim: Sah Mat,Taner Akvardar,1.7,6724,"
Action, Adventure, Comedy            ",(2007)
Kara Bela,Burak Aksak,7.0,6515,"
Action, Adventure, Comedy            ",(2015)
Kötü Kedi Serafettin,Mehmet Kurtulus,7.3,6261,"
Animation, Action, Adventure            ",(2016)
Son Osmanli Yandim Ali,Mustafa Sevki Dogan,7.0,5815,"
Action, Comedy, Drama            ",(2007)
Polis,Onur Ünlü,6.7,5234,"
Action, Comedy, Crime            ",(2007)
Behzat Ç. Ankara Yaniyor,Serdar Akar,7.5,4987,"
Action, Adventure, Crime            ",(2013)
Çanakkale Yolun Sonu,Kemal Uzun,7.3,4345,"
Action, Drama, History            ",(2013)
Ejder Kapani,Ugur Yücel,6.5,4326,"
Action, Crime, Thriller            ",(2010)
G.D.O. Kara Kedi,Murat Aslan,5.3,4193,"
Action, Comedy            ",(2013)
Vali,Çagatay Tosun,7.4,4170,"
Action, Crime, Drama            ",(2009)
Kurtlar Vadisi: Gladio,Sadullah Sentürk,6.0,3952,"
Action, Crime, Drama            ",(2009)
Kutsal Damacana 2: Itmen,Korhan Bozkurt,2.8,3876,"
Action, Comedy, Fantasy            ",(2010)
Panzehir,Alper Caglar,7.2,3467,"
Action, Crime, Drama            ",(2014)
Deli Yürek: Bumerang Cehennemi,Osman Sinav,6.6,3439,"
Action, Drama            ",(2001)
Hür Adam: Bediüzzaman Said Nursi,Mehmet Tanrisever,5.0,3388,"
Action, Biography, Drama            ",(2011)
Sadece Sen,Hakan Yonat,7.4,3254,"
Action, Drama, Romance            ",(2014)
Cingöz Recai,Onur Ünlü,5.0,3075,"
Action, Comedy, Crime            ",(2017)
Gol Krali,Kartal Tibet,7.0,2873,"
Action, Comedy, Romance            ",(1981)
Küçük Esnaf,Bedran Güzel,5.6,2660,"
Action, Adventure, Comedy            ",(2016)
Il mondo di Yor,Antonio Margheriti,4.4,2524,"
Action, Adventure, Fantasy            ",(1983)
Çiçero,Serdar Akar,6.6,2523,"
Action, Crime, Drama            ",(2019)
Kurtlar Vadisi: Vatan,Serdar Akar,4.5,2432,"
Action, Crime, Drama            ",(2017)
Niyazi Gül Dörtnala,Hakan Algül,4.5,2172,"
Action, Adventure, Comedy            ",(2015)
Günah Keçisi,Cenk Ozakinci,5.7,2069,"
Action, Biography, Comedy            ",(2011)
Labirent,Tolga Örnek,6.8,2039,"
Action, Crime, Drama            ",(2011)
Bir Baba Hindu,Sermiyan Midyat,3.1,2017,"
Action, Adventure, Comedy            ",(2016)
Mercedes mon amour,Tunç Okan,7.8,1857,"
Action, Comedy, Drama            ",(1993)
Börü,Can Emre,7.1,1836,"
Action, Thriller, War            ",(2018)
Pars: Kiraz operasyonu,Osman Sinav,6.0,1829,"
Action, Crime, Drama            ",(2007)
Tarkan: Viking Kani,Mehmet Aslan,6.4,1650,"
Action, Adventure, Fantasy            ",(1971)
Deliler,Osman Kaya,5.7,1468,"
Action, History, War            ",(2018)
Tschiller: Off Duty,Christian Alvart,4.1,1452,"
Action, Crime, Thriller            ",(2016)
Ask Kirmizi,Osman Sinav,5.1,1384,"
Action, Drama, Romance            ",(2013)
Tarkan,Tunç Basaran,6.6,1308,"
Action, Adventure, Comedy            ",(1969)
Battal Gazi Destani,Atif Yilmaz,6.4,1280,"
Action, Adventure, History            ",(1971)
Baska Semtin Çocuklari,Aydin Bulut,6.7,1249,"
Action, Crime, Drama            ",(2008)
Battal Gazi'nin Oglu,Natuk Baytan,6.0,1177,"
Action, Drama, History            ",(1974)
Tarkan: Altin Madalyon,Mehmet Aslan,6.3,1164,"
Action, Adventure, History            ",(1973)
Direnis Karatay,Selahattin Sancakli,7.0,1104,"
Action, History, Thriller            ",(2018)
Kirimli,Burak Arliel,7.4,1090,"
Action, Drama, History            ",(2014)
Tarkan: Gümüs Eyer,Mehmet Aslan,6.5,1076,"
Action, Adventure, History            ",(1970)
Savulun Battal Gazi geliyor,Natuk Baytan,6.3,1052,"
Action, Adventure, History            ",(1973)
Kara Murat: Fatih'in Fermani,Natuk Baytan,6.2,992,"
Action, Adventure, Fantasy            ",(1973)
Battal Gazi'nin Intikami,Natuk Baytan,6.2,971,"
Action, Adventure, History            ",(1972)
Tarkan: Güçlü Kahraman,Mehmet Aslan,6.6,949,"
Action, Adventure, History            ",(1973)
Bana sans dile,Çagan Irmak,5.2,904,"
Action            ",(2001)
Türkler Cildirmis Olmali,Murat Aslan,2.8,861,"
Action, Adventure, Comedy            ",(2009)
Can Feda,Çagatay Tosun,5.4,800,"
Action, War            ",(2018)
Malkoçoglu,Süreyya Duru,6.5,773,"
Action, Adventure, History            ",(1966)
Son Mektup,Özhan Eren,4.6,663,"
Action, Drama, History            ",(2015)
Fatih'in Fedaisi Kara Murat,Aytekin Birkon,1.7,657,"
Action, Adventure, Drama            ",(2015)
Mumya firarda,Erdal Murat Aktas,1.9,649,"
Action, Adventure, Comedy            ",(2002)
Malkoçoglu - ölüm fedaileri,Remzi Jöntürk,6.2,586,"
Action            ",(1971)
Kiliç Aslan,Natuk Baytan,6.1,558,"
Action, Adventure, War            ",(1975)
Karaoglan,Kudret Sabanci,3.7,545,"
Action, Comedy, History            ",(2013)
Üç kagitçilar,Natuk Baytan,7.0,541,"
Action, Comedy, Crime            ",(1976)
Kara Murat: Kara Sövalyeye Karsi,Natuk Baytan,6.0,540,"
Action            ",(1975)
3 dev adam,T. Fikret Uçak,4.3,535,"
Action, Crime, SciFi            ",(1973)
Malkoçoglu - akincilar geliyor,Süreyya Duru,5.8,486,"
Action, Adventure, History            ",(1969)
Kara Murat: Denizler Hakimi,Natuk Baytan,5.8,479,"
Action, Adventure, Drama            ",(1977)
Ölüm savasçisi,Cüneyt Arkin,5.5,473,"
Action            ",(1984)
Bizim Hikaye,Yasin Uslu,5.9,379,"
Action, Drama            ",(2015)
Korkusuz,Çetin Inanç,3.7,369,"
Action, Adventure            ",(1986)
Vivre pour survivre,Jean-Marie Pallardy,4.4,351,"
Action, Drama, Thriller            ",(1985)
Babanin Evlatlari,Natuk Baytan,6.8,339,"
Action, Adventure, Comedy            ",(1977)
Kara Murat: Fatih'in Fedaisi,Natuk Baytan,6.2,328,"
Action            ",(1972)
Kolay para,Ercan Durmus,4.5,328,"
Action, Comedy, Crime            ",(2002)
Karateci Kiz,Orhan Aksoy,4.0,309,"
Action, Crime, Drama            ",(1973)
Sultanin Sirri,Hakan Sahin,4.7,282,"
Action            ",(2010)
Kaos örümcek agi,Cem Gul,3.3,279,"
Action            ",(2012)
Vahsi kan,Çetin Inanç,4.2,274,"
Action, Adventure            ",(1983)
Sicak,Abdullah Oguz,4.9,273,"
Action, Crime, Drama            ",(2008)
Yilmayan seytan,Yilmaz Atadeniz,5.3,260,"
Action, SciFi            ",(1972)
I sopravvissuti della città morta,Antonio Margheriti,5.0,245,"
Action, Adventure, Crime            ",(1984)
Kanunsuzlar,Baris Ercetin,5.1,230,"
Action            ",(2014)
Agir abi,Oguzhan Ugur,2.4,230,"
Action, Comedy            ",(2011)
Poyraz Karayel: Küresel Sermaye,Osman Tasci,4.6,217,"
Action            ",(2017)
Kanimdaki Barut,Luk Piyes,3.8,195,"
Action, Drama            ",(2009)
Yikilmayan adam,Remzi Jöntürk,5.6,193,"
Action, Crime, Drama            ",(1977)
Girgir Ali,Çetin Inanç,5.7,184,"
Action, Comedy            ",(1982)
Karaoglan geliyor: Cengiz Han'in hazineleri,Mehmet Aslan,5.7,180,"
Action, Adventure            ",(1972)
Yarasa adam - Bedmen,Günay Kosova,3.8,174,"
Action, Adventure            ",(1973)
Yalan Dolan,Michael Derun,5.2,170,"
Action, Adventure, Comedy            ",(2019)
Kod Adi: Venüs,Tamer Garip,5.0,167,"
Action, Adventure, Romance            ",(2012)
Özgür Dünya,Faruk Aksoy,2.1,164,"
Action, Adventure, Family            ",(2019)
En Büyük Yumruk,Çetin Inanç,5.8,163,"
Action            ",(1983)
Daraa,Murat Onbul,6.3,159,"
Action, Drama, History            ",(2018)
Kanije Kalesi,Yilmaz Atadeniz,5.7,155,"
Action, Adventure, History            ",(1982)
Kaptan feza,Ümit Ünal,5.1,142,"
Action            ",(2010)
Bordo Bereliler Suriye,Erhan Baytimur,3.6,141,"
Action            ",(2017)
Ates,Luk Piyes,6.2,137,"
Action, Drama, Romance            ",(2016)
Karateciler Istanbul'da,Victor Lamp,4.1,135,"
Action            ",(1974)
Bordo Bereliler Afrin,Erhan Baytimur,1.7,133,"
Action, Thriller, War            ",(2018)
Insan avcisi,Duygu Sagiroglu,6.3,120,"
Action, Crime, Drama            ",(1975)
Hop Dedik,Oguz Yalçin,3.5,115,"
Action            ",(2011)
Dust,Gozde Kural,6.0,105,"
Action, Drama            ",(III) (2016)
Bendeyar,Joel Leang,3.2,103,"
Action, Drama            ",(2011)
Yarin son gundur,Yilmaz Güney,6.0,103,"
Action            ",(1971)
Malkoçoglu - kurt bey,Süreyya Duru,4.6,103,"
Action, Adventure, Fantasy            ",(1972)
Son savasçi,Çetin Inanç,5.7,100,"
Action            ",(1982)
Saruhan,Emre Konuk,7.7,99,"
Action, Biography, Thriller            ",(2016)
Cellat,Memduh Ün,6.4,97,"
Action            ",(1975)
Kilink uçan adama karsi,Yilmaz Atadeniz,6.0,96,"
SciFi, Adventure, Action            ",(1967)
Canli hedef,Yilmaz Güney,6.2,96,"
Action, Crime, Drama            ",(1970)
