Name,Director,IMDB Rating,Number Of Votes,Genres,Year
G.O.R.A.,Ömer Faruk Sorak,8.0,50405,"
Adventure, Comedy, SciFi            ",(2004)
Dag,Alper Caglar,7.9,17700,"
Adventure, Drama, Thriller            ",(2012)
Hababam Sinifi Tatilde,Ertem Egilmez,8.7,14859,"
Adventure, Comedy, Drama            ",(1977)
Köyden Indim Sehire,Ertem Egilmez,8.4,8274,"
Adventure, Comedy, Drama            ",(1974)
Kurtlar Vadisi: Filistin,Zübeyr Sasmaz,6.2,8012,"
Action, Adventure, Drama            ",(2011)
Davaro: Son Eskiya,Kartal Tibet,8.1,7521,"
Adventure, Comedy, Drama            ",(1981)
Dünyayi Kurtaran Adam,Çetin Inanç,4.6,6938,"
Action, Adventure, SciFi            ",(1982)
Emret Komutanim: Sah Mat,Taner Akvardar,1.7,6724,"
Action, Adventure, Comedy            ",(2007)
Kara Bela,Burak Aksak,7.0,6515,"
Action, Adventure, Comedy            ",(2015)
Kötü Kedi Serafettin,Mehmet Kurtulus,7.3,6261,"
Animation, Action, Adventure            ",(2016)
Behzat Ç. Ankara Yaniyor,Serdar Akar,7.5,4987,"
Action, Adventure, Crime            ",(2013)
Salako,Atif Yilmaz,7.4,4906,"
Adventure, Comedy, Crime            ",(1974)
Korkusuz Korkak,Natuk Baytan,8.1,4897,"
Adventure, Comedy            ",(1979)
The Cut,Fatih Akin,6.3,4809,"
Adventure, Drama, History            ",(I) (2014)
Kolpaçino: Bomba,Safak Sezer,5.5,4656,"
Adventure, Comedy            ",(2011)
Anadolu Kartallari,Ömer Vargi,6.3,3906,"
Adventure, Drama, Romance            ",(2011)
Maskeli Besler: Irak,Murat Aslan,3.6,3542,"
Adventure, Comedy            ",(2007)
Istanbul Kanatlarimin Altinda,Mustafa Altioklar,7.1,3053,"
Adventure, Drama, History            ",(1996)
Hirsiz Var!,Oguzhan Tercan,4.3,2888,"
Adventure, Comedy, Crime            ",(2005)
Küçük Esnaf,Bedran Güzel,5.6,2660,"
Action, Adventure, Comedy            ",(2016)
Il mondo di Yor,Antonio Margheriti,4.4,2524,"
Action, Adventure, Fantasy            ",(1983)
Niyazi Gül Dörtnala,Hakan Algül,4.5,2172,"
Action, Adventure, Comedy            ",(2015)
Bir Baba Hindu,Sermiyan Midyat,3.1,2017,"
Action, Adventure, Comedy            ",(2016)
The Castle of Fu Manchu,Jesús Franco,2.8,1679,"
Adventure, Crime, Horror            ",(1969)
Tarkan: Viking Kani,Mehmet Aslan,6.4,1650,"
Action, Adventure, Fantasy            ",(1971)
Kutsal Damacana 3: Dracoola,Korhan Bozkurt,2.4,1476,"
Adventure, Comedy, Fantasy            ",(2011)
Tarkan,Tunç Basaran,6.6,1308,"
Action, Adventure, Comedy            ",(1969)
Battal Gazi Destani,Atif Yilmaz,6.4,1280,"
Action, Adventure, History            ",(1971)
Turist Ömer Yamyamlar Arasinda,Hulki Saner,6.8,1279,"
Adventure, Comedy            ",(1970)
Tarkan: Altin Madalyon,Mehmet Aslan,6.3,1164,"
Action, Adventure, History            ",(1973)
Sis ve Gece,Turgut Yasalar,6.8,1081,"
Adventure, Drama, Mystery            ",(2007)
Tarkan: Gümüs Eyer,Mehmet Aslan,6.5,1076,"
Action, Adventure, History            ",(1970)
Savulun Battal Gazi geliyor,Natuk Baytan,6.3,1052,"
Action, Adventure, History            ",(1973)
Zehir Hafiye,Orhan Aksoy,6.4,1051,"
Adventure, Comedy, Crime            ",(1989)
Kara Murat: Fatih'in Fermani,Natuk Baytan,6.2,992,"
Action, Adventure, Fantasy            ",(1973)
Battal Gazi'nin Intikami,Natuk Baytan,6.2,971,"
Action, Adventure, History            ",(1972)
Tarkan: Güçlü Kahraman,Mehmet Aslan,6.6,949,"
Action, Adventure, History            ",(1973)
Djam,Tony Gatlif,7.2,862,"
Adventure, Drama, Music            ",(2017)
Türkler Cildirmis Olmali,Murat Aslan,2.8,861,"
Action, Adventure, Comedy            ",(2009)
Malkoçoglu,Süreyya Duru,6.5,773,"
Action, Adventure, History            ",(1966)
Kara Murat: Ölüm Emri,Natuk Baytan,6.1,681,"
Adventure            ",(1974)
Pak Panter,Murat Aslan,2.4,677,"
Adventure, Comedy            ",(2010)
Fatih'in Fedaisi Kara Murat,Aytekin Birkon,1.7,657,"
Action, Adventure, Drama            ",(2015)
Mumya firarda,Erdal Murat Aktas,1.9,649,"
Action, Adventure, Comedy            ",(2002)
Köroglu,Atif Yilmaz,7.0,628,"
Adventure, Drama, History            ",(1968)
Ben bir garip keloglanim,Süreyya Duru,6.3,620,"
Adventure, Comedy            ",(1976)
Istanbul'un Fethi,Aydin Arakon,7.1,599,"
Adventure, Drama, History            ",(1951)
Kara Murat: Devler Savasiyor,Natuk Baytan,6.1,581,"
Adventure            ",(1978)
Kiliç Aslan,Natuk Baytan,6.1,558,"
Action, Adventure, War            ",(1975)
Çocuk,Onur Ünlü,2.9,488,"
Adventure, Comedy, Family            ",(2008)
Malkoçoglu - akincilar geliyor,Süreyya Duru,5.8,486,"
Action, Adventure, History            ",(1969)
Kara Murat: Denizler Hakimi,Natuk Baytan,5.8,479,"
Action, Adventure, Drama            ",(1977)
Kara Murat: Seyh Gaffar'a Karsi,Natuk Baytan,5.7,477,"
Adventure            ",(1976)
Süpermen Dönüyor,Kunt Tulgar,3.8,474,"
Adventure, Fantasy, SciFi            ",(1979)
Oflu Hoca'nin Sifresi 3,Serkan Karaarslan,4.5,471,"
Adventure, Comedy, Family            ",(2018)
Bitirim kardesler,Zeki Ökten,6.6,469,"
Adventure, Comedy            ",(1973)
Malkoçoglu - Cem Sultan,Remzi Jöntürk,5.9,440,"
Adventure            ",(1969)
Sev beni,Maryna Gorbach,6.1,437,"
Adventure, Comedy, Drama            ",(2013)
Hititya Madalyonun Sirri,Ulas Cihan Simsek,3.5,378,"
Adventure            ",(2013)
Bas belasi,Atif Yilmaz,6.8,371,"
Adventure, Comedy            ",(1977)
Korkusuz,Çetin Inanç,3.7,369,"
Action, Adventure            ",(1986)
Babanin Evlatlari,Natuk Baytan,6.8,339,"
Action, Adventure, Comedy            ",(1977)
Bitirimler sosyetede,Zeki Ökten,6.5,324,"
Adventure, Comedy            ",(1973)
Umut adasi,Mustafa Kara,5.5,323,"
Adventure, Drama, Thriller            ",(2006)
Sahmaran,Zülfü Livaneli,6.4,322,"
Adventure, Family            ",(1994)
Malkoçoglu - krallara karsi,Süreyya Duru,6.0,320,"
Adventure            ",(1967)
Cingöz Recai,Safa Önal,6.8,310,"
Adventure, Comedy, Romance            ",(1969)
Katircilar,Serif Gören,7.4,305,"
Adventure, Drama            ",(1987)
Deli Yusuf,Atif Yilmaz,5.7,298,"
Adventure, Comedy            ",(1975)
Malkoçoglu - kara korsan,Süreyya Duru,5.8,287,"
Adventure, Drama, History            ",(1968)
Vahsi kan,Çetin Inanç,4.2,274,"
Action, Adventure            ",(1983)
I sopravvissuti della città morta,Antonio Margheriti,5.0,245,"
Action, Adventure, Crime            ",(1984)
Aysecik ve sihirli cüceler rüyalar ülkesinde,Tunç Basaran,4.6,229,"
Adventure, Family, Fantasy            ",(1971)
Serseriler krali,Mehmet Dinler,6.6,226,"
Adventure, Comedy, Drama            ",(1967)
Kriminal,Umberto Lenzi,5.9,224,"
Adventure, Crime            ",(1966)
Çalikusu,Osman F. Seden,6.6,223,"
Adventure, Drama, Romance            ",(1966)
Tomruk,Serif Gören,6.7,219,"
Adventure, Drama            ",(1982)
Bas belasi,Kartal Tibet,6.2,217,"
Adventure, Comedy, Drama            ",(1982)
Kilink Istanbul'da,Yilmaz Atadeniz,6.1,217,"
Adventure, Crime, Fantasy            ",(1967)
Babalarin babasi,Natuk Baytan,6.5,214,"
Adventure, Comedy            ",(1975)
Ah güzel Istanbul,Ömer Kavur,6.6,212,"
Adventure, Drama, Romance            ",(1981)
Uzay Kuvvetleri 2911,Michael Derun,2.8,203,"
Animation, Adventure, SciFi            ",(2015)
Anochece en la India,Chema Rodríguez,6.0,202,"
Adventure, Drama, Romance            ",(2014)
Hakanlar çarpisiyor,Natuk Baytan,5.9,201,"
Adventure            ",(1977)
Böcek,Bora Tekay,5.9,199,"
Adventure, Comedy, Drama            ",(I) (2013)
Eskiya,Hicri Akbasli,7.3,199,"
Adventure, Drama            ",(1966)
Ankara ekspresi,Muzaffer Aslan,6.2,198,"
Adventure, Drama, Romance            ",(1970)
Hababam taburu,Hulki Saner,5.1,196,"
Adventure, Comedy, War            ",(1975)
Herhangi bir kadin,Serif Gören,6.6,185,"
Adventure, Drama, Romance            ",(1981)
Karaoglan geliyor: Cengiz Han'in hazineleri,Mehmet Aslan,5.7,180,"
Action, Adventure            ",(1972)
Vahsi gelin,Osman F. Seden,6.1,176,"
Adventure, Comedy, Romance            ",(1978)
Keloglan is basinda,Nuri Ergün,5.6,174,"
Adventure, Comedy            ",(1975)
Yarasa adam - Bedmen,Günay Kosova,3.8,174,"
Action, Adventure            ",(1973)
Nehir,Serif Gören,6.1,174,"
Adventure, Crime, Thriller            ",(1977)
En Mutlu Oldugum Yer,Kagan Erturan,4.7,171,"
Adventure, Romance            ",(2010)
Yalan Dolan,Michael Derun,5.2,170,"
Action, Adventure, Comedy            ",(2019)
Kod Adi: Venüs,Tamer Garip,5.0,167,"
Action, Adventure, Romance            ",(2012)
Özgür Dünya,Faruk Aksoy,2.1,164,"
Action, Adventure, Family            ",(2019)
Bir çirkin adam,Yilmaz Güney,6.4,164,"
Adventure, Drama, Crime            ",(1969)
Açela,Özgür Dogruöz,6.0,157,"
Animation, Adventure, Comedy            ",(2019)
Kanije Kalesi,Yilmaz Atadeniz,5.7,155,"
Action, Adventure, History            ",(1982)
Aç kurtlar,Yilmaz Güney,6.4,153,"
Adventure, Drama, Western            ",(1969)
Kiliç Bey,Natuk Baytan,5.7,153,"
Adventure            ",(1978)
Kara kentin çocuklari - Losers of the Dark City,Orhan Oguz,6.9,150,"
Adventure, Drama, Romance            ",(2000)
Battal Gazi,Muharrem Gürses,6.4,141,"
Adventure, History            ",(1966)
Firtina,Nejat Saydam,6.0,141,"
Adventure, Drama, Romance            ",(1977)
Vurguncular,Serif Gören,6.0,138,"
Adventure, Drama            ",(1971)
Çocuklar çiçektir: Kuduz,Yasar Seriner,7.0,136,"
Adventure, Drama            ",(1983)
Ben de özledim,Nazmi Özer,4.4,135,"
Adventure, Drama, Romance            ",(1981)
Maglup edilemeyenler,Atif Yilmaz,5.7,129,"
Adventure, Drama            ",(1976)
Mahkum,Osman F. Seden,6.2,128,"
Adventure, Drama, Romance            ",(1972)
Ince Cumali,Yilmaz Duru,6.3,126,"
Adventure, Drama, Western            ",(1967)
Ceza,Burak Donay,1.8,124,"
Adventure            ",(2014)
Cemil,Melih Gülgen,6.0,123,"
Adventure, Drama            ",(1975)
Katiller de aglar,Orhan Elmas,5.1,121,"
Adventure, Crime, Drama            ",(1985)
Unutulmayanlar,Remzi Jöntürk,5.5,119,"
Adventure, Drama            ",(1981)
Rafadan Tayfa Dehliz Macerasi,Ismail Fidan,6.2,117,"
Animation, Adventure            ",(2018)
Birds Like Us,Faruk Sabanovic,6.2,117,"
Animation, Adventure, Fantasy            ",(2017)
Uyaniklar dünyasi,Aram Gülyüz,5.0,115,"
Adventure, Comedy, Crime            ",(1985)
Iki kizgin adam,Ertem Göreç,6.5,111,"
Adventure, Drama, Romance            ",(1976)
Med cezir manzaralari,Mahinur Ergun,6.4,110,"
Adventure, Drama, Romance            ",(1989)
Adsiz cengaver,Halit Refig,5.5,110,"
Adventure, Fantasy            ",(1970)
O.H.A: Oflu Hoca'yi Aramak,Levent Soyarslan,6.3,109,"
Adventure, Comedy            ",(2014)
Çöl Kartali,Halit Refig,5.8,108,"
Adventure, History, Romance            ",(1972)
Baba Kartal,Cüneyt Arkin,6.5,107,"
Adventure, Drama            ",(1979)
Battal Gazi Geliyor,Sami Ayanoglu,5.9,106,"
Adventure            ",(1955)
Ates Dagli,Temel Gürsu,5.3,104,"
Adventure, Drama            ",(1985)
Malkoçoglu - kurt bey,Süreyya Duru,4.6,103,"
Action, Adventure, Fantasy            ",(1972)
Ferahfeza,Elif Refig,4.7,102,"
Adventure, Family, Romance            ",(2013)
Sari Zeybek,Münir Hayri Egeli,6.8,102,"
Adventure            ",(1953)
Aysecik - Cimcime Hanim,Hulki Saner,5.5,101,"
Adventure, Comedy, Drama            ",(1964)
