Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Kötü Kedi Serafettin,Mehmet Kurtulus,7.3,6261,"
Animation, Action, Adventure            ",(2016)
God's Faithful Servant: Barla,Orhan Öztürk Esin,5.7,1891,"
Animation, Biography, Drama            ",(2011)
Masa ile Koca Ayi 2,Oleg Kuzovkov,4.5,574,"
Animation            ",(2018)
Sagu & Pagu: Büyük Define,Engin Bastürk,4.9,554,"
Animation            ",(2017)
Firildak Ailesi,Haluk Can Dizdaroglu,4.2,372,"
Animation, Comedy, Fantasy            ",(2017)
Uzay Kuvvetleri 2911,Michael Derun,2.8,203,"
Animation, Adventure, SciFi            ",(2015)
Evliya Çelebi ve Ölümsüzlük Suyu,Serkan Zelzele,5.4,191,"
Animation, Comedy, Fantasy            ",(2014)
Açela,Özgür Dogruöz,6.0,157,"
Animation, Adventure, Comedy            ",(2019)
Kral Sakir Oyun Zamani,Haluk Can Dizdaroglu,5.7,143,"
Animation            ",(2018)
The Watercolor,Cihat Hazardagli,6.7,133,"
Animation            ",(2009)
Rafadan Tayfa Dehliz Macerasi,Ismail Fidan,6.2,117,"
Animation, Adventure            ",(2018)
Birds Like Us,Faruk Sabanovic,6.2,117,"
Animation, Adventure, Fantasy            ",(2017)
Iksir,Birkan Uz,5.0,92,"
Animation, Adventure, Comedy            ",(2014)
Ayas,Hüseyin Emre Konyali,6.0,83,"
Animation, Family            ",(2013)
Çanakkale Geçilmez,Orhan Bal,7.1,83,"
Animation            ",(2008)
Masa ile Koca Ayi,Dogukan Manco,8.1,57,"
Animation, Family            ",(2017)
Pepee: Birlik zamani,Hüseyin Emre Konyali,4.6,52,"
Animation, Adventure, Family            ",(2016)
Doru,Can Soysal,6.2,47,"
Animation            ",(2017)
Köstebekgiller 2: Gölge'nin Tilsimi,Kudret Sabanci,3.4,45,"
Animation, Comedy, Family            ",(2016)
Rimolar ve Zimolar: Kasabada Baris,Nermin Er,5.6,37,"
Animation, Adventure, Comedy            ",(2014)
Pirdino Sürpriz Yumurta,Günay Köker,3.5,31,"
Animation, Adventure, Comedy            ",(I) (2015)
Renkli Balik Yeni Dünyalar Kâsifi,Burhan Gün,7.8,29,"
Animation            ",(2018)
Canim kardesim benim,Murat Kürüz,6.2,24,"
Animation, Adventure, Family            ",(2016)
Kayip Armagan,Kerem S. Hünal,7.3,21,"
Animation            ",(2010)
Nane ile Limon: Kayip Zaman Yolcusu,Günay Köker,4.1,17,"
Animation, Family            ",(2017)
Masha i Medved 3,Oleg Kuzovkov,7.3,11,"
Animation, Family            ",(2019)
Renkli Balik 2, , , ,"
Animation            ",
Sevimli Emojiler 2,Tony Cascio, , ,"
Animation            ",(2018)
Dajjal the Slayer and His Followers,Abrar Rana, , ,"
Animation, Action, War            ",(2019)
Shqipja E Kavkazit: Imam Shamili,Orhan Bal, , ,"
Animation, Biography, History            ",(2012)
Dede Korkut,Dervis Pasin, , ,"
Animation            ",(1988)
Kral Sakir Korsanlar Diyari,Haluk Can Dizdaroglu, , ,"
Animation, Adventure            ",(2019)
Siskolar & Siskalar, , , ,"
Animation, Family            ",(2019)
Inci adasi,Dervis Pasin, , ,"
Animation            ",(1995)
Rafadan Tayfa 2: Göbeklitepe,Ismail Fidan, , ,"
Animation, Adventure            ",(2019)
Sisters Tale,Nazli Eda Noyan, , ,"
Animation, Biography, Drama            ",
Shikari Supreme,Ali Asadollahi, , ,"
Animation            ",
Evvel zaman içinde,Turgut Demirag, , ,"
Animation, Comedy            ",(1951)
