Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Reis,Hüdaverdi Yavuz,1.6,71924,"
Biography, Drama            ",(2017)
Ayla: The Daughter of War,Can Ulkay,8.6,27410,"
Biography, Drama, History            ",(2017)
Kelebegin Rüyasi,Yilmaz Erdogan,7.8,17252,"
Biography, Drama, History            ",(2013)
Müslüm,Ketche,8.1,9355,"
Biography, Drama, Music            ",(2018)
Veda,Zülfü Livaneli,7.2,6039,"
Biography, Drama, History            ",(I) (2010)
Eksi Elmalar,Yilmaz Erdogan,7.1,4375,"
Biography, Comedy, Drama            ",(2016)
Selam: Bahara Yolculuk,Hamdi Alkan,8.1,4062,"
Biography, Drama, History            ",(2015)
Hür Adam: Bediüzzaman Said Nursi,Mehmet Tanrisever,5.0,3388,"
Action, Biography, Drama            ",(2011)
Zenne Dancer,Caner Alper,7.2,2361,"
Biography, Drama, Romance            ",(2012)
Günah Keçisi,Cenk Ozakinci,5.7,2069,"
Action, Biography, Comedy            ",(2011)
God's Faithful Servant: Barla,Orhan Öztürk Esin,5.7,1891,"
Animation, Biography, Drama            ",(2011)
8 Seconds,Ömer Faruk Sorak,6.5,1694,"
Biography, Drama, Fantasy            ",(2015)
Mavi Gözlü Dev,Biket Ilhan,6.7,1308,"
Biography, Drama            ",(2007)
Dersimiz: Atatürk,Hamdi Alkan,6.2,1232,"
Biography, Drama, History            ",(2010)
Hürkus,Kudret Sabanci,6.1,878,"
Biography, History, War            ",(2018)
Hosçakal Yarin,Reis Çelik,6.6,434,"
Biography, Drama, History            ",(1998)
Selfie,Hülya Avsar,1.1,278,"
Biography, Comedy            ",(III) (2018)
Iskilipli Atif Hoca,Mesut Uçakan,6.9,257,"
Biography, Drama            ",(1993)
Zikkimin Kökü,Memduh Ün,7.6,238,"
Biography, Drama            ",(1993)
Mavi sürgün,Erden Kiral,6.3,137,"
Biography, Drama            ",(1993)
Türkan,Cemal San,6.6,122,"
Biography, Drama            ",(2011)
Suç Unsuru,Süleyman Arda Eminçe,6.2,117,"
Biography, Comedy, Crime            ",(2019)
Saruhan,Emre Konuk,7.7,99,"
Action, Biography, Thriller            ",(2016)
Selahattin Eyyubi,Süreyya Duru,4.9,94,"
Biography, History, War            ",(1970)
Afife Jale,Sahin Kaygun,6.7,65,"
Biography            ",(1987)
Karanlik dünya,Metin Erksan,7.2,59,"
Biography, Drama            ",(1952)
Asasiz Musa,Aydin Orak,4.7,55,"
Biography            ",(2014)
Gazi kadin,Osman F. Seden,7.2,54,"
Biography, Romance, War            ",(1973)
Kiziltug - Cengiz Han,Aydin Arakon,6.5,37,"
Adventure, Biography, History            ",(1952)
Çakircali Mehmet Efe,Yilmaz Atadeniz,6.4,30,"
Adventure, Biography, Drama            ",(1969)
Bir Aylak Adam,Özgür Seyben,5.4,29,"
Biography, Comedy, Drama            ",(2013)
Nene Hatun,Avni Kütükoglu,4.4,25,"
Biography            ",(2010)
Trotskiy,Leonid Maryagin,6.4,24,"
Biography, Drama            ",(1994)
Hazreti Ömer'in adaleti,Osman F. Seden,4.5,23,"
Biography, History            ",(1973)
Atçali Kel Mehmet,Hakan Sahin,6.5,15,"
Biography, Drama, History            ",(2017)
Veysel Karani,Hüseyin Peyda,5.5,12,"
Biography, Drama, History            ",(1965)
Rabia: Ilk Kadin Evliya,Süreyya Duru,5.5,11,"
Biography, Drama            ",(1973)
Ömer Hayyam,Tunç Basaran,6.9,11,"
Biography, History            ",(1973)
Cankurtaran Istanbul,Bozkurt Palanduz,7.0,8,"
Biography            ",(2009)
Benden Hikâyesi, ,7.6,7,"
Biography, Drama            ",(2019)
Khromoy dervish,Valeri Akhadov,7.1,7,"
Biography, Drama, History            ",(1987)
Zaloglu Rüstem,Natuk Baytan,4.7,6,"
Action, Adventure, Biography            ",(1973)
Türk Herkül,Ozer Feyzioglu, , ,"
Biography, Drama, Sport            ",(2019)
Neveser,Aylin Unsal Yilmaz, , ,"
Biography, Drama, Music            ",
Gönül sultanlari: Azîz Mahmûd Hüdâyî - Hüdayi yolu,Hüseyin Aydemir, , ,"
Biography, Drama            ",(1993)
Andelip, , , ,"
Biography, Drama, Music            ",
Dokuz Dagin Efesi,T. Fikret Uçak, , ,"
Biography, Drama, History            ",(1978)
Shqipja E Kavkazit: Imam Shamili,Orhan Bal, , ,"
Animation, Biography, History            ",(2012)
Renklerde Kaybolan hayat,Metin Gungor, , ,"
Biography, Drama, Mystery            ",
Ashik,Bilal Babaoglu, , ,"
Biography, Drama, History            ",(2016)
Ka'b Bin Züheyr: Kaside-i bürde sairi,Ahmet Hossöyler, , ,"
Biography, History            ",(1993)
Oruç Reis,Engin Temizer, , ,"
Adventure, Biography, History            ",(1988)
Do you enjoy darkness?,Hasan Karci, , ,"
Biography, Drama            ",(2015)
A Life Lost in Colours,Metin Gungor, , ,"
Biography            ",
Hazreti Bilal-i Habesi,Çetin Inanç, , ,"
Biography, History            ",(1973)
Ilk Adim: 1919,Abdullah Oguz, , ,"
Biography, Drama, History            ",(2019)
Sisters Tale,Nazli Eda Noyan, , ,"
Animation, Biography, Drama            ",
Hazreti Ibrahim,Asaf Tengiz, , ,"
Biography            ",(1972)
Asiklar Kabesi Mevlana'nin Hayati,Hicri Akbasli, , ,"
Biography, Drama            ",(1956)
