Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Enes Batur Hayal mi Gerçek mi?,Kamil Cetin,4.9,52664,"
Comedy            ",(2018)
G.O.R.A.,Ömer Faruk Sorak,8.0,50405,"
Adventure, Comedy, SciFi            ",(2004)
Celal ile Ceren,Togan Gökbakar,2.7,40104,"
Comedy, Romance            ",(2013)
Cumali Ceber: Allah Seni Alsin,Gökhan Gök,1.1,37121,"
Comedy            ",(2017)
Hababam Sinifi,Ertem Egilmez,9.4,34059,"
Comedy, Drama            ",(1975)
A.R.O.G,Ali Taner Baltaci,7.3,32527,"
Comedy, Fantasy, SciFi            ",(2008)
Vizontele,Yilmaz Erdogan,8.0,29074,"
Comedy, Drama            ",(2001)
Pek Yakinda,Cem Yilmaz,7.5,28290,"
Comedy            ",(2014)
Yahsi Bati,Ömer Faruk Sorak,7.4,27006,"
Comedy, Western            ",(2009)
Arif V 216,Kivanç Baruönü,7.3,26993,"
Comedy, SciFi            ",(2018)
Organize Isler,Yilmaz Erdogan,7.4,26619,"
Comedy, Drama            ",(2005)
Hokkabaz,Ali Taner Baltaci,7.4,26615,"
Comedy, Drama            ",(2006)
Recep Ivedik,Togan Gökbakar,4.7,22112,"
Comedy            ",(2008)
Hababam Sinifi Sinifta Kaldi,Ertem Egilmez,9.0,19774,"
Comedy            ",(1976)
Tosun Pasa,Kartal Tibet,9.0,19354,"
Comedy, History            ",(1976)
Kaybedenler Kulübü,Tolga Örnek,7.6,18930,"
Comedy, Drama, Romance            ",(2011)
Her Sey Çok Güzel Olacak,Ömer Vargi,8.2,18912,"
Comedy, Drama            ",(1998)
Dügün Dernek,Selçuk Aydemir,7.2,18497,"
Comedy            ",(2013)
Eyyvah Eyvah,Hakan Algül,7.0,17145,"
Comedy            ",(2010)
Recep Ivedik 2,Togan Gökbakar,4.2,17067,"
Comedy            ",(2009)
Süt Kardesler,Ertem Egilmez,8.9,16911,"
Comedy, Family, Mystery            ",(1976)
Çöpçüler Krali,Zeki Ökten,8.7,16612,"
Comedy, Romance            ",(1977)
Ali Baba ve 7 Cüceler,Cem Yilmaz,5.9,16484,"
Action, Comedy, Drama            ",(2015)
Hababam Sinifi Uyaniyor,Ertem Egilmez,8.8,16444,"
Comedy            ",(1977)
Pardon,Mert Baykal,8.2,16221,"
Comedy, Drama            ",(2005)
Recep Ivedik 3,Togan Gökbakar,4.0,15721,"
Comedy            ",(2010)
Dünyayi Kurtaran Adam'in Oglu,Kartal Tibet,1.7,15195,"
Action, Comedy, SciFi            ",(2006)
Aile Arasinda,Ozan Açiktan,7.8,14940,"
Comedy            ",(2017)
Hababam Sinifi Tatilde,Ertem Egilmez,8.7,14859,"
Adventure, Comedy, Drama            ",(1977)
Saban Oglu Saban,Ertem Egilmez,8.8,14601,"
Comedy, Crime, Mystery            ",(1977)
Recep Ivedik 4,Togan Gökbakar,3.8,13384,"
Comedy            ",(2014)
Bana Masal Anlatma,Burak Aksak,7.6,13148,"
Comedy, Fantasy, Romance            ",(2015)
Kibar Feyzo,Atif Yilmaz,8.7,12978,"
Comedy, Romance            ",(1978)
Vizontele Tuuba,Yilmaz Erdogan,6.5,12695,"
Comedy, Drama            ",(2003)
Ölümlü Dünya,Ali Atay,7.8,12690,"
Action, Comedy            ",(2018)
