Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Eskiya,Yavuz Turgul,8.3,56176,"
Crime, Drama, Thriller            ",(1996)
Whiteout,Dominic Sena,5.5,35799,"
Action, Crime, Horror            ",(2009)
Bir Zamanlar Anadolu'da,Nuri Bilge Ceylan,7.8,35125,"
Crime, Drama            ",(2011)
Av Mevsimi,Yavuz Turgul,7.5,27493,"
Crime, Drama, Mystery            ",(2010)
Kod Adi K.O.Z.,Celal Çimen,1.4,26785,"
Crime, Mystery            ",(2015)
Kabadayi,Ömer Vargi,7.8,17525,"
Action, Crime, Drama            ",(2007)
Saban Oglu Saban,Ertem Egilmez,8.8,14601,"
Comedy, Crime, Mystery            ",(1977)
Gemide,Serdar Akar,8.1,11093,"
Crime, Drama            ",(1998)
Itirazim Var,Onur Ünlü,7.9,9936,"
Action, Crime, Drama            ",(2014)
Barda,Serdar Akar,7.0,9701,"
Crime, Drama, Thriller            ",(2007)
Agir Roman,Mustafa Altioklar,7.7,8747,"
Crime, Drama, Romance            ",(1997)
Behzat Ç.: Seni Kalbime Gömdüm,Serdar Akar,7.7,8562,"
Action, Crime, Mystery            ",(2011)
Baskin,Can Evrenol,5.8,7582,"
Crime, Drama, Fantasy            ",(2015)
Mavi Boncuk,Ertem Egilmez,7.9,7148,"
Comedy, Crime, Drama            ",(1974)
Zübük,Kartal Tibet,8.4,6445,"
Comedy, Crime            ",(1980)
Uçurtmayi Vurmasinlar,Tunç Basaran,8.4,5475,"
Crime, Drama            ",(1989)
Polis,Onur Ünlü,6.7,5234,"
Action, Comedy, Crime            ",(2007)
Behzat Ç. Ankara Yaniyor,Serdar Akar,7.5,4987,"
Action, Adventure, Crime            ",(2013)
Salako,Atif Yilmaz,7.4,4906,"
Adventure, Comedy, Crime            ",(1974)
Sen Kimsin?,Ozan Açiktan,5.1,4565,"
Comedy, Crime            ",(2012)
Tokatçi,Natuk Baytan,7.8,4357,"
Comedy, Crime            ",(1983)
Ejder Kapani,Ugur Yücel,6.5,4326,"
Action, Crime, Thriller            ",(2010)
Maskeli Besler: Intikam Pesinde,Murat Aslan,4.2,4246,"
Comedy, Crime            ",(2005)
Vali,Çagatay Tosun,7.4,4170,"
Action, Crime, Drama            ",(2009)
Kurtlar Vadisi: Gladio,Sadullah Sentürk,6.0,3952,"
Action, Crime, Drama            ",(2009)
Atla Gel Saban,Natuk Baytan,7.6,3815,"
Comedy, Crime, Drama            ",(1984)
Semum,Hasan Karacadag,5.2,3721,"
Crime, Fantasy, Horror            ",(2008)
Musallat,Alper Mestçi,6.1,3713,"
Crime, Fantasy, Horror            ",(2007)
Panzehir,Alper Caglar,7.2,3467,"
Action, Crime, Drama            ",(2014)
Cingöz Recai,Onur Ünlü,5.0,3075,"
Action, Comedy, Crime            ",(2017)
Insaat,Ömer Vargi,7.2,3053,"
Comedy, Crime, Drama            ",(2003)
Anayurt Oteli,Ömer Kavur,7.7,2900,"
Crime, Drama, Thriller            ",(1987)
Hirsiz Var!,Oguzhan Tercan,4.3,2888,"
Adventure, Comedy, Crime            ",(2005)
Celal Tan ve Ailesinin Asiri Acikli Hikayesi,Onur Ünlü,6.5,2730,"
Comedy, Crime, Drama            ",(2011)
Çiçero,Serdar Akar,6.6,2523,"
Action, Crime, Drama            ",(2019)
Tarzan Rifki,Natuk Baytan,6.6,2475,"
Comedy, Crime            ",(1986)
Kurtlar Vadisi: Vatan,Serdar Akar,4.5,2432,"
Action, Crime, Drama            ",(2017)
Beyza'nin Kadinlari,Mustafa Altioklar,6.2,2376,"
Crime, Drama, Mystery            ",(2006)
Azize: Bir Laleli Hikayesi,Kudret Sabanci,7.0,2270,"
Crime, Drama, Thriller            ",(1999)
Fasulye,Bora Tekay,7.2,2229,"
Comedy, Crime            ",(2000)
Varyemez,Orhan Aksoy,6.7,2185,"
Comedy, Crime, Drama            ",(1991)
Labirent,Tolga Örnek,6.8,2039,"
Action, Crime, Drama            ",(2011)
Pars: Kiraz operasyonu,Osman Sinav,6.0,1829,"
Action, Crime, Drama            ",(2007)
The Castle of Fu Manchu,Jesús Franco,2.8,1679,"
Adventure, Crime, Horror            ",(1969)
Destere,Ahmet T. Uygun,2.6,1649,"
Comedy, Crime            ",(2008)
Otobüs,Tunç Okan,7.6,1571,"
Comedy, Crime, Drama            ",(1975)
Daha,Onur Saylak,7.1,1563,"
Crime, Drama            ",(2017)
Tschiller: Off Duty,Christian Alvart,4.1,1452,"
Action, Crime, Thriller            ",(2016)
9,Ümit Ünal,7.7,1447,"
Crime, Mystery, Drama            ",(2002)
Banyo,Mustafa Altioklar,3.9,1433,"
Crime            ",(2005)
Çakal,Erhan Kozan,6.6,1386,"
Crime            ",(2010)
Baska Semtin Çocuklari,Aydin Bulut,6.7,1249,"
Action, Crime, Drama            ",(2008)
O simdi mahkum,Abdullah Oguz,5.7,1249,"
Comedy, Crime            ",(2005)
Zehir Hafiye,Orhan Aksoy,6.4,1051,"
Adventure, Comedy, Crime            ",(1989)
Silsile,Ozan Açiktan,6.5,993,"
Crime, Drama, Thriller            ",(2014)
Ben O Degilim,Tayfun Pirselimoglu,6.6,681,"
Crime, Drama, Thriller            ",(2013)
Hep Yek 2,Orçun Benli,4.2,662,"
Comedy, Crime            ",(2017)
Nokta,Dervis Zaim,6.8,637,"
Crime, Drama, Thriller            ",(2008)
Kabuslar evi - Takip,Çagan Irmak,5.9,593,"
Crime, Horror            ",(2006)
Hudutlarin Kanunu,Lütfi Akad,7.0,586,"
Crime, Drama            ",(1966)
Süper Ajan K9,Bülent Isbilen,1.5,568,"
Comedy, Crime            ",(2008)
Zincirbozan,Atil Inaç,5.7,559,"
Crime, Drama            ",(2007)
Üç kagitçilar,Natuk Baytan,7.0,541,"
Action, Comedy, Crime            ",(1976)
3 dev adam,T. Fikret Uçak,4.3,535,"
Action, Crime, SciFi            ",(1973)
Omiros,Constantine Giannaris,6.1,498,"
Crime, Drama, Thriller            ",(2005)
Kabuslar Evi - Hayal-i Cihan,Çagan Irmak,6.5,494,"
Crime            ",(2006)
Umutsuzlar,Yilmaz Güney,7.2,491,"
Crime, Drama, Romance            ",(1971)
Agit,Yilmaz Güney,7.3,456,"
Crime, Drama, Western            ",(1972)
Karisik pizza,Umur Turagay,5.8,454,"
Comedy, Crime, Thriller            ",(1998)
Kabuslar evi - Son dans,Çagan Irmak,5.8,417,"
Crime            ",(2006)
Kabuslar evi - Kaçan Firsatlar Limited,Uluç Bayraktar,6.5,332,"
Crime            ",(2006)
Kolay para,Ercan Durmus,4.5,328,"
Action, Comedy, Crime            ",(2002)
Karateci Kiz,Orhan Aksoy,4.0,309,"
Action, Crime, Drama            ",(1973)
Baraj,Orhan Aksoy,6.8,280,"
Crime, Drama, Romance            ",(1977)
Iste hayat,Atif Yilmaz,6.1,277,"
Comedy, Crime, Drama            ",(1975)
Sicak,Abdullah Oguz,4.9,273,"
Action, Crime, Drama            ",(2008)
Kabuslar evi - Seni beklerken,Cevdet Mercan,5.9,254,"
Crime            ",(2006)
Kabuslar evi - Karanliktan gelen,Uluç Bayraktar,5.8,254,"
Crime            ",(2006)
Alin yazisi,Orhan Aksoy,7.2,252,"
Crime, Drama            ",(1972)
