Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Dag II,Alper Caglar,9.1,101109,"
Action, Drama, War            ",(2016)
Reis,Hüdaverdi Yavuz,1.6,71924,"
Biography, Drama            ",(2017)
Babam ve Oglum,Çagan Irmak,8.3,68950,"
Drama, Family            ",(2005)
Eskiya,Yavuz Turgul,8.3,56176,"
Crime, Drama, Thriller            ",(1996)
Fetih 1453,Faruk Aksoy,6.9,54886,"
Action, Drama, History            ",(2012)
Gegen die Wand,Fatih Akin,7.9,47502,"
Drama, Romance            ",(2004)
Kis Uykusu,Nuri Bilge Ceylan,8.2,37677,"
Drama            ",(2014)
Bir Zamanlar Anadolu'da,Nuri Bilge Ceylan,7.8,35125,"
Crime, Drama            ",(2011)
Hababam Sinifi,Ertem Egilmez,9.4,34059,"
Comedy, Drama            ",(1975)
Mustang,Deniz Gamze Ergüven,7.6,31320,"
Drama            ",(2015)
Nefes: Vatan Sagolsun,Levent Semerci,8.1,29764,"
Action, Drama, Thriller            ",(2009)
Vizontele,Yilmaz Erdogan,8.0,29074,"
Comedy, Drama            ",(2001)
Auf der anderen Seite,Fatih Akin,7.8,29023,"
Drama            ",(2007)
Av Mevsimi,Yavuz Turgul,7.5,27493,"
Crime, Drama, Mystery            ",(2010)
Ayla: The Daughter of War,Can Ulkay,8.6,27410,"
Biography, Drama, History            ",(2017)
Organize Isler,Yilmaz Erdogan,7.4,26619,"
Comedy, Drama            ",(2005)
Hokkabaz,Ali Taner Baltaci,7.4,26615,"
Comedy, Drama            ",(2006)
The Ottoman Lieutenant,Joseph Ruben,6.6,22863,"
Drama, War            ",(2017)
Kaybedenler Kulübü,Tolga Örnek,7.6,18930,"
Comedy, Drama, Romance            ",(2011)
Her Sey Çok Güzel Olacak,Ömer Vargi,8.2,18912,"
Comedy, Drama            ",(1998)
Dag,Alper Caglar,7.9,17700,"
Adventure, Drama, Thriller            ",(2012)
Üç Maymun,Nuri Bilge Ceylan,7.4,17665,"
Drama            ",(2008)
Kabadayi,Ömer Vargi,7.8,17525,"
Action, Crime, Drama            ",(2007)
Kelebegin Rüyasi,Yilmaz Erdogan,7.8,17252,"
Biography, Drama, History            ",(2013)
Issiz Adam,Çagan Irmak,6.8,16828,"
Drama, Romance            ",(2008)
Ali Baba ve 7 Cüceler,Cem Yilmaz,5.9,16484,"
Action, Comedy, Drama            ",(2015)
Pardon,Mert Baykal,8.2,16221,"
Comedy, Drama            ",(2005)
Kurtlar Vadisi: Irak,Serdar Akar,5.8,16169,"
Action, Drama, War            ",(2006)
Uzak,Nuri Bilge Ceylan,7.6,16162,"
Drama            ",(2002)
Ask Tesadüfleri Sever,Ömer Faruk Sorak,7.3,15676,"
Drama, Romance            ",(2011)
Hababam Sinifi Tatilde,Ertem Egilmez,8.7,14859,"
Adventure, Comedy, Drama            ",(1977)
Five Minarets in New York,Mahsun Kirmizigül,5.8,13788,"
Action, Drama            ",(2010)
Selvi Boylum Al Yazmalim,Atif Yilmaz,8.7,13476,"
Drama, Romance            ",(1977)
Ahlat Agaci,Nuri Bilge Ceylan,8.2,12887,"
Drama            ",(2018)
Masumiyet,Zeki Demirkubuz,8.3,12754,"
Drama            ",(1997)
Vizontele Tuuba,Yilmaz Erdogan,6.5,12695,"
Comedy, Drama            ",(2003)
Zügürt Aga,Nesli Çölgeçen,8.7,12271,"
Comedy, Drama            ",(1985)
Politiki kouzina,Tassos Boulmetis,7.5,12210,"
Comedy, Drama            ",(2003)
Gemide,Serdar Akar,8.1,11093,"
Crime, Drama            ",(1998)
Yol,Serif Gören,8.2,10957,"
Drama            ",(1982)
Takva,Özer Kiziltan,7.5,10822,"
Drama            ",(2006)
