Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Babam ve Oglum,Çagan Irmak,8.3,68950,"
Drama, Family            ",(2005)
Süt Kardesler,Ertem Egilmez,8.9,16911,"
Comedy, Family, Mystery            ",(1976)
Neseli Günler,Orhan Aksoy,8.8,8448,"
Comedy, Drama, Family            ",(1978)
Dedemin Insanlari,Çagan Irmak,8.0,7860,"
Comedy, Drama, Family            ",(2011)
Berlin Kaplani,Hakan Algül,5.2,5973,"
Comedy, Family, Sport            ",(2012)
Gülen Gözler,Ertem Egilmez,8.5,5317,"
Comedy, Drama, Family            ",(1977)
Karpuz Kabugundan Gemiler Yapmak,Ahmet Uluçay,7.9,5001,"
Comedy, Drama, Family            ",(2004)
Bizim Aile,Ergin Orbey,8.4,4759,"
Comedy, Drama, Family            ",(1975)
Inek Saban,Osman F. Seden,7.7,3431,"
Comedy, Family, Romance            ",(1978)
Deliha,Hakan Algül,4.6,3145,"
Comedy, Family, Romance            ",(2014)
Sultan,Kartal Tibet,7.6,2901,"
Family, Comedy, Romance            ",(1978)
Aile Serefi,Orhan Aksoy,8.1,2688,"
Drama, Family            ",(1976)
Sosyete Saban,Kartal Tibet,7.0,2607,"
Comedy, Drama, Family            ",(1985)
Dedemin Fisi,Meltem Bozoflu,5.6,2567,"
Comedy, Family            ",(2016)
Oh Olsun,Ertem Egilmez,7.3,2278,"
Comedy, Family, Romance            ",(1973)
Gurbetçi Saban,Kartal Tibet,6.7,2254,"
Family, Comedy, Drama            ",(1985)
En Büyük Saban,Kartal Tibet,6.8,2144,"
Comedy, Drama, Family            ",(1983)
Görümce,Kivanç Baruönü,5.1,1896,"
Comedy, Family, Romance            ",(2016)
Mommo,Atalay Tasdiken,7.7,1632,"
Drama, Family            ",(2009)
Piano Piano Bacaksiz,Tunç Basaran,7.8,1457,"
Comedy, Drama, Family            ",(1991)
Rüzgar,Serkan Acar,5.8,1147,"
Comedy, Family, Romance            ",(2018)
Drawers,Caner Alper,7.1,920,"
Drama, Family, Mystery            ",(2015)
Kusursuzlar,Ramin Matin,6.3,732,"
Drama, Family, Mystery            ",(2013)
Türev,Ulas Inan Inaç,6.5,724,"
Drama, Family, Romance            ",(2005)
Hayat sevince güzel,Temel Gürsu,5.7,687,"
Family, Comedy, Drama            ",(1971)
Kuzu,Kutlug Ataman,6.6,580,"
Drama, Family            ",(2014)
Durusma,Yalçin Yelence,5.7,535,"
Family, Comedy, Romance            ",(1999)
Çocuk,Onur Ünlü,2.9,488,"
Adventure, Comedy, Family            ",(2008)
Oflu Hoca'nin Sifresi 3,Serkan Karaarslan,4.5,471,"
Adventure, Comedy, Family            ",(2018)
Merdiven baba,Hasan Tolga Pulat,5.2,445,"
Comedy, Drama, Family            ",(2015)
Her Gönülde Bir Aslan Yatar,Osman F. Seden,6.7,392,"
Comedy, Drama, Family            ",(1976)
Yumurcak,Türker Inanoglu,4.8,371,"
Comedy, Drama, Family            ",(1969)
Aysecik ile Ömercik,Orhan Aksoy,5.0,360,"
Drama, Family            ",(1969)
Mavi bisiklet,Ümit Köreken,6.7,357,"
Drama, Family            ",(2016)
Rauf,Soner Caner,6.8,351,"
Drama, Family, Romance            ",(2016)
Locman,Sukru Alacam,5.9,345,"
Drama, Family            ",(2018)
El Degmemis Ask,Umut Kirca,5.7,344,"
Comedy, Family, Romance            ",(2016)
Bizim Köyün Sarkisi,Tugçe Soysop,6.2,339,"
Comedy, Family            ",(2018)
Pamuk Prenses ve 7 cüceler,Ertem Göreç,4.9,332,"
Family, Fantasy            ",(1970)
Sahmaran,Zülfü Livaneli,6.4,322,"
Adventure, Family            ",(1994)
Annemin Sarkisi,Erol Mintas,6.5,317,"
Drama, Family            ",(2014)
Babamin Sesi,Orhan Eskiköy,6.5,302,"
Drama, Family            ",(2012)
Aykut Eniste,Onur Bilgetay,7.4,289,"
Comedy, Family            ",(2019)
Karsilasma,Ömer Kavur,6.9,284,"
Drama, Family            ",(2003)
Bal Kaymak,Onur Tan,5.5,280,"
Comedy, Drama, Family            ",(2018)
Berdel,Atif Yilmaz,7.0,259,"
Drama, Family, Romance            ",(1990)
Gözümün nûru,Hakki Kurtulus,6.0,251,"
Comedy, Drama, Family            ",(2013)
Sultan gelin,Halit Refig,7.0,240,"
Drama, Family            ",(1973)
Aysecik ve sihirli cüceler rüyalar ülkesinde,Tunç Basaran,4.6,229,"
Adventure, Family, Fantasy            ",(1971)
Gelinlik kizlar,Atif Yilmaz,6.0,191,"
Drama, Family            ",(1972)
Özgür Dünya,Faruk Aksoy,2.1,164,"
Action, Adventure, Family            ",(2019)
Bücür,Umut Kirca,4.9,153,"
Comedy, Family            ",(2018)
Sokagin Çocuklari,Ahmet Faik Akinci,8.4,152,"
Drama, Family            ",(2019)
Gülsah küçük anne,Orhan Elmas,4.5,150,"
Drama, Family            ",(1976)
Aysecik - Yuvanin bekcileri,Aram Gülyüz,5.1,137,"
Drama, Family            ",(1969)
Genç pehlivanlar,Mete Gümürhan,6.5,136,"
Family            ",(2016)
Lost Birds,Ela Alyamac,6.7,135,"
Drama, Family            ",(2015)
Can Dostlar,Tugçe Soysop,5.3,117,"
Comedy, Family            ",(2019)
Aysecik çiti piti kiz,Hulki Saner,5.3,115,"
Drama, Family            ",(1964)
Kaynanalar,Zeki Ökten,6.2,114,"
Family, Comedy            ",(1975)
Aysecik canimin içi,Hulki Saner,5.1,112,"
Comedy, Family, Romance            ",(1963)
Ferahfeza,Elif Refig,4.7,102,"
Adventure, Family, Romance            ",(2013)
Soguktu ve yagmur çiseliyordu,Engin Ayça,7.0,101,"
Drama, Family, Romance            ",(1990)
Yavrum,Orhan Aksoy,5.5,98,"
Drama, Family            ",(1970)
Aysecik,Memduh Ün,5.3,87,"
Drama, Family            ",(1960)
Ayas,Hüseyin Emre Konyali,6.0,83,"
Animation, Family            ",(2013)
Bütün anneler melektir,Orhan Aksoy,5.5,82,"
Family, Drama            ",(1971)
PesPese,Ertan Velimatti Alagoz,5.4,74,"
Drama, Family, Romance            ",(2010)
Afacan harika çocuk,Ülkü Erakalin,4.6,72,"
Drama, Family            ",(1973)
Köstebekgiller: Perili Orman,Mustafa Kotan,4.3,70,"
Family            ",(2015)
Yumurcagin tatli rüyalari,Türker Inanoglu,4.9,69,"
Adventure, Drama, Family            ",(1971)
82 dagen in april,Bart Van den Bempt,5.9,64,"
Drama, Family            ",(2013)
Umut apartmani,Ümit Cihan Canpolat,6.7,60,"
Drama, Family            ",(2015)
Misafir,Mehmet Eryilmaz,4.5,59,"
Drama, Family, Mystery            ",(2015)
Masa ile Koca Ayi,Dogukan Manco,8.1,57,"
Animation, Family            ",(2017)
Yemekteydik ve karar verdim,Görkem Yeltan,4.2,55,"
Drama, Family            ",(2015)
Pepee: Birlik zamani,Hüseyin Emre Konyali,4.6,52,"
Animation, Adventure, Family            ",(2016)
Off Karadeniz,Nur Dolay,4.8,52,"
Comedy, Family, Music            ",(2010)
Kirik çanaklar,Memduh Ün,7.5,50,"
Drama, Family            ",(1960)
Yeni baslayanlar için hayatta kalma sanati,Burak Serbest,5.9,49,"
Drama, Family            ",(2017)
Derin Düsün-ce,Çagatay Tosun,5.6,49,"
Crime, Drama, Family            ",(2013)
Yasam kavgasi,Halit Refig,6.2,49,"
Drama, Family            ",(1978)
Adanali Tayfur kardesler,Zafer Davutoglu,5.8,49,"
Family, Comedy            ",(1964)
Aysecik - Seytan cekici,Atif Yilmaz,4.7,49,"
Drama, Family            ",(1960)
Köstebekgiller 2: Gölge'nin Tilsimi,Kudret Sabanci,3.4,45,"
Animation, Comedy, Family            ",(2016)
Aysecik - Canim annem,Aram Gülyüz,4.6,44,"
Drama, Family            ",(1967)
Sokak Kizi,Ülkü Erakalin,5.9,41,"
Drama, Family            ",(1966)
Miraç,Nurten Erdemir,4.2,40,"
Comedy, Drama, Family            ",(2017)
Öksüz kiz,Orhan Aksoy,5.6,36,"
Family, Comedy, Romance            ",(1964)
Aysecik - Fakir Prenses,Ertem Göreç,4.2,32,"
Family            ",(1963)
Benim Küçük Sözlerim,Bekir Bülbül,7.1,30,"
Drama, Family            ",(2018)
