Name,Director,IMDB Rating,Number Of Votes,Genres,Year
A.R.O.G,Ali Taner Baltaci,7.3,32527,"
Comedy, Fantasy, SciFi            ",(2008)
Bana Masal Anlatma,Burak Aksak,7.6,13148,"
Comedy, Fantasy, Romance            ",(2015)
Sen Aydinlatirsin Geceyi,Onur Ünlü,8.0,7918,"
Drama, Fantasy, Romance            ",(2013)
Baskin,Can Evrenol,5.8,7582,"
Crime, Drama, Fantasy            ",(2015)
Kutsal Damacana,Kamil Aydin,5.0,7345,"
Comedy, Fantasy, Horror            ",(2007)
Sarmasik,Tolga Karaçelik,8.0,6551,"
Drama, Fantasy, Thriller            ",(2015)
Evim Sensin,Özcan Deniz,5.0,4898,"
Fantasy, Romance            ",(2012)
Günesin Oglu,Onur Ünlü,7.1,4588,"
Comedy, Fantasy            ",(2008)
Kosmos,Reha Erdem,7.2,4304,"
Drama, Fantasy            ",(2009)
Ulak,Çagan Irmak,6.8,4207,"
Fantasy, Mystery            ",(2008)
Kocan Kadar Konus,Kivanç Baruönü,6.3,3978,"
Comedy, Drama, Fantasy            ",(2015)
Kutsal Damacana 2: Itmen,Korhan Bozkurt,2.8,3876,"
Action, Comedy, Fantasy            ",(2010)
Semum,Hasan Karacadag,5.2,3721,"
Crime, Fantasy, Horror            ",(2008)
Musallat,Alper Mestçi,6.1,3713,"
Crime, Fantasy, Horror            ",(2007)
Il mondo di Yor,Antonio Margheriti,4.4,2524,"
Action, Adventure, Fantasy            ",(1983)
Kocan Kadar Konus: Dirilis,Kivanç Baruönü,5.9,2302,"
Comedy, Drama, Fantasy            ",(2016)
Gölge Oyunu,Yavuz Turgul,7.9,2141,"
Drama, Fantasy            ",(1993)
El-Cin,Hasan Karacadag,5.2,2104,"
Drama, Fantasy, Horror            ",(2013)
Küçük Kiyamet,Durul Taylan,6.3,2052,"
Drama, Fantasy, Horror            ",(2006)
B.O.K.: Bi O Kalmisti,Burak Babayigit,4.5,1745,"
Comedy, Fantasy            ",(2016)
8 Seconds,Ömer Faruk Sorak,6.5,1694,"
Biography, Drama, Fantasy            ",(2015)
Tarkan: Viking Kani,Mehmet Aslan,6.4,1650,"
Action, Adventure, Fantasy            ",(1971)
Ali Baba ve Kirk Haramiler,Nuri Ergün,6.8,1630,"
Comedy, Fantasy            ",(1971)
Aaahh Belinda,Atif Yilmaz,7.7,1625,"
Comedy, Fantasy            ",(1986)
Kutsal Damacana 3: Dracoola,Korhan Bozkurt,2.4,1476,"
Adventure, Comedy, Fantasy            ",(2011)
Keloglan,Süreyya Duru,6.5,1184,"
Comedy, Fantasy            ",(1971)
Gölgesizler,Ümit Ünal,6.6,1117,"
Drama, Fantasy, Mystery            ",(2009)
Arkadasim Seytan,Atif Yilmaz,7.1,1077,"
Comedy, Fantasy, Musical            ",(1988)
Bay E,Sinan Çetin,2.8,1000,"
Comedy, Fantasy, Thriller            ",(1995)
Kara Murat: Fatih'in Fermani,Natuk Baytan,6.2,992,"
Action, Adventure, Fantasy            ",(1973)
Abuk Sabuk 1 Film,Serif Gören,6.5,809,"
Comedy, Drama, Fantasy            ",(1990)
Tut Sözünü,Oguz Celik,5.7,795,"
Comedy, Fantasy            ",(2015)
Gomeda,Tan Tolga Demirci,2.2,748,"
Fantasy, Horror, Thriller            ",(2007)
Hayalet Dayi,Ali Yorgancioglu,4.8,652,"
Comedy, Fantasy            ",(2015)
"My Name is Batlir, not Butler",Stare Yildirim,8.3,644,"
Comedy, Drama, Fantasy            ",(2018)
Adi Vasfiye,Atif Yilmaz,7.4,624,"
Drama, Fantasy            ",(1985)
Git Basimdan,Sahin Altug,5.1,553,"
Comedy, Fantasy, Romance            ",(2015)
Yesil isik,Faruk Aksoy,3.2,512,"
Comedy, Drama, Fantasy            ",(2002)
Nihavend mucize,Atif Yilmaz,4.4,505,"
Comedy, Fantasy            ",(1997)
Sifir dedigimde,Gokhan Yorgancigil,5.9,486,"
Drama, Fantasy, Mystery            ",(2007)
Süpermen Dönüyor,Kunt Tulgar,3.8,474,"
Adventure, Fantasy, SciFi            ",(1979)
Firildak Ailesi,Haluk Can Dizdaroglu,4.2,372,"
Animation, Comedy, Fantasy            ",(2017)
Drakula Istanbul'da,Mehmet Muhtar,6.7,351,"
Fantasy, Horror            ",(1953)
Pamuk Prenses ve 7 cüceler,Ertem Göreç,4.9,332,"
Family, Fantasy            ",(1970)
"Hayallerim, Askim ve Sen",Atif Yilmaz,7.1,312,"
Drama, Fantasy, Romance            ",(1987)
Kabuslar evi - Tanidik yabanci,Uluç Bayraktar,5.6,253,"
Fantasy, Mystery            ",(2006)
Aysecik ve sihirli cüceler rüyalar ülkesinde,Tunç Basaran,4.6,229,"
Adventure, Family, Fantasy            ",(1971)
Kilink Istanbul'da,Yilmaz Atadeniz,6.1,217,"
Adventure, Crime, Fantasy            ",(1967)
Evliya Çelebi ve Ölümsüzlük Suyu,Serkan Zelzele,5.4,191,"
Animation, Comedy, Fantasy            ",(2014)
Homoti,Müjdat Gezen,3.2,189,"
Comedy, Fantasy            ",(1987)
Karanlik sular,Kutlug Ataman,5.9,184,"
Fantasy, Horror            ",(1994)
Maruf,Serdar Akar,5.2,163,"
Drama, Fantasy, Mystery            ",(2001)
Mavi Gece,Ahmet Hossöyler,4.2,156,"
Comedy, Fantasy            ",(2015)
Sinderella külkedisi,Süreyya Duru,4.7,145,"
Fantasy            ",(1971)
Birds Like Us,Faruk Sabanovic,6.2,117,"
Animation, Adventure, Fantasy            ",(2017)
Pantalon Bankasi,Aram Gülyüz,6.7,116,"
Comedy, Fantasy            ",(1965)
Adsiz cengaver,Halit Refig,5.5,110,"
Adventure, Fantasy            ",(1970)
Malkoçoglu - kurt bey,Süreyya Duru,4.6,103,"
Action, Adventure, Fantasy            ",(1972)
Genco,Ali Kemal Çinar,3.9,94,"
Drama, Fantasy            ",(2017)
Süper Selami,Yilmaz Atadeniz,5.8,86,"
Comedy, Fantasy            ",(1979)
Kilink soy ve öldür,Yilmaz Atadeniz,6.8,86,"
Adventure, Crime, Fantasy            ",(1967)
Keloglan,Süleyman Mert Özdemir,5.1,85,"
Comedy, Fantasy            ",(2018)
Küçük cadi,Nejat Saydam,5.5,84,"
Comedy, Fantasy            ",(1975)
Seninki kaç para?,Hakki Görgülü,4.2,81,"
Comedy, Drama, Fantasy            ",(2012)
Üç süpermen olimpiyatlarda,Yavuz Yalinkiliç,4.1,71,"
Action, Adventure, Fantasy            ",(1984)
Üçüncü göz,Orhan Oguz,7.2,68,"
Drama, Fantasy            ",(1988)
Demir Yumruk: Devler geliyor,Tunç Basaran,6.3,63,"
Adventure, Fantasy            ",(1970)
Uzun Ince Bir Yol,Tunç Basaran,6.8,53,"
Drama, Fantasy            ",(1991)
Casus Kiran,Yilmaz Atadeniz,6.4,46,"
Adventure, Fantasy            ",(1968)
Bagdat hirsizi,Ertem Göreç,5.3,44,"
Adventure, Fantasy            ",(1968)
Isa Musa Meryem,Faruk Turgut,7.4,43,"
Drama, Fantasy            ",(1989)
Keloglan,Yavuz Yalinkiliç,5.7,42,"
Comedy, Fantasy            ",(1965)
Demir pençe (korsan adam),Çetin Inanç,5.7,41,"
Adventure, Fantasy            ",(1969)
Altin Prens devler ülkesinde,Muharrem Gürses,5.7,39,"
Adventure, Fantasy            ",(1971)
Cici Can,Ertem Göreç,5.4,38,"
Adventure, Comedy, Fantasy            ",(1963)
Ningen,Guillaume Giovanetti,6.7,37,"
Drama, Fantasy            ",(2013)
Cinayet-i Ask,Ahmet Küçükkayali,3.4,36,"
Fantasy, Horror, Thriller            ",(2017)
Kral Yolu,Serli Seta Nisanyan,4.3,36,"
Action, Comedy, Fantasy            ",(2013)
Sehzade Sinbad kaf daginda,Muharrem Gürses,6.1,31,"
Drama, Fantasy            ",(1971)
Minik cadi,Nejat Saydam,5.2,30,"
Comedy, Fantasy, Romance            ",(1975)
Cilali Ibo ve kirk haramiler,Mehmet Dinler,3.7,30,"
Comedy, Fantasy            ",(1964)
Cilali Ibo perili köskte,Nuri Ergün,4.1,28,"
Comedy, Fantasy, Horror            ",(1960)
Süper adam,Cavit Yürüklü,4.2,28,"
Adventure, Fantasy, SciFi            ",(1971)
Süper adam Istanbul'da,Yavuz Yalinkiliç,5.8,28,"
Action, Fantasy            ",(1972)
Altar,Remzi Jöntürk,5.3,26,"
Adventure, Fantasy            ",(1985)
Çifte tabancali damat,Nuri Ergün,5.4,25,"
Comedy, Fantasy            ",(1967)
Nokta ile Virgül: Saskin milyonerler,Aram Gülyüz,3.5,24,"
Comedy, Fantasy            ",(1980)
Kizil maske,Çetin Inanç,5.9,24,"
Adventure, Crime, Fantasy            ",(I) (1968)
Ferhat ile Sirin,Nuri Akinci,5.5,21,"
Drama, Fantasy, Romance            ",(1966)
Cengiz han'in fedaisi,Yücel Uçanoglu,5.5,20,"
Fantasy            ",(1973)
Watchman,Durmus Akbulut,4.9,19,"
Comedy, Drama, Fantasy            ",(2018)
Kizil maske,Tolgay Ziyal,6.1,19,"
Adventure, Crime, Fantasy            ",(II) (1968)
Ikibin yilin sevgilisi,Ertem Göreç,6.3,19,"
Drama, Fantasy, Romance            ",(1973)
Soluk gecenin ask hikayeleri,Alp Zeki Heper,7.7,17,"
Drama, Fantasy, Romance            ",(1966)
Land of Light,David Ruf,7.5,16,"
Adventure, Drama, Fantasy            ",(2016)
Saskin Hafiye Kilink'e karsi,Natuk Baytan,4.9,16,"
Adventure, Comedy, Fantasy            ",(1967)
Sihirbazlar Krali Mandrake Killing'in pesinde,Oksal Pekmezoglu,5.7,15,"
Adventure, Fantasy            ",(1967)
Harun Resid'in gözdesi,Atif Yilmaz,5.4,14,"
Adventure, Fantasy            ",(1967)
Demir pençe casuslar savasi,Çetin Inanç,6.4,14,"
Adventure, Fantasy            ",(1969)
For the Blinds,Ozan Adam,6.4,12,"
Adventure, Fantasy, SciFi            ",(2014)
Atlihan,Naki Yurter,3.7,11,"
Action, Fantasy, History            ",(1973)
Binbir gece masallari,Ertem Göreç,5.9,11,"
Fantasy            ",(1972)
Fall of Lotus: A Star Wars Story,Tarik Hatipoglu,7.5,10,"
Action, Adventure, Fantasy            ",(2018)
Kuluçka,Mehmet Selçuk Bilge,5.8,10,"
Fantasy, Mystery, SciFi            ",(2017)
Sevdali kabadayi,Aram Gülyüz,5.2,10,"
Comedy, Fantasy            ",(1966)
Fantoma Istanbul'da bulusalim,Natuk Baytan,6.5,10,"
Adventure, Fantasy            ",(1967)
Alâaddin'in lâmbasi,Natuk Baytan,5.2,10,"
Fantasy            ",(1971)
Bogac Han,Atilla Candemir,6.4,9,"
Action, Drama, Fantasy            ",(2008)
Kilink Frankestayn ve Dr. No'ya Karsi,Nuri Akinci,4.4,8,"
Adventure, Fantasy, Horror            ",(1968)
Pembe Panter \ Temel Reis: Gangsterlere karsi,Oguz Gözen,4.3,7,"
Adventure, Comedy, Fantasy            ",(1975)
Üç kral serseri,Tunç Basaran,6.8,5,"
Fantasy            ",(1970)
Landscape at Noon,Roy Samaha, , ,"
Adventure, Fantasy            ",(2017)
Memo: Kirlangiç tepesi,Ersin Burak, , ,"
Adventure, Fantasy            ",(1986)
The Evil Marriage,Abrar Rana, , ,"
Adventure, Fantasy, Horror            ",(2019)
Wereminds,Aleksey Zalevskiy, , ,"
Drama, Fantasy, SciFi            ",
Nomad,Emir Mavitan, , ,"
Drama, Fantasy, Thriller            ",(III) (2017)
Wise Man and Others,Sadik Demiroz, , ,"
Crime, Drama, Fantasy            ",(2016)
O - Land,Emir Orhan Kilic, , ,"
Comedy, Fantasy            ",(2014)
Nemrud,Muharrem Gürses, , ,"
Drama, Fantasy, History            ",(1979)
Silaha yeminliydim,Ugur Duru, , ,"
Adventure, Fantasy, War            ",(1987)
Ne Gelen Var Ne Giden...,Gürhan Özçiftç, , ,"
Fantasy, Horror, Mystery            ",(2013)
Mesopotamia,Weston Cage Coppola, , ,"
Adventure, Drama, Fantasy            ",
Adana: Grief of the Certainty That I Will Kill Myself,Emir Togrul, , ,"
Drama, Fantasy, Mystery            ",(2011)
Third World,Metin Kuru, , ,"
Adventure, Drama, Fantasy            ",(2019)
Witch Trilogy 18+,Ceylan Özgün Özçelik, , ,"
Comedy, Fantasy, Mystery            ",
Sahinler diyari,Ilhan Arakon, , ,"
Fantasy            ",(1971)
Sari çizmeli,Orhon M. Ariburnu, , ,"
Fantasy            ",(1969)
Mihracenin gözdesi,Yavuz Figenli, , ,"
Fantasy, Romance            ",(1969)
Sehzade Murat ve Gülnaz Sultan,Nuri Akinci, , ,"
Fantasy, Romance            ",(1966)
Oduncunun çocuklari,Nuran Sener, , ,"
Comedy, Fantasy            ",(1966)
Killing ölüler konusmaz,Yavuz Figenli, , ,"
Adventure, Crime, Fantasy            ",(1967)
Kaplan kadin dehset adasi,Kayahan Arikan, , ,"
Fantasy            ",(1972)
Kalbe vuran düsman,Atif Yilmaz, , ,"
Drama, Fantasy, Romance            ",(1964)
Günahkârlar cenneti,Baha Gelenbevi, , ,"
Adventure, Fantasy            ",(1958)
Çilgin bakire,Seyfi Havaeri, , ,"
Fantasy, Romance            ",(1955)
Sihirli boru,Orhon M. Ariburnu, , ,"
Fantasy            ",(1955)
Üç baba torik,Arsevir Alyanak, , ,"
Comedy, Fantasy            ",(1954)
Balikçi güzeli,Baha Gelenbevi, , ,"
Adventure, Drama, Fantasy            ",(1953)
Sihirli gözlük,Alev Akakar, , ,"
Fantasy            ",(1977)
