Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Fetih 1453,Faruk Aksoy,6.9,54886,"
Action, Drama, History            ",(2012)
Ayla: The Daughter of War,Can Ulkay,8.6,27410,"
Biography, Drama, History            ",(2017)
Tosun Pasa,Kartal Tibet,9.0,19354,"
Comedy, History            ",(1976)
Kelebegin Rüyasi,Yilmaz Erdogan,7.8,17252,"
Biography, Drama, History            ",(2013)
Hacivat Karagöz Neden Öldürüldü?,Ezel Akay,7.5,9206,"
Comedy, Drama, History            ",(2006)
Propaganda,Sinan Çetin,7.1,7753,"
Comedy, Drama, History            ",(1999)
120,Özhan Eren,7.3,6214,"
Drama, History, War            ",(2008)
Veda,Zülfü Livaneli,7.2,6039,"
Biography, Drama, History            ",(I) (2010)
Kahpe Bizans,Gani Müjde,5.7,5923,"
Comedy, History            ",(1999)
Fasle kargadan,Bahman Ghobadi,6.5,5586,"
Drama, History, Thriller            ",(2012)
Sekerpare,Atif Yilmaz,8.0,5139,"
Comedy, History, Romance            ",(1983)
The Cut,Fatih Akin,6.3,4809,"
Adventure, Drama, History            ",(I) (2014)
Çanakkale Yolun Sonu,Kemal Uzun,7.3,4345,"
Action, Drama, History            ",(2013)
Selam: Bahara Yolculuk,Hamdi Alkan,8.1,4062,"
Biography, Drama, History            ",(2015)
Birlesen Gönüller,Hasan Kiraç,7.8,3930,"
Drama, History            ",(2014)
Istanbul Kanatlarimin Altinda,Mustafa Altioklar,7.1,3053,"
Adventure, Drama, History            ",(1996)
Harem Suare,Ferzan Ozpetek,6.2,2485,"
Drama, History            ",(1999)
Vezir Parmagi,Mahsun Kirmizigül,4.0,1898,"
Comedy, Drama, History            ",(2017)
Kainan 1890,Mitsutoshi Tanaka,7.3,1847,"
History            ",(2015)
Deli Deli Olma,Murat Saraçoglu,7.4,1579,"
Drama, History            ",(2009)
Çanakkale 1915,Yesim Sezgin,6.4,1574,"
Drama, History            ",(2012)
Deliler,Osman Kaya,5.7,1468,"
Action, History, War            ",(2018)
Cenneti Beklerken,Dervis Zaim,6.7,1381,"
Drama, History            ",(2006)
Battal Gazi Destani,Atif Yilmaz,6.4,1280,"
Action, Adventure, History            ",(1971)
Dersimiz: Atatürk,Hamdi Alkan,6.2,1232,"
Biography, Drama, History            ",(2010)
Battal Gazi'nin Oglu,Natuk Baytan,6.0,1177,"
Action, Drama, History            ",(1974)
Tarkan: Altin Madalyon,Mehmet Aslan,6.3,1164,"
Action, Adventure, History            ",(1973)
Salkim Hanim'in Taneleri,Tomris Giritlioglu,6.5,1130,"
Drama, History            ",(1999)
Direnis Karatay,Selahattin Sancakli,7.0,1104,"
Action, History, Thriller            ",(2018)
Kirimli,Burak Arliel,7.4,1090,"
Action, Drama, History            ",(2014)
Tarkan: Gümüs Eyer,Mehmet Aslan,6.5,1076,"
Action, Adventure, History            ",(1970)
Savulun Battal Gazi geliyor,Natuk Baytan,6.3,1052,"
Action, Adventure, History            ",(1973)
Degirmen,Atif Yilmaz,7.5,1027,"
Comedy, Drama, History            ",(1986)
Battal Gazi'nin Intikami,Natuk Baytan,6.2,971,"
Action, Adventure, History            ",(1972)
Atatürk'ün Fedaisi Topal Osman,Atilla Akarsu,4.3,967,"
Drama, History            ",(2013)
Türk Isi Dondurma,Can Ulkay,6.6,952,"
Drama, History, War            ",(2019)
Tarkan: Güçlü Kahraman,Mehmet Aslan,6.6,949,"
Action, Adventure, History            ",(1973)
Hürkus,Kudret Sabanci,6.1,878,"
Biography, History, War            ",(2018)
Malkoçoglu,Süreyya Duru,6.5,773,"
Action, Adventure, History            ",(1966)
Remake,Dino Mustafic,7.7,751,"
Drama, History, War            ",(2003)
Otkradnati ochi,Radoslav Spassov,7.1,749,"
Drama, History            ",(2005)
Çanakkale Çocuklari,Sinan Çetin,2.2,721,"
Drama, History, War            ",(2012)
Son Mektup,Özhan Eren,4.6,663,"
Action, Drama, History            ",(2015)
Eve Dönüs: Sarikamis 1915,Alphan Eseli,7.2,649,"
Drama, History, War            ",(2013)
Eve giden yol 1914,Semir Aslanyürek,4.9,628,"
Drama, History, War            ",(2006)
Köroglu,Atif Yilmaz,7.0,628,"
Adventure, Drama, History            ",(1968)
Istanbul'un Fethi,Aydin Arakon,7.1,599,"
Adventure, Drama, History            ",(1951)
Abdülhamit düserken,Ziya Öztan,5.8,590,"
Drama, History            ",(2002)
Karaoglan,Kudret Sabanci,3.7,545,"
Action, Comedy, History            ",(2013)
Press,Sedat Yilmaz,7.2,510,"
Drama, History            ",(I) (2010)
Malkoçoglu - akincilar geliyor,Süreyya Duru,5.8,486,"
Action, Adventure, History            ",(1969)
Salur Kazan: Zoraki Kahraman,Burak Aksak,5.1,439,"
Comedy, History            ",(2017)
Hosçakal Yarin,Reis Çelik,6.6,434,"
Biography, Drama, History            ",(1998)
Topragin çocuklari,Ali Adnan Özgür,6.2,401,"
Drama, History            ",(2012)
Somuncu Baba: Askin Sirri,Kürsat Kizbaz,6.8,319,"
Drama, History            ",(2016)
Ankara Yazi Veda Mektubu,Kemal Uzun,7.4,290,"
History            ",(2016)
Malkoçoglu - kara korsan,Süreyya Duru,5.8,287,"
Adventure, Drama, History            ",(1968)
Mahpeyker - Kösem Sultan,Tarkan Özel,4.7,284,"
Drama, History            ",(2010)
Ögretmen Kemal,Remzi Jöntürk,6.8,262,"
Drama, History            ",(1981)
Eksik,Baris Atay,5.8,240,"
Drama, History            ",(2015)
Yunus Emre: Askin Sesi,Kürsat Kizbaz,5.6,203,"
Drama, History            ",(2014)
Tas Mektep,Altan Dönmez,5.5,203,"
Drama, History, War            ",(2013)
Sürgün,Erol Özlevi,5.5,185,"
Drama, History, Romance            ",(2013)
Daraa,Murat Onbul,6.3,159,"
Action, Drama, History            ",(2018)
Kubilay,Ahmet Faik Akinci,4.3,158,"
History            ",(2010)
Kanije Kalesi,Yilmaz Atadeniz,5.7,155,"
Action, Adventure, History            ",(1982)
Kar korsanlari,Faruk Hacihafizoglu,6.8,144,"
Drama, History            ",(2015)
Battal Gazi,Muharrem Gürses,6.4,141,"
Adventure, History            ",(1966)
Sari siyah,Levent Akçay,4.7,130,"
Drama, History, War            ",(2013)
Haremde dört kadin,Halit Refig,6.7,115,"
Drama, History            ",(1965)
Çöl Kartali,Halit Refig,5.8,108,"
Adventure, History, Romance            ",(1972)
Selahattin Eyyubi,Süreyya Duru,4.9,94,"
Biography, History, War            ",(1970)
Tarkan Camoka'ya karsi,T. Fikret Uçak,7.0,89,"
Adventure, History            ",(1969)
Sarikamis Cocuklari,Mutlu Karadogan,7.1,80,"
Drama, History            ",(2017)
Tarkan canavarli kule,Cavit Yürüklü,6.8,72,"
Adventure, History            ",(1969)
Yusuf ile Züleyha,Türker Inanoglu,5.0,45,"
Drama, History, Romance            ",(1968)
Rabia,Osman F. Seden,4.1,42,"
Drama, History            ",(1973)
Estergon kalesi,Kemal Kan,4.4,41,"
History            ",(1972)
Ihtiras firtinasi,Halit Refig,7.0,41,"
Drama, History, Romance            ",(1984)
Kaçis 1950,Ibrahim Biçer,6.1,38,"
Drama, History, War            ",(2015)
Yavuz Sultan Selim ve Yeniçeri Hasan,Münir Hayri Egeli,7.0,38,"
Adventure, History, Romance            ",(1951)
Kiziltug - Cengiz Han,Aydin Arakon,6.5,37,"
Adventure, Biography, History            ",(1952)
Son akin,Yilmaz Atadeniz,5.5,37,"
Adventure, History, War            ",(1982)
Meliksah,Esmail Kushan,5.3,36,"
Adventure, History            ",(1969)
Kara Orkun,Yücel Uçanoglu,5.4,31,"
Action, Adventure, History            ",(1973)
Barbaros Hayrettin Pasa,Baha Gelenbevi,5.5,25,"
Drama, History, War            ",(1951)
Hazreti Ömer'in adaleti,Osman F. Seden,4.5,23,"
Biography, History            ",(1973)
Fatih Sultan Mehmet,Muharrem Gürses,7.0,21,"
History            ",(1983)
Kuduz Recep,Duygu Sagiroglu,6.9,21,"
Adventure, History            ",(1967)
Yemende bir avuç türk,Yilmaz Atadeniz,5.6,20,"
Adventure, History, War            ",(1970)
Kurtlar ve Çakallar,Sencer Gültuna,7.2,18,"
Drama, History            ",(2018)
Nezire,Onur Sekmen,6.2,18,"
Drama, History            ",(2015)
Kara pençe,Yücel Uçanoglu,5.2,18,"
Action, Adventure, History            ",(1973)
Atçali Kel Mehmet,Hakan Sahin,6.5,15,"
Biography, Drama, History            ",(2017)
Kurdoglu 3 - Bu yola bas koyduk,Cemalettin Ertürk,6.3,12,"
Adventure, History            ",(1992)
Veysel Karani,Hüseyin Peyda,5.5,12,"
Biography, Drama, History            ",(1965)
Cem Sultan,Münir Hayri Egeli,6.1,12,"
Adventure, Drama, History            ",(1951)
Ömer Hayyam,Tunç Basaran,6.9,11,"
Biography, History            ",(1973)
Atlihan,Naki Yurter,3.7,11,"
Action, Fantasy, History            ",(1973)
Vahsi bir kiz sevdim,Nejat Saydam,5.1,9,"
Drama, History, War            ",(1973)
Karaoglan - Samara seyhin kizi,Suat Yalaz,4.9,9,"
Adventure, History            ",(1969)
Trilece,Ahmet Sönmez,5.1,8,"
History            ",(2018)
Sayili kabadayilar,Remzi Jöntürk,3.7,7,"
Drama, History            ",(1969)
Khromoy dervish,Valeri Akhadov,7.1,7,"
Biography, Drama, History            ",(1987)
Refugee: The Long Journey of Anar Usubov,Anar Usubov,8.2,6,"
Drama, History, War            ",(2011)
Turhanoglu: Çal Hasan,Yilmaz Atadeniz,4.8,6,"
Action, Adventure, History            ",(1975)
Akma,Kemal Kan,5.0,6,"
History            ",(1973)
Çöl kartali Seyh Ahmet,Hüsnü Cantürk,7.2,6,"
Adventure, Drama, History            ",(1968)
Kaf dagini terkedenler,Natuk Baytan, , ,"
History            ",(1971)
Anatolia,Omer Sarikaya, , ,"
Action, Drama, History            ",
Elif ile Seydo,Remzi Jöntürk, , ,"
History, Romance            ",(1972)
Mostafa Kemal Ataturk,Hesham Asem, , ,"
History            ",(2017)
Beyaz hüzün,Kenan Korkmaz, , ,"
Drama, History            ",(2018)
The First Gokturk,Alper Caglar, , ,"
History, War            ",
Kervan 1915,Ismail Günes, , ,"
Drama, History            ",(2017)
The Cook and the Princess,Ezel Akay, , ,"
History            ",
Dokuz Dagin Efesi,T. Fikret Uçak, , ,"
Biography, Drama, History            ",(1978)
Malazgirt 1071 Anadolu'nun Anahtari,Sahin Korkmaz, , ,"
History            ",(2018)
Shqipja E Kavkazit: Imam Shamili,Orhan Bal, , ,"
Animation, Biography, History            ",(2012)
Kanli savas,Murat Akovaligil, , ,"
History            ",(1974)
Uyanis,Remzi Jöntürk, , ,"
Adventure, History            ",(1978)
Ashik,Bilal Babaoglu, , ,"
Biography, Drama, History            ",(2016)
Ka'b Bin Züheyr: Kaside-i bürde sairi,Ahmet Hossöyler, , ,"
Biography, History            ",(1993)
Oruç Reis,Engin Temizer, , ,"
Adventure, Biography, History            ",(1988)
Vefa, , , ,"
History            ",
Nemrud,Muharrem Gürses, , ,"
Drama, Fantasy, History            ",(1979)
The Lost Gold,Babak Geranfar, , ,"
History, Musical            ",(2018)
Akincilarin Intikami,Muharrem Gürses, , ,"
Action, Adventure, History            ",(1966)
"Hilal, Feza and Other Planets",Kutlug Ataman, , ,"
History            ",
Soul Istanbul,Murat Biçak, , ,"
Drama, History            ",(2014)
Cete Ayse,Ercument Cavluer, , ,"
Drama, History            ",(2013)
Famine,Omer Sarikaya, , ,"
Action, Drama, History            ",(II)
Hazreti Bilal-i Habesi,Çetin Inanç, , ,"
Biography, History            ",(1973)
Ustalar Alimler Sultanlar,Murat Saraçoglu, , ,"
History            ",(2010)
Ilk Adim: 1919,Abdullah Oguz, , ,"
Biography, Drama, History            ",(2019)
Dumlupinar: Vatan Sag Olsun,Can Ulkay, , ,"
History            ",(2020)
Asyali disi cengaver,Kayahan Arikan, , ,"
Adventure, History            ",(1969)
Malazgirt kahramani Alpaslan,Muharrem Gürses, , ,"
Action, Adventure, History            ",(1967)
Imparator Atilla'nin demir yumrugu,Muharrem Gürses, , ,"
Adventure, History            ",(1967)
Zaloglu Rüstem,Muharrem Gürses, , ,"
Adventure, History            ",(1966)
Hazreti Ibrahim,Asaf Tengiz, , ,"
Drama, History            ",(1964)
Metehan,Mehmet Aslan, , ,"
Adventure, History            ",(1969)
Karaoglan'in kardesi Sargan,Suat Yusuf, , ,"
Adventure, History            ",(1969)
Kara Sahin,Yavuz Figenli, , ,"
Action, Adventure, History            ",(1975)
Kadihan,Yilmaz Atadeniz, , ,"
Adventure, History, War            ",(1976)
Daglar sahini Yörük Efe,Muharrem Gürses, , ,"
Adventure, Drama, History            ",(1959)
Gültekin Amazonlara Karsi,Mehmet Aslan, , ,"
Adventure, History            ",(1969)
Bizansi titreten yigit,Muharrem Gürses, , ,"
Action, Adventure, History            ",(1967)
Yildirim Beyazit ve Timurlenk,Münir Hayri Egeli, , ,"
Drama, History, War            ",(1953)
