Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Whiteout,Dominic Sena,5.5,35799,"
Action, Crime, Horror            ",(2009)
Kutsal Damacana,Kamil Aydin,5.0,7345,"
Comedy, Fantasy, Horror            ",(2007)
Araf,Biray Dalkiran,3.0,4047,"
Horror, Thriller            ",(2006)
Dabbe: Cin Çarpmasi,Hasan Karacadag,6.9,3941,"
Horror            ",(2013)
D@bbe,Hasan Karacadag,4.7,3864,"
Horror, Thriller            ",(2006)
Semum,Hasan Karacadag,5.2,3721,"
Crime, Fantasy, Horror            ",(2008)
Musallat,Alper Mestçi,6.1,3713,"
Crime, Fantasy, Horror            ",(2007)
Büyü,Orhan Oguz,2.9,3509,"
Horror, Thriller            ",(2004)
Dabbe: Bir Cin Vakasi,Hasan Karacadag,6.1,3263,"
Horror            ",(2012)
Okul,Durul Taylan,4.0,3096,"
Comedy, Horror            ",(2004)
Dabbe: Zehr-i Cin,Hasan Karacadag,6.1,2828,"
Horror            ",(2014)
Siccîn,Alper Mestçi,6.3,2356,"
Horror            ",(2014)
D@bbe 2,Hasan Karacadag,3.6,2118,"
Horror            ",(2009)
El-Cin,Hasan Karacadag,5.2,2104,"
Drama, Fantasy, Horror            ",(2013)
Küçük Kiyamet,Durul Taylan,6.3,2052,"
Drama, Fantasy, Horror            ",(2006)
Dabbe (Dab6e),Hasan Karacadag,5.8,1999,"
Horror            ",(2015)
Siccin 2,Alper Mestçi,6.6,1846,"
Horror, Thriller            ",(2015)
Magi,Hasan Karacadag,5.6,1806,"
Horror            ",(2016)
Musallat 2: Lanet,Alper Mestçi,5.4,1686,"
Horror            ",(2011)
The Castle of Fu Manchu,Jesús Franco,2.8,1679,"
Adventure, Crime, Horror            ",(1969)
Siccin 3: Cürmü Ask,Alper Mestçi,6.9,1448,"
Horror            ",(2016)
Ada: Zombilerin Dügünü,Murat Emir Eren,5.2,1279,"
Comedy, Horror            ",(2010)
Siccin 4,Alper Mestçi,6.8,1183,"
Horror            ",(2017)
Ses,Ümit Ünal,5.1,898,"
Horror, Thriller            ",(2010)
Housewife,Can Evrenol,4.8,896,"
Horror, Thriller            ",(II) (2017)
Reminiscence,Akçay Karaazmak,4.8,870,"
Horror, Romance, Thriller            ",(2014)
Seytan-i racim,Arkin Aktaç,4.0,859,"
Horror, Thriller            ",(2013)
Karadedeler Olayi,Erdogan Bagbakan,3.5,807,"
Horror, Thriller            ",(2011)
Seytan,Metin Erksan,4.5,764,"
Comedy, Horror, Thriller            ",(1974)
Üç Harfliler: Beddua,Alper Mestçi,7.3,753,"
Horror            ",(2018)
Gomeda,Tan Tolga Demirci,2.2,748,"
Fantasy, Horror, Thriller            ",(2007)
Üç Harfliler 3: Karabüyü,Alper Mestçi,6.8,745,"
Horror            ",(2016)
Siccin 5,Alper Mestçi,6.5,726,"
Horror            ",(2018)
Kafir,Hasan Gökalp,5.3,694,"
Horror            ",(2018)
3 harfliler: Marid,Arkin Aktaç,3.6,637,"
Horror            ",(2010)
Kabuslar evi - Takip,Çagan Irmak,5.9,593,"
Crime, Horror            ",(2006)
Alamet-i Kiyamet,Doga Can Anafarta,4.6,584,"
Horror            ",(2016)
Ammar,Özgür Bakar,4.1,532,"
Horror            ",(2014)
Cehennem 3D,Biray Dalkiran,2.7,529,"
Horror            ",(2010)
Deccal,Özgür Bakar,3.2,501,"
Horror            ",(2015)
Kapalak Kizi,Fatih Gürler,4.3,473,"
Horror            ",(2018)
Hummadruz,Hasan Karacadag,6.0,467,"
Horror            ",(1999)
Musabbar,Engin Tutus,4.9,462,"
Horror, Thriller            ",(2019)
Pist,Can Sarcan,2.4,450,"
Comedy, Horror            ",(2015)
Muska,Özkan Çelik,3.4,439,"
Drama, Horror, Thriller            ",(2014)
Lanetli Anahtar,Hasan Gökalp,4.6,433,"
Horror            ",(2016)
Tutsak,Beyza Çimenot,5.6,432,"
Horror, Thriller            ",(2018)
Cin Kuyusu,Murat Toktamisoglu,5.0,409,"
Horror            ",(2015)
Naciye,Lutfu Emre Cicek,5.5,406,"
Drama, Horror, Mystery            ",(2015)
Konak,Cem Akyoldas,3.2,395,"
Horror, Thriller            ",(2009)
Drakula Istanbul'da,Mehmet Muhtar,6.7,351,"
Fantasy, Horror            ",(1953)
karantina XII,Can Varol,5.7,308,"
Horror            ",(2018)
Üç Harfliler 2: Hablis,Murat Toktamisoglu,3.5,299,"
Horror            ",(2015)
Görünmeyenler,Meliksah Altuntas,3.3,291,"
Horror            ",(2012)
Mihrez: Cin Padisahi,Doga Can Anafarta,3.2,276,"
Horror, Thriller            ",(2015)
Alem-i Cin 2,Özgür Bakar,5.7,274,"
Horror            ",(2019)
htr2b: Dönüsüm,Osman Evre Tolga,5.4,271,"
Horror, Thriller            ",(2012)
Ümmü Sibyan: Zifir,Efe Hizir,2.8,260,"
Horror            ",(2014)
Helak: Kayip Köy,Özgür Bakar,4.3,246,"
Horror, Thriller            ",(2015)
Azazil: Dügüm,Özgür Bakar,3.6,244,"
Horror            ",(2014)
Tramvay,Olgun Arun,5.9,234,"
Crime, Drama, Horror            ",(2006)
Gulyabani,Orçun Benli,3.4,225,"
Comedy, Horror            ",(2014)
Üç Harfliler: Adak,Alper Mestçi,7.3,223,"
Horror, Thriller            ",(2019)
Münafik,Ozkan Aksular,4.7,218,"
Drama, Horror, Thriller            ",(2015)
Kabir Azabi,Arkin Aktaç,4.4,213,"
Horror            ",(2018)
Karanlik sular,Kutlug Ataman,5.9,184,"
Fantasy, Horror            ",(1994)
50 Kisses,Chris Jones,6.2,173,"
Comedy, Drama, Horror            ",(2014)
Aska Susayanlar: Seks ve Cinayet,Mehmet Aslan,4.6,170,"
Crime, Horror            ",(1972)
Alem-i Cin,Özgür Bakar,3.7,162,"
Horror            ",(2018)
Zohak,Adem Ugur,5.6,144,"
Horror            ",(2018)
Deccal 2,Özgür Bakar,4.0,142,"
Horror            ",(2017)
Hüddam,Utku Uçar,4.4,139,"
Horror, Mystery            ",(I) (2015)
Azem 3: Cin Tohumu,Hurcan Emre Yilmazer,3.6,133,"
Horror            ",(2016)
Azap,Ulas Gunes Kacargil,5.0,133,"
Horror, Thriller            ",(2015)
El ummar,Tuncer Gürbüz,4.6,132,"
Horror            ",(2018)
Azazil 2: Büyü,Mustafa Özen,3.1,129,"
Horror, Thriller            ",(2016)
Cin Tepesi,Furkan Düzen,4.1,128,"
Horror            ",(2018)
Seytan-i Racim 2: Ifrit,Murat Toktamisoglu,2.7,124,"
Horror, Thriller            ",(2015)
Ammar 2: Cin Istilasi,Özgür Bakar,3.8,122,"
Horror            ",(2016)
Azem: Cin Karasi,Volkan Akbas,3.2,102,"
Horror            ",(2014)
Sandik,H. Mucahit Pehlivan,6.0,100,"
Horror            ",(2018)
Azem 4: Alacakaranlik,Volkan Akbas,4.1,97,"
Horror            ",(2016)
Ceberrut,Özgür Yelence,3.3,97,"
Horror            ",(2016)
Cinni: Uyanis,Emre Aydin,7.0,96,"
Horror, Thriller            ",(2016)
Azem 2: Cin Garezi,Erdinc Kazimoglu,3.8,95,"
Horror            ",(2015)
Çagrilan,Hüseyin Eleman,4.0,95,"
Horror            ",(I) (2016)
Ölüler konusmaz ki,Yavuz Yalinkiliç,5.3,95,"
Horror, Thriller            ",(1970)
Seytan-i Ins,Gökhan Ari,8.0,92,"
Horror            ",(2019)
Alkarisi: Cinnet,Muzaffer Gülçek,2.8,90,"
Horror, Thriller            ",(2015)
Korku Komedi: Bana Normal Aktiviteler,Özgür Bakar,4.4,85,"
Adventure, Comedy, Horror            ",(2016)
Seytan Oyunu,Kadir Genç,8.4,85,"
Horror, Thriller            ",(2019)
Ifrit'in Diyeti: Cinnia,Sahin Yigit,4.6,84,"
Horror            ",(2016)
Siccin 6,Alper Mestçi,7.2,83,"
Horror            ",(2019)
Kabr-i Cin Mühür,Volkan Adiyaman,2.5,77,"
Horror            ",(2016)
Astral Seyahat,Hasan Gökalp,3.2,77,"
Horror            ",(2019)
Hannas: Karanlikta Saklanan,Kamil Aydin,5.0,70,"
Horror            ",(2015)
Sevimli Frankenstayn,Nejat Saydam,5.7,70,"
SciFi, Comedy, Horror            ",(1975)
Sir-Ayet,Onur Aldogan,4.2,69,"
Horror            ",(2019)
Mel-Un,Mustafa Kara,3.2,67,"
Horror            ",(2016)
Üç Harflilerin Musallat Oldugu Büyülü Konakta Ruh Çagiran Gençlerin Hazin Hikayesi,Sinan Kaçar,4.3,65,"
Comedy, Horror, Thriller            ",(2018)
Seytanin Çocuklari-El Ebyaz,Vedat Dikmetas,3.7,63,"
Horror            ",(2016)
Araf 2,Biray Dalkiran,3.4,61,"
Horror            ",(2019)
Vlad's Legacy,Patricio Valladares,5.5,60,"
Horror            ",(2017)
Kulyas: Lanetin Bedeli,Yunus Sevik,7.2,55,"
Horror            ",(2019)
Cin-i ayet,Ugur Akünlü,6.7,52,"
Horror            ",(2018)
Sinsiran: Yasak ask,Samet Çakirtas,2.9,51,"
Drama, Horror, Thriller            ",(2017)
Cin Çesmesi,Tuncer Gürbüz,4.7,47,"
Horror, Thriller            ",(2018)
Lanet: Ervah Cinleri,Teoman Gündüz,5.0,47,"
Horror            ",(2017)
Cinnet,Aytekin Birkon,4.8,45,"
Horror            ",(2019)
Sekerat Son,Seyda Sen,4.7,44,"
Horror, Thriller            ",(2016)
Semur: Seytanin Kabilesi,Gokhan Aksu,6.0,41,"
Horror            ",(2017)
Bezm-i Ezel,Aykut Can Demirel,3.8,37,"
Horror            ",(2017)
Cin geçidi,Özgür Selvi,3.0,37,"
Horror            ",(2017)
Cinayet-i Ask,Ahmet Küçükkayali,3.4,36,"
Fantasy, Horror, Thriller            ",(2017)
Zerk,Battal Karslioglu,7.9,33,"
Drama, Horror, Mystery            ",(I) (2018)
Ezan,Fuat Yilmaz,2.8,33,"
Horror, Thriller            ",(2015)
Hüddam 2,Utku Uçar,5.1,31,"
Drama, Horror, Thriller            ",(2019)
666 Cin Musallati,Fuat Yilmaz,6.0,30,"
Horror            ",(2017)
Gassal,Alper Kivicim,3.2,30,"
Horror, Thriller            ",(2015)
Cin: Ask Büyüsü,Battal Karslioglu,7.4,29,"
Horror            ",(2019)
Efsunlu - Kabirden Gelen,Ugur Kaplan,5.7,29,"
Horror            ",(2019)
Kadere Tutsak,Erdogan Koç,5.7,28,"
Crime, Drama, Horror            ",(2016)
Kirokula: Vampir Mugla'da,Mustafa Kara,5.5,28,"
Comedy, Horror            ",(2011)
Ecinni: Tilsimli Mezar,Mehmet Saglam,7.5,28,"
Horror            ",(2019)
Cilali Ibo perili köskte,Nuri Ergün,4.1,28,"
Comedy, Fantasy, Horror            ",(1960)
Kapidaki Sir,Mehmet Ali Zaim,6.7,25,"
Horror, Thriller            ",(2018)
Kara boga,Yavuz Figenli,5.5,25,"
Horror            ",(1974)
Tez: 13. Gece,Taylan Isiklar,6.8,24,"
Horror            ",(2019)
Gaip,Vecihi Ener,7.4,23,"
Horror            ",(2019)
Nefrin,Gülsen Güner,5.2,22,"
Horror            ",(2017)
Gece Seansi,Hurdogan Guvendiren,6.4,22,"
Horror            ",(2016)
Seytan Geçidi Enhara,Onur Aldogan,6.7,20,"
Horror, Thriller            ",(2018)
Iblisin Oglu 13. Vahset,Emre Kaya,3.5,19,"
Horror            ",(2013)
Kabus,Tuncer Gürbüz,7.7,18,"
Horror, Thriller            ",(2018)
Bir Katilin Anatomisi,Serkant Yasar Kutlubay,1.6,18,"
Horror            ",(2010)
Vahset kasirgasi,Kadir Akgün,6.2,17,"
Drama, Horror, Mystery            ",(1985)
Asgar Cin Vadisi,Yahya Al,4.4,15,"
Horror, Thriller            ",(2019)
Mezarlik,Fuat Yilmaz,4.6,14,"
Drama, Horror, Thriller            ",(2017)
Marid,Kemal Özdemir,4.4,13,"
Horror            ",(2019)
Cin Deresi: Müsfer,Ilker Tuncay,6.3,13,"
Horror            ",(2019)
Morg,Tuncer Gürbüz,1.8,13,"
Horror, Thriller            ",(I) (2017)
Zuzula,Kemal Özdemir,3.8,12,"
Horror, Thriller            ",(2016)
Kü'fa: Cin Kapani,Aykut Karagöl,2.1,12,"
Horror, Thriller            ",(2015)
Korkunç tecavüz,Ertem Göreç,5.1,12,"
Crime, Horror, Thriller            ",(1972)
El-Deccur,Gökhan Ari,8.5,12,"
Horror            ",(2019)
Iki,Fatih Gürler,3.3,12,"
Horror, Thriller            ",(I) (2017)
Vesvese: Cin Tuzagi,Sumeya Kokten,3.5,10,"
Horror, Thriller            ",(2015)
Musibet,Turan Kalle,5.0,10,"
Horror            ",(1991)
Sahir Deep Web,Berk Aygül,6.3,10,"
Horror            ",(2019)
Ecinni,Mehmet Saglam,4.0,9,"
Horror            ",(2018)
Asimetrik,Alper Giray Urhanoglu,6.9,9,"
Horror, Mystery, Thriller            ",(2015)
Süphenin bedeli,Mehmet Alemdar,5.2,9,"
Horror, Thriller            ",(1995)
Kader diyelim,Mehmet Alemdar,5.7,9,"
Horror, Thriller            ",(1995)
Kusatma,Yilmaz Duru,5.1,8,"
Adventure, Horror, Thriller            ",(1986)
Lucifer,Ahmet Faik Akinci,6.6,8,"
Horror            ",(2017)
Necroman,Ercan Er,8.2,8,"
Horror, Mystery, Thriller            ",(2019)
Kilink Frankestayn ve Dr. No'ya Karsi,Nuri Akinci,4.4,8,"
Adventure, Fantasy, Horror            ",(1968)
Jinna: Karabasan,Ebru Delibas,4.1,7,"
Horror            ",(2019)
Seytan Papuçta,A. Cengiz Mert,3.2,6,"
Horror            ",(2016)
El-Cinnia,Turgut Eryilmaz, , ,"
Horror, Mystery, Thriller            ",
Cevsen: Seytanin çiragi,Burak Gürman, , ,"
Horror            ",
Zifir-i Azap,Haydar Isik, , ,"
Horror, Thriller            ",(2018)
The Rejected,Onur Dogan, , ,"
Horror            ",(2019)
The Night Bulletin,Orcun Behram, , ,"
Horror, Thriller            ",(2018)
Kayip Araniyor, , , ,"
Horror            ",
Project Aegis - Angel In The Ashes,Rode Ferland, , ,"
Horror            ",(2019)
Hafiz, , , ,"
Drama, Horror, Thriller            ",(2018)
Vagon, , , ,"
Horror, Thriller            ",(2018)
Blood Lots,Rode Ferland, , ,"
Horror            ",(2019)
The Evil Marriage,Abrar Rana, , ,"
Adventure, Fantasy, Horror            ",(2019)
Dabbe 7,Hasan Karacadag, , ,"
Horror            ",
