Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Müslüm,Ketche,8.1,9355,"
Biography, Drama, Music            ",(2018)
Muhsin Bey,Yavuz Turgul,8.5,8604,"
Comedy, Drama, Music            ",(1987)
Neredesin Firuze,Ezel Akay,7.3,8129,"
Comedy, Drama, Music            ",(2004)
Unutursam Fisilda,Çagan Irmak,7.5,6976,"
Drama, Music, Romance            ",(2014)
Beynelmilel,Muharrem Gulmez,7.2,6492,"
Comedy, Drama, Music            ",(2006)
Selamsiz Bandosu,Nesli Çölgeçen,7.8,3062,"
Comedy, Drama, Music            ",(1987)
Yozgat Blues,Mahmut Fazil Coskun,6.8,2236,"
Comedy, Drama, Music            ",(2013)
Karisik Kaset,Tunç Sahin,5.8,1300,"
Comedy, Drama, Music            ",(2014)
Bir Varmis Bir Yokmus,Ilksen Basarir,5.6,893,"
Drama, Music, Romance            ",(2015)
Djam,Tony Gatlif,7.2,862,"
Adventure, Drama, Music            ",(2017)
O kadin,Korhan Bozkurt,5.5,621,"
Drama, Music, Romance            ",(2007)
Arada,Mu Tunc,5.7,336,"
Drama, Music, Romance            ",(I) (2018)
Becks letzter Sommer,Frieder Wittich,5.8,228,"
Comedy, Drama, Music            ",(2015)
Çekmeköy Underground,Aysim Turkmen,4.6,145,"
Drama, Music            ",(2015)
Alisan,Serif Gören,4.7,81,"
Drama, Music            ",(1982)
Allah allah,Ibrahim Tatlises,3.8,69,"
Drama, Music, Romance            ",(1987)
Off Karadeniz,Nur Dolay,4.8,52,"
Comedy, Family, Music            ",(2010)
You Are Everything,Lena Geller,7.1,27,"
Adventure, Music, Romance            ",(2016)
Akiyo,Onur Yayla,7.3,24,"
Drama, Music, SciFi            ",(2015)
Lambada,Samim Deger,3.5,19,"
Music            ",(1989)
Kara gurbet,Natuk Baytan,5.6,14,"
Drama, Music            ",(1981)
Uçan melekler,Firat Gursoy,5.9,12,"
Drama, Music            ",(2010)
Salincakta üç kisi,Yücel Uçanoglu,3.3,9,"
Music, Romance            ",(1988)
Küskünüm,Yilmaz Atadeniz,5.4,7,"
Adventure, Drama, Music            ",(1986)
Anilar,Samim Utku,5.8,5,"
Drama, Music, Romance            ",(1989)
Neveser,Aylin Unsal Yilmaz, , ,"
Biography, Drama, Music            ",
Çile dünyasi,Oguz Gözen, , ,"
Music, Romance            ",(1983)
Sonsuz sokaklar,Müjdat Saylav, , ,"
Adventure, Music            ",(1984)
Yasamak haram oldu,Temel Gürsu, , ,"
Adventure, Drama, Music            ",(1988)
Sabir ey gönül,Cevat Okçugil, , ,"
Drama, Music, Romance            ",(1985)
Andelip, , , ,"
Biography, Drama, Music            ",
Çingene,Zafer Par, , ,"
Adventure, Drama, Music            ",(1989)
Nâzim Hikmet sarkilari,Mehmet Eryilmaz, , ,"
Music            ",(2000)
Ruhi Su baris konseri,Nazar Büyüm, , ,"
Music            ",(2015)
Let's Kill Someone,Alper Kul, , ,"
Drama, Music, Musical            ",(2013)
Söyleyin anam aglamasin,Çetin Inanç, , ,"
Drama, Music, Romance            ",(1976)
Çileli damat,Arif Erkus, , ,"
Drama, Music, Romance            ",(1985)
Yaktin beni dünya,Alev Akakar, , ,"
Drama, Music            ",(1980)
Hosgeldin gülüm,Kaya Ererez, , ,"
Drama, Music            ",(1991)
Beyaz kelebekler,Aram Gülyüz, , ,"
Drama, Music, Romance            ",(1971)
Mavi boncuk,Esat Özgül, , ,"
Drama, Music            ",(1958)
