Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Arabesk,Ertem Egilmez,8.1,6460,"
Comedy, Musical            ",(1988)
Abuzer Kadayif,Tunç Basaran,5.3,1973,"
Musical, Drama, Comedy            ",(2000)
Arkadasim Seytan,Atif Yilmaz,7.1,1077,"
Comedy, Fantasy, Musical            ",(1988)
Vasif Öngören: Asiye nasil kurtulur,Atif Yilmaz,7.1,465,"
Comedy, Drama, Musical            ",(1986)
Arim balim petegim,Muzaffer Aslan,5.8,302,"
Drama, Musical, Romance            ",(1970)
Tosun pasa,Muhsin Ertugrul,7.0,237,"
Musical, Comedy            ",(1939)
Hindistan cevizi,Osman F. Seden,6.4,188,"
Comedy, Musical, Romance            ",(1967)
Menekse gözler,Atif Yilmaz,7.2,183,"
Musical, Romance            ",(1969)
Lüküs hayat,Lütfi Akad,6.8,133,"
Musical, Comedy            ",(1950)
Kesanli Ali destani,Atif Yilmaz,6.8,120,"
Musical, Comedy            ",(1964)
Alice Müzikali,Serdar Bilis,6.7,112,"
Musical            ",(2019)
Gülizar,Hulki Saner,5.8,100,"
Comedy, Musical, Romance            ",(1972)
Renkli dünya,Orhan Aksoy,5.8,88,"
Musical, Comedy, Romance            ",(1980)
Feryada gücüm yok,Serif Gören,4.6,78,"
Drama, Musical            ",(1981)
Lüküs hayat,Kemal Uzun,5.7,54,"
Comedy, Musical            ",(1976)
Kir gönlünün zincirini,Serif Gören,5.5,54,"
Drama, Musical            ",(1981)
Hizir Dede,Osman F. Seden,5.8,52,"
Comedy, Musical, Romance            ",(1964)
Rüzgar,Cüneyt Arkin,5.6,48,"
Drama, Musical            ",(1980)
Vazgeç gönlüm,Osman F. Seden,5.6,33,"
Drama, Musical            ",(1980)
Bes seker kiz,Osman F. Seden,5.5,31,"
Comedy, Musical            ",(1964)
Beddua,Melih Gülgen,4.1,21,"
Drama, Musical            ",(1980)
Istanbul sokaklarinda,Muhsin Ertugrul,6.4,19,"
Musical, Drama, Romance            ",(1931)
Kahveci güzeli,Muhsin Ertugrul,5.7,18,"
Musical, Romance            ",(1941)
Bir yudum mutluluk,Orhan Aksoy,4.8,17,"
Drama, Musical            ",(1982)
Istanbul çiçekleri,Muammer Çubukçu,4.5,13,"
Musical, Comedy            ",(1951)
Karim beni aldatirsa,Aram Gülyüz,5.2,13,"
Musical, Comedy            ",(1967)
Allah'in cenneti,Muhsin Ertugrul,4.4,9,"
Musical, Comedy, Romance            ",(1939)
Yasamak ne güzel sey,Halit Refig,4.8,9,"
Musical, Comedy            ",(1969)
Meyhanenin gülü,Nevzat Pesen,4.9,9,"
Musical, Romance            ",(1966)
Adaletin bu mu dünya,Yilmaz Duru,6.5,8,"
Musical            ",(1971)
Atesli kan,Süreyya Duru,6.0,6,"
Adventure, Drama, Musical            ",(1962)
Seker Dükkani,Ahmet Ziya Sekendiz, , ,"
Musical, Romance            ",
Kahir Mektubu,Kemal Kan, , ,"
Drama, Musical            ",(1979)
The Lost Gold,Babak Geranfar, , ,"
History, Musical            ",(2018)
Let's Kill Someone,Alper Kul, , ,"
Drama, Music, Musical            ",(2013)
Sesinde Ask Var,Osman Tasci, , ,"
Musical            ",(2019)
Çoban yildizi,Yunus Yilmaz, , ,"
Action, Drama, Musical            ",(1983)
Zoraki kahraman,Semih Evin, , ,"
Comedy, Musical            ",(1952)
Caz saz,Zeki Alpan, , ,"
Musical            ",(1952)
Incili Çavus,Semih Evin, , ,"
Musical, Comedy            ",(1951)
Kilibiklar,Vedat Örfi Bengü, , ,"
Musical, Comedy            ",(1947)
Harman sonu,Hadi Hün, , ,"
Comedy, Musical, Romance            ",(1946)
Milyon avcilari,Muhsin Ertugrul, , ,"
Musical, Comedy            ",(1934)
Karim beni aldatirsa,Muhsin Ertugrul, , ,"
Musical, Comedy            ",(1933)
Ask besteleri,Nuri Akinci, , ,"
Musical, Drama            ",(1952)
Sta kymata tou Vosporou,Ilias Paraskevas, , ,"
Comedy, Musical            ",(1934)
"Söz bir, Allah bir",Muhsin Ertugrul, , ,"
Musical, Comedy            ",(1933)
