Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Av Mevsimi,Yavuz Turgul,7.5,27493,"
Crime, Drama, Mystery            ",(2010)
Kod Adi K.O.Z.,Celal Çimen,1.4,26785,"
Crime, Mystery            ",(2015)
Süt Kardesler,Ertem Egilmez,8.9,16911,"
Comedy, Family, Mystery            ",(1976)
Saban Oglu Saban,Ertem Egilmez,8.8,14601,"
Comedy, Crime, Mystery            ",(1977)
Behzat Ç.: Seni Kalbime Gömdüm,Serdar Akar,7.7,8562,"
Action, Crime, Mystery            ",(2011)
Bi Küçük Eylül Meselesi,Kerem Deren,7.3,7738,"
Drama, Mystery, Romance            ",(2014)
Ulak,Çagan Irmak,6.8,4207,"
Fantasy, Mystery            ",(2008)
Tepenin Ardi,Emin Alper,7.3,2414,"
Drama, Mystery            ",(2012)
Beyza'nin Kadinlari,Mustafa Altioklar,6.2,2376,"
Crime, Drama, Mystery            ",(2006)
Annemin Yarasi,Ozan Açiktan,7.4,2047,"
Drama, Mystery, War            ",(2016)
9,Ümit Ünal,7.7,1447,"
Crime, Mystery, Drama            ",(2002)
Le orme,Luigi Bazzoni,6.8,1402,"
Mystery, Thriller            ",(1975)
Gölgesizler,Ümit Ünal,6.6,1117,"
Drama, Fantasy, Mystery            ",(2009)
Sis ve Gece,Turgut Yasalar,6.8,1081,"
Adventure, Drama, Mystery            ",(2007)
Drawers,Caner Alper,7.1,920,"
Drama, Family, Mystery            ",(2015)
Kusursuzlar,Ramin Matin,6.3,732,"
Drama, Family, Mystery            ",(2013)
Çocuklar Sana Emanet,Çagan Irmak,5.4,499,"
Drama, Mystery, Thriller            ",(2018)
Sifir dedigimde,Gokhan Yorgancigil,5.9,486,"
Drama, Fantasy, Mystery            ",(2007)
Akrebin yolculugu,Ömer Kavur,7.3,459,"
Drama, Mystery, Romance            ",(1997)
Naciye,Lutfu Emre Cicek,5.5,406,"
Drama, Horror, Mystery            ",(2015)
Darbe,Yasin Uslu,3.3,295,"
Mystery            ",(2015)
Kabuslar evi - Tanidik yabanci,Uluç Bayraktar,5.6,253,"
Fantasy, Mystery            ",(2006)
