Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Gegen die Wand,Fatih Akin,7.9,47502,"
Drama, Romance            ",(2004)
Celal ile Ceren,Togan Gökbakar,2.7,40104,"
Comedy, Romance            ",(2013)
Kaybedenler Kulübü,Tolga Örnek,7.6,18930,"
Comedy, Drama, Romance            ",(2011)
Issiz Adam,Çagan Irmak,6.8,16828,"
Drama, Romance            ",(2008)
Çöpçüler Krali,Zeki Ökten,8.7,16612,"
Comedy, Romance            ",(1977)
Ask Tesadüfleri Sever,Ömer Faruk Sorak,7.3,15676,"
Drama, Romance            ",(2011)
Selvi Boylum Al Yazmalim,Atif Yilmaz,8.7,13476,"
Drama, Romance            ",(1977)
Bana Masal Anlatma,Burak Aksak,7.6,13148,"
Comedy, Fantasy, Romance            ",(2015)
Kibar Feyzo,Atif Yilmaz,8.7,12978,"
Comedy, Romance            ",(1978)
Incir Reçeli,Aytaç Agirlar,6.5,10586,"
Drama, Romance            ",(2011)
La finestra di fronte,Ferzan Ozpetek,7.3,10153,"
Drama, Romance            ",(2003)
Agir Roman,Mustafa Altioklar,7.7,8747,"
Crime, Drama, Romance            ",(1997)
Çiçek Abbas,Sinan Çetin,8.1,8234,"
Comedy, Drama, Romance            ",(1982)
Mucize,Mahsun Kirmizigül,7.6,8170,"
Drama, Romance            ",(2015)
Sen Aydinlatirsin Geceyi,Onur Ünlü,8.0,7918,"
Drama, Fantasy, Romance            ",(2013)
Bi Küçük Eylül Meselesi,Kerem Deren,7.3,7738,"
Drama, Mystery, Romance            ",(2014)
Delibal,Ali Bilgin,6.9,7401,"
Drama, Romance            ",(2015)
Unutursam Fisilda,Çagan Irmak,7.5,6976,"
Drama, Music, Romance            ",(2014)
Hababam Sinifi Dokuz Doguruyor,Kartal Tibet,7.4,6701,"
Comedy, Drama, Romance            ",(1978)
Hamam,Ferzan Ozpetek,6.9,5812,"
Drama, Romance            ",(1997)
Patron Mutlu Son Istiyor,Kivanç Baruönü,6.1,5600,"
Comedy, Romance            ",(2014)
Ikimizin Yerine,Umur Turagay,6.4,5353,"
Romance            ",(2016)
Sekerpare,Atif Yilmaz,8.0,5139,"
Comedy, History, Romance            ",(1983)
Evim Sensin,Özcan Deniz,5.0,4898,"
Fantasy, Romance            ",(2012)
Bizim Için Sampiyon,Ahmet Katiksiz,8.5,4520,"
Drama, Romance, Sport            ",(2018)
Romantik Komedi,Ketche,5.3,4303,"
Comedy, Romance            ",(2010)
Saturno contro,Ferzan Ozpetek,6.7,4052,"
Drama, Romance            ",(2007)
Anadolu Kartallari,Ömer Vargi,6.3,3906,"
Adventure, Drama, Romance            ",(2011)
Su ve Ates,Özcan Deniz,6.2,3543,"
Drama, Romance            ",(2013)
