Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Berlin Kaplani,Hakan Algül,5.2,5973,"
Comedy, Family, Sport            ",(2012)
Bizim Için Sampiyon,Ahmet Katiksiz,8.5,4520,"
Drama, Romance, Sport            ",(2018)
Dar Alanda Kisa Paslasmalar,Serdar Akar,7.4,2455,"
Drama, Sport            ",(2000)
Iyi Oyun,Umut Aral,5.4,1004,"
Comedy, Drama, Sport            ",(2018)
Ya ya ya sa sa sa,Ümit Efekan,6.0,501,"
Comedy, Drama, Sport            ",(1985)
Deliormanli,Murat Seker,4.6,492,"
Sport            ",(2016)
Benimle Oynar misin?,Aydin Bulut,6.5,422,"
Comedy, Drama, Sport            ",(2013)
Pehlivan,Zeki Ökten,6.9,414,"
Drama, Sport            ",(1984)
Suda Balik,Tülay Kocatürk,6.8,71,"
Drama, Romance, Sport            ",(2016)
Türk Herkül,Ozer Feyzioglu, , ,"
Biography, Drama, Sport            ",(2019)
Karate silahimdir,Cevat Okçugil, , ,"
Action, Sport            ",(1986)
Jaguar,Nasir Muhammedi, , ,"
Action, Adventure, Sport            ",(1987)
Boks'un Sampiyonlari,Özgür Dogruöz, , ,"
Sport            ",(2016)
