Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Eskiya,Yavuz Turgul,8.3,56176,"
Crime, Drama, Thriller            ",(1996)
Nefes: Vatan Sagolsun,Levent Semerci,8.1,29764,"
Action, Drama, Thriller            ",(2009)
Dag,Alper Caglar,7.9,17700,"
Adventure, Drama, Thriller            ",(2012)
Vavien,Durul Taylan,7.5,9851,"
Comedy, Drama, Thriller            ",(2009)
Barda,Serdar Akar,7.0,9701,"
Crime, Drama, Thriller            ",(2007)
Mustafa Hakkinda Hersey,Çagan Irmak,7.6,8538,"
Drama, Thriller            ",(2004)
Hababam Sinifi Üç Buçuk,Ferdi Egilmez,2.8,6722,"
Comedy, Thriller            ",(2005)
Sarmasik,Tolga Karaçelik,8.0,6551,"
Drama, Fantasy, Thriller            ",(2015)
Anlat Istanbul,Ömür Atay,7.4,5729,"
Drama, Thriller            ",(2005)
Fasle kargadan,Bahman Ghobadi,6.5,5586,"
Drama, History, Thriller            ",(2012)
Ejder Kapani,Ugur Yücel,6.5,4326,"
Action, Crime, Thriller            ",(2010)
Araf,Biray Dalkiran,3.0,4047,"
Horror, Thriller            ",(2006)
D@bbe,Hasan Karacadag,4.7,3864,"
Horror, Thriller            ",(2006)
Büyü,Orhan Oguz,2.9,3509,"
Horror, Thriller            ",(2004)
Gen,Togan Gökbakar,3.8,3272,"
Thriller            ",(2006)
Anayurt Oteli,Ömer Kavur,7.7,2900,"
Crime, Drama, Thriller            ",(1987)
Azize: Bir Laleli Hikayesi,Kudret Sabanci,7.0,2270,"
Crime, Drama, Thriller            ",(1999)
Filler ve Çimen,Dervis Zaim,7.1,2237,"
Drama, Thriller            ",(2000)
Karanliktakiler,Çagan Irmak,7.0,1850,"
Drama, Thriller            ",(2009)
Siccin 2,Alper Mestçi,6.6,1846,"
Horror, Thriller            ",(2015)
Börü,Can Emre,7.1,1836,"
Action, Thriller, War            ",(2018)
Tschiller: Off Duty,Christian Alvart,4.1,1452,"
Action, Crime, Thriller            ",(2016)
Gecenin Kanatlari,Serdar Akar,4.8,1441,"
Drama, Romance, Thriller            ",(2009)
Le orme,Luigi Bazzoni,6.8,1402,"
Mystery, Thriller            ",(1975)
Game Over,Ashwin Saravanan,7.8,1311,"
Drama, Thriller            ",(I) (2019)
Direnis Karatay,Selahattin Sancakli,7.0,1104,"
Action, History, Thriller            ",(2018)
Teyzem,Halit Refig,7.7,1081,"
Drama, Thriller            ",(1986)
Antikaci,Aclan Bates,7.4,1018,"
Drama, Thriller            ",(2015)
Öteki Taraf,Özcan Deniz,6.3,1006,"
Drama, Thriller            ",(2017)
Bay E,Sinan Çetin,2.8,1000,"
Comedy, Fantasy, Thriller            ",(1995)
Silsile,Ozan Açiktan,6.5,993,"
Crime, Drama, Thriller            ",(2014)
Askin Gören Gözlere Ihtiyaci yok,Onur Ünlü,5.3,939,"
Drama, Thriller            ",(2017)
Ses,Ümit Ünal,5.1,898,"
Horror, Thriller            ",(2010)
Housewife,Can Evrenol,4.8,896,"
Horror, Thriller            ",(II) (2017)
Reminiscence,Akçay Karaazmak,4.8,870,"
Horror, Romance, Thriller            ",(2014)
Seytan-i racim,Arkin Aktaç,4.0,859,"
Horror, Thriller            ",(2013)
Karadedeler Olayi,Erdogan Bagbakan,3.5,807,"
Horror, Thriller            ",(2011)
Ev,Alper Ozyurtlu,5.9,804,"
Drama, Thriller            ",(2010)
Seytan,Metin Erksan,4.5,764,"
Comedy, Horror, Thriller            ",(1974)
Gomeda,Tan Tolga Demirci,2.2,748,"
Fantasy, Horror, Thriller            ",(2007)
Manyak,Onur Ünlü,6.0,738,"
Comedy, Drama, Thriller            ",(2018)
Cut,Amir Naderi,5.0,685,"
Drama, Thriller            ",(I) (2011)
Ben O Degilim,Tayfun Pirselimoglu,6.6,681,"
Crime, Drama, Thriller            ",(2013)
Kaygi,Ceylan Özgün Özçelik,6.6,645,"
Drama, Thriller            ",(2017)
Nokta,Dervis Zaim,6.8,637,"
Crime, Drama, Thriller            ",(2008)
Çocuklar Sana Emanet,Çagan Irmak,5.4,499,"
Drama, Mystery, Thriller            ",(2018)
Omiros,Constantine Giannaris,6.1,498,"
Crime, Drama, Thriller            ",(2005)
Musabbar,Engin Tutus,4.9,462,"
Horror, Thriller            ",(2019)
Karisik pizza,Umur Turagay,5.8,454,"
Comedy, Crime, Thriller            ",(1998)
Muska,Özkan Çelik,3.4,439,"
Drama, Horror, Thriller            ",(2014)
Tutsak,Beyza Çimenot,5.6,432,"
Horror, Thriller            ",(2018)
Yol kenari,Tayfun Pirselimoglu,7.1,420,"
Drama, Thriller            ",(2017)
Konak,Cem Akyoldas,3.2,395,"
Horror, Thriller            ",(2009)
Kuyu,Metin Erksan,7.3,356,"
Drama, Thriller            ",(1968)
Vivre pour survivre,Jean-Marie Pallardy,4.4,351,"
Action, Drama, Thriller            ",(1985)
Takiye: Allah yolunda,Ben Verbong,5.3,340,"
Drama, Thriller            ",(2010)
Umut adasi,Mustafa Kara,5.5,323,"
Adventure, Drama, Thriller            ",(2006)
Mihrez: Cin Padisahi,Doga Can Anafarta,3.2,276,"
Horror, Thriller            ",(2015)
Beyoglu'nun arka yakasi,Serif Gören,6.5,274,"
Thriller            ",(1986)
htr2b: Dönüsüm,Osman Evre Tolga,5.4,271,"
Horror, Thriller            ",(2012)
Deprem,Serif Gören,6.5,269,"
Drama, Romance, Thriller            ",(1976)
Eksik sayfalar,Ozan Çobanoglu,5.8,258,"
Drama, Thriller            ",(2013)
Helak: Kayip Köy,Özgür Bakar,4.3,246,"
Horror, Thriller            ",(2015)
Üç Harfliler: Adak,Alper Mestçi,7.3,223,"
Horror, Thriller            ",(2019)
Münafik,Ozkan Aksular,4.7,218,"
Drama, Horror, Thriller            ",(2015)
Film,Kerem Topuz,6.0,199,"
Comedy, Drama, Thriller            ",(2011)
Benzersiz,Ilker Sari,4.8,174,"
Thriller            ",(2017)
Nehir,Serif Gören,6.1,174,"
Adventure, Crime, Thriller            ",(1977)
Muhurlu Kosk,Serkant Yasar Kutlubay,1.3,171,"
Thriller            ",(2011)
Karinca Kapani,Firat Tanis,5.5,170,"
Crime, Thriller            ",(2014)
Yumurcak kücük sahit,Türker Inanoglu,4.5,141,"
Crime, Thriller            ",(1972)
La rossa dalla pelle che scotta,Renzo Russo,5.3,140,"
Crime, Thriller            ",(1972)
Bordo Bereliler Afrin,Erhan Baytimur,1.7,133,"
Action, Thriller, War            ",(2018)
Azap,Ulas Gunes Kacargil,5.0,133,"
Horror, Thriller            ",(2015)
Kirmizi,Mustekin Yucel,3.7,133,"
Drama, Thriller            ",(I) (2015)
Iz,Yesim Ustaoglu,6.5,131,"
Thriller            ",(1995)
Azazil 2: Büyü,Mustafa Özen,3.1,129,"
Horror, Thriller            ",(2016)
Melekler Evi,Ömer Kavur,4.4,127,"
Thriller            ",(2000)
Seytan-i Racim 2: Ifrit,Murat Toktamisoglu,2.7,124,"
Horror, Thriller            ",(2015)
Cereyan,Mert Dikmen,4.5,108,"
Thriller            ",(2017)
Saruhan,Emre Konuk,7.7,99,"
Action, Biography, Thriller            ",(2016)
Cinni: Uyanis,Emre Aydin,7.0,96,"
Horror, Thriller            ",(2016)
Ölüler konusmaz ki,Yavuz Yalinkiliç,5.3,95,"
Horror, Thriller            ",(1970)
Alkarisi: Cinnet,Muzaffer Gülçek,2.8,90,"
Horror, Thriller            ",(2015)
Seytan Oyunu,Kadir Genç,8.4,85,"
Horror, Thriller            ",(2019)
Çöl,Çetin Inanç,5.1,84,"
Action, Crime, Thriller            ",(1983)
Çirkin dünya,Osman F. Seden,6.3,81,"
Crime, Drama, Thriller            ",(1974)
Kendinol,Serkan Ozarslan,4.9,75,"
Thriller            ",(2015)
Kötü tohum,Nevzat Pesen,7.2,73,"
Crime, Drama, Thriller            ",(1963)
Istanbul,Mats Arehn,4.4,67,"
Thriller            ",(1989)
Üç Harflilerin Musallat Oldugu Büyülü Konakta Ruh Çagiran Gençlerin Hazin Hikayesi,Sinan Kaçar,4.3,65,"
Comedy, Horror, Thriller            ",(2018)
Durak,Serdar Gözelekli,5.3,61,"
Thriller            ",(2016)
Ayaz,Hakan Kursun,3.3,60,"
Action, Drama, Thriller            ",(2012)
Akrep Yuvasi,Melih Gülgen,6.0,55,"
Action, Crime, Thriller            ",(1977)
La polizia brancola nel buio,Helia Colombo,5.4,53,"
Mystery, SciFi, Thriller            ",(1975)
Muna,Serdar Gözelekli,6.4,52,"
Drama, Thriller, War            ",(I) (2015)
Sinsiran: Yasak ask,Samet Çakirtas,2.9,51,"
Drama, Horror, Thriller            ",(2017)
Kamp,Mustafa Kara,3.9,51,"
Action, Drama, Thriller            ",(2013)
Kara Murat: Mora'nin atesi,Murat Derman,5.9,50,"
Action, Adventure, Thriller            ",(2015)
Bersaglio altezza uomo,Guido Zurli,5.4,50,"
Action, Crime, Thriller            ",(1978)
Kadin düsmani,Ilhan Engin,6.9,49,"
Mystery, Thriller            ",(1967)
Cin Çesmesi,Tuncer Gürbüz,4.7,47,"
Horror, Thriller            ",(2018)
Enkaz,Alpgiray M. Ugurlu,5.5,47,"
Drama, Thriller            ",(2016)
Sekerat Son,Seyda Sen,4.7,44,"
Horror, Thriller            ",(2016)
Arzu,Sahin Gök,4.4,43,"
Drama, Thriller            ",(1985)
Dikkat... Kan araniyor,Temel Gürsu,6.4,43,"
Drama, Thriller            ",(1970)
Il sesso del diavolo,Oscar Brazzi,5.5,38,"
Drama, Thriller            ",(1971)
Gün ortasinda karanlik (Anne),Memduh Ün,6.7,37,"
Drama, Thriller            ",(1990)
Cinayet-i Ask,Ahmet Küçükkayali,3.4,36,"
Fantasy, Horror, Thriller            ",(2017)
