Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Dag II,Alper Caglar,9.1,101109,"
Action, Drama, War            ",(2016)
The Ottoman Lieutenant,Joseph Ruben,6.6,22863,"
Drama, War            ",(2017)
Kurtlar Vadisi: Irak,Serdar Akar,5.8,16169,"
Action, Drama, War            ",(2006)
120,Özhan Eren,7.3,6214,"
Drama, History, War            ",(2008)
Fort Bliss,Claudia Myers,6.4,2786,"
Drama, War            ",(2014)
Annemin Yarasi,Ozan Açiktan,7.4,2047,"
Drama, Mystery, War            ",(2016)
Börü,Can Emre,7.1,1836,"
Action, Thriller, War            ",(2018)
Deliler,Osman Kaya,5.7,1468,"
Action, History, War            ",(2018)
Türk Isi Dondurma,Can Ulkay,6.6,952,"
Drama, History, War            ",(2019)
Hürkus,Kudret Sabanci,6.1,878,"
Biography, History, War            ",(2018)
Can Feda,Çagatay Tosun,5.4,800,"
Action, War            ",(2018)
Gitmek: Benim Marlon ve Brandom,Hüseyin Karabey,6.7,781,"
Drama, Romance, War            ",(2008)
Remake,Dino Mustafic,7.7,751,"
Drama, History, War            ",(2003)
Çanakkale Çocuklari,Sinan Çetin,2.2,721,"
Drama, History, War            ",(2012)
Eve Dönüs: Sarikamis 1915,Alphan Eseli,7.2,649,"
Drama, History, War            ",(2013)
Eve giden yol 1914,Semir Aslanyürek,4.9,628,"
Drama, History, War            ",(2006)
Kiliç Aslan,Natuk Baytan,6.1,558,"
Action, Adventure, War            ",(1975)
Senede bir gün,Ertem Egilmez,7.0,382,"
Drama, Romance, War            ",(1971)
Tas Mektep,Altan Dönmez,5.5,203,"
Drama, History, War            ",(2013)
Hababam taburu,Hulki Saner,5.1,196,"
Adventure, Comedy, War            ",(1975)
And: Geçmisin bedeli,Ümit Degirmenci,1.5,157,"
Drama, War            ",(2018)
Bir Millet Uyaniyor,Ertem Egilmez,7.3,156,"
Drama, War            ",(1966)
Vurun kahpeye,Lütfi Akad,6.1,136,"
Drama, War            ",(1949)
Bordo Bereliler Afrin,Erhan Baytimur,1.7,133,"
Action, Thriller, War            ",(2018)
Sari siyah,Levent Akçay,4.7,130,"
Drama, History, War            ",(2013)
3 Yol,Faysal Soysal,6.1,123,"
Drama, Mystery, War            ",(2013)
Bêrîtan,Jinda Baran,6.9,116,"
Drama, War            ",(2006)
Yaban,Nihat Durak,6.5,107,"
Drama, War            ",(1996)
Osmanli kartali,Osman F. Seden,6.1,104,"
Drama, War            ",(1969)
Düsman yollari kesti,Osman F. Seden,7.3,94,"
Drama, War            ",(1959)
Selahattin Eyyubi,Süreyya Duru,4.9,94,"
Biography, History, War            ",(1970)
Önce vatan,Duygu Sagiroglu,5.9,81,"
Drama, War            ",(1974)
Bir millet uyaniyor,Muhsin Ertugrul,6.8,80,"
Drama, War            ",(1932)
Vurun kahpeye,Orhan Aksoy,6.5,77,"
Drama, War            ",(1964)
Sezercik küçük mücahit,Ertem Göreç,4.1,75,"
Drama, War            ",(1974)
Vatan ve Namik Kemal,Duygu Sagiroglu,6.4,71,"
Drama, War            ",(1969)
Çanakkale aslanlari,Turgut Demirag,7.4,56,"
Drama, War            ",(1965)
Gazi kadin,Osman F. Seden,7.2,54,"
Biography, Romance, War            ",(1973)
Ingiliz Kemal,Ertem Egilmez,6.7,53,"
Adventure, Drama, War            ",(1968)
Muna,Serdar Gözelekli,6.4,52,"
Drama, Thriller, War            ",(I) (2015)
Ingiliz Kemal Lawrense karsi,Lütfi Akad,6.6,50,"
Adventure, War            ",(1952)
Kaçis 1950,Ibrahim Biçer,6.1,38,"
Drama, History, War            ",(2015)
On korkusuz adam,Tunç Basaran,5.4,37,"
Adventure, War            ",(1964)
Son akin,Yilmaz Atadeniz,5.5,37,"
Adventure, History, War            ",(1982)
Atesten Gömlek,Muhsin Ertugrul,6.8,33,"
Drama, War            ",(1923)
Kore'de Türk kahramanlari,Seyfi Havaeri,6.9,30,"
Drama, War            ",(1951)
Yavuz Sultan Selim agliyor,Sami Ayanoglu,6.7,29,"
Drama, War            ",(1952)
Aslan Bey,Yavuz Yalinkiliç,5.1,27,"
Adventure, War            ",(1968)
Izmir Atesler Içinde,Nuri Ergün,7.0,26,"
Drama, Romance, War            ",(1959)
