Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Yahsi Bati,Ömer Faruk Sorak,7.4,27006,"
Comedy, Western            ",(2009)
Agit,Yilmaz Güney,7.3,456,"
Crime, Drama, Western            ",(1972)
Seyyit Han: Topragin Gelini,Yilmaz Güney,6.8,287,"
Drama, Western            ",(1968)
Atini seven kovboy,Aram Gülyüz,5.0,179,"
Comedy, Western            ",(1975)
Aç kurtlar,Yilmaz Güney,6.4,153,"
Adventure, Drama, Western            ",(1969)
Küçük kovboy,Guido Zurli,4.4,139,"
Western            ",(1973)
Ince Cumali,Yilmaz Duru,6.3,126,"
Adventure, Drama, Western            ",(1967)
Maskeli besler,Yilmaz Atadeniz,6.0,77,"
Western            ",(1968)
Korkusuz Kaptan Swing,Tunç Basaran,5.2,63,"
Adventure, Comedy, Western            ",(1971)
Zagor kara bela,Nisan Hançer,6.6,56,"
Western            ",(1971)
Zagor kara korsan'in hazineleri,Nisan Hançer,6.6,51,"
Adventure, Western            ",(1971)
Kanunsuz kahraman - Ringo Kid,Zafer Davutoglu,4.8,51,"
Western            ",(1967)
Silah ve namus,Ertem Göreç,6.0,46,"
Adventure, Drama, Western            ",(1971)
Yedi belalilar,Irfan Atasoy,5.9,41,"
Action, Adventure, Western            ",(1970)
Cilali Ibo Teksas fatihi,Mehmet Dinler,5.4,36,"
Comedy, Western            ",(1972)
Maskeli Beslerin Dönüsü,Yilmaz Atadeniz,6.8,32,"
Action, Western            ",(1968)
Kovboy Ali,Yilmaz Atadeniz,5.9,32,"
Action, Adventure, Western            ",(1966)
Çeko,Çetin Inanç,5.3,22,"
Western            ",(1970)
Seytan tirnagi,Taner Oguz,6.2,20,"
Adventure, Western            ",(1972)
Kanun adami,Nazmi Özer,4.7,19,"
Western            ",(1972)
Red Kit,Aram Gülyüz,5.2,18,"
Comedy, Western            ",(1970)
Belalilar,Hasan Karci,3.4,17,"
Comedy, Western            ",(2017)
Cango - korkusuz adam,Remzi Jöntürk,4.5,17,"
Western            ",(1967)
Dadaloglu'nun intikami,Yavuz Figenli,4.6,16,"
Western            ",(1972)
Zorro kamcili süvari,Yilmaz Atadeniz,6.1,15,"
Western            ",(1969)
Kara Sahin,Nuri Akinci,5.3,13,"
Adventure, Western            ",(1964)
Krallarin öfkesi,Yücel Uçanoglu,6.0,12,"
Adventure, Western            ",(1970)
Ölümsüzler,Savas Esici,3.9,9,"
Western            ",(1969)
Ölmek var dönmek yok,Yilmaz Atadeniz,6.3,9,"
Western            ",(1972)
Dag kurdu,Çetin Inanç,5.0,9,"
Adventure, Western            ",(1973)
Vur,Tunç Basaran,5.5,8,"
Adventure, Western            ",(1972)
Zorro'nun intikami,Yilmaz Atadeniz,5.9,8,"
Western            ",(1969)
Maskeli Süvari'nin Dönüsü,Kayahan Arikan,6.4,8,"
Adventure, Western            ",(1969)
Sehvet,Tunç Basaran,2.9,7,"
Western            ",(1972)
Vahsetin esirleri,T. Fikret Uçak,5.3,7,"
Western            ",(1971)
Ringo Gestapo'ya karsi,Cevat Okçugil,5.7,6,"
Adventure, Western            ",(1967)
Ölüm fermani,Kemal Kan,4.8,6,"
Western            ",(1970)
Her kursuna bir ölü,Mehmet Aslan,4.0,6,"
Western            ",(1972)
Bozkir Kuslara Bak Kuslara,Mehmet Tanrisever, , ,"
Drama, Family, Western            ",(2019)
Kara Bomba,Nuri Akinci, , ,"
Action, Western            ",(1972)
Hey Amigo,Nuri Akinci, , ,"
Western            ",(1971)
Ölümünü kendin seç,Yavuz Figenli, , ,"
Western            ",(1971)
Sevimli haydut,Mehmet Aslan, , ,"
Western            ",(1971)
Üçünüze bir mezar,Bilge Olgaç, , ,"
Adventure, Western            ",(1971)
Zorro disi Fantoma'ya karsi,Feridun Kete, , ,"
Adventure, Western            ",(1969)
Zapata,Melih Gülgen, , ,"
Western            ",(1971)
Son düello,Nuri Akinci, , ,"
Western            ",(1972)
Simdi silah konusacak - Pekos Bill,Kayahan Arikan, , ,"
Western            ",(1971)
Safakta silah sesleri,Semih Evin, , ,"
Western            ",(1973)
Ringo vadiler aslani,Yilmaz Atadeniz, , ,"
Western            ",(1969)
Profesyoneller: Kan kin silah,Yavuz Yalinkiliç, , ,"
Western            ",(1971)
Maskeli Süvari Tom Miks'e karsi,Kayahan Arikan, , ,"
Western            ",(1969)
Kinova - demir yumruk,Çetin Inanç, , ,"
Western            ",(1971)
"Kin, silah ve namus",Yavuz Figenli, , ,"
Western            ",(1971)
Kanun kaçaklari: Zalo,Yilmaz Duru, , ,"
Western            ",(1970)
Kader bagi,Türker Inanoglu, , ,"
Western            ",(1967)
Çilginlar ordusu,T. Fikret Uçak, , ,"
Western            ",(1971)
Intikam hirsi,Ahmet Sert, , ,"
Western            ",(1963)
Bir çuval para,Yücel Uçanoglu, , ,"
Western            ",(1970)
Belalilar sehri,Ahmet Sert, , ,"
Adventure, Western            ",(1972)
Bati'dan gelen adam,Savas Esici, , ,"
Western            ",(1971)
Kan ve kin,Natuk Baytan, , ,"
Western            ",(1972)
Ve günese kan siçradi,Ahmet Ündag, , ,"
Adventure, Western            ",(1972)
Ipini boynunda bil,Ferdi Merter, , ,"
Adventure, Western            ",(1971)
Hey amigo 5 mezar,Nuri Akinci, , ,"
Western            ",(1971)
