,0,filename
0,"The third week of school started today. Eventually the classroom was fully available. It seems that we will spend the 2008-2009 academic year with 25 people, of course there may be arrivals and departures.

Last year I was with 1-A, while 1-B was with Aslı. This year 1-A and 1-B merged and we became 2-A. Last year, by Aslı, although it was my first year, we had 1st grade students. Though I started my second term, but okay. Last year, we did whatever we could, we tried hard, we worked and made efforts. Towards the end of the year, we saw that we reaped the fruits of our work. And I was entering so hopeful this year that my dream lasted until the school was opened.

Because all the students of our class did not study in the summer, let alone studying. I was surprised at what I was going through. Even my daughter, who read 75 words per minute in 1st grade and was very fluent in reading this, was reading so slowly that I wanted to cry. Although some students did not finish very well, they were still in the first grade to read quite a bit. Among them, Ercan, Hozan, Büşra shocked me so much that they quit studying and studying for 3 weeks and Hozan and Büşra still could not come to them. Ercan just came to school today :)

My 3-4 students, who come from my master teacher, will make me very difficult. My master teacher was so hard, he spent it reading, at least by spelling; But the students don't even recognize the sounds anymore: S From now on, about 10 people from now on, we will stay in school after school is over and study reading. Let's see what is going to happen.

Of course, the reading part of this work, and they are getting so dumb that we have a lot of work every day :)

Hope we finish at a nice point at the end of the year ?? Come on random ..",1.txt
1,"Hello, we have gathered half of Çırağan's legendary crew, even though we were able to gather. Before going to tomorrow's piloy :) day, we wanted to have an evening pleasure .. How, we had a match that will remember the old days, we were able to do nothing from the tiredness of that match, and we came to ourselves with a shower, after we satiated with our meal, the terrace pleasure started ..
-
We sat on the terrace and put together the chips - cola - peanuts - very science A quartet. This did not get our energy, it added energy :) .. We toured the neighborhood and enjoyed ice cream. When we came back with the okey team, it was obvious that it would not be very difficult to come back from 11.30 to the present (03.), And it also happened. A cunning ispirli could not take it any longer and the event got out of hand and stones were pouring from my pocket when the game was over :)) ..
-
I hope that now our class teacher is coming to Istanbul from the school that was appointed for the meeting of qualified people. I am always happy to be in such a crew, and now I am happy as well. It protects against people :)

I hope to bring you a small review article after the piloy day tomorrow, maybe tomorrow night will be longer. :))",10.txt
2,"I can say that we brought Istanbul upside down.

My uncle called me in the morning to ask if you could buy some spices from Egypt Market. This request I received from him is my order and I immediately made a plan. I told them that my uncle was looking at the weather in Istanbul on the internet and that he was very beautiful, because he loved my uncle Orhan and Dilek very much. AKSOY ?? s words are not broken that they did not do it and our adventure started.

First of all, we went to the Auto Market and started researching automatic gear and diesel cars. I think we were in 2-3 hours on Sunday. (Prices are cheaper on the internet: S) Then we skipped Beyazit ?? a. We walked in Beyazit to Sultanahmet for sightseeing and taking pictures.

When I came to Sultanahmet Square, I remembered a very old tree photo I posted on Facebook. I took a picture of that tree 3-4 years ago and I was very curious about its current state. We circumambulated the square in the dark, and I dragged Orhan and Dilek from behind me. I persisted that I should see that tree. Search for God, call for God, no brother agaç: S Dilek ?? in ?? yaw as if we are looking for a burial ?? The word hit me in a strange way, I felt like I gave up looking good-bye, so it would be more correct if I said that my desire has decreased. Velhasil, I couldn't find that tree in the dark, but next time I go, I will find reason.

After Sultanahmet Square, we went down to Gülhane Park next to Topkapi Palace. We sat down in the park for a while and I tried to take some pictures. It was not fun at all because it was dark. We chatted a little. Then, after walking the Gülhane Park singing songs, we took our breath in Sarayburnu. We went from Sarayburnu to the Egyptian Bazaar, singing and singing. We bought the spices my uncle wanted from me (us). The man who sold the spices told us a lot of creepy stories about people with 3 letters Dilek and I would shake, we were furrowed

After Egypt Market, we passed to Eminönü's coastal side and reached Karaköy by walking on the bridge. We went to Istiklal Avenue from Karaköy through Tunnel.

We looked for the boots that Dilek saw on the feet of Su in Kavak Yelleri on Istiklâl Caddesi. We walked around the shops, took photos, looked at entertaining places and so on. We felt we were hungry. Actually, he calls me stingy, but we went into McDonalds even though I did not rebel so much because of the economic squeeze of Orhan. I just sang nuggets with remorse. It is for the girl in the cash register to fill the quota and earn 100 credits. While we were buying the food, Dilek ?? An old lady sat next to her.

When I said what is what this lady, I immediately got to know. In his words, a young lady with shoes like a baby grave stepped on the feet and was very hurt. He immediately sat down at our table, and Dilek, who likes to talk to people as much as I do, set the stage. I brought the food to the table and Dilek and Orhan went to the sink, this time I dived deeper into the conversation at McDonalds and chatted with that old lady for about 2 hours.

I say lady because she is really a lady of Istanbul. She lives alone in Gümüssuyu in a very decent neighborhood. 2. did not get married after her husband passed away. His financial situation is very good and he loves to live life. He says, where the movement is, I'm there. He tells us that I have traveled all over Turkey and even many countries of the world, but I could not find the excitement I found on Istiklâl Caddesi anywhere. He has never worked all his life, has always lived with fun, and even now he is very, very happy. He told about the places he went to dance in his youth, the lifestyle they lived in those days, and it was so enjoyable for us to talk to that lady. It was the name that added color to the night for us.

After supposedly feeding our stomach (!), We dived into Istiklâl Caddesi again and realized that we were not able to look around, we decided that returning home was the most logical option. Tired but happy, we dispersed into our homes.

It was a wonderful day for me, Orhan ?? a and Dilek ?? Thank you forever. Everything was great, you are glad you are.

I wish everyone a happy life",100.txt
3,"hey hey !!!! I'm so happy my exams are over. I swear I'm very happy girl. I couldn't study for the last exam last night because the exams were going to end. Mummy said, ""baby, what is it to get excited about? Do you do something when your exams are over? It's as if you come home again."" In other words, if even the mother of man makes fun of his asociality, his situation is bad. but I am not unhappy at all. though the doctor gave prozac so it could be.

I could not sleep last night again. At the middle end, there were 4 girls in another branch, we did not talk at all, they were girls in their own right, at 8 c. I was trying to remember their names. Mergezer, elif, brilliant, and ... I couldn't remember the name of the fourth. ABOUT what I was telling me, whatever. let me sleep but it drove me crazy. So I got up and looked at the middle school yearbook. I could not find the fourth daughter. So they were threes. This disappointed me. then I read the yearbook, the high school part. They were all children 3 years older than me. but what a beautiful generation it was. then I closed my eyes and saw in my dream secondary school that I graduated from.

I'm so happy i am so happy maybe tomorrow I'll go to sea hunters. Or at least let me look for that valiant light. came to mind.",101.txt
4,"On January 29, 2007, a long time has passed since I wrote my last article on Milliyet Blog pages, where my first article was published. My last post is on November 26, 2008. It has been about four months. We Won't Always Get Bad News Ya! ?? I hope you remember the good news I gave you in my article titled?
In this period when I was away from you and the MB ?? I have experienced many events that made me happy both in my private life and in my work on the Turkish Aeronautical Association. For example, I became a grandfather on January 18, 2009. (I learned that this topic is on our MB page and that some of my friends show the courtesy of congratulating me with their messages in the Logbook.) I was happy with the way THK Çankaya Branch Young Wings made in aviation. My dear Sabiha Gökçen has crowned my happiness with the inclusion of his picture in the Google logo on his death anniversary (March 22).
It has been raining in Ankara for the last three days.
Even though the sun shows its face every now and then, an effective rainfall still persists. I perceive these rains as the gift of the sky to the nature, which begins to come alive with the spring. ""Abundance is pouring from the sky"" With the words of my late grandmother. With these rains, the seeds that have fallen on the ground will turn into a sapling, and the saplings will turn into trees. The old trees that have witnessed the flow of years, will still embrace the land and life ??
For some people, this covered sky and rain, which evoke gloom and sadness, created such a mood in me; happy and hopeful for the future ??
This happiness is the ""abundance"" of the traditional Anatolian sages loaded in the rain. Besides its description, it also stems from the idea that less of our forest will be sacrificed to fires in the coming summer.
Yes, Dear Milliyet Bloggers / Readers, My friends, less of our forest area will burn in this summer season. Our new Fire Planes, which will be the guardian angels of our forests, will stretch their wings over our forests like guardian angels, and will do whatever it takes to prevent forest fires. The hero Fire Pilots of the Turkish Aeronautical Association will go to the fire fight with greater faith and stronger.
It has been raining in Ankara for the last three days.
On Friday, March 20, 2009, at 18.07, a plane landed at Esenboğa Airport, which airport personnel do not often encounter. An amphibious aircraft, purchased by the Turkish Aeronautical Association, with a water throwing capacity of 5.5 tons, capable of supplying water from both land and any water source (sea, lake, dam, etc.).
This plane, which Milliyet Blog writers and readers contributed to the purchase, donated by the bank and by phone messages, reached its new home at 20.55, after the customs procedures were completed, and the Türkkuşu General Directorate, Etimesgut Square. He is now waiting for his other four siblings to arrive.
It has been raining in Ankara for the last three days.
This rainy weather creates neither gloom nor sadness in me. I am happy, my friends.
I became a grandfather on January 18, 2009. Turkish Aeronautical Association Çankaya Branch Genç Wings has come a long way in aviation. On the eighth anniversary of his death; Girl of Sky, Turkish Girl, Atatürk Girl Dear Sabiha Gökçen, decorated the Google logo with her bright face. I believe I have contributed to the purchase even if it is small; The first of 5 amphibious firefighting aircrafts with 5.5 tons of water throwing capacity came to Ankara ??
In the last İnönü Meeting, you know, on behalf of this name ?? Cemal Uygun / Milliyet Blog İnönü Spring Meeting ?? Saying, Dear Cemal Uygun, Dear Alev Meisel, in the meeting where my teacher could not attend? I see you sad. If the reason for this sadness is what is posted on Milliyet Blog, do not worry about it. This attitude does not suit the pilot of my leader ???? He said. Dear Alev, I wish you could see me these days .. I think you would see my happiness at first sight.
These planes were acquired with a long effort. Sleepless days, tense moments, bargains to the point of breaking. I do not want to write these and bother you. But, in the purchase of these planes, he has free himself from limitations such as working hours, respects his work and sometimes spends a whole week traveling. I would like to send my heartfelt thanks to my dear friend Mr. A. Tarık Akça, the Director of Turkish Aeronautical Association Gökçen Aviation, who made superhuman efforts to purchase these planes under the most favorable conditions without going to sleep, resting, maybe even going home. (My friends who attended the last Milliyet Blog İnönü Meeting will definitely remember Mr. A. Tarık Akça with his beautiful presentation.)
It has been raining in Ankara for the last three days.
I am very happy, my dear friends. Today, I was on the plane that came first from the 5 Amphibious aircraft purchased by the Turkish Aeronautical Association. I posted the list of names of my friends, whose names I wrote in some of my writings, in the cabin of this plane, which resembles a huge hangar, from Milliyet Bloggers. Also, the open names of my friends who want their names to be kept secret and not to be written in my article in MB ??
It has been raining in Ankara for the last three days.
I'm happy my friends ??",102.txt
5,"I now understand better what it means to want and ""fail yet"".
I like to close my eyes at the table and pretend to play the piano, and imagine that the book in my hand is my own book ... I like to never get full, to always find something to want to do, and to get strength from it.
I don't care what people are, who they are or who they want to be, and what they're trying to do. I have no worries about who Mozart, Bach, Orhan Veli are, where the young person is going, or how likely he is to exist tomorrow, which is a news of what we should have in this life. Today I am so happy ...
I love living life at my fingertips. I love to live my thoughts, pleasures, desires, hatreds on my fingers. I love being able to say words to the harmony of letters, to name what I write, to be able to compose the sounds coming from my guitar. I love to wait for the day when I can meet my wishes ...
Now, this is my birthday. The day I started feeling, when I could stand on my own feet. An immaculate expectation, a bright future. My inability to read literature, my title I gained from being included in the herd; I'm a computer engineer, but whatever I do, my family is always there for me.
Let everything, every success I have earned, every award I receive, be my gift to you.",103.txt
6,"I'm so happy, so !!! I ordered my food about half an hour ago, my condition when the first photo came +) then I deleted all of them with animal instincts in 5 minutes.",104.txt
7,"Everything is wonderful, I am so happy that no human being in the world can be happier than me. We're shutting down the internet today. It may close on Wednesday, but I think they close today. Now there is a 'Kevser' who gave up on himself. I will not be as I want, but as they want .. I hope I will give my happiness and take my peace. I hope they don't see much peace. They still don't understand. The only thing this girl will give her life to actually have is freedom.",105.txt
8,"MY LORD ACCEPTS PRAYERS. AMINE
I NEVER READ TO THE EXPOSITOR.I WANT TO READ. CAN YOU HELP ME MY FRIEND MY MFD SAYS WE HAVE PRAYER TIME ON THURSDAY.
NOW THERE IS A FEEL THAT I OWN IN ME. WHEN THIS IS READ, MY WIFE WILL RETURN TO ME AND HER CHILD. I ALWAYS MOVE MY MIND. BECAUSE I LOVE HIM. Let the feelings in the heart of the cruel quench, turn his back and turn to his child, insha'Allah.I will fast for God's consent in a sacrifice.",106.txt
9,"I STARTED TO WEAKEN AND I WANT TO SHARE MY HAPPINESS WITH YOU THAT I WROTE MY FRIEND WHO WANT TO WEAKEN THE TOPIC, I COPY THE COMMENT AND PASTE IT HERE MAYBE IT WAS HUMANITARIAN.
I was 160 and 77 kilos at the age of 30, I had to quit the 2nd day, sometimes I was defeated by my will, I often dropped my blood pressure, I could not reach the result, I lost 9 * 10 kilos in one month and 12 * 13 kilos in the other month, and I got it back for months. I did not lose weight because of those drugs, I did not look after it, I went home, I ran 3 * 5 km a day in the first days, I ran 3 * 5 km a day, and then I left it because it works in the long term, and then I went because these huge vibrating devices are vibrating and weakened by vibrating I bought it, but generally the room was very expensive I tried it for a while, again, the room did not work, I was going to get mad, now I was going to be depressed with 160 cm and 77 kilos. I could not use expensive tools for a long time because of these pounds, I could not use it for a long time. We entered the market of a big shopping center, happy with my mother I looked there to do fax shopping, there is a crowd there, you know twist stippers or you know where you are, you step on the spring or something, the folks were on the campaign, I said 49 ytl, I said, I gave the money of the world to the previous tools and they were all brands even they were working in the long term. I didn't even hear this 49-year-old brand, I said it would work, and I said whatever it is boring, I will take it where I am at home, I said it will be my name. I asked a girl who bought it at that time. He took fat, he strengthened his muscles, he lost 8 kilos per month, he said, I was shocked, I bought it with 49 YTL 12 installments immediately, and I brought it home, girls believe me, it is great, I can hardly take 200 steps in 6 minutes, I am so tight your springs but in 6 minutes you are in sweat and your legs are officially flesh broken Two laths are attached to the bidet tips, pull them and you melt your arm fat in the rest I think I am pulling it, it is hard to pull it in every 2 steps when you take a step, because when you add salt or something, your arms shake, it is such a disgusting image I got rid of that image it became like stone my arms did not cross my sleeves I think my arms were weakened, my legs were left where they were in the night :) I was amazed that I could buy something nice for such a cheap price I could not coincide if I searched there is a small indicator showing the number of steps per calorie per minute I burn 200 steps 30 calories in 6 minutes I repeat this in the form of 6-minute 200-step 30-calorie sessions I can not do more yet I can't afford it folks I can do it even for 15 minutes in a day out, I can't afford it yet, guys, I feel both cheap and healthy, I feel very healthy.",107.txt
