Open,High,Low,Close
0.083,0.09708,0.0824,0.09681
0.09685,0.09685,0.08742,0.09291
0.09291,0.1021,0.09221,0.09655
0.09652,0.10118,0.09591,0.10005
0.10005,0.10005,0.0942,0.09813
0.09815,0.10676,0.09722,0.10512
0.10512,0.11916,0.10289,0.11764
0.11764,0.13877,0.1147,0.12993
0.12992,0.12993,0.11744,0.12403
0.12401,0.12428,0.11026,0.11846
0.11843,0.12726,0.11767,0.12523
0.12519,0.12849,0.12036,0.12685
0.12689,0.136,0.12078,0.12427
0.12426,0.135,0.1208,0.13256
0.13254,0.13283,0.12732,0.13069
0.13071,0.13333,0.11829,0.12602
0.12605,0.12671,0.12163,0.12224
0.12224,0.12475,0.11823,0.1227
0.12267,0.12475,0.12113,0.12402
0.12401,0.12431,0.11465,0.11771
0.11772,0.12468,0.11671,0.12321
0.1232,0.12466,0.12032,0.1238
0.12385,0.12607,0.12333,0.12422
0.1242,0.12437,0.12053,0.12197
0.122,0.14588,0.12195,0.14362
0.14368,0.15464,0.14131,0.14849
0.14847,0.14983,0.13,0.13859
0.13861,0.15101,0.13399,0.14904
0.14904,0.14998,0.138,0.13972
0.13976,0.1426,0.13687,0.1406
0.14056,0.14133,0.13552,0.13878
0.13876,0.14691,0.13814,0.1441
0.14415,0.1485,0.1258,0.13375
0.13381,0.1393,0.132,0.1373
0.13735,0.14825,0.13611,0.14335
0.14333,0.14533,0.1397,0.14227
0.14229,0.14585,0.13986,0.14444
0.14441,0.14746,0.1327,0.13888
0.13891,0.14788,0.13723,0.14696
0.14695,0.1523,0.142,0.14512
0.14512,0.14653,0.14162,0.14383
0.14376,0.1445,0.13131,0.13685
0.13685,0.13787,0.12336,0.1367
0.1367,0.14212,0.13161,0.13944
0.13943,0.14117,0.13739,0.13826
0.13826,0.1418,0.1362,0.13837
0.13838,0.13961,0.13483,0.13882
0.13882,0.14484,0.13731,0.14039
0.14039,0.144,0.13374,0.13691
0.13686,0.13832,0.1258,0.12966
0.12964,0.13453,0.12605,0.13413
0.1342,0.13436,0.1214,0.12315
0.12314,0.12618,0.1182,0.12515
0.12516,0.1259,0.11929,0.12141
0.12146,0.12707,0.12,0.12361
0.12359,0.12395,0.10485,0.11239
0.11239,0.11819,0.11019,0.11435
0.11431,0.11583,0.10211,0.10725
0.10726,0.11166,0.10602,0.10927
0.10926,0.11796,0.10799,0.11623
0.11624,0.11879,0.11369,0.11747
0.11742,0.1268,0.11296,0.12253
0.1225,0.12812,0.11896,0.12445
0.12444,0.12642,0.11031,0.11489
0.1149,0.11693,0.09222,0.09446
0.09448,0.10399,0.09215,0.10156
0.1016,0.10398,0.0854,0.09
0.08998,0.09614,0.0855,0.0926
0.09266,0.09421,0.08603,0.0936
0.09365,0.09699,0.08845,0.09101
0.09105,0.09575,0.08925,0.09331
0.09329,0.0995,0.09318,0.09709
0.09704,0.09755,0.09308,0.09701
0.09696,0.0985,0.09446,0.09771
0.09769,0.09981,0.09234,0.09507
0.09509,0.09787,0.09293,0.09663
0.09659,0.09804,0.09286,0.09313
0.09309,0.09334,0.08951,0.09151
0.09151,0.09475,0.09075,0.09408
0.09405,0.09415,0.08963,0.09093
0.09092,0.09325,0.09044,0.09141
0.09139,0.09223,0.08751,0.08936
0.08936,0.09017,0.077,0.07983
0.07989,0.08335,0.07906,0.08146
0.08148,0.0828,0.07545,0.07663
0.07663,0.08376,0.07549,0.08254
0.08254,0.09867,0.08233,0.09693
0.09691,0.09997,0.09226,0.09547
0.09541,0.10273,0.09419,0.1013
0.10132,0.10671,0.09957,0.1003
0.10026,0.1036,0.09735,0.1011
