Open,High,Low,Close
0.083,0.0835,0.0824,0.08318
0.08317,0.084,0.08315,0.08343
0.08343,0.08455,0.08342,0.08454
0.08454,0.09018,0.0845,0.09014
0.09005,0.09487,0.08938,0.09208
0.0921,0.09708,0.09064,0.09681
0.09685,0.09685,0.09379,0.09497
0.09497,0.0956,0.09222,0.09408
0.09407,0.09491,0.0927,0.09359
0.09359,0.09637,0.09073,0.091
0.091,0.0931,0.08742,0.09202
0.09203,0.09493,0.09146,0.09291
0.09291,0.09475,0.09221,0.09285
0.09289,0.09433,0.09244,0.09423
0.09424,0.0955,0.09282,0.09453
0.09456,0.09963,0.09422,0.09949
0.09949,0.1021,0.09792,0.0989
0.09896,0.09916,0.09519,0.09655
0.09652,0.09946,0.09591,0.09802
0.09806,0.10118,0.0975,0.1001
0.10011,0.10075,0.09836,0.0994
0.09937,0.10036,0.09803,0.09855
0.09854,0.09932,0.09667,0.09869
0.09871,0.10005,0.09752,0.10005
0.10005,0.10005,0.09728,0.09806
0.09802,0.09819,0.09575,0.09676
0.09682,0.09786,0.09524,0.09547
0.09548,0.0963,0.0942,0.09525
0.09519,0.09671,0.09465,0.09605
0.09606,0.09906,0.09473,0.09813
0.09815,0.09896,0.09722,0.09852
0.09857,0.0998,0.09852,0.09948
0.09948,0.09978,0.09763,0.09859
0.09858,0.09892,0.0978,0.09885
0.09884,0.09927,0.09784,0.09851
0.09851,0.10676,0.09831,0.10512
0.10512,0.10652,0.10289,0.10459
0.10459,0.1088,0.10408,0.10646
0.10645,0.10803,0.105,0.10745
0.10746,0.11312,0.10706,0.11216
0.11219,0.11543,0.11151,0.1131
0.11311,0.11916,0.11231,0.11764
0.11764,0.13877,0.1147,0.13355
0.13361,0.13746,0.12694,0.13409
0.13402,0.13535,0.13061,0.13217
0.13221,0.13298,0.1228,0.12632
0.12634,0.13243,0.12575,0.13195
0.13192,0.13212,0.12613,0.12993
0.12992,0.12993,0.11891,0.12325
0.12323,0.127,0.12208,0.12567
0.12573,0.12632,0.1225,0.12448
0.12448,0.12455,0.11744,0.11793
0.11791,0.12246,0.11773,0.1204
0.12041,0.1255,0.12,0.12403
0.12401,0.12428,0.12026,0.12175
0.12178,0.12185,0.11327,0.11515
0.11516,0.11749,0.11026,0.1121
0.11212,0.11716,0.11128,0.11628
0.11626,0.11907,0.1139,0.11871
0.11874,0.1208,0.11641,0.11846
0.11843,0.12282,0.11767,0.12137
0.12138,0.12299,0.11991,0.12215
0.12212,0.12221,0.11818,0.11899
0.11897,0.12224,0.11874,0.12114
0.12112,0.12481,0.12078,0.12242
0.12239,0.12726,0.1222,0.12523
0.12519,0.12736,0.12447,0.12514
0.12516,0.12552,0.12261,0.12433
0.1244,0.12481,0.12097,0.12225
0.12226,0.12527,0.12036,0.12437
0.12433,0.12495,0.12151,0.12286
0.12285,0.12849,0.12211,0.12685
0.12689,0.1335,0.1264,0.13141
0.13142,0.136,0.1308,0.13296
0.13296,0.13386,0.1307,0.131
0.13098,0.13475,0.13039,0.1322
0.13226,0.13438,0.12608,0.12883
0.1288,0.1297,0.12078,0.12427
0.12426,0.12644,0.12327,0.12387
0.12385,0.12546,0.1208,0.12394
0.12392,0.12618,0.12254,0.12554
0.12559,0.12791,0.12388,0.12708
0.12714,0.135,0.12714,0.13317
0.13316,0.13422,0.12966,0.13256
0.13254,0.13282,0.13002,0.1315
0.13148,0.13231,0.12756,0.12873
0.12865,0.13196,0.12732,0.13072
0.1307,0.13283,0.12856,0.1288
0.12881,0.13094,0.12836,0.1289
0.12891,0.13116,0.12856,0.13069
0.13071,0.13333,0.12892,0.1295
0.1295,0.13027,0.12111,0.12399
0.124,0.12516,0.11829,0.1226
0.12264,0.12674,0.12174,0.12615
0.12615,0.12758,0.12418,0.12478
0.12487,0.12657,0.1229,0.12602
0.12605,0.12671,0.12414,0.12508
0.12504,0.12607,0.12163,0.12357
0.1235,0.1253,0.12205,0.12475
0.12477,0.12585,0.12386,0.12437
0.12433,0.12456,0.12229,0.12334
0.12333,0.12373,0.12202,0.12224
0.12224,0.12256,0.11823,0.12005
0.12002,0.12232,0.11979,0.12088
