Open,High,Low,Close
0.2083,0.2197,0.2077,0.2142
0.2142,0.2181,0.2007,0.2046
0.2049,0.2084,0.202,0.2034
0.2034,0.2178,0.2031,0.2177
0.2172,0.2192,0.2079,0.2154
0.2154,0.2314,0.2154,0.229
0.229,0.2363,0.2235,0.2329
0.233,0.2524,0.2296,0.2468
0.247,0.2545,0.2336,0.2417
0.2413,0.2528,0.2282,0.2501
0.2502,0.2949,0.249,0.2794
0.2793,0.2861,0.2607,0.279
0.2793,0.2914,0.2601,0.2653
0.2651,0.2773,0.25,0.2722
0.2723,0.2926,0.2608,0.2881
0.2881,0.3604,0.264,0.3546
0.3546,0.3868,0.3326,0.346
0.346,0.364,0.3319,0.3558
0.3558,0.399,0.3368,0.3883
0.3887,0.3957,0.3425,0.3567
0.3566,0.3706,0.3352,0.3463
0.3461,0.3596,0.3426,0.3456
0.3458,0.3495,0.3233,0.3291
0.329,0.3307,0.31,0.3123
0.3122,0.3374,0.3102,0.319
0.3189,0.3319,0.3037,0.3211
0.3211,0.3245,0.2682,0.2873
0.2875,0.3173,0.2767,0.3143
0.3143,0.3279,0.3058,0.308
0.3076,0.347,0.3033,0.3347
0.3343,0.348,0.3167,0.3271
0.3274,0.336,0.322,0.3279
0.3279,0.3382,0.2591,0.3016
0.3015,0.3235,0.2987,0.3096
0.3097,0.3316,0.3094,0.3266
0.3269,0.3466,0.3211,0.3355
0.335,0.3748,0.3335,0.3638
0.3638,0.3799,0.3345,0.3689
0.3692,0.46,0.3675,0.4524
0.4524,0.4713,0.411,0.4245
0.4245,0.4861,0.403,0.4686
0.4687,0.4875,0.3958,0.4366
0.4361,0.544,0.4067,0.5233
0.5233,0.6965,0.4959,0.6699
0.6688,0.76,0.6191,0.6388
0.638,0.7089,0.5854,0.6342
0.6343,0.6649,0.615,0.6291
0.6291,0.693,0.5812,0.5872
0.5871,0.6071,0.51,0.5567
0.5562,0.6257,0.5,0.5965
0.5964,0.6666,0.592,0.6264
0.6261,0.6345,0.5219,0.5323
0.5314,0.5862,0.511,0.5636
0.5643,0.6375,0.5439,0.6132
0.6137,0.6645,0.5933,0.6293
0.629,0.6391,0.529,0.5609
0.5612,0.589,0.5293,0.55
0.5505,0.5579,0.49,0.5225
0.5226,0.5625,0.5122,0.5337
0.5343,0.5483,0.5229,0.5334
0.5335,0.55,0.5067,0.5181
0.5182,0.5268,0.5014,0.5021
0.5015,0.5536,0.489,0.5168
0.5164,0.5271,0.4186,0.4638
0.4638,0.4716,0.33,0.3486
0.3484,0.3877,0.3311,0.374
0.3738,0.3998,0.316,0.3415
0.3419,0.3874,0.3189,0.3757
0.3756,0.3846,0.3293,0.3722
0.3728,0.3766,0.3367,0.349
0.3489,0.435,0.3376,0.413
0.4129,0.45,0.4012,0.4131
0.4128,0.4151,0.39,0.411
0.4112,0.4181,0.3973,0.409
0.409,0.4159,0.3554,0.3774
0.3774,0.39,0.3651,0.3819
0.3817,0.3884,0.3512,0.3539
0.3539,0.3628,0.3366,0.3598
0.3599,0.376,0.3458,0.3565
0.3566,0.3632,0.3281,0.3369
0.3366,0.3461,0.3248,0.3423
0.3424,0.3589,0.3115,0.3273
0.3274,0.3305,0.2742,0.2873
0.288,0.3136,0.2748,0.3062
0.3063,0.31,0.263,0.269
0.2693,0.3026,0.2633,0.2941
0.2941,0.3278,0.288,0.3174
0.3175,0.3419,0.3135,0.3253
0.3249,0.3277,0.3029,0.3209
0.3205,0.3502,0.3189,0.327
0.3267,0.3437,0.3182,0.3392
0.3392,0.3559,0.3196,0.3469
0.347,0.375,0.3244,0.335
0.3344,0.3401,0.2912,0.3158
0.3158,0.3293,0.3124,0.3154
0.315,0.3206,0.3051,0.312
0.3122,0.3222,0.3076,0.3184
0.3184,0.3213,0.2813,0.2859
0.2862,0.3109,0.2767,0.3063
0.3062,0.315,0.2883,0.3087
0.3088,0.3325,0.3003,0.3286
0.3285,0.3399,0.3189,0.3262
0.3265,0.3385,0.3162,0.3319
0.332,0.3628,0.3284,0.3445
0.3441,0.3564,0.3321,0.3428
0.343,0.348,0.3198,0.3277
0.3277,0.3336,0.3059,0.3148
0.3147,0.317,0.295,0.3001
0.3002,0.3181,0.299,0.3136
0.3132,0.317,0.3086,0.3155
0.3156,0.3174,0.3008,0.3033
0.3033,0.3038,0.2813,0.2866
0.2866,0.3125,0.2849,0.3012
0.301,0.3254,0.3007,0.316
0.316,0.3243,0.3014,0.3093
0.3093,0.3134,0.3034,0.3078
0.3078,0.312,0.297,0.3021
0.3021,0.3066,0.2843,0.2907
0.2907,0.3004,0.2833,0.2878
0.288,0.2923,0.2675,0.2763
0.2762,0.2848,0.2538,0.2569
0.2571,0.26,0.2359,0.2539
0.254,0.2645,0.2482,0.2488
0.2486,0.2618,0.2446,0.2589
0.2591,0.2625,0.2432,0.247
0.2469,0.2469,0.2256,0.2337
0.2337,0.2445,0.2224,0.2383
0.239,0.2548,0.2337,0.2481
0.2481,0.282,0.2478,0.2767
0.2765,0.2976,0.2418,0.2579
0.2579,0.2763,0.2537,0.2667
0.2666,0.2731,0.2531,0.2605
0.2605,0.2932,0.2563,0.2889
0.289,0.295,0.2768,0.2785
0.2783,0.2786,0.2601,0.2665
0.2666,0.2822,0.2627,0.2802
0.2802,0.2806,0.262,0.2661
0.266,0.2726,0.2494,0.2569
0.2567,0.2735,0.254,0.2711
0.2714,0.2794,0.268,0.2744
0.2744,0.2788,0.2535,0.2673
0.2672,0.2719,0.2544,0.2653
0.2654,0.289,0.2639,0.2846
0.2845,0.3254,0.2839,0.317
0.3171,0.3242,0.2796,0.298
0.2981,0.3418,0.2932,0.3357
0.3356,0.3756,0.3268,0.3576
0.3576,0.4212,0.3295,0.3429
0.3422,0.358,0.2733,0.3016
0.3016,0.3168,0.2848,0.3002
0.3004,0.3244,0.2951,0.3127
0.3125,0.3242,0.3007,0.3171
0.3173,0.335,0.3125,0.3289
0.3289,0.3471,0.3024,0.3082
0.3079,0.3493,0.2975,0.3411
0.341,0.3576,0.3381,0.3404
0.3401,0.3737,0.3214,0.3257
0.3257,0.3527,0.3162,0.3431
0.3432,0.3494,0.3271,0.3367
0.3369,0.3442,0.3236,0.3311
0.3309,0.3322,0.2913,0.3011
0.3009,0.31,0.2855,0.3056
0.3053,0.3078,0.2906,0.2936
0.2938,0.2959,0.2763,0.2887
0.2884,0.3168,0.2883,0.3091
0.3092,0.32,0.3047,0.3092
0.3091,0.3188,0.3031,0.3129
0.3129,0.34,0.3129,0.325
0.3251,0.3448,0.3174,0.3396
0.3398,0.3589,0.3236,0.3324
0.3325,0.3657,0.3164,0.353
0.353,0.3848,0.3501,0.3556
0.3556,0.358,0.328,0.3397
0.3396,0.367,0.3118,0.3248
0.3246,0.3483,0.3168,0.3367
0.3365,0.3517,0.265,0.2891
0.2891,0.3149,0.2807,0.3142
0.3144,0.3289,0.302,0.3088
0.3085,0.3218,0.2997,0.3094
0.3093,0.338,0.3006,0.319
0.3188,0.3578,0.3152,0.3578
0.3578,0.362,0.32,0.3461
0.3466,0.3593,0.3273,0.3355
0.3355,0.3368,0.3157,0.3353
0.3358,0.4321,0.331,0.3978
