Open,High,Low,Close
0.2083,0.2112,0.2077,0.209
0.209,0.2099,0.2078,0.2083
0.2083,0.2124,0.2079,0.2122
0.2123,0.2197,0.2109,0.2172
0.2169,0.2186,0.215,0.2156
0.2156,0.216,0.213,0.2142
0.2142,0.2181,0.2136,0.2163
0.2166,0.2177,0.2133,0.2144
0.2142,0.2144,0.2114,0.2129
0.213,0.2151,0.2007,0.2041
0.2045,0.2071,0.2007,0.2041
0.2041,0.2064,0.2038,0.2046
0.2049,0.2064,0.2031,0.2041
0.2041,0.2063,0.2034,0.2057
0.2053,0.2075,0.202,0.2042
0.2042,0.2077,0.2039,0.2055
0.2057,0.2084,0.2052,0.2069
0.2069,0.2072,0.2022,0.2034
0.2034,0.206,0.2031,0.2049
0.2049,0.2069,0.2041,0.2061
0.206,0.2122,0.2056,0.2099
0.2097,0.2132,0.2088,0.21
0.21,0.2158,0.2094,0.2143
0.2143,0.2178,0.2142,0.2177
0.2172,0.2192,0.2146,0.2161
0.2166,0.217,0.212,0.2137
0.2136,0.2145,0.2101,0.2131
0.2134,0.2141,0.2101,0.2115
0.2118,0.2142,0.2109,0.2138
0.2139,0.2159,0.2079,0.2154
0.2154,0.2183,0.2154,0.2176
0.2177,0.2313,0.2176,0.228
0.228,0.2313,0.2262,0.2296
0.2296,0.2314,0.2237,0.226
0.2259,0.2276,0.2229,0.2253
0.2254,0.2308,0.2231,0.229
0.229,0.2305,0.2239,0.2256
0.2256,0.226,0.2241,0.225
0.2246,0.2274,0.2235,0.2274
0.2274,0.236,0.2256,0.2328
0.2327,0.2363,0.229,0.2326
0.2327,0.233,0.2295,0.2329
0.233,0.2353,0.2296,0.2353
0.2353,0.2408,0.2332,0.2406
0.2407,0.2461,0.2386,0.2437
0.2437,0.2455,0.2366,0.2423
0.2425,0.2455,0.2406,0.2451
0.2451,0.2524,0.2446,0.2468
0.247,0.2471,0.238,0.2395
0.2395,0.2537,0.2395,0.2501
0.2506,0.2541,0.2464,0.2532
0.2534,0.2545,0.2336,0.2373
0.2373,0.2439,0.235,0.2379
0.2375,0.2432,0.2372,0.2417
0.2413,0.2414,0.2376,0.2395
0.2393,0.2399,0.2282,0.2315
0.2315,0.2383,0.231,0.2347
0.2347,0.2423,0.2347,0.2417
0.2418,0.242,0.2377,0.2412
0.2416,0.2528,0.2416,0.2501
0.2502,0.2763,0.249,0.271
0.2709,0.2839,0.2705,0.2766
0.2766,0.2776,0.2666,0.2727
0.2727,0.2935,0.272,0.2935
0.2934,0.2949,0.275,0.2766
0.2766,0.282,0.2728,0.2794
0.2793,0.2861,0.2728,0.2741
0.2739,0.2803,0.2703,0.2802
0.2802,0.2802,0.2702,0.2718
0.2721,0.277,0.2607,0.2684
0.2684,0.2714,0.265,0.2687
0.2687,0.2798,0.2687,0.279
0.2793,0.28,0.2688,0.2709
0.2708,0.2723,0.2682,0.2717
0.2714,0.2831,0.271,0.2781
0.2784,0.2914,0.2753,0.2804
0.2805,0.288,0.2601,0.2637
0.2635,0.2726,0.2603,0.2653
0.2651,0.2657,0.2555,0.2567
0.2567,0.2601,0.25,0.2566
0.2563,0.263,0.2513,0.2615
0.262,0.2663,0.258,0.263
0.2634,0.2715,0.2634,0.2696
0.27,0.2773,0.2661,0.2722
0.2723,0.2768,0.2676,0.2703
0.2703,0.2745,0.264,0.2663
0.266,0.2762,0.2608,0.2715
0.2716,0.2864,0.2712,0.2737
0.2737,0.2818,0.2718,0.2774
0.2774,0.2926,0.2771,0.2881
0.2881,0.3036,0.2779,0.2992
0.2996,0.3058,0.2725,0.2834
0.2836,0.2884,0.264,0.2737
0.2736,0.2865,0.271,0.2852
0.2853,0.3556,0.2779,0.3524
0.3521,0.3604,0.3283,0.3546
0.3546,0.3868,0.3386,0.3601
0.3606,0.3623,0.3424,0.3537
0.3536,0.3648,0.346,0.3646
0.3646,0.367,0.348,0.3487
0.3488,0.3521,0.3326,0.3365
0.3367,0.3539,0.3358,0.346
0.346,0.348,0.3319,0.3428
0.3421,0.3461,0.3374,0.3397
0.3398,0.3495,0.3359,0.341
0.341,0.3455,0.3375,0.3416
0.3416,0.364,0.3376,0.357
0.3566,0.3602,0.3495,0.3558
0.3558,0.3653,0.353,0.3563
0.3561,0.3565,0.3498,0.3513
0.3513,0.353,0.3368,0.3448
0.3448,0.3516,0.3406,0.3415
0.3415,0.3631,0.3407,0.362
0.362,0.399,0.361,0.3883
0.3887,0.3957,0.3734,0.3805
0.3802,0.3829,0.3744,0.3815
0.3817,0.387,0.37,0.3755
0.376,0.3878,0.3669,0.3857
0.3858,0.389,0.3425,0.3508
0.3507,0.3777,0.3449,0.3567
0.3566,0.3706,0.3542,0.359
0.359,0.3652,0.3507,0.3525
0.3523,0.363,0.347,0.3524
0.3524,0.355,0.341,0.349
0.3489,0.3544,0.3425,0.3439
0.3439,0.3493,0.3352,0.3463
0.3461,0.3547,0.3436,0.3512
0.351,0.3513,0.3426,0.3438
0.3438,0.3509,0.3431,0.3466
0.3464,0.3538,0.3434,0.3536
0.3537,0.3596,0.3486,0.35
0.3503,0.3544,0.3435,0.3456
0.3458,0.3471,0.3351,0.3435
0.3435,0.3495,0.3433,0.3491
0.3492,0.3495,0.3444,0.3456
0.3456,0.347,0.34,0.3437
0.3431,0.346,0.3341,0.3403
0.3403,0.3403,0.3233,0.3291
0.329,0.3307,0.3193,0.3272
0.3271,0.3277,0.3204,0.3253
0.325,0.3278,0.3218,0.3241
0.3237,0.3253,0.3154,0.3196
0.3197,0.3229,0.3175,0.3217
0.3218,0.323,0.31,0.3123
0.3122,0.3234,0.3102,0.3218
0.3221,0.3296,0.3221,0.3261
0.326,0.3374,0.326,0.3319
0.332,0.3366,0.3272,0.3337
0.3334,0.3334,0.3211,0.3267
0.3267,0.327,0.3172,0.319
0.3189,0.3319,0.3173,0.3247
0.3247,0.3297,0.318,0.3238
0.3237,0.3255,0.3037,0.3141
0.3141,0.3158,0.3086,0.3112
0.3113,0.3144,0.3097,0.3102
0.3102,0.324,0.3097,0.3211
0.3211,0.3245,0.2804,0.2929
0.2928,0.3023,0.2916,0.2981
0.2981,0.3011,0.2907,0.3006
0.3008,0.3026,0.2682,0.2822
0.2822,0.2944,0.2702,0.2923
0.2923,0.2949,0.2788,0.2873
0.2875,0.298,0.2767,0.2923
0.2923,0.3006,0.2907,0.298
0.298,0.2992,0.2858,0.2934
0.2934,0.2996,0.2907,0.299
0.2994,0.3173,0.2956,0.3082
0.308,0.3145,0.306,0.3143
0.3143,0.3267,0.3128,0.3234
0.3236,0.3262,0.3148,0.3184
0.3188,0.3213,0.3129,0.32
0.3202,0.3279,0.314,0.3216
0.3216,0.3253,0.3167,0.3179
0.3179,0.3207,0.3058,0.308
0.3076,0.3353,0.3033,0.332
0.332,0.3375,0.328,0.3303
0.3303,0.347,0.33,0.334
0.3343,0.3381,0.3292,0.3328
0.3328,0.3334,0.3244,0.3316
0.3315,0.336,0.3267,0.3347
0.3343,0.348,0.3325,0.3338
0.3338,0.3368,0.3289,0.3304
0.3304,0.3314,0.3266,0.3293
0.329,0.329,0.319,0.3205
0.3205,0.3249,0.3167,0.3231
0.3232,0.3318,0.3172,0.3271
0.3274,0.3295,0.322,0.329
0.3289,0.3329,0.3233,0.3251
0.3253,0.3303,0.3244,0.3288
0.3288,0.3306,0.3236,0.3275
0.3277,0.3277,0.324,0.3269
0.3269,0.336,0.3266,0.3279
0.3279,0.3382,0.3272,0.3359
0.3359,0.3364,0.2591,0.3066
0.3065,0.3089,0.2917,0.295
0.2951,0.3059,0.2923,0.3043
0.3042,0.3087,0.3027,0.3065
0.3061,0.3075,0.2998,0.3016
0.3015,0.3096,0.2987,0.3083
0.3081,0.3203,0.308,0.3175
0.3178,0.3235,0.3145,0.317
0.3169,0.3189,0.3092,0.313
0.3132,0.3158,0.3104,0.3124
0.3126,0.3135,0.3071,0.3096
0.3097,0.3192,0.3094,0.3141
0.314,0.3224,0.3135,0.3223
0.3223,0.3316,0.3149,0.3192
0.3192,0.3246,0.3164,0.3243
0.3245,0.3246,0.3184,0.3198
0.3199,0.3278,0.3185,0.3266
0.3269,0.3298,0.3211,0.3255
0.3256,0.3399,0.3256,0.3369
0.3369,0.3466,0.3328,0.3346
0.3343,0.3353,0.3245,0.3266
0.3268,0.3354,0.3266,0.3325
0.3323,0.3395,0.3278,0.3355
0.335,0.3553,0.3335,0.3499
0.3498,0.365,0.3438,0.3601
0.3601,0.3672,0.3545,0.366
0.3661,0.3748,0.3619,0.3672
0.3673,0.369,0.3612,0.362
0.3619,0.3653,0.3475,0.3638
0.3638,0.3799,0.3637,0.3714
0.3714,0.3755,0.366,0.3703
0.3704,0.3725,0.3609,0.3629
0.3631,0.3729,0.3544,0.3626
0.3628,0.3662,0.3345,0.3579
0.3578,0.3698,0.3564,0.3689
0.3692,0.3866,0.3675,0.3853
0.3852,0.3933,0.3781,0.3855
0.3858,0.3899,0.38,0.3895
0.3895,0.4155,0.3884,0.4094
0.4097,0.4394,0.4007,0.4205
0.4204,0.46,0.413,0.4524
0.4524,0.4552,0.4311,0.4488
0.4489,0.4713,0.4437,0.4579
0.4579,0.4585,0.4192,0.4501
0.4505,0.451,0.411,0.427
0.4275,0.4387,0.4191,0.4282
0.4282,0.4334,0.42,0.4245
0.4245,0.4525,0.403,0.4245
0.4245,0.44,0.4178,0.4381
0.4386,0.4438,0.4146,0.4271
0.4272,0.4499,0.4229,0.4443
0.4442,0.4861,0.435,0.4842
0.4841,0.4841,0.4544,0.4686
0.4687,0.4875,0.4606,0.4737
0.4737,0.4766,0.4431,0.4536
0.4538,0.4671,0.444,0.4659
0.4659,0.4659,0.4034,0.4161
0.4158,0.4353,0.4043,0.4233
0.423,0.4414,0.3958,0.4366
0.4361,0.4418,0.4107,0.4271
0.4272,0.4298,0.4067,0.4267
0.4274,0.4448,0.423,0.436
0.436,0.4747,0.4318,0.4646
0.4647,0.4859,0.4545,0.4806
0.4805,0.544,0.4747,0.5233
0.5233,0.549,0.505,0.5422
0.5422,0.56,0.5192,0.5595
0.5597,0.5796,0.4959,0.5571
0.5571,0.6655,0.5407,0.6237
0.6239,0.6965,0.595,0.6693
0.6682,0.6831,0.5778,0.6699
0.6688,0.67,0.6191,0.641
0.6422,0.7475,0.6414,0.7124
0.7126,0.754,0.697,0.7275
0.7275,0.76,0.6896,0.6934
0.6927,0.7173,0.6445,0.6711
0.6711,0.6858,0.636,0.6388
0.638,0.6547,0.5984,0.6048
0.6047,0.672,0.5854,0.6673
0.6697,0.6808,0.6335,0.6423
0.6423,0.7089,0.6363,0.6657
0.666,0.6749,0.6321,0.641
0.6408,0.6566,0.6094,0.6342
0.6343,0.6624,0.6225,0.6324
0.6327,0.6566,0.622,0.656
0.6552,0.6649,0.6203,0.6232
0.623,0.6461,0.615,0.638
0.638,0.6606,0.6246,0.6249
0.6249,0.6508,0.6234,0.6291
0.6291,0.6778,0.627,0.6705
0.6709,0.693,0.6426,0.6519
0.6519,0.6712,0.6339,0.6418
0.6412,0.6492,0.5875,0.5929
0.5928,0.6198,0.5835,0.6102
0.6102,0.6153,0.5812,0.5872
0.5871,0.5992,0.5655,0.582
0.5819,0.5945,0.5653,0.5901
0.589,0.6071,0.5689,0.5707
0.571,0.596,0.51,0.5595
0.5594,0.599,0.5585,0.5752
0.5753,0.5935,0.5508,0.5567
0.5562,0.5972,0.5503,0.5529
0.5531,0.5661,0.5,0.5423
0.543,0.5635,0.5351,0.5521
0.5525,0.6147,0.5525,0.5995
0.5995,0.6257,0.55,0.5554
0.5559,0.6049,0.5371,0.5965
0.5964,0.6225,0.592,0.6036
0.6038,0.6441,0.6026,0.626
0.6266,0.6663,0.6264,0.6657
0.6651,0.6666,0.6284,0.6368
0.6368,0.6503,0.6139,0.6386
0.6385,0.65,0.6175,0.6264
0.6261,0.6345,0.5942,0.6186
0.6183,0.6276,0.599,0.6082
0.6073,0.6087,0.55,0.5605
0.5606,0.5836,0.5301,0.5684
0.5684,0.5752,0.5239,0.561
0.561,0.575,0.5219,0.5323
0.5314,0.5473,0.511,0.5441
0.5441,0.5649,0.5264,0.5568
0.5554,0.5725,0.5392,0.5607
0.5608,0.5862,0.5569,0.5637
0.5638,0.574,0.5447,0.5584
0.5582,0.5719,0.5416,0.5636
0.5643,0.5998,0.5479,0.572
0.5725,0.5888,0.5588,0.5817
0.5819,0.586,0.5439,0.5445
0.5445,0.5799,0.5445,0.5776
0.5782,0.5958,0.5644,0.5742
0.5746,0.6375,0.5743,0.6132
0.6137,0.6497,0.5994,0.6315
0.632,0.6355,0.6133,0.6212
0.6215,0.659,0.6134,0.648
0.6483,0.6645,0.6204,0.631
0.631,0.6332,0.5933,0.6137
0.6136,0.6392,0.6025,0.6293
0.629,0.6391,0.5934,0.6102
0.6102,0.6131,0.5798,0.5886
0.5888,0.6037,0.5654,0.5967
0.5975,0.5995,0.5554,0.5766
0.5764,0.5906,0.529,0.5559
0.5559,0.5722,0.548,0.5609
0.5612,0.589,0.5525,0.5773
0.5777,0.5844,0.5435,0.5511
0.5512,0.5638,0.5418,0.55
0.55,0.5717,0.5293,0.5683
0.5681,0.5765,0.5566,0.558
0.5579,0.56,0.5424,0.55
0.5505,0.5579,0.537,0.5456
0.5458,0.5487,0.5339,0.5485
0.5488,0.5573,0.521,0.5264
0.5262,0.5449,0.5139,0.5232
0.5228,0.5328,0.49,0.5068
0.5069,0.5249,0.5009,0.5225
0.5226,0.5395,0.5122,0.5364
0.5366,0.5378,0.5217,0.5231
0.5231,0.5425,0.5204,0.5386
0.5391,0.5625,0.5311,0.5496
0.55,0.5533,0.5316,0.5368
0.5365,0.5387,0.521,0.5337
0.5343,0.5363,0.5229,0.5283
0.5289,0.54,0.5273,0.5385
0.5385,0.5483,0.528,0.5321
0.5309,0.5384,0.5265,0.5352
0.5353,0.547,0.53,0.5361
0.5362,0.5406,0.5334,0.5334
0.5335,0.5499,0.5324,0.5498
0.5498,0.55,0.526,0.528
0.5282,0.5321,0.5207,0.528
0.5276,0.5349,0.5225,0.5264
0.5262,0.5292,0.5237,0.5249
0.5247,0.5278,0.5067,0.5181
0.5182,0.5248,0.5159,0.5215
0.5212,0.5262,0.5101,0.5147
0.5146,0.5253,0.5075,0.5235
0.5238,0.5268,0.5111,0.5134
0.5133,0.5187,0.5094,0.5159
0.5155,0.5175,0.5014,0.5021
0.5015,0.5212,0.489,0.5211
0.5208,0.5536,0.5201,0.533
0.5335,0.5357,0.5138,0.5204
0.52,0.5239,0.5035,0.5187
0.5183,0.5355,0.5142,0.5216
0.5216,0.5235,0.5129,0.5168
0.5164,0.5222,0.5051,0.5129
0.5129,0.5271,0.5035,0.5043
0.505,0.5116,0.4186,0.4588
0.4586,0.4749,0.442,0.4532
0.4525,0.468,0.4346,0.4665
