Open,High,Low,Close
2.592,2.68,2.573,2.659
2.659,2.79,2.6,2.659
2.661,2.809,2.642,2.69
2.688,2.789,2.68,2.779
2.781,2.988,2.746,2.93
2.933,3.13,2.921,3.021
3.018,3.28,2.963,3.249
3.244,3.578,3.157,3.554
3.549,3.8,3.376,3.788
3.792,4.182,3.555,4.053
4.053,4.466,3.88,3.921
3.921,4.197,3.9,4.023
4.028,4.339,3.715,3.872
3.873,4.04,3.801,3.959
3.954,4.148,3.862,4.047
4.052,4.3,3.75,4.077
4.081,4.26,3.943,4.145
4.14,4.516,4.108,4.36
4.362,4.52,3.971,4.202
4.202,4.259,3.861,3.881
3.881,4.06,3.774,4.01
4.004,4.088,3.892,4.012
4.008,4.1,3.918,3.963
3.967,3.969,3.786,3.825
3.824,3.96,3.774,3.917
3.92,3.92,3.689,3.81
3.811,3.92,3.288,3.593
3.593,3.792,3.552,3.751
3.748,3.86,3.609,3.634
3.634,3.763,3.58,3.703
3.711,3.84,3.696,3.793
3.795,4.137,3.791,4.084
4.084,4.235,3.4,3.912
3.906,4.078,3.792,3.82
3.82,4.055,3.817,4.021
4.019,4.214,3.945,4.144
4.15,4.256,4.112,4.172
4.181,4.201,3.864,4.015
4.014,4.442,3.973,4.426
4.432,5.44,4.3,5.273
5.273,5.874,5.092,5.474
5.47,5.576,4.689,4.916
4.916,6.04,4.858,5.902
5.905,6.57,5.458,6.085
6.083,6.604,5.916,6.096
6.101,6.35,5.895,6.077
6.077,6.391,5.781,6.243
6.246,6.318,5.86,5.907
5.901,6.16,5.515,5.826
5.825,5.934,5.3,5.65
5.649,6.373,5.539,6.297
6.299,6.6,5.596,5.606
5.611,6.5,5.398,6.411
6.411,8.602,6.34,8.532
8.535,8.56,7.668,8.211
8.211,8.877,7.786,8.378
8.377,8.653,7.642,7.708
7.707,7.923,6.894,7.291
7.291,7.844,7.123,7.559
7.563,7.619,7.268,7.27
7.27,7.925,7.231,7.621
7.622,7.819,7.14,7.205
7.205,7.642,6.978,7.218
7.224,7.31,6.368,6.643
6.642,6.74,4.5,4.899
4.901,5.656,4.695,5.463
5.468,5.675,4.56,4.918
4.91,5.35,4.455,5.178
5.177,5.258,4.571,5.053
5.054,5.162,4.745,4.952
4.954,5.493,4.888,5.32
5.317,5.564,5.172,5.324
5.325,5.535,5.048,5.342
5.345,5.719,5.18,5.603
5.603,5.857,5.105,5.32
5.317,5.539,5.12,5.381
5.377,5.453,4.776,4.866
4.864,5.189,4.682,5.122
5.119,5.224,4.868,5.062
5.067,5.214,4.773,4.966
4.961,5.04,4.859,4.943
4.942,5.094,4.535,4.664
4.663,4.734,3.951,4.081
4.084,4.275,4.022,4.21
4.205,4.304,3.79,3.839
3.844,4.55,3.78,4.483
4.483,4.802,4.353,4.791
4.791,4.819,4.466,4.607
4.603,4.803,4.523,4.727
4.727,5.201,4.72,4.826
4.826,5.376,4.8,5.309
5.304,5.57,5.192,5.372
5.374,5.596,4.962,5.135
5.132,5.273,4.637,4.906
4.907,5.135,4.867,5.01
5.008,5.38,4.846,5.314
5.319,5.4,5.172,5.366
5.369,5.4,4.679,4.736
4.734,4.943,4.549,4.873
4.874,5.126,4.62,5.034
5.042,5.302,4.928,5.155
5.152,5.707,5.147,5.534
5.541,6.269,5.419,6.072
6.079,6.24,5.786,5.97
5.971,6.2,5.803,6.012
6.012,6.136,5.63,5.727
5.727,5.914,5.5,5.769
5.768,5.841,5.311,5.403
5.405,5.523,5.286,5.466
5.462,5.784,5.414,5.762
5.763,5.778,5.453,5.502
5.504,5.508,4.989,5.024
5.027,5.494,4.988,5.241
5.233,5.573,5.216,5.444
5.449,5.5,5.16,5.364
5.365,5.593,5.253,5.543
5.543,5.65,5.238,5.292
5.289,5.37,4.963,5.145
5.14,5.324,5.066,5.138
5.136,5.151,4.72,4.803
4.801,4.863,4.521,4.633
4.631,4.71,4.343,4.62
4.619,4.811,4.591,4.616
4.613,4.85,4.542,4.743
4.741,4.873,4.551,4.603
4.599,4.607,4.301,4.48
4.479,4.481,4.206,4.387
4.391,4.587,4.276,4.504
4.503,4.956,4.469,4.88
4.879,5.162,4.492,4.619
4.62,4.908,4.557,4.809
4.805,5.2,4.662,5.155
5.159,5.283,4.896,5.084
5.088,5.281,5.01,5.033
5.03,5.303,4.931,5.03
5.029,5.26,5.015,5.213
5.215,5.237,4.987,5.045
5.044,5.12,4.856,4.979
4.971,5.182,4.927,5.084
5.079,5.37,5.066,5.285
5.284,5.322,4.909,5.105
5.11,5.221,4.985,5.097
5.098,5.458,5.076,5.268
5.269,5.948,5.262,5.922
5.923,5.977,5.24,5.481
5.486,5.917,5.38,5.811
5.812,6.405,5.657,5.966
5.966,6.47,5.68,5.904
5.902,6.331,5.0,5.33
5.33,5.446,5.083,5.368
5.363,5.544,5.226,5.43
5.438,5.544,5.312,5.429
5.431,5.68,5.34,5.571
5.568,5.71,5.1,5.256
5.256,5.547,5.198,5.51
5.505,5.645,5.365,5.5
5.5,5.536,5.0,5.049
5.046,5.3,4.966,5.261
5.262,5.287,5.08,5.213
5.214,5.228,5.075,5.1
5.1,5.137,4.636,4.738
4.735,4.879,4.562,4.804
4.803,4.822,4.65,4.655
4.657,4.863,4.482,4.707
4.71,5.118,4.698,5.06
5.06,5.369,5.051,5.195
5.198,5.33,5.032,5.227
