Open,High,Low,Close
2.592,2.65,2.573,2.645
2.649,2.663,2.591,2.6
2.6,2.631,2.596,2.607
2.61,2.639,2.597,2.636
2.636,2.68,2.63,2.637
2.637,2.68,2.637,2.659
2.659,2.719,2.643,2.692
2.692,2.712,2.641,2.693
2.693,2.739,2.658,2.739
2.736,2.79,2.649,2.657
2.657,2.675,2.6,2.64
2.64,2.686,2.627,2.659
2.661,2.749,2.642,2.683
2.683,2.77,2.681,2.754
2.754,2.778,2.691,2.755
2.753,2.809,2.729,2.748
2.744,2.761,2.689,2.704
2.704,2.732,2.669,2.69
2.688,2.77,2.68,2.732
2.733,2.772,2.724,2.748
2.746,2.766,2.723,2.727
2.723,2.758,2.71,2.729
2.728,2.76,2.704,2.749
2.752,2.789,2.731,2.779
2.781,2.805,2.746,2.788
2.785,2.87,2.781,2.828
2.827,2.84,2.765,2.805
2.807,2.835,2.765,2.828
2.828,2.988,2.826,2.935
2.936,2.944,2.807,2.93
2.933,3.029,2.921,2.997
2.998,3.106,2.994,3.104
3.1,3.13,3.03,3.049
3.052,3.089,2.994,3.065
3.068,3.078,2.992,3.007
3.005,3.033,2.951,3.021
3.018,3.068,2.975,2.979
2.978,3.047,2.963,3.025
3.024,3.105,3.014,3.076
3.077,3.25,3.048,3.212
3.214,3.28,3.144,3.154
3.156,3.252,3.127,3.249
3.244,3.43,3.157,3.424
3.425,3.474,3.32,3.43
3.425,3.55,3.423,3.507
3.511,3.513,3.326,3.401
3.405,3.485,3.382,3.479
3.484,3.578,3.451,3.554
3.549,3.553,3.399,3.466
3.463,3.543,3.456,3.518
3.518,3.665,3.465,3.642
3.644,3.67,3.46,3.484
3.482,3.72,3.376,3.614
3.615,3.8,3.599,3.788
3.792,3.793,3.617,3.64
3.641,3.734,3.555,3.643
3.64,3.926,3.635,3.82
3.819,3.954,3.734,3.945
3.954,4.038,3.908,3.97
3.98,4.182,3.921,4.053
4.053,4.338,4.042,4.305
4.306,4.466,4.203,4.24
4.241,4.282,4.129,4.227
4.225,4.331,4.081,4.136
4.135,4.165,3.959,4.017
4.017,4.07,3.88,3.921
3.921,4.197,3.918,4.106
4.109,4.136,3.989,4.054
4.053,4.162,4.033,4.091
4.095,4.15,3.915,3.977
3.971,3.983,3.9,3.926
3.931,4.096,3.909,4.023
4.028,4.336,4.013,4.177
4.182,4.265,4.15,4.188
4.188,4.339,4.174,4.283
4.284,4.321,3.967,4.079
4.073,4.16,3.715,3.862
3.865,3.896,3.745,3.872
3.873,4.04,3.801,3.83
3.83,4.01,3.82,3.856
3.856,3.914,3.811,3.883
3.892,3.998,3.867,3.897
3.892,4.036,3.892,4.026
4.028,4.029,3.908,3.959
3.954,4.1,3.862,3.943
3.943,3.991,3.897,3.959
3.959,3.991,3.897,3.983
3.983,4.148,3.947,3.96
3.96,4.013,3.93,3.944
3.944,4.059,3.944,4.047
4.052,4.242,3.994,4.242
4.24,4.3,3.78,3.934
3.932,3.963,3.75,3.798
3.798,4.013,3.786,3.958
3.957,4.026,3.922,3.949
3.95,4.119,3.833,4.077
4.081,4.15,4.003,4.038
4.041,4.052,3.943,3.992
3.992,4.199,3.95,4.146
4.147,4.26,4.1,4.227
4.225,4.25,4.071,4.122
4.123,4.19,4.042,4.145
4.14,4.204,4.108,4.136
4.134,4.363,4.134,4.282
4.282,4.42,4.184,4.403
4.398,4.514,4.313,4.411
4.416,4.516,4.385,4.435
4.434,4.475,4.356,4.36
4.362,4.52,4.331,4.437
4.44,4.513,4.397,4.44
4.442,4.51,4.358,4.365
4.361,4.362,3.971,4.069
4.069,4.166,4.033,4.119
4.123,4.228,4.11,4.202
4.202,4.209,4.13,4.209
4.203,4.259,4.172,4.193
4.194,4.232,4.096,4.115
4.113,4.139,4.002,4.065
4.072,4.072,3.861,3.932
3.929,3.974,3.874,3.881
3.881,3.966,3.774,3.904
3.904,3.958,3.9,3.936
3.936,4.06,3.891,4.02
4.019,4.023,3.907,3.975
3.975,3.975,3.877,3.891
3.893,4.014,3.868,4.01
4.004,4.011,3.922,3.931
3.927,3.961,3.892,3.912
3.913,3.999,3.91,3.98
3.981,4.049,3.956,3.973
3.972,3.978,3.921,3.966
3.971,4.088,3.898,4.012
4.008,4.1,3.994,4.03
4.029,4.071,4.012,4.036
4.036,4.077,4.023,4.064
4.057,4.098,4.003,4.054
4.053,4.061,3.962,4.0
4.0,4.029,3.918,3.963
3.967,3.969,3.897,3.919
3.919,3.924,3.861,3.914
3.917,3.936,3.897,3.93
3.933,3.967,3.884,3.94
3.94,3.952,3.903,3.925
3.923,3.932,3.786,3.825
3.824,3.905,3.806,3.897
3.901,3.96,3.869,3.879
3.88,3.914,3.86,3.869
3.873,3.873,3.774,3.818
3.822,3.891,3.813,3.879
3.881,3.931,3.825,3.917
3.92,3.92,3.824,3.856
3.859,3.92,3.84,3.903
3.905,3.917,3.689,3.808
3.806,3.843,3.746,3.748
3.749,3.84,3.742,3.837
3.836,3.868,3.796,3.81
3.811,3.845,3.7,3.742
3.745,3.837,3.622,3.769
3.769,3.92,3.769,3.866
3.867,3.889,3.288,3.537
3.534,3.677,3.454,3.649
3.65,3.679,3.53,3.593
3.593,3.672,3.552,3.611
3.614,3.738,3.593,3.684
3.684,3.717,3.607,3.683
3.683,3.725,3.612,3.723
3.721,3.742,3.652,3.679
3.675,3.792,3.67,3.751
3.748,3.86,3.73,3.795
3.797,3.83,3.786,3.819
3.823,3.845,3.747,3.795
3.792,3.824,3.7,3.74
3.736,3.755,3.665,3.702
3.706,3.722,3.609,3.634
3.634,3.736,3.58,3.665
3.667,3.736,3.652,3.683
3.684,3.702,3.637,3.654
3.657,3.731,3.632,3.713
3.715,3.76,3.699,3.728
3.729,3.763,3.703,3.703
3.711,3.79,3.696,3.785
3.78,3.83,3.75,3.802
3.797,3.84,3.764,3.766
3.769,3.81,3.738,3.751
3.748,3.809,3.722,3.784
3.784,3.83,3.766,3.793
3.795,4.137,3.791,4.025
4.023,4.086,4.002,4.018
4.017,4.058,3.973,4.017
4.02,4.064,3.975,4.053
4.054,4.108,4.01,4.038
4.035,4.11,4.023,4.084
4.084,4.235,4.063,4.177
4.18,4.199,3.4,3.965
3.965,4.035,3.751,3.851
3.847,3.917,3.789,3.851
3.846,3.959,3.844,3.929
3.929,3.934,3.829,3.912
3.906,4.011,3.826,3.957
3.973,4.029,3.941,3.962
3.962,4.013,3.908,4.0
4.0,4.078,3.965,4.011
4.011,4.05,3.956,3.974
3.981,3.993,3.792,3.82
3.82,3.948,3.817,3.895
3.895,3.96,3.893,3.949
3.951,4.005,3.86,3.9
3.903,3.96,3.862,3.957
3.953,4.033,3.896,4.005
4.01,4.055,3.998,4.021
4.019,4.039,3.945,4.018
4.023,4.081,4.004,4.057
4.059,4.199,4.008,4.167
4.167,4.214,4.054,4.087
4.089,4.171,4.07,4.153
4.151,4.177,4.044,4.144
4.15,4.25,4.127,4.19
4.191,4.226,4.117,4.167
4.168,4.198,4.112,4.177
4.177,4.216,4.12,4.192
4.194,4.236,4.177,4.224
4.226,4.256,4.127,4.172
4.181,4.201,4.126,4.15
4.149,4.166,4.092,4.135
4.132,4.154,4.012,4.059
4.059,4.094,3.977,4.054
4.051,4.064,3.864,4.018
4.014,4.045,4.0,4.015
4.014,4.032,3.973,4.002
4.005,4.107,3.99,4.072
4.072,4.125,4.054,4.118
4.123,4.141,4.068,4.12
4.12,4.184,4.008,4.174
4.172,4.442,4.141,4.426
4.432,4.54,4.3,4.458
4.464,4.75,4.383,4.73
4.723,5.011,4.666,4.919
4.916,5.098,4.79,4.979
4.983,5.352,4.98,5.27
5.27,5.44,5.086,5.273
5.273,5.874,5.092,5.393
5.393,5.682,5.281,5.514
5.513,5.728,5.29,5.549
5.549,5.55,5.328,5.436
5.431,5.459,5.166,5.228
5.227,5.523,5.166,5.474
5.47,5.576,5.257,5.314
5.314,5.411,5.149,5.24
5.241,5.271,4.98,5.204
5.203,5.203,4.748,4.93
4.93,5.072,4.858,4.907
4.903,4.94,4.689,4.916
4.916,5.338,4.858,5.202
5.205,5.26,4.918,5.169
5.168,5.35,5.146,5.233
5.237,5.619,5.165,5.563
5.568,5.988,5.562,5.893
5.893,6.04,5.672,5.902
5.905,5.93,5.593,5.883
5.883,6.077,5.745,5.793
5.792,5.828,5.458,5.726
5.726,6.445,5.544,6.408
6.4,6.57,6.094,6.294
6.294,6.397,5.8,6.085
6.083,6.344,5.93,6.165
6.17,6.54,6.141,6.256
6.256,6.604,6.202,6.391
6.395,6.445,6.184,6.2
6.2,6.325,6.02,6.06
6.066,6.289,5.916,6.096
6.101,6.162,5.895,5.984
5.985,6.173,5.955,6.111
6.114,6.177,6.047,6.074
6.075,6.35,6.062,6.156
6.156,6.209,6.05,6.119
6.118,6.139,5.954,6.077
6.077,6.083,5.961,6.02
6.02,6.047,5.92,5.995
5.995,6.115,5.842,5.873
5.873,6.096,5.781,6.0
6.0,6.215,5.995,6.134
6.131,6.391,6.126,6.243
6.246,6.273,6.035,6.152
6.151,6.318,6.128,6.147
