Open,High,Low,Close
0.85,6.0,0.85,4.9096
4.9096,7.0,4.82,5.7679
5.7679,6.15,4.311,4.6699
4.6691,4.8902,4.0266,4.48
4.4854,5.5499,4.2354,5.3193
5.3279,5.36,4.6,4.9135
4.9135,4.9455,3.9169,4.1197
4.1184,4.4,4.0295,4.2108
4.2108,4.6172,4.0191,4.1073
4.0996,4.33,3.65,3.7238
3.7149,3.9604,3.4,3.535
3.5305,3.8284,3.4033,3.7398
3.7397,3.92,3.528,3.8323
3.834,4.4537,3.834,4.3179
4.3132,4.37,3.75,4.1466
4.1488,4.29,3.9955,4.1828
4.1895,4.8873,4.0806,4.6411
4.6366,4.8042,4.4352,4.531
4.531,4.8303,4.4351,4.5762
4.5726,4.6697,4.2001,4.3781
4.3809,4.7101,4.325,4.7001
4.7101,4.8349,4.6148,4.7119
4.7167,5.0234,4.585,4.7134
4.7164,4.7281,4.5003,4.536
4.5435,4.82,4.528,4.68
4.68,4.6882,4.5107,4.5646
4.5774,4.5774,4.3294,4.47
4.4746,4.7499,4.3988,4.6209
4.6195,4.67,4.4666,4.52
4.5214,4.7134,4.5106,4.5713
4.5713,4.59,4.3103,4.3784
4.388,4.3956,4.25,4.293
4.293,4.4232,4.1068,4.423
4.417,4.5,4.3566,4.3945
4.3944,4.7,4.3556,4.6484
4.6485,4.705,4.4062,4.4609
4.4609,4.5743,4.3151,4.4011
4.4011,4.4572,4.1866,4.3429
4.3429,4.4489,4.2845,4.4222
4.4249,4.4332,4.281,4.34
4.34,4.4114,4.1667,4.2021
4.1999,4.2899,4.1657,4.245
4.245,4.2696,4.1001,4.2366
4.2343,4.2825,4.2048,4.2527
4.251,4.251,4.06,4.0711
4.0648,4.0782,3.9607,4.0431
4.0541,4.1987,3.9851,4.1394
4.1429,4.2,4.0878,4.103
4.1023,4.1532,4.015,4.033
4.0316,4.1454,3.9958,4.0588
4.0595,4.32,4.0286,4.2779
4.2775,4.3992,4.25,4.3229
4.3396,4.411,4.25,4.3293
4.3293,4.3433,4.05,4.1909
4.1943,4.3234,4.179,4.3234
4.3225,4.53,4.28,4.3889
4.3958,4.4144,4.182,4.2084
4.2071,4.2231,4.014,4.1467
4.1525,4.1674,4.0921,4.15
4.1422,4.1642,4.1086,4.158
4.1557,4.2198,3.8179,3.9388
3.9364,3.9436,3.6332,3.7565
3.7561,4.0,3.7164,3.8771
3.8767,3.998,3.8346,3.8447
3.8438,4.0,3.7175,3.9115
3.9156,3.9999,3.8696,3.9871
3.986,3.9914,3.892,3.9248
3.9248,4.0976,3.885,4.0372
4.0366,4.0464,3.977,4.0255
4.0334,4.19,4.03,4.1153
4.1103,4.1246,3.975,4.0168
4.0202,4.0798,3.8834,3.9375
3.9401,3.9937,3.9001,3.9747
3.9806,3.9872,3.8334,3.8824
3.8825,3.9525,3.843,3.9063
3.9059,4.0642,3.8631,3.9999
4.004,4.0266,3.9315,3.964
3.9582,4.0389,3.9561,3.9911
3.9914,4.0152,3.8765,3.9283
3.9283,3.9571,3.8819,3.9144
3.9112,4.0379,3.87,3.9722
3.9898,4.0456,3.936,3.9943
3.995,4.01,3.95,3.9813
3.9949,4.0,3.85,3.8599
3.8604,3.867,3.6913,3.722
3.7184,3.729,3.5022,3.612
3.609,3.7684,3.56,3.753
3.7515,3.752,3.5256,3.5689
3.5689,3.6059,3.5,3.5424
3.5401,3.5462,3.3025,3.3708
3.3712,3.5248,3.3302,3.405
3.405,3.4262,3.207,3.2608
3.2554,3.3928,3.2551,3.3021
3.3003,3.41,3.2345,3.3633
3.3564,3.45,3.335,3.442
3.4409,3.5058,3.39,3.4595
3.453,3.453,3.3228,3.3998
3.3928,3.5,3.3437,3.441
3.4433,3.8552,3.4189,3.8453
3.8468,3.9599,3.7757,3.7842
3.7903,3.9339,3.7853,3.9147
3.9147,3.932,3.84,3.864
3.8623,3.9085,3.8034,3.9032
3.8864,4.2298,3.8821,4.1596
4.1714,4.25,4.0816,4.214
4.2104,4.2458,4.1074,4.1667
4.1676,4.3252,4.1443,4.2491
4.2427,4.2693,4.1465,4.2161
4.2312,4.2365,4.0001,4.1198
4.1192,4.1434,4.0053,4.11
4.1065,4.2294,4.0643,4.22
4.2199,4.2443,4.0387,4.0536
4.0526,4.0709,4.01,4.023
4.0205,4.042,3.9333,4.0059
4.0064,4.1186,3.9936,4.0939
4.085,4.1762,4.0404,4.0725
4.0764,4.0987,4.0112,4.0351
4.0363,4.154,4.0014,4.0732
4.0728,4.1142,4.0315,4.096
4.0841,4.2,4.054,4.1879
4.1866,4.3214,4.1598,4.3
4.3104,4.4001,4.1763,4.1923
4.1879,4.4833,4.1843,4.43
4.4304,4.71,4.4183,4.5865
4.5888,4.6429,4.4053,4.41
4.4099,4.5347,4.385,4.4908
4.4838,4.5467,4.408,4.4515
