Open,High,Low,Close
15.3959,15.8888,15.3363,15.8144
15.8123,15.9796,15.0743,15.3634
15.364,15.488,15.2484,15.2863
15.2856,15.6399,15.2239,15.5548
15.5579,15.6135,15.1,15.4885
15.4865,16.3496,15.4401,16.311
16.312,16.8757,16.0301,16.8048
16.7995,17.455,16.5683,17.2819
17.2819,17.5,16.4088,16.8274
16.8278,17.331,16.4438,17.3123
17.3133,17.6888,17.018,17.6205
17.6205,18.59,17.5928,18.2994
18.3036,18.9999,17.7282,18.4046
18.4007,18.77,17.8266,18.079
18.079,18.1538,17.4194,17.6351
17.6351,17.7618,16.5473,17.1647
17.1647,17.4825,16.9354,17.0676
17.0675,17.3247,16.8122,17.1507
17.1542,18.098,16.89,18.0154
18.0166,18.34,17.235,17.4645
17.4645,17.9799,17.4,17.7285
17.7268,18.1151,17.45,18.09
18.095,18.77,18.043,18.75
18.7508,19.55,18.235,19.1853
19.1878,20.0434,19.1451,19.8242
19.8196,20.49,19.2639,19.5557
19.5524,20.1999,18.4,19.7474
19.7489,20.6834,19.4281,20.1732
20.1692,20.4091,19.7404,19.899
19.8926,20.0995,19.5111,19.97
19.97,20.855,19.9102,20.6615
20.6637,21.74,20.51,21.6168
21.6204,22.1832,19.1,20.9898
20.9899,22.5,20.7,22.0504
22.0622,22.4433,21.41,22.2818
22.2967,23.54,22.0566,23.2728
23.2685,23.315,22.5,22.7487
22.7488,22.9999,21.4515,22.3323
22.3323,22.9241,21.8571,22.9234
22.923,22.9233,22.0462,22.422
22.4224,22.77,22.0462,22.6369
22.6369,22.7306,20.66,21.2902
21.2993,21.982,20.571,21.4919
21.4919,21.856,20.64,21.7667
21.7751,23.3019,21.26,23.1047
23.0966,23.7884,22.7,23.0881
23.1045,23.779,22.7,23.529
23.5291,23.91,22.9584,23.4961
23.4868,23.78,22.333,22.9705
22.9802,23.25,21.8219,22.3761
22.3817,23.3,22.0265,23.0888
23.0909,23.32,21.5,22.0988
22.0994,22.2464,21.2814,22.2044
22.201,22.2348,21.2841,21.8555
21.8575,22.9746,21.6655,22.5953
22.6016,22.6415,20.9805,21.3882
21.3881,22.4743,21.2651,22.1999
22.2005,23.1507,21.8064,23.1127
23.1127,23.5846,22.6158,23.0811
23.0783,23.5,22.7416,22.9398
22.9441,23.83,22.9,23.6208
23.625,23.9,22.967,23.1477
23.1481,25.41,22.84,24.7028
24.7101,25.8262,23.1215,24.7652
24.7653,25.54,19.8765,20.3592
20.4027,21.83,19.2,20.9712
20.9995,21.5539,18.011,19.4698
19.4737,23.4418,18.5283,23.142
23.1612,23.5545,20.0,22.4426
22.4428,23.42,21.2739,23.2837
23.2745,24.5201,22.4139,24.4716
24.4847,25.67,24.0568,24.5489
24.5579,25.6969,23.0677,25.399
25.4,28.5305,25.3575,28.505
28.5044,32.4401,27.61,31.1656
31.1656,33.3888,29.0,31.2523
31.2546,31.278,26.7123,27.1181
27.1148,28.4724,25.82,27.8695
27.8539,28.83,26.05,27.095
27.1106,28.75,26.5708,27.629
27.6414,27.977,26.6591,27.2035
27.2035,27.32,25.1247,26.316
26.3167,26.68,22.1,23.1232
23.1273,24.565,22.6666,24.0468
24.0468,24.3437,22.4514,22.8331
22.8448,24.6999,22.5661,24.5745
24.5749,25.0799,23.7111,24.6924
24.6925,26.4628,24.475,26.1998
26.1885,26.9,25.5012,26.251
26.2435,27.72,25.8313,26.9855
26.9969,29.0,26.86,28.8946
28.8814,29.5646,27.8813,29.2656
29.2696,29.3927,26.2111,27.4673
27.4583,28.3633,25.6652,27.3369
27.3338,28.3997,27.0701,28.1867
28.1872,29.15,27.9658,28.9668
28.9832,29.2665,28.0687,28.6158
28.633,28.99,27.25,27.6812
27.6907,27.8965,26.8401,27.6898
27.6931,27.8153,26.4999,27.7424
27.7342,28.5368,27.4548,28.4076
28.398,29.2814,28.0666,28.4414
28.41,28.72,27.876,28.5271
28.52,31.1299,28.4338,30.6503
30.6503,31.7999,30.187,30.7256
30.7256,31.33,30.3733,30.838
30.838,31.6663,30.399,31.3256
31.3256,31.9798,29.5705,30.0516
30.051,30.564,29.6521,30.2414
30.2423,31.0354,30.165,30.6593
30.6568,30.6766,29.7002,29.9107
29.9043,30.0892,28.5,28.8227
28.8131,30.4074,28.6406,29.7329
29.7355,31.3,29.6655,30.6396
30.6334,31.2,30.0652,30.6377
30.6461,30.8781,30.4243,30.6639
30.6522,30.9726,29.8805,30.128
30.1342,31.43,29.96,31.0467
31.0436,32.3788,30.9,31.4826
31.473,31.9375,29.8,30.3338
30.3295,30.4272,29.47,29.8702
29.8696,30.2596,27.5111,28.4909
28.4969,28.888,28.1132,28.5058
28.5058,28.679,28.0,28.5318
28.5485,29.3079,27.7782,27.7983
27.7984,27.7984,25.7499,26.8638
26.8722,26.97,25.9,26.96
26.9607,27.8947,26.6601,27.6875
27.686,29.4692,27.6668,29.0435
29.0391,29.899,26.85,27.7651
27.7628,28.6943,27.449,28.4101
28.4101,28.9691,27.3461,28.0941
28.0836,28.488,27.6114,28.2188
28.2183,28.5999,27.7966,28.016
28.0057,28.1599,27.3028,27.6874
27.7019,28.5198,27.5284,28.1974
28.1974,28.1974,27.3684,27.9311
27.9359,28.2332,27.07,27.6786
27.6822,28.2202,27.4461,27.9451
27.9588,28.8,27.9262,28.5552
28.5552,28.838,27.5,28.0931
28.1049,28.3666,27.6183,28.1387
28.1266,29.3516,28.0598,28.9715
28.9722,30.8,28.2955,30.5161
30.5168,31.12,29.0,30.0226
30.0291,31.1,29.786,30.995
30.9994,35.14,30.7934,33.9407
33.9451,35.4338,30.439,31.2953
31.295,31.7708,26.35,28.2356
28.2354,28.7175,27.2042,28.4606
28.4606,29.6175,27.9,29.1766
29.1552,30.45,28.8544,30.1045
30.1003,31.5999,29.723,31.4935
31.4935,31.8875,29.17,30.1996
30.2003,30.9993,29.5306,30.2875
30.2724,30.793,29.8568,30.7065
30.7099,31.1371,28.7051,29.0231
29.0315,30.0588,28.6588,29.728
29.7296,30.1819,29.0124,29.5026
29.4912,29.6685,29.06,29.37
29.3705,29.4998,27.45,27.6705
27.6705,28.3853,26.9244,28.1452
28.144,28.2997,27.39,27.6926
27.695,27.77,26.7273,27.3419
27.349,28.23,27.2542,28.1603
28.1603,29.2628,28.0,29.1571
29.1599,30.1884,28.6669,30.0338
30.0338,30.379,29.3069,29.5053
29.5059,30.614,29.0265,30.5577
30.5524,31.5489,29.6891,30.2255
30.2254,31.2172,29.61,30.9882
30.9858,34.2307,30.8812,33.3167
33.3018,35.69,32.5899,34.3148
34.3072,35.6,31.4871,32.05
32.05,33.8,30.4719,33.5151
33.5112,34.505,30.0,31.1843
31.1698,32.7589,30.0,32.4895
32.4947,33.4954,31.7313,33.1996
33.1996,34.0495,32.51,33.6361
33.651,34.99,31.8601,33.674
33.6741,36.15,33.3105,35.951
35.9507,39.9999,35.3015,39.0667
39.0746,39.27,36.8131,38.1558
38.1558,38.2133,36.5157,37.3588
37.3596,38.959,36.9555,37.7762
37.7637,38.8798,36.8,38.2331
38.2331,41.7017,37.763,41.2575
41.256,43.2039,38.02,41.1333
41.13,41.8375,38.8014,41.8219
41.8271,42.267,40.4531,42.2417
42.244,44.9,41.366,43.5728
43.5728,43.722,40.2313,42.356
42.345,44.0552,41.5,43.8479
43.8479,45.162,40.0,42.4031
42.4033,42.5094,35.0374,38.1674
38.1623,40.1989,37.0,38.2541
38.2703,40.4499,37.02,40.1114
40.1114,42.0,39.5739,41.8723
41.8721,42.5622,38.6616,40.8668
40.8951,44.12,40.625,43.142
43.1413,46.7228,40.9192,45.8675
45.8645,46.8888,44.0278,45.3412
45.3592,47.2187,41.7,42.5241
42.5241,43.0992,40.2,42.6069
42.6056,42.7176,38.2,38.6343
38.6596,41.528,36.8518,40.8936
40.8938,41.88,39.4555,40.9109
40.9113,42.2,40.3144,41.8263
41.827,43.4241,40.5364,41.8347
41.8347,42.598,39.6955,41.8396
41.8397,42.0984,39.6102,40.8826
40.8957,43.085,40.317,42.5254
42.5277,44.0,41.8017,42.8618
42.8653,45.1071,42.5911,44.7849
44.8022,45.8269,43.3,44.3292
44.3291,52.3736,43.4331,51.4781
51.4762,53.0,49.1572,51.0071
51.029,52.7,49.7823,52.12
52.12,57.0547,51.25,55.9599
55.9593,68.73,55.9202,67.7005
67.6217,75.5,61.7,72.8356
72.8693,74.8199,64.1803,68.3542
68.355,79.8823,67.6152,79.8374
79.8734,116.24,78.0381,107.3469
107.3496,148.4,107.2811,128.9711
128.9463,132.8,117.7289,124.085
124.1129,141.32,120.89,136.6139
136.7321,138.5067,125.0,133.3496
133.3498,139.0,128.4615,135.8623
135.8623,139.369,118.0,130.303
129.9493,133.4925,126.0,130.183
130.183,175.9997,126.7546,165.3233
165.3176,199.88,162.7969,195.6
195.5549,348.6969,194.9279,333.111
333.2212,335.0,223.0,253.0
253.01,309.4995,249.7044,295.2597
294.9167,296.0,220.5,267.5147
267.1721,269.444,186.1,231.3646
231.3646,281.0,213.0257,254.5056
254.3826,265.4014,231.5,234.9146
234.7605,239.4,209.105,221.717
221.9592,237.77,219.011,225.3853
225.4567,229.4,195.0,210.2138
210.1177,260.0,209.1204,254.9637
254.9486,264.9,227.0,239.6841
239.7204,254.8481,236.002,240.5701
240.4801,249.9885,225.5308,229.6369
229.6369,232.2,215.6439,225.4714
225.5391,232.4996,219.1514,226.3814
226.3812,243.95,224.9542,240.11
240.1039,243.0986,228.7029,240.5509
240.7852,297.2962,235.6001,293.2052
293.1305,295.5,263.8184,278.4499
278.3522,315.2855,272.12,290.0301
289.786,290.5,247.5547,263.2201
263.192,284.2857,255.4206,276.2822
276.2892,276.8847,263.0003,263.238
263.35,267.7453,249.5327,254.5144
254.3894,259.7847,240.199,258.5352
258.5611,272.1787,248.2001,269.7896
269.8578,277.8,257.01,261.4816
261.5157,269.0,255.0,262.935
263.1083,274.6805,261.4,264.3023
264.2213,268.0305,257.0001,264.6513
264.7152,277.0,252.9164,254.7976
254.9689,262.97,251.838,255.4646
255.5191,268.7062,240.3333,248.5236
248.5345,250.0912,224.9686,233.9466
234.0024,255.2113,233.8114,255.2105
255.1201,276.0,249.5001,269.2234
269.2864,281.3939,261.0,268.4263
268.6234,277.9813,264.4585,275.2991
275.2986,311.5325,271.2857,311.2962
311.2962,316.6997,284.0,302.3724
302.4591,339.0,300.7,334.7991
334.6706,356.9882,324.6162,338.2932
338.2932,349.1347,315.91,321.9497
321.9597,352.3275,316.0,348.8617
348.8705,380.0,335.8442,368.0263
368.1506,411.755,363.8333,403.3648
403.2607,414.3803,356.0,375.5538
375.5538,422.6323,371.78,418.7048
418.7047,453.9937,403.19,453.9937
453.9898,487.4062,450.0,471.2975
471.2974,529.211,458.0165,525.9275
525.9275,638.5673,515.1,596.7104
596.7878,602.7871,530.2288,551.6442
551.3956,590.5369,521.1313,550.0182
550.0182,556.9,533.7166,541.8824
541.8351,547.6074,489.7356,508.2743
508.2614,547.95,506.0,514.6861
