Open,High,Low,Close
225.59,232.71,224.16,230.99
230.99,232.01,222.87,226.46
226.46,228.13,223.97,224.87
224.86,230.71,224.43,229.17
229.24,229.85,223.05,227.56
227.54,242.0,226.93,241.6
241.6,243.77,234.4,239.39
239.39,248.88,237.78,246.95
246.94,247.9,237.88,241.98
241.97,242.16,235.72,241.26
241.27,241.67,237.54,239.19
239.19,244.0,236.52,242.79
242.76,245.33,237.33,239.5
239.5,242.09,237.0,240.44
240.45,241.45,236.83,238.61
238.59,239.39,230.02,233.57
233.58,234.84,231.65,232.67
232.66,236.8,232.32,235.67
235.67,239.92,233.28,239.11
239.12,239.72,234.05,236.01
236.0,246.66,235.57,245.59
245.53,269.61,241.51,263.74
263.75,279.98,259.7,275.3
275.31,287.34,266.0,279.15
279.15,308.94,279.09,305.26
305.31,318.75,299.0,311.0
311.02,333.31,310.78,321.93
321.95,326.8,305.86,316.77
316.77,325.0,312.38,317.71
317.76,342.0,314.05,334.87
334.82,349.45,328.4,346.33
346.32,392.67,343.07,387.0
387.01,415.85,325.0,372.42
372.45,398.0,366.5,385.94
385.91,402.98,380.77,389.61
389.59,407.0,384.11,400.72
400.72,403.66,390.51,394.77
394.77,398.26,362.85,379.34
379.34,397.05,375.79,397.03
397.05,400.0,383.36,390.14
390.14,399.18,385.13,395.44
395.43,398.21,367.0,379.0
378.99,389.23,365.85,387.18
387.18,431.49,376.59,424.54
424.54,444.71,417.05,438.11
438.12,442.94,427.02,432.32
432.3,436.99,412.47,433.62
433.61,446.0,420.37,430.89
430.89,433.81,415.0,421.95
421.92,426.75,393.25,407.46
407.46,418.98,402.07,415.94
415.94,418.68,385.1,387.97
387.93,397.04,379.92,395.24
395.23,396.95,383.15,390.71
390.72,410.42,387.44,407.68
407.68,409.06,370.0,382.93
382.91,392.91,377.37,385.81
385.81,397.1,371.48,383.27
383.31,398.0,379.75,395.11
395.1,405.69,391.88,398.65
398.65,429.89,398.3,428.94
428.94,439.0,418.04,433.79
433.8,488.84,429.03,475.4
475.4,481.39,420.0,439.5
439.5,450.7,372.0,381.4
381.35,400.21,357.0,385.26
385.3,395.0,308.42,335.01
335.04,360.0,316.1,352.8
352.85,358.51,323.0,353.59
353.59,356.58,325.38,337.39
337.41,359.0,330.51,350.85
350.85,377.25,349.91,367.93
367.93,375.27,355.49,373.63
373.62,388.57,364.73,387.78
387.78,390.43,350.0,366.42
366.43,384.64,355.73,377.12
377.12,382.47,362.34,364.06
364.05,373.45,355.0,365.11
365.04,394.14,363.3,389.36
389.35,392.58,375.33,384.39
384.4,388.72,377.0,385.25
385.25,385.45,365.0,371.04
371.04,376.8,331.0,340.36
340.31,346.91,335.34,344.21
344.18,344.65,313.29,320.72
320.72,353.1,316.67,348.97
348.97,358.0,337.58,351.92
351.93,356.4,345.88,353.92
353.95,362.14,347.24,357.49
357.58,368.2,351.7,353.96
353.91,360.63,350.45,359.79
359.78,361.5,351.56,359.83
359.83,370.45,345.51,352.85
352.83,354.55,334.24,345.6
345.6,351.0,343.7,345.95
345.94,354.45,343.81,352.37
352.34,356.1,348.54,353.62
353.63,355.1,336.8,340.75
340.8,342.85,332.18,341.58
341.58,353.32,334.21,350.95
350.94,368.33,347.32,365.02
365.01,378.4,364.71,370.52
370.51,377.6,368.87,374.16
374.17,394.8,365.58,386.51
386.51,387.75,374.51,381.04
381.05,387.41,373.13,378.69
378.69,381.79,369.85,377.64
377.63,379.83,361.18,365.5
365.5,370.46,363.36,368.32
368.31,378.64,367.1,378.11
378.12,384.32,372.5,379.3
379.3,380.73,365.27,368.52
368.53,401.49,367.74,390.38
390.31,420.73,390.21,413.98
413.94,419.33,401.3,409.11
409.19,416.66,407.0,412.14
412.14,417.4,402.5,405.86
405.85,411.11,382.3,392.52
392.52,410.25,389.9,403.45
403.41,409.2,380.52,388.23
388.22,393.72,380.52,387.13
387.12,391.97,373.29,382.49
382.59,394.88,379.9,386.46
386.44,398.29,384.61,396.67
396.68,404.5,377.92,383.02
383.01,390.0,370.23,387.88
387.88,408.39,376.47,402.49
402.5,420.4,396.14,416.69
416.73,458.27,414.76,455.91
455.91,468.28,424.14,435.21
435.2,460.1,431.99,454.3
454.29,459.1,433.09,444.32
444.32,455.0,438.7,450.34
450.34,476.25,449.28,463.09
463.09,470.0,451.2,462.39
462.48,478.01,457.12,476.43
476.42,477.47,452.0,460.89
460.9,462.89,440.19,448.08
448.07,466.0,445.45,460.55
460.51,484.88,459.8,482.15
482.11,495.31,456.6,478.41
478.43,480.75,464.86,471.25
471.26,514.4,470.65,510.12
510.12,553.32,502.82,552.35
552.42,580.88,511.28,560.03
560.03,610.85,550.12,608.58
608.58,623.0,585.0,604.97
604.98,606.0,553.83,569.5
569.38,577.14,481.0,519.83
519.83,530.62,493.72,518.68
518.59,547.94,506.59,537.52
537.5,576.9,530.32,576.3
576.32,616.85,570.07,616.66
616.65,635.7,560.0,585.26
585.26,604.93,575.0,596.89
596.88,623.44,585.82,615.85
615.84,620.0,565.82,567.24
567.24,597.11,560.88,596.8
596.82,607.5,583.0,601.54
601.59,603.15,584.22,591.28
591.27,595.0,549.22,554.94
554.92,578.08,530.43,573.09
573.2,575.7,548.11,558.99
558.99,560.8,535.5,544.43
544.46,574.0,543.1,568.04
568.09,595.0,563.22,590.7
590.81,591.48,575.6,586.29
586.29,597.2,578.58,588.64
588.78,640.0,580.71,637.18
637.18,676.25,625.76,642.7
642.71,664.61,629.4,653.85
653.76,669.95,645.42,658.03
658.05,661.39,621.01,638.18
638.1,648.0,595.9,607.58
607.68,637.73,588.0,636.45
636.41,638.44,551.28,585.56
585.48,615.02,565.43,612.31
612.31,634.24,604.28,626.82
626.78,652.91,615.26,637.44
637.44,717.13,625.0,685.11
685.1,748.09,681.04,730.41
730.4,740.78,689.2,732.0
732.0,758.74,716.62,752.17
752.17,755.74,722.0,736.42
736.42,749.0,714.29,728.91
728.91,787.69,714.91,774.56
774.44,1011.07,768.71,978.28
978.33,1162.97,890.0,1041.43
1041.45,1134.6,974.45,1099.56
1100.16,1213.0,1057.26,1208.42
1208.75,1289.0,1131.0,1224.87
1224.86,1273.75,1065.0,1216.93
1216.72,1304.37,1171.36,1276.0
1276.0,1348.33,1170.0,1254.25
1254.24,1260.0,915.0,1087.01
1087.0,1150.02,1006.33,1050.16
1050.36,1137.65,987.48,1129.89
1129.79,1247.55,1086.7,1231.62
1231.89,1256.98,1069.42,1168.53
1168.48,1298.0,1151.77,1227.83
1227.83,1269.02,1165.0,1232.45
1232.5,1260.75,1182.58,1258.45
1258.52,1438.3,1251.49,1365.36
1365.36,1407.93,1235.42,1376.99
1376.72,1390.0,1086.0,1110.96
1111.98,1273.79,1042.31,1232.62
1232.61,1272.44,1195.9,1233.6
1233.46,1398.83,1220.0,1392.51
1392.19,1475.0,1293.69,1317.88
1317.6,1378.49,1244.56,1365.97
1366.54,1373.9,1207.0,1239.03
1238.93,1360.0,1217.23,1329.69
1329.44,1436.9,1285.35,1379.5
1379.56,1406.0,1326.41,1378.05
1378.04,1380.74,1281.12,1312.55
1312.45,1377.99,1269.99,1374.17
1374.09,1547.9,1360.28,1511.87
1511.93,1669.35,1508.39,1664.49
1664.67,1695.2,1554.44,1595.67
1595.53,1760.49,1591.0,1719.19
1718.95,1743.67,1642.94,1676.35
1676.35,1693.0,1490.46,1611.62
1611.46,1775.57,1563.89,1750.15
1749.68,1821.88,1708.49,1769.13
1769.14,1837.86,1680.0,1740.78
1740.76,1819.0,1703.44,1785.62
1785.83,1864.88,1739.88,1840.26
1840.24,1871.72,1765.0,1814.96
1815.25,1850.0,1784.11,1800.42
1800.03,1835.72,1655.67,1779.25
1779.33,1827.28,1724.0,1781.99
1781.99,1855.0,1733.01,1849.88
1849.7,1950.5,1849.69,1939.61
1938.91,1972.82,1891.0,1955.0
1955.46,2042.34,1803.14,1913.0
1912.9,1976.31,1883.01,1933.53
1933.54,1936.29,1551.0,1777.58
1777.42,1782.39,1355.0,1577.89
1577.79,1712.7,1500.2,1623.39
1623.16,1671.59,1459.16,1481.75
1482.08,1562.25,1400.0,1444.59
1444.56,1529.0,1425.0,1458.13
1458.27,1468.75,1293.18,1419.18
1418.67,1572.0,1409.91,1569.86
1570.0,1602.9,1455.52,1486.78
1486.79,1656.94,1475.47,1567.69
1567.68,1624.87,1506.36,1539.23
1539.22,1548.96,1441.66,1528.31
1528.08,1671.58,1513.03,1650.35
1650.68,1734.16,1630.35,1726.16
1726.46,1843.59,1664.96,1833.18
1833.22,1870.77,1798.2,1870.51
1870.5,1877.69,1757.0,1795.12
1795.28,1846.7,1725.0,1825.78
1825.78,1841.88,1719.72,1766.1
1766.13,1944.3,1727.75,1922.35
1922.35,1933.1,1836.0,1848.1
1848.1,1891.76,1730.0,1793.48
1793.99,1819.5,1711.68,1805.12
1805.01,1838.88,1741.18,1823.58
1823.58,1850.0,1759.04,1776.08
1775.92,1840.61,1733.47,1809.1
1809.01,1868.83,1800.86,1806.1
1806.57,1817.16,1747.0,1782.98
1783.23,1807.51,1655.15,1680.97
1681.17,1721.17,1650.0,1668.08
1668.2,1740.86,1536.92,1581.84
1581.88,1622.0,1549.4,1585.74
1585.83,1699.93,1585.79,1698.84
1698.84,1732.67,1666.41,1712.63
1712.52,1725.66,1661.4,1687.01
1687.16,1841.0,1677.85,1816.74
1816.76,1859.13,1786.3,1840.46
1840.41,1947.29,1768.15,1919.37
1919.37,1984.77,1885.02,1968.05
1968.05,2146.0,1948.48,2133.69
2133.69,2138.12,1996.3,2008.52
2008.59,2091.83,1975.24,2075.69
2075.7,2130.64,2002.15,2107.38
2107.43,2151.0,2044.65,2112.21
2112.22,2129.01,1930.01,1963.47
1963.46,2084.61,1947.35,2080.46
2080.39,2100.0,2047.57,2066.87
2067.19,2200.0,2058.0,2133.49
2133.49,2165.02,2113.4,2151.36
2151.42,2203.46,2102.0,2137.69
2137.86,2318.0,2135.53,2299.19
2299.19,2447.29,2281.33,2432.6
2432.59,2543.47,2400.0,2514.04
2514.04,2548.29,2300.0,2422.67
2422.38,2495.0,2310.0,2317.6
2317.65,2340.0,1946.8,2235.64
2235.65,2300.0,2080.0,2161.12
2161.12,2346.62,2055.0,2330.03
2330.26,2469.54,2235.16,2357.06
2357.06,2644.47,2303.44,2397.94
2397.94,2442.89,2107.0,2367.39
2367.39,2368.74,2154.8,2213.35
2214.08,2356.64,2168.0,2320.49
2320.44,2542.8,2303.64,2532.6
2532.06,2680.0,2480.29,2666.13
2666.13,2760.0,2559.44,2748.24
2748.23,2798.0,2668.0,2757.04
2757.04,2798.3,2723.09,2772.42
2772.42,2954.28,2743.41,2944.77
2944.83,2985.0,2852.26,2949.56
2949.33,3454.0,2949.32,3431.04
3431.04,3527.0,3160.0,3239.01
3239.01,3549.34,3200.23,3524.26
3524.33,3605.4,3376.47,3489.73
3489.74,3587.0,3353.23,3479.53
3479.79,3958.33,3449.27,3910.26
3910.26,3983.65,3726.08,3923.95
3923.95,4208.0,3650.0,3945.88
3946.63,4180.22,3771.64,4173.45
4173.46,4372.72,3701.58,3823.21
3810.15,4034.77,3500.0,3717.91
3717.92,4173.28,3691.35,4075.01
4075.02,4134.05,3632.0,3646.68
3646.24,3879.0,3343.06,3582.1
3581.81,3587.06,3102.0,3282.51
3282.25,3565.71,3240.0,3375.07
3375.08,3441.73,1888.0,2438.92
2438.92,2990.05,2155.0,2768.62
2767.87,2938.54,2101.0,2430.98
2430.98,2485.0,2145.0,2294.87
2295.45,2381.57,1728.74,2096.39
2096.63,2675.0,2079.94,2648.43
2647.92,2750.0,2378.54,2705.11
2705.1,2910.0,2643.0,2884.94
2884.82,2889.74,2633.68,2742.23
2742.23,2762.45,2327.38,2412.1
2412.34,2574.27,2204.1,2278.74
2278.74,2476.42,2180.53,2385.98
2385.82,2720.0,2271.44,2706.15
2706.15,2740.0,2523.74,2634.57
2634.31,2802.99,2550.0,2706.22
2706.21,2891.95,2662.4,2857.25
2857.25,2860.0,2552.0,2689.51
2689.54,2816.87,2552.23,2627.73
2627.63,2745.0,2614.0,2711.92
2711.92,2847.55,2570.0,2592.05
2592.05,2620.99,2304.91,2507.23
2507.43,2626.63,2405.28,2610.18
2610.2,2624.46,2425.11,2471.09
2471.01,2497.99,2321.37,2354.01
2354.09,2454.53,2256.22,2370.74
2370.64,2548.41,2308.41,2509.33
2509.33,2609.17,2461.0,2580.77
2580.58,2640.0,2507.7,2543.54
2543.55,2556.19,2351.18,2367.89
2368.02,2460.5,2306.0,2373.28
2373.28,2378.0,2139.0,2234.09
2234.09,2278.82,2161.67,2164.67
2165.34,2280.01,2040.68,2243.47
2243.49,2260.16,1865.54,1885.49
1885.27,1998.0,1700.48,1879.28
1879.29,2045.0,1821.95,1968.14
1967.95,2036.61,1884.79,1989.52
1989.53,2019.99,1791.22,1808.82
1808.97,1852.8,1717.32,1829.64
1829.84,1984.5,1804.26,1982.28
1982.27,2145.0,1960.52,2084.41
2084.42,2245.0,2073.57,2165.33
2165.46,2287.78,2087.99,2275.68
2275.68,2275.93,2073.12,2106.41
2106.41,2160.0,2018.5,2154.13
2153.95,2240.0,2112.01,2226.99
2226.99,2389.93,2189.58,2322.69
2322.69,2324.64,2157.32,2196.53
2196.85,2350.0,2193.0,2322.5
2322.51,2409.0,2291.9,2316.57
2316.25,2325.6,2084.79,2116.33
2116.32,2189.4,2046.51,2146.99
2146.99,2194.82,2074.16,2110.69
2110.68,2174.0,2081.02,2140.45
2140.54,2167.83,2006.68,2031.58
2031.57,2047.35,1918.0,1940.15
1940.44,2019.18,1865.0,1994.58
1994.41,2042.88,1881.0,1919.51
1919.54,1965.0,1850.0,1876.26
1876.47,1919.19,1844.45,1899.59
1899.5,1993.79,1877.1,1891.64
1891.65,1919.0,1805.0,1818.73
1818.73,1841.34,1706.0,1786.03
1786.03,2035.23,1747.55,1995.5
1995.5,2046.0,1947.62,2024.56
2024.27,2130.9,1993.22,2124.25
2124.26,2199.5,2105.58,2184.75
2184.9,2197.41,2105.93,2189.79
2189.82,2433.65,2171.57,2228.08
2227.81,2319.26,2150.5,2299.49
2299.47,2345.0,2243.15,2300.9
2300.9,2400.0,2266.12,2382.92
2382.93,2471.7,2315.92,2461.81
2461.77,2553.86,2420.68,2531.05
2531.1,2697.61,2511.24,2555.69
2555.5,2666.0,2507.0,2606.93
2606.92,2632.44,2442.32,2509.04
2508.51,2772.71,2457.68,2724.78
2724.55,2843.98,2529.91,2826.99
2827.01,2946.75,2720.06,2891.58
2891.54,3171.0,2865.5,3160.31
3160.48,3189.99,2949.03,3011.85
3011.84,3186.0,2893.23,3160.52
3160.51,3233.0,3051.22,3141.66
3141.14,3274.0,3120.27,3160.5
3160.4,3239.0,2979.29,3045.96
3046.11,3327.83,3033.8,3322.32
3322.33,3330.98,3200.0,3263.16
3263.16,3320.0,3111.13,3307.09
3307.35,3335.0,3135.22,3146.53
3147.18,3290.0,2991.89,3011.72
3011.73,3125.81,2950.0,3014.55
3014.18,3188.0,2958.33,3184.12
3184.11,3300.0,3177.16,3284.82
3284.81,3309.16,3207.0,3223.43
3223.36,3272.0,3126.42,3238.0
3238.0,3377.89,3230.02,3321.28
3321.28,3357.85,3147.31,3170.62
3170.63,3248.0,3080.0,3226.87
3226.88,3250.0,3053.3,3093.2
3093.06,3280.0,3060.18,3273.45
3273.89,3287.0,3210.31,3244.48
3244.75,3285.0,3152.34,3223.47
3223.47,3347.95,3143.0,3229.64
3229.14,3476.0,3188.77,3429.2
3429.19,3842.0,3382.22,3826.82
3826.82,3836.8,3717.04,3785.82
3785.82,4027.88,3705.05,3938.11
3938.11,3970.0,3832.5,3885.52
3885.61,3980.0,3830.0,3950.29
3950.28,3970.0,3864.3,3926.77
3926.67,3947.15,3005.0,3434.57
3434.84,3560.0,3215.16,3499.0
3499.01,3567.06,3390.4,3424.93
3424.94,3514.11,3150.0,3208.86
3208.85,3348.37,3200.0,3267.21
3267.1,3474.16,3231.1,3404.21
