Open,High,Low,Close
225.59,226.0,224.16,225.44
225.45,226.35,224.8,225.58
225.58,228.91,225.56,227.66
227.66,229.42,226.8,229.42
229.42,232.71,228.7,231.1
231.1,232.2,230.29,230.99
230.99,232.01,230.39,231.06
231.04,231.61,227.63,228.6
228.63,229.47,227.0,228.19
228.19,231.42,224.5,225.07
225.09,226.72,222.87,225.72
225.73,228.35,225.1,226.46
226.46,228.13,225.32,226.28
226.29,227.52,225.65,227.21
227.23,228.11,225.5,227.14
227.12,228.11,226.25,226.92
226.92,227.41,225.75,226.39
226.4,226.91,223.97,224.87
224.86,226.86,224.43,226.08
226.09,226.66,225.84,226.09
226.09,226.46,225.4,225.63
225.63,226.55,225.11,225.86
225.85,230.71,225.42,228.98
228.99,229.5,228.35,229.17
229.24,229.85,227.39,228.24
228.23,228.37,226.33,226.67
226.67,227.11,223.05,225.14
225.14,226.26,224.25,225.0
224.96,225.84,224.75,225.18
225.18,228.24,223.22,227.56
227.54,228.8,226.93,227.86
227.88,234.15,227.67,232.8
232.82,235.93,232.45,235.69
235.69,238.86,234.59,238.79
238.78,240.77,237.87,238.42
238.39,242.0,237.29,241.6
241.6,243.77,237.86,239.25
239.25,239.57,235.93,237.04
237.03,237.99,234.4,237.55
237.58,239.61,236.45,238.82
238.81,240.24,237.66,237.98
237.98,239.86,236.58,239.39
239.39,242.28,237.78,241.9
241.91,242.66,238.23,240.76
240.76,244.6,240.11,244.07
244.07,247.63,241.28,245.73
245.73,248.8,245.0,248.56
248.6,248.88,245.69,246.95
246.94,247.03,243.0,244.68
244.65,247.9,244.37,246.71
246.7,246.79,244.39,246.53
246.54,247.6,237.88,239.87
239.86,240.94,238.28,239.98
239.98,242.2,239.43,241.98
241.97,242.16,239.9,240.52
240.53,240.59,235.72,238.02
238.04,240.35,237.89,238.01
237.97,240.79,237.97,240.62
240.61,240.79,238.44,239.53
239.51,241.6,238.59,241.26
241.27,241.67,240.21,240.54
240.52,240.92,239.54,240.46
240.47,240.61,237.54,238.5
238.49,240.29,238.25,239.57
239.56,240.4,237.58,237.9
237.91,239.81,237.9,239.19
239.19,241.36,239.0,240.81
240.82,241.45,240.13,240.45
240.44,240.89,239.3,239.55
239.54,244.0,236.52,237.7
237.7,238.9,236.85,238.54
238.54,243.09,238.28,242.79
242.76,243.55,241.31,241.68
241.69,243.17,241.43,242.77
242.76,245.17,242.75,244.62
244.62,245.33,242.0,242.7
242.7,243.72,237.33,238.42
238.41,240.14,237.81,239.5
239.5,240.15,238.35,238.66
238.67,238.88,237.0,238.4
238.39,240.71,237.75,240.61
240.56,241.33,238.48,240.23
240.21,241.66,239.47,241.46
241.42,242.09,240.03,240.44
240.45,241.45,239.25,239.26
239.26,240.38,238.7,239.66
239.66,240.2,238.25,239.16
239.16,240.03,238.02,238.1
238.12,238.81,236.83,237.49
237.49,239.02,237.39,238.61
238.59,239.39,237.9,238.44
238.42,238.95,230.02,232.63
232.59,233.33,230.17,231.68
231.69,233.5,231.65,233.18
233.18,234.43,232.04,232.42
232.45,234.1,231.8,233.57
233.58,234.49,232.62,233.17
233.17,233.81,231.65,233.12
233.13,233.76,231.91,233.35
233.34,234.84,232.71,233.15
233.15,233.58,232.37,233.11
233.1,233.56,232.39,232.67
232.66,233.54,232.32,233.01
233.02,233.55,232.85,233.26
233.25,235.53,233.01,234.97
234.97,235.48,234.22,234.94
234.95,236.8,234.39,235.58
235.57,236.49,235.33,235.67
235.67,236.11,234.69,235.01
235.01,235.24,233.33,234.6
234.6,234.94,233.28,233.74
233.74,234.31,233.36,233.68
233.68,235.51,233.5,235.23
235.21,239.92,234.93,239.11
239.12,239.72,237.72,238.71
238.71,239.27,238.19,238.6
238.59,239.54,237.0,237.51
237.51,238.27,237.19,237.91
237.92,238.83,234.05,235.36
235.37,236.83,235.01,236.01
236.0,237.43,235.57,237.02
237.04,242.58,236.66,241.77
241.77,243.27,241.24,243.0
243.0,245.11,242.69,243.6
243.61,246.66,243.2,245.31
245.3,245.76,243.74,245.59
245.53,245.69,243.23,244.45
244.44,244.51,241.51,242.25
242.21,244.41,241.65,243.91
243.92,245.1,242.73,244.56
244.56,245.74,243.45,245.17
245.19,269.61,244.73,263.74
263.75,266.01,262.88,263.77
263.77,263.86,259.7,262.46
262.45,264.63,262.16,264.25
264.26,270.0,261.85,268.27
268.27,279.98,267.48,274.64
274.63,276.11,271.27,275.3
275.31,275.35,271.67,272.86
272.85,273.6,266.0,270.79
270.78,276.54,269.5,275.14
275.14,279.32,272.0,278.19
278.18,284.31,274.74,283.11
283.1,287.34,277.57,279.15
279.15,284.58,279.09,282.89
282.87,285.88,281.75,283.01
283.01,284.99,281.38,282.6
282.61,288.0,281.8,286.08
286.08,297.46,283.88,296.51
296.51,308.94,296.35,305.26
305.31,305.32,299.0,302.73
302.73,312.04,301.02,311.59
311.61,318.75,303.0,309.36
309.33,313.76,300.0,310.79
310.79,314.06,303.77,307.05
307.05,313.09,305.94,311.0
311.02,329.3,310.9,324.93
324.9,327.91,319.51,320.15
320.11,326.0,316.79,325.0
325.0,326.75,310.78,313.16
313.16,325.0,312.84,324.21
324.19,333.31,315.89,321.93
321.95,326.8,316.1,319.23
319.21,321.53,315.0,315.73
315.72,317.93,305.86,316.98
316.97,321.98,312.03,321.7
321.7,323.5,313.53,318.33
318.33,321.73,315.58,316.77
316.77,318.82,312.38,316.48
316.48,322.76,314.12,321.11
321.1,325.0,319.25,323.08
323.07,325.0,318.0,321.51
321.51,323.45,319.76,321.67
321.68,323.5,315.6,317.71
