Open,High,Low,Close
4.5625,4.73,4.5217,4.7067
4.7068,4.9181,4.6025,4.7996
4.7998,4.8964,4.7031,4.7309
4.73,4.8539,4.7186,4.82
4.8198,4.8325,4.6118,4.7439
4.7426,5.5,4.7362,5.3617
5.3613,5.889,5.33,5.7248
5.7245,6.5782,5.592,6.4987
6.5001,6.5006,5.7029,6.082
6.082,6.2009,5.7096,6.1488
6.15,6.27,5.961,6.0994
6.1043,7.3898,6.0975,7.3345
7.3447,8.48,6.8525,7.163
7.1616,8.3446,6.965,8.1321
8.1315,8.908,7.8309,8.6494
8.6486,8.8822,7.9427,8.354
8.3545,8.6444,8.2,8.2605
8.2589,8.2648,7.657,7.9734
7.9731,8.21,7.7782,8.0784
8.0848,8.1388,7.121,7.2301
7.2301,7.6788,6.9232,7.3101
7.3086,7.6365,7.0832,7.4689
7.469,8.099,7.4029,7.8983
7.8982,7.9304,7.384,7.4284
7.4284,7.8009,7.3744,7.672
7.6737,7.945,7.1885,7.5022
7.5009,7.5045,6.5101,7.1
7.099,7.4243,6.9106,7.2333
7.2332,7.4871,6.9867,7.0876
7.0876,7.5757,7.0253,7.4093
7.4093,7.8649,7.4085,7.8033
7.8025,8.472,7.6373,8.3248
8.3216,8.7972,6.87,8.2814
8.2851,9.2707,8.1408,9.2502
9.2502,9.9645,9.0807,9.8687
9.8686,9.8686,9.3207,9.5253
9.5265,10.2917,9.4515,10.2343
10.2284,10.2615,9.05,10.1286
10.1286,13.8799,9.9287,12.7093
12.7095,14.4586,12.0,13.8104
13.8105,14.0551,12.52,13.4722
13.4722,13.5403,12.0905,12.9971
12.9999,16.8,12.5936,16.4635
16.4634,18.3488,15.9175,17.1883
17.1728,17.5998,16.3,16.9574
16.9447,19.8303,16.5554,19.2285
19.2108,20.1111,18.5144,18.8061
18.8096,19.7111,15.5,16.8196
16.8064,17.6738,14.69,16.1927
16.1846,17.2554,14.8653,16.1863
16.1884,16.7862,15.7232,16.0483
16.0476,16.1421,12.89,13.8325
13.8342,16.33,13.66,15.8078
15.8085,16.0042,14.6536,15.1428
15.1572,15.8797,14.7,15.1419
15.1363,15.3743,13.4578,14.1164
14.1171,15.6664,14.0537,15.2
15.2088,15.5215,13.9679,14.5234
14.5234,15.4989,14.236,15.1207
15.1136,17.0305,14.9565,16.3612
16.3612,17.7777,16.3547,16.4788
16.4782,16.9495,15.4451,15.5772
15.5746,16.5053,15.0629,16.0333
16.0284,16.3587,14.0,14.7982
14.7922,14.9989,10.8261,11.8895
11.8802,12.904,11.0,12.3708
12.3804,12.7655,9.1,10.6017
10.6087,13.24,9.7155,12.8044
12.806,13.1747,11.17,12.47
12.4744,12.7362,11.0284,11.746
11.7359,12.6566,11.4356,12.3444
12.3452,13.28,12.18,12.4957
12.4948,12.696,12.019,12.4406
12.4406,12.747,12.0934,12.7187
12.7194,13.23,11.7658,12.067
12.0757,12.3863,11.6349,12.1374
12.13,12.24,10.75,10.9314
10.9301,11.3002,10.4771,10.7367
10.7367,11.6759,10.472,11.0139
11.0139,11.1315,9.7863,10.094
10.0938,10.4969,9.8756,10.1209
10.1192,10.6199,9.5,9.7357
9.7394,9.9235,8.5012,8.7114
8.7162,9.08,8.54,8.7401
8.744,8.8016,7.2869,7.6364
7.6404,10.53,7.4761,9.87
9.8701,11.199,9.3771,10.7279
10.7218,11.1,9.9757,10.3169
10.3079,10.991,9.9122,10.7939
10.8,11.07,10.15,10.283
10.2809,10.3882,9.4502,10.135
10.1356,10.2314,9.5768,9.8694
9.8727,10.4119,9.2457,9.6394
9.6394,9.8449,8.7975,9.2167
9.2132,9.5555,9.104,9.269
9.2686,9.466,9.1141,9.3922
