Open,High,Low,Close
4.5625,4.5731,4.5217,4.5486
4.5509,4.58,4.5361,4.5379
4.5388,4.6346,4.5369,4.5971
4.5984,4.7083,4.5757,4.7051
4.7075,4.73,4.6742,4.7014
4.6971,4.73,4.6643,4.7067
4.7068,4.815,4.7066,4.8002
4.8002,4.848,4.7258,4.7726
4.7726,4.7782,4.7129,4.7579
4.7567,4.9181,4.719,4.73
4.73,4.7532,4.6025,4.719
4.7202,4.8332,4.7026,4.7996
4.7998,4.854,4.76,4.7836
4.7814,4.8562,4.7595,4.8477
4.8475,4.8912,4.8108,4.869
4.8698,4.8964,4.8351,4.8488
4.8488,4.8767,4.7785,4.8143
4.8123,4.8123,4.7031,4.7309
4.73,4.8282,4.7186,4.7761
4.7761,4.8054,4.7613,4.7726
4.7718,4.7767,4.7225,4.7463
4.7452,4.8099,4.7304,4.774
4.7723,4.8539,4.748,4.8374
4.8389,4.8473,4.7808,4.82
4.8198,4.8325,4.7786,4.8065
4.8046,4.8076,4.7239,4.7567
4.7538,4.7547,4.6772,4.6923
4.694,4.7127,4.6475,4.6783
4.6784,4.7038,4.6332,4.683
4.6823,4.7707,4.6118,4.7439
4.7426,4.8013,4.7362,4.7708
4.7741,4.891,4.7741,4.8663
4.8674,4.8723,4.8238,4.86
4.86,4.8679,4.8055,4.8559
4.8553,4.8915,4.8213,4.8888
4.8887,5.5,4.8829,5.3617
5.3613,5.6973,5.33,5.5473
5.5496,5.6603,5.4593,5.5183
5.5167,5.577,5.425,5.5425
5.5425,5.7,5.5368,5.5917
5.5904,5.889,5.5678,5.7181
5.7199,5.8275,5.5802,5.7248
5.7245,5.99,5.592,5.9005
5.8989,6.4399,5.802,6.2902
6.2961,6.407,6.1266,6.3332
6.336,6.3589,6.05,6.1518
6.1525,6.3438,6.1501,6.2769
6.2769,6.5782,6.2288,6.4987
6.5001,6.5006,6.0044,6.1692
6.1675,6.368,6.1208,6.3261
6.3225,6.3314,6.112,6.2014
6.1991,6.2752,5.7029,5.92
5.9201,6.1702,5.835,5.92
5.9219,6.14,5.8739,6.082
6.082,6.13,5.9042,5.9577
5.9596,5.9767,5.75,5.8433
5.8437,5.98,5.71,5.815
5.819,5.98,5.7096,5.9479
5.948,6.2009,5.9121,6.12
6.12,6.1823,6.0235,6.1488
6.15,6.27,6.1251,6.1446
6.1446,6.2306,6.0903,6.1394
6.1382,6.1387,5.961,6.0063
6.0022,6.1434,5.9953,6.104
6.1039,6.2004,6.03,6.0568
6.0579,6.1699,6.0473,6.0994
6.1043,6.2276,6.0975,6.17
6.1743,6.1988,6.11,6.1797
6.1796,6.425,6.1796,6.3936
6.3936,6.813,6.3853,6.718
6.7197,6.89,6.6715,6.7952
6.7925,7.3898,6.7566,7.3345
7.3447,8.48,7.2453,7.9662
7.968,8.069,7.6135,7.6773
7.6811,8.005,7.6776,7.7437
7.7467,7.9733,7.2732,7.3649
7.3649,7.5435,6.8525,7.2286
7.2258,7.3,6.979,7.163
7.1616,7.411,7.0387,7.1413
7.1412,7.2979,6.965,7.1682
7.1716,7.6697,7.1349,7.6369
7.6303,7.695,7.35,7.6058
7.6058,8.3296,7.6018,8.2141
8.2141,8.3446,7.9045,8.1321
8.1315,8.182,7.8309,8.0521
8.0514,8.163,7.8386,8.021
8.021,8.406,7.8711,8.2447
8.2447,8.908,8.2186,8.3137
8.314,8.687,8.2861,8.4381
8.4381,8.7921,8.4335,8.6494
8.6486,8.703,8.3783,8.4388
8.4408,8.5226,7.9427,8.1222
8.1222,8.3088,8.0549,8.1855
8.1855,8.72,8.001,8.6609
8.6611,8.8822,8.425,8.472
8.4725,8.56,8.1764,8.354
8.3545,8.4695,8.254,8.3414
8.3335,8.5622,8.2,8.3733
8.3708,8.486,8.2711,8.4454
8.4422,8.6444,8.32,8.3562
8.3539,8.4,8.22,8.3418
8.3447,8.4339,8.252,8.2605
8.2589,8.2648,7.657,7.8593
7.8572,7.9962,7.7727,7.939
7.9399,8.15,7.8804,7.8937
7.8857,7.973,7.8365,7.9478
7.9477,8.2241,7.9416,8.0396
8.0412,8.1,7.891,7.9734
7.9731,8.0462,7.8137,7.8622
7.8564,8.0104,7.82,7.9618
7.9592,7.9745,7.8006,7.8584
7.8514,7.8947,7.7782,7.843
7.8386,7.9553,7.82,7.9178
7.918,8.21,7.9044,8.0784
8.0848,8.1029,7.9626,8.0848
8.0848,8.1388,8.0038,8.0598
8.06,8.076,7.8572,7.8864
7.8818,7.9427,7.7628,7.8503
7.8511,7.8578,7.121,7.4098
7.4072,7.5941,7.1923,7.2301
7.2301,7.4145,7.18,7.3957
7.3938,7.5144,7.3332,7.4476
7.4511,7.6788,7.401,7.6039
7.6036,7.6245,7.1508,7.3551
7.3595,7.3726,6.9232,7.1
7.1001,7.3172,7.0212,7.3101
7.3086,7.3253,7.126,7.1913
7.191,7.282,7.0832,7.1452
7.1452,7.395,7.1126,7.3237
7.3235,7.6365,7.3229,7.5063
7.5072,7.5531,7.3183,7.3849
7.3871,7.57,7.3631,7.4689
7.469,7.78,7.4029,7.69
7.6908,7.76,7.62,7.7358
7.7334,8.0265,7.7189,7.9534
7.9542,8.0863,7.8289,8.043
8.043,8.099,7.7778,7.8696
7.8721,7.9362,7.72,7.8983
7.8982,7.9304,7.725,7.7373
7.7295,7.7888,7.6651,7.7182
7.7182,7.7965,7.6163,7.7509
7.7518,7.7799,7.5142,7.6235
7.6235,7.6271,7.4328,7.5773
7.5785,7.605,7.384,7.4284
7.4284,7.7434,7.3744,7.6665
7.6701,7.7139,7.5889,7.6056
7.6032,7.6399,7.5053,7.5913
7.5927,7.6416,7.5122,7.5838
7.5846,7.8009,7.5428,7.676
7.6759,7.73,7.5759,7.672
7.6737,7.7,7.5909,7.6977
7.6978,7.945,7.6978,7.8222
7.8209,7.8706,7.1885,7.4147
7.4157,7.52,7.352,7.4007
7.3981,7.4708,7.3116,7.4185
7.4174,7.596,7.3892,7.5022
7.5009,7.5045,7.0877,7.203
7.2,7.3214,7.1257,7.1945
7.2005,7.3179,7.1412,7.1908
7.1934,7.2299,6.5101,6.8579
6.8561,7.2815,6.61,7.1279
7.1275,7.2493,6.8694,7.1
7.099,7.2046,6.9106,7.1025
7.1067,7.4243,7.0475,7.3231
7.3245,7.39,6.95,7.1026
7.0965,7.28,7.033,7.2635
7.263,7.2925,7.1111,7.159
7.1601,7.2397,7.0958,7.2333
7.2332,7.4871,7.2164,7.265
7.27,7.344,7.1501,7.3162
7.3162,7.3424,7.1555,7.184
7.1884,7.2022,7.03,7.0802
7.0824,7.1751,6.9867,7.1144
7.1143,7.17,7.0157,7.0876
7.0876,7.2415,7.0253,7.1884
7.1907,7.2287,7.0977,7.1152
7.1152,7.3574,7.108,7.27
7.2723,7.335,7.1902,7.2972
7.2974,7.5757,7.2928,7.5168
7.5172,7.5346,7.3082,7.4093
7.4093,7.812,7.4085,7.6839
7.6842,7.8649,7.601,7.6882
7.6921,7.85,7.655,7.6713
7.6725,7.7455,7.5502,7.568
7.5686,7.72,7.4755,7.72
7.7161,7.8061,7.6521,7.8033
7.8025,7.888,7.726,7.7519
7.7504,7.885,7.6871,7.815
7.8138,7.88,7.6911,7.7672
7.7653,7.7861,7.6373,7.7813
7.7813,7.837,7.6983,7.8223
7.8237,8.472,7.7687,8.3248
8.3216,8.4071,8.2269,8.3481
8.3491,8.4317,6.87,8.3137
8.3175,8.7972,7.9,8.2571
8.2544,8.6473,7.9921,8.5238
8.5242,8.6144,8.25,8.5232
8.5258,8.6673,8.1562,8.2814
8.2851,8.4999,8.1408,8.3549
8.3534,8.484,8.2196,8.4007
8.4034,8.5961,8.2567,8.5334
8.5332,8.6914,8.3792,8.5225
8.5156,8.6,8.3817,8.5051
8.5046,9.2707,8.482,9.2502
9.2502,9.4178,9.0807,9.2453
9.2475,9.5385,9.13,9.3166
9.3142,9.7568,9.24,9.4019
9.3977,9.6607,9.28,9.6606
9.6557,9.6759,9.3658,9.4233
9.4239,9.9645,9.42,9.8687
9.8686,9.8686,9.5701,9.729
9.7333,9.7494,9.3407,9.5085
9.5085,9.6997,9.46,9.5696
9.5752,9.5827,9.3382,9.4731
9.4732,9.649,9.3967,9.548
9.5433,9.6199,9.3207,9.5253
9.5265,9.8978,9.4515,9.7625
9.7612,9.8013,9.619,9.6547
9.6447,9.742,9.5411,9.7417
9.7398,9.7773,9.58,9.7491
9.7499,9.7761,9.6002,9.695
9.6894,10.2917,9.47,10.2343
10.2284,10.2615,9.86,9.8828
9.8866,10.0252,9.8115,10.0247
10.0198,10.1,9.8619,9.9482
9.9489,10.0751,9.7675,9.9159
9.9169,9.9609,9.05,9.7601
9.7601,10.137,9.6522,10.1286
10.1286,10.42,9.9287,10.3057
10.308,10.7637,10.277,10.5756
10.5756,10.8,10.4505,10.7328
10.7345,11.0298,10.6755,10.966
10.9682,13.8799,10.9682,13.2109
13.2139,13.3694,12.3778,12.7093
12.7095,12.8152,12.0,12.7336
12.7396,12.9097,12.4076,12.6492
12.6515,13.7592,12.5184,13.5465
13.5504,13.5843,12.3109,13.0618
13.0562,14.4586,12.9345,13.9021
13.8995,14.2873,13.6153,13.8104
