Open,High,Low,Close
41.16,42.01,40.96,41.77
41.76,41.9,40.28,41.05
41.03,41.7,40.89,41.14
41.13,42.23,41.06,42.11
42.11,42.2,40.75,41.58
41.58,44.31,41.5,44.06
44.07,44.49,43.06,43.39
43.39,45.62,43.1,45.35
45.35,45.87,43.57,44.33
44.34,44.64,43.44,44.3
44.32,44.77,43.85,44.69
44.68,45.3,43.7,44.7
44.72,45.59,42.31,43.92
43.91,44.09,42.86,43.88
43.88,44.06,42.81,43.33
43.34,43.49,40.85,42.09
42.09,42.49,41.72,41.9
41.88,42.9,41.73,42.45
42.45,42.89,41.83,42.64
42.65,42.79,41.37,41.94
41.94,44.11,41.87,43.77
43.77,45.12,43.2,44.96
44.96,45.63,44.52,44.94
44.93,44.96,43.93,44.11
44.12,49.52,44.03,49.16
49.16,50.79,47.49,48.1
48.07,55.83,46.85,53.28
53.29,57.92,51.65,55.75
55.76,56.97,54.65,55.16
55.17,58.61,53.91,56.75
56.73,59.26,55.78,58.13
58.13,62.23,57.55,61.65
61.65,65.17,51.79,56.77
56.77,60.03,55.71,58.48
58.51,59.62,56.26,57.61
57.62,59.77,56.73,58.88
58.88,60.68,57.69,59.03
59.03,61.08,54.51,57.17
57.19,58.55,56.46,58.46
58.46,58.67,56.0,56.96
56.96,59.4,56.38,58.27
58.27,59.67,52.37,54.1
54.11,55.05,51.55,54.52
54.54,57.3,51.86,57.14
57.14,57.85,55.82,56.78
56.78,60.87,56.45,59.85
59.85,64.6,57.8,63.87
63.89,68.88,61.34,67.22
67.22,68.37,63.37,65.4
65.42,67.15,58.73,62.12
62.08,63.68,61.0,62.8
62.8,63.9,58.77,59.2
59.18,60.54,57.76,60.21
60.21,61.63,58.01,60.55
60.56,63.01,59.97,62.02
62.03,62.29,56.6,58.34
58.33,59.1,57.02,58.1
58.11,59.24,53.91,56.1
56.12,58.28,55.33,57.38
57.36,58.18,56.93,56.97
56.95,62.95,56.93,62.89
62.89,63.7,60.51,60.92
60.94,64.31,59.69,62.69
62.68,63.19,56.32,58.06
58.07,58.62,45.33,47.28
47.28,52.38,46.24,50.32
50.33,51.32,45.21,47.83
47.82,49.25,46.28,47.92
47.93,49.18,45.22,48.84
48.85,49.35,45.98,47.47
47.47,48.81,46.52,47.82
47.82,49.45,47.77,48.67
48.65,49.59,47.37,48.96
48.95,51.31,48.38,50.8
50.82,51.04,47.26,48.15
48.17,49.65,47.11,49.08
49.08,50.37,48.1,48.31
48.29,48.75,46.91,47.76
47.76,49.67,47.64,48.85
48.85,49.07,47.44,48.54
48.53,49.03,47.94,48.52
48.51,48.51,46.15,47.09
47.1,47.64,41.59,43.16
43.17,44.79,42.75,44.47
44.47,45.14,42.25,42.96
42.99,45.29,42.56,44.92
44.92,46.58,43.97,46.02
46.01,46.56,45.12,46.03
46.01,46.62,44.56,46.05
46.05,47.14,44.8,45.23
45.23,45.85,44.95,45.69
45.68,46.7,45.44,46.24
46.26,48.46,45.23,46.25
46.25,46.97,43.19,44.88
44.88,45.97,44.72,45.51
45.5,47.07,45.28,46.69
46.68,47.08,45.53,46.34
46.35,48.25,45.52,45.99
46.01,46.96,45.02,46.55
46.56,47.5,45.45,47.21
47.21,48.2,46.59,47.78
47.78,50.46,47.76,48.88
48.89,51.27,48.66,50.48
