Open,High,Low,Close
41.16,41.54,40.96,41.31
41.33,41.5,41.14,41.3
41.3,41.74,41.3,41.5
41.51,41.93,41.37,41.84
41.85,42.01,41.52,41.62
41.59,41.98,41.57,41.77
41.76,41.9,41.62,41.7
41.68,41.75,41.31,41.55
41.55,41.64,41.32,41.5
41.48,41.88,40.66,40.76
40.77,41.03,40.28,40.82
40.82,41.36,40.75,41.05
41.03,41.4,40.89,41.14
41.16,41.5,41.01,41.37
41.37,41.7,41.1,41.39
41.39,41.59,41.23,41.4
41.4,41.63,41.2,41.3
41.3,41.4,40.96,41.14
41.13,41.84,41.06,41.61
41.62,41.73,41.48,41.5
41.5,41.64,41.42,41.54
41.55,41.82,41.31,41.5
41.52,42.23,41.46,41.95
41.96,42.19,41.75,42.11
42.11,42.2,41.75,41.85
41.85,41.88,41.36,41.5
41.49,41.6,41.06,41.48
41.49,41.65,41.25,41.38
41.38,41.51,41.25,41.32
41.33,41.77,40.75,41.58
41.58,41.93,41.5,41.72
41.73,42.64,41.64,42.35
42.34,42.9,42.3,42.87
42.86,44.0,42.67,43.91
43.91,44.11,43.33,43.5
43.51,44.31,43.36,44.06
44.07,44.49,43.55,43.74
43.75,43.95,43.3,43.56
43.55,43.76,43.32,43.74
43.72,43.79,43.34,43.58
43.57,43.86,43.37,43.42
43.41,43.42,43.06,43.39
43.39,44.84,43.1,44.83
44.85,44.98,44.11,44.74
44.74,45.43,44.55,45.32
45.33,45.58,44.67,45.08
45.07,45.47,44.95,45.27
45.27,45.62,45.17,45.35
45.35,45.42,44.46,44.86
44.86,45.85,44.81,45.61
45.61,45.67,45.05,45.5
45.51,45.87,43.82,44.24
44.24,44.46,43.57,43.93
43.93,44.41,43.76,44.33
44.34,44.42,44.02,44.25
44.28,44.28,43.44,43.96
43.97,44.64,43.93,43.95
43.95,44.49,43.87,44.44
44.45,44.49,43.99,44.16
44.15,44.43,43.93,44.3
44.32,44.7,44.23,44.4
44.39,44.53,44.23,44.43
44.4,44.43,43.85,44.08
44.09,44.36,44.02,44.24
44.24,44.46,44.16,44.25
44.25,44.77,44.22,44.69
44.68,45.1,44.68,45.05
45.05,45.23,44.83,44.89
44.89,45.03,44.63,44.7
44.7,45.3,43.7,44.17
44.16,44.32,43.88,44.24
44.24,44.82,44.13,44.7
44.72,44.83,44.51,44.64
44.64,45.0,44.58,44.87
44.88,45.59,44.88,45.35
45.36,45.56,44.6,44.79
44.78,44.95,42.31,43.44
43.43,44.08,43.21,43.92
43.91,43.93,43.44,43.44
43.45,43.49,42.86,43.29
43.28,43.96,43.17,43.8
43.81,43.97,43.32,43.69
43.67,43.9,43.56,43.82
43.82,44.09,43.55,43.88
43.88,44.06,43.44,43.48
43.46,43.65,43.26,43.43
43.43,43.6,43.16,43.35
43.36,43.62,43.09,43.13
43.1,43.35,42.81,43.12
43.13,43.41,43.11,43.33
43.34,43.49,43.03,43.2
43.2,43.3,40.85,41.9
41.89,41.98,41.22,41.73
41.73,42.15,41.7,42.07
42.06,42.24,41.67,41.72
41.72,42.2,41.66,42.09
42.09,42.19,41.86,42.01
42.0,42.15,41.78,42.02
42.02,42.15,41.72,42.14
42.15,42.49,41.99,42.03
42.04,42.1,41.77,41.93
41.93,42.07,41.83,41.9
41.88,42.02,41.73,41.88
41.88,42.03,41.82,41.95
41.96,42.57,41.9,42.45
42.47,42.84,42.39,42.61
42.6,42.9,42.47,42.6
42.59,42.74,42.41,42.45
42.45,42.62,42.16,42.3
42.31,42.46,42.16,42.44
42.44,42.45,41.94,42.17
42.17,42.17,41.91,41.92
41.93,42.54,41.83,42.48
42.48,42.89,42.35,42.64
42.65,42.79,42.49,42.68
42.67,42.73,42.46,42.53
42.53,42.65,42.14,42.24
42.23,42.35,42.05,42.28
42.29,42.42,41.37,41.76
41.75,42.14,41.67,41.94
41.94,42.43,41.87,42.33
42.33,43.4,42.2,43.34
43.35,43.97,43.28,43.75
43.74,44.11,43.59,43.73
43.73,43.87,43.46,43.63
43.65,43.8,43.44,43.77
43.77,43.98,43.5,43.91
43.9,43.91,43.26,43.28
43.29,43.68,43.2,43.57
43.57,43.86,43.26,43.65
43.65,43.78,43.55,43.68
43.7,45.12,43.58,44.96
44.96,45.63,44.82,44.97
44.97,44.99,44.6,44.89
44.88,45.15,44.83,44.94
44.95,45.24,44.52,44.9
44.9,45.6,44.84,45.13
45.14,45.15,44.73,44.94
44.93,44.96,44.4,44.78
44.78,44.81,43.93,44.24
44.24,44.57,44.12,44.36
44.35,44.62,44.11,44.47
44.48,44.88,44.18,44.6
44.6,44.68,44.04,44.11
44.12,47.43,44.03,46.95
46.97,47.6,46.87,47.21
47.21,48.25,46.99,47.39
47.39,47.89,46.68,47.73
47.73,48.77,47.44,48.51
48.51,49.52,48.41,49.16
49.16,49.16,47.96,48.64
48.64,49.55,48.27,49.43
49.44,50.79,47.57,48.55
48.55,48.71,47.49,48.31
48.31,48.82,47.76,47.8
47.82,48.28,47.68,48.1
48.07,49.37,47.98,48.73
48.75,49.3,48.19,48.25
48.25,49.29,48.07,49.24
49.24,49.68,46.85,47.61
47.61,53.25,47.6,52.54
52.52,55.83,52.4,53.28
53.29,54.63,53.27,53.43
53.43,54.09,52.8,53.26
53.27,53.89,51.65,53.79
53.79,55.57,53.01,55.36
55.36,57.92,53.91,56.87
56.88,57.29,54.62,55.75
55.76,56.58,55.06,56.12
56.15,56.97,55.66,55.98
55.98,56.48,55.39,55.88
55.88,56.28,54.65,55.76
55.76,56.29,54.87,55.8
55.79,56.29,55.0,55.16
55.17,55.49,54.15,54.67
54.65,55.29,53.91,54.53
54.54,55.0,54.38,54.53
54.54,57.87,54.2,57.57
57.56,58.61,56.38,57.03
57.04,58.08,56.53,56.75
56.73,57.2,55.78,55.92
55.92,57.09,55.91,56.66
56.67,57.63,56.45,57.45
57.44,58.9,57.04,58.12
58.14,59.26,57.56,58.31
58.31,58.65,57.66,58.13
58.13,59.75,57.55,59.35
59.35,60.66,58.31,59.42
59.42,60.76,59.2,59.86
59.86,59.88,58.65,59.64
59.64,61.87,59.5,61.5
61.5,62.23,60.57,61.65
61.65,65.17,60.55,64.91
64.87,64.9,51.79,58.73
58.73,58.89,55.06,56.57
56.58,57.6,55.32,56.48
56.48,58.15,56.27,57.91
57.91,57.94,56.48,56.77
56.77,57.67,55.71,57.22
57.22,58.34,57.21,57.77
57.74,58.28,56.84,58.24
58.23,59.27,57.74,58.87
58.88,60.03,58.47,59.24
59.26,59.37,57.67,58.48
58.51,59.62,58.05,58.34
58.35,58.61,57.48,58.25
58.26,58.61,56.7,57.34
57.31,57.94,56.26,57.83
57.84,58.06,57.1,57.32
57.34,57.97,57.27,57.61
57.62,57.82,56.73,57.5
57.49,58.46,57.27,57.88
57.88,59.25,57.68,59.09
59.09,59.53,58.18,58.84
58.85,59.5,58.59,59.11
59.11,59.77,57.3,58.88
58.88,59.16,58.18,58.31
58.29,58.42,57.69,58.17
58.17,58.68,57.84,58.12
58.12,60.49,58.12,60.43
60.45,60.68,59.14,60.03
60.03,60.39,58.38,59.03
59.03,60.41,58.82,59.55
59.54,59.79,59.16,59.51
59.51,61.08,58.91,59.76
59.74,60.02,57.66,58.76
58.75,58.94,54.51,56.97
56.98,57.67,56.73,57.17
57.19,57.68,56.46,56.77
56.79,57.5,56.54,57.17
57.15,58.48,56.79,58.38
58.38,58.55,57.79,58.1
58.15,58.23,57.11,57.53
57.55,58.48,57.17,58.46
58.46,58.67,57.85,58.0
58.0,58.04,57.46,57.76
57.75,57.99,56.91,57.72
57.72,57.8,56.0,56.6
56.59,57.4,56.18,56.78
56.78,57.19,56.57,56.96
56.96,58.46,56.95,58.15
58.15,58.39,57.8,58.02
58.02,58.55,56.38,57.3
57.3,58.6,57.16,58.52
58.51,59.4,57.89,58.17
58.17,58.5,57.66,58.27
58.27,59.67,58.09,58.45
58.45,58.62,57.25,57.86
57.86,58.06,56.74,57.74
57.75,57.75,53.6,55.0
55.0,55.79,53.87,55.2
55.19,55.19,52.37,54.1
54.11,54.27,52.99,53.72
53.73,54.48,51.55,54.22
54.22,55.03,54.16,54.49
54.5,55.05,53.87,54.7
54.7,54.92,53.93,54.42
54.43,54.88,54.21,54.52
54.54,55.22,54.34,54.64
54.64,54.79,53.8,53.89
53.9,54.64,51.86,54.51
54.49,54.76,53.62,54.45
54.46,54.53,53.32,54.02
54.01,57.3,53.84,57.14
57.14,57.36,55.83,56.19
56.19,56.61,55.85,56.18
56.18,56.65,55.95,56.48
56.5,57.2,55.82,56.94
56.92,57.85,56.57,57.48
57.49,57.65,56.4,56.78
56.78,58.32,56.76,57.66
57.67,57.9,56.9,57.25
57.25,57.7,56.45,57.32
57.33,59.74,56.7,59.49
59.49,60.87,59.04,60.19
60.2,60.64,59.2,59.85
59.85,62.93,58.91,61.52
61.5,61.96,61.19,61.59
61.59,62.76,60.19,60.24
60.25,62.68,57.8,61.88
61.86,62.69,61.31,61.58
61.58,64.6,60.74,63.87
63.89,64.25,61.34,63.43
63.44,63.73,62.39,63.52
63.51,65.02,63.5,64.47
64.47,65.55,62.61,64.59
64.59,68.09,64.25,67.37
67.37,68.88,66.44,67.22
67.22,68.37,66.66,66.99
66.98,67.36,65.33,66.47
66.47,67.39,64.42,64.61
64.61,66.92,63.37,65.2
65.2,68.0,64.58,66.44
66.44,67.59,65.15,65.4
65.42,67.15,62.27,62.7
62.67,63.53,61.13,63.52
63.52,63.98,62.1,63.1
63.1,63.83,61.0,61.68
61.68,61.98,59.33,59.62
59.62,62.45,58.73,62.12
62.08,63.45,61.95,62.09
62.1,63.09,61.15,61.47
61.48,62.56,61.0,62.48
62.5,63.57,62.17,63.53
63.52,63.68,62.21,62.54
62.55,63.12,62.23,62.8
62.8,63.89,61.41,63.67
63.65,63.9,62.43,62.72
62.73,63.3,60.7,61.12
61.11,61.84,60.02,60.86
60.85,61.45,59.38,60.64
60.61,61.2,58.77,59.2
59.18,59.4,57.76,59.28
59.28,59.79,58.05,59.7
59.7,60.06,59.02,59.28
59.29,60.26,59.26,59.54
59.54,59.75,59.12,59.51
59.51,60.54,59.18,60.21
60.21,60.64,58.61,58.86
58.85,59.34,58.3,59.21
59.23,59.27,58.01,58.1
58.11,59.76,58.1,59.75
59.75,61.48,59.29,61.22
61.22,61.63,60.46,60.55
60.56,61.83,59.97,61.51
61.51,62.41,60.67,62.02
62.02,62.82,61.82,62.34
62.34,62.56,61.54,62.42
62.43,63.01,61.6,62.24
62.25,62.58,61.75,62.02
62.03,62.29,60.7,60.98
60.96,61.5,59.93,60.68
60.67,61.37,59.83,60.95
60.95,60.95,58.49,59.05
59.05,59.3,56.6,58.06
58.06,58.8,57.51,58.34
58.33,58.65,57.6,58.01
58.02,58.31,57.02,57.5
57.51,58.28,57.21,57.89
57.92,58.9,57.02,58.86
58.86,59.1,58.3,58.42
58.4,58.78,58.04,58.1
58.11,58.67,57.54,57.86
57.85,58.41,57.11,58.26
58.28,58.53,57.22,57.25
57.25,59.24,56.11,56.43
56.42,56.83,53.91,55.26
55.27,56.12,55.02,56.1
56.12,56.77,55.33,56.57
56.57,56.95,56.31,56.61
56.6,57.72,56.44,57.67
57.68,58.2,57.17,58.1
58.09,58.28,56.72,56.97
56.96,57.47,56.42,57.38
57.36,57.59,56.98,57.48
57.47,58.18,57.36,58.03
58.02,58.15,57.05,57.2
57.2,57.89,57.05,57.76
57.75,58.07,57.52,57.58
57.58,57.77,56.93,56.97
56.95,58.78,56.93,58.77
58.78,58.87,57.98,58.27
58.27,58.57,57.68,58.46
58.45,61.8,58.44,61.26
61.28,62.44,60.99,62.16
62.17,62.95,61.38,62.89
62.89,63.7,62.23,62.3
62.31,62.48,60.78,61.26
61.26,62.89,60.9,62.76
62.77,62.95,60.85,61.56
61.57,61.8,61.08,61.33
61.33,61.4,60.51,60.92
60.94,61.75,59.69,61.71
61.73,63.47,61.4,63.01
63.01,63.4,61.93,62.32
62.32,63.7,61.45,63.53
63.52,64.28,63.1,63.29
63.31,64.31,62.3,62.69
62.68,63.15,62.12,62.36
62.36,63.19,61.72,61.78
61.79,62.4,56.32,58.59
58.6,58.9,57.01,57.65
57.66,58.17,56.78,57.96
57.95,58.47,57.48,58.06
58.07,58.62,57.25,57.48
57.46,57.79,56.18,57.61
57.62,58.0,55.61,56.05
56.08,56.24,51.8,53.38
53.39,53.73,52.4,53.3
53.32,53.7,45.33,47.28
47.28,48.73,46.24,48.21
