Open,High,Low,Close
0.5397,0.5397,0.401,0.4314
0.4317,0.4987,0.412,0.4712
0.469,0.494,0.4523,0.4821
0.4821,0.5334,0.4792,0.5315
0.5323,0.5324,0.4478,0.4619
0.4619,0.4983,0.4603,0.498
0.4983,0.5182,0.4701,0.5046
0.5033,0.57,0.5017,0.5662
0.5662,0.5691,0.5165,0.538
0.538,0.563,0.5222,0.5326
0.5333,0.535,0.5078,0.5097
0.5105,0.5106,0.4745,0.4808
0.4806,0.4814,0.4185,0.4428
0.4428,0.45,0.37,0.3778
0.3748,0.3813,0.3598,0.3685
0.3689,0.3777,0.3183,0.3264
0.3261,0.3363,0.3104,0.3325
0.3325,0.3378,0.3071,0.3257
0.3258,0.3287,0.3078,0.3165
0.3162,0.3291,0.3084,0.3167
0.3167,0.3868,0.3163,0.3498
0.3497,0.357,0.3141,0.3384
0.3383,0.3391,0.318,0.3294
0.3291,0.3483,0.3001,0.3088
0.3087,0.3247,0.3061,0.3194
0.3193,0.355,0.3053,0.335
0.3345,0.3612,0.3183,0.3206
0.3202,0.3309,0.31,0.3119
0.3116,0.3307,0.3089,0.3196
0.3196,0.3226,0.3058,0.3179
0.3175,0.325,0.3028,0.3094
0.3093,0.3161,0.288,0.2884
0.2891,0.3041,0.2881,0.3003
0.3005,0.3038,0.2899,0.2909
0.2909,0.3036,0.2879,0.3029
0.3034,0.3411,0.2898,0.324
0.324,0.33,0.31,0.3154
0.3148,0.3184,0.3093,0.3133
0.3134,0.3499,0.3134,0.3223
0.3221,0.3579,0.3218,0.3344
0.3347,0.3427,0.327,0.3348
0.3346,0.3402,0.3098,0.3174
0.3174,0.3395,0.2894,0.3289
0.3288,0.3324,0.3083,0.3101
0.31,0.3111,0.2997,0.3013
0.301,0.3288,0.3002,0.3107
0.3107,0.3208,0.2911,0.2941
0.294,0.3045,0.287,0.304
0.3041,0.305,0.2929,0.301
0.301,0.3193,0.301,0.3183
0.3184,0.3206,0.3,0.3082
0.3081,0.338,0.3024,0.322
0.322,0.3331,0.3114,0.3274
0.3274,0.3395,0.3114,0.3171
0.317,0.3358,0.3166,0.3201
0.3201,0.3286,0.316,0.3249
0.3249,0.3255,0.3074,0.319
0.3187,0.3187,0.314,0.3178
0.3174,0.3191,0.3116,0.3133
0.3133,0.3305,0.3092,0.3206
0.3205,0.3207,0.3072,0.3094
0.3094,0.3191,0.3074,0.3127
0.3128,0.3179,0.3104,0.3151
0.315,0.33,0.3112,0.3163
0.3163,0.3212,0.3097,0.3118
0.3115,0.3131,0.3059,0.3081
