Open,High,Low,Close
0.5397,0.5397,0.401,0.45
0.4494,0.4544,0.4258,0.454
0.452,0.46,0.4445,0.4467
0.4472,0.4473,0.4285,0.4314
0.4317,0.4326,0.412,0.421
0.4207,0.4222,0.4185,0.4222
0.4231,0.4313,0.4222,0.43
0.43,0.4987,0.4299,0.4939
0.4939,0.4939,0.459,0.4676
0.4676,0.4716,0.4649,0.4712
0.469,0.4716,0.4523,0.4547
0.4548,0.494,0.4531,0.48
0.48,0.483,0.4635,0.4635
0.4637,0.4797,0.462,0.4678
0.4678,0.49,0.465,0.4815
0.4792,0.4908,0.4789,0.4821
0.4821,0.5,0.4792,0.4937
0.4934,0.5126,0.4911,0.4984
0.4984,0.4985,0.4908,0.4944
0.4944,0.4981,0.4889,0.4946
0.4946,0.5136,0.4934,0.508
0.508,0.5334,0.5017,0.5315
0.5323,0.5324,0.5111,0.5168
0.5182,0.522,0.4785,0.4858
0.4852,0.5079,0.4811,0.5015
0.4995,0.5013,0.4751,0.4818
0.4819,0.4819,0.4478,0.4593
0.4588,0.47,0.4559,0.4619
0.4619,0.4693,0.4603,0.4666
0.469,0.477,0.469,0.4752
0.4749,0.476,0.4658,0.4679
0.4688,0.4979,0.465,0.494
0.494,0.494,0.4787,0.4843
0.4837,0.4983,0.4821,0.498
0.4983,0.5163,0.4953,0.503
0.503,0.504,0.4884,0.4995
0.4995,0.5161,0.4862,0.4862
0.4862,0.5,0.4721,0.4775
0.4764,0.4869,0.4701,0.4829
0.4833,0.5182,0.4814,0.5046
0.5033,0.5121,0.5017,0.5036
0.5037,0.5315,0.5033,0.5259
0.5259,0.56,0.525,0.5452
0.5452,0.5528,0.5277,0.5523
0.5523,0.5537,0.5317,0.5413
0.5413,0.57,0.54,0.5662
0.5662,0.5691,0.5449,0.5572
0.5579,0.5585,0.5165,0.5174
0.5178,0.5377,0.5165,0.534
0.5341,0.5372,0.5301,0.5342
0.5359,0.5488,0.5309,0.5394
0.5402,0.5422,0.5347,0.538
0.538,0.5464,0.5364,0.5464
0.5461,0.563,0.5451,0.5561
0.5554,0.5578,0.549,0.5507
0.5504,0.5519,0.5222,0.5303
0.5311,0.5347,0.525,0.53
0.5309,0.5366,0.5258,0.5326
0.5333,0.5337,0.5148,0.5152
0.5152,0.535,0.5085,0.5274
0.5273,0.5292,0.5214,0.5222
0.5219,0.525,0.5104,0.52
0.52,0.5202,0.5118,0.5141
0.514,0.5142,0.5078,0.5097
0.5105,0.5106,0.4872,0.4872
0.4868,0.4897,0.4745,0.484
0.484,0.4884,0.4823,0.4825
0.4825,0.4853,0.475,0.4823
0.4823,0.4827,0.4749,0.4769
0.4775,0.4847,0.4769,0.4808
0.4806,0.4814,0.4769,0.4795
0.4795,0.4802,0.468,0.4689
0.4689,0.47,0.4185,0.4444
0.4444,0.4447,0.4307,0.4362
0.4363,0.4454,0.4302,0.442
0.442,0.444,0.4398,0.4428
0.4428,0.4457,0.4421,0.4431
0.4432,0.4437,0.4382,0.4409
0.4406,0.45,0.4391,0.4422
0.4426,0.443,0.4,0.4085
0.4095,0.4118,0.404,0.4058
0.4057,0.4087,0.37,0.3778
0.3748,0.3813,0.37,0.379
0.3791,0.3802,0.367,0.369
0.3691,0.3777,0.3687,0.3736
0.3737,0.375,0.3598,0.363
0.363,0.3721,0.3605,0.3707
0.3713,0.3731,0.3678,0.3685
0.3689,0.3777,0.3689,0.3734
0.3734,0.375,0.3717,0.3732
0.373,0.373,0.3458,0.3458
0.3456,0.3462,0.3326,0.3347
0.3347,0.3355,0.3183,0.32
0.32,0.3303,0.3187,0.3264
0.3261,0.3271,0.3209,0.3213
0.3213,0.3219,0.3104,0.32
0.3201,0.3297,0.3201,0.3297
0.3298,0.334,0.3218,0.3242
0.324,0.3304,0.3232,0.3289
0.3291,0.3363,0.3284,0.3325
0.3325,0.3378,0.3324,0.3355
0.3351,0.3367,0.3262,0.3268
0.3267,0.3305,0.3191,0.3199
0.3198,0.3205,0.3071,0.3181
0.3181,0.3212,0.3181,0.319
0.3194,0.3263,0.3185,0.3257
0.3258,0.3281,0.3257,0.3275
0.3277,0.3287,0.3249,0.3266
0.3266,0.3272,0.3078,0.3094
0.3089,0.3185,0.3082,0.3181
0.3182,0.3284,0.318,0.3199
0.3204,0.3219,0.3116,0.3165
0.3162,0.3176,0.311,0.3118
0.3116,0.3145,0.3084,0.3142
0.3143,0.3148,0.31,0.3136
0.314,0.325,0.3135,0.3247
0.325,0.3281,0.3191,0.3273
0.3273,0.3291,0.3151,0.3167
0.3167,0.3378,0.3163,0.336
