Open,High,Low,Close
0.05363,0.12,0.05363,0.06112
0.06112,0.066,0.05872,0.06035
0.06038,0.061,0.0584,0.05896
0.05896,0.05999,0.05755,0.05822
0.0579,0.07099,0.05758,0.0701
0.07052,0.07401,0.066,0.06927
0.06927,0.06969,0.06701,0.0671
0.06701,0.06815,0.06385,0.0659
0.06646,0.0679,0.06323,0.06598
0.06677,0.07594,0.06601,0.07484
0.07498,0.0809,0.07259,0.08
0.08,0.0804,0.07532,0.07701
0.07671,0.088,0.07573,0.08349
0.08343,0.0935,0.0816,0.09044
0.09044,0.09744,0.0854,0.09102
0.09135,0.10469,0.08905,0.10281
0.10266,0.122,0.10034,0.10494
0.10563,0.11996,0.10417,0.1164
0.11666,0.132,0.11245,0.11485
0.11485,0.11542,0.10578,0.113
0.113,0.113,0.10128,0.10385
0.10385,0.10863,0.09924,0.09972
0.09971,0.1038,0.09228,0.097
0.0966,0.10557,0.0958,0.1045
0.10424,0.11224,0.10107,0.10205
0.10222,0.10677,0.09906,0.1042
0.10419,0.1048,0.09896,0.10197
0.10188,0.102,0.09928,0.10139
0.10135,0.10269,0.09663,0.09802
0.09809,0.099,0.095,0.0965
0.09651,0.104,0.0916,0.09478
0.09443,0.0952,0.086,0.08792
0.08763,0.09148,0.085,0.08868
0.08868,0.09246,0.08473,0.09057
0.09057,0.0912,0.08752,0.09057
0.0905,0.092,0.08509,0.09174
0.09174,0.10158,0.09121,0.09512
0.09512,0.101,0.09459,0.10085
0.10085,0.101,0.09603,0.09716
0.09778,0.09869,0.09496,0.09839
0.098,0.10499,0.09715,0.10233
0.10235,0.10319,0.09869,0.09913
0.09913,0.09913,0.09054,0.0986
0.09869,0.09908,0.09523,0.09686
0.0963,0.09843,0.09411,0.09577
0.09569,0.0974,0.0915,0.09225
0.09232,0.09398,0.09062,0.0926
0.0926,0.09341,0.09036,0.09234
0.09221,0.1035,0.09212,0.09913
0.09913,0.09929,0.093,0.09505
0.09441,0.095,0.09198,0.09421
0.09391,0.09529,0.09279,0.09529
0.09532,0.1015,0.09483,0.09672
0.09722,0.09854,0.09482,0.09779
0.09779,0.09876,0.09507,0.09522
0.09523,0.09736,0.09473,0.09645
0.09625,0.09789,0.09563,0.09741
0.09713,0.09888,0.09568,0.09888
0.09888,0.10028,0.0965,0.0967
0.09657,0.098,0.09616,0.09665
0.09638,0.09842,0.09475,0.0953
0.09575,0.0975,0.094,0.09639
0.09636,0.09799,0.09597,0.09747
0.09704,0.09988,0.09698,0.0986
0.0986,0.09918,0.0965,0.09812
0.09869,0.09975,0.096,0.09833
0.09836,0.09988,0.0972,0.099
0.09917,0.09979,0.09448,0.09549
0.09569,0.09748,0.09475,0.09605
0.09606,0.09756,0.095,0.0958
0.0958,0.09625,0.09365,0.09365
0.09367,0.09499,0.0906,0.09248
0.09248,0.09412,0.09066,0.0912
0.09121,0.092,0.08615,0.088
0.088,0.09159,0.0874,0.0905
0.09051,0.0911,0.08967,0.09022
0.09013,0.09163,0.08433,0.08611
0.08608,0.08618,0.08037,0.08357
0.0833,0.0858,0.08329,0.08415
0.08417,0.08722,0.0838,0.08509
0.0849,0.0854,0.08287,0.08287
0.08299,0.08398,0.08164,0.08275
0.08291,0.08477,0.08001,0.08135
0.08154,0.08395,0.0815,0.08261
0.08287,0.08508,0.08267,0.08454
0.08454,0.08797,0.08454,0.08775
0.08781,0.088,0.08631,0.08767
0.08721,0.09132,0.08719,0.09131
0.09131,0.09187,0.0878,0.08903
0.0893,0.09164,0.0835,0.08951
0.08967,0.092,0.08696,0.08698
0.08696,0.08879,0.08491,0.08827
0.08827,0.09049,0.08544,0.08993
0.08993,0.09475,0.08951,0.09378
0.0943,0.1039,0.08578,0.09094
0.09095,0.09298,0.09022,0.092
0.09249,0.1067,0.09204,0.10643
0.10638,0.115,0.09365,0.09511
0.09511,0.09625,0.09156,0.09222
0.09222,0.09715,0.09211,0.0969
0.0969,0.09736,0.09253,0.09376
0.09385,0.09408,0.09161,0.09376
0.09348,0.09381,0.089,0.09107
0.09052,0.09219,0.09,0.09216
0.09216,0.09216,0.09,0.09114
0.09138,0.09273,0.09001,0.09193
0.09233,0.09665,0.0915,0.09283
0.09283,0.09288,0.091,0.09211
0.09252,0.09321,0.09065,0.09321
0.09297,0.095,0.09114,0.09135
0.09129,0.09472,0.09128,0.09355
0.0935,0.09385,0.09161,0.09199
0.09166,0.09364,0.091,0.09111
0.09111,0.09193,0.08885,0.08964
0.08982,0.09109,0.089,0.09108
0.09093,0.09097,0.08533,0.08666
0.08666,0.08703,0.08209,0.08589
0.0856,0.08657,0.08373,0.08573
0.08573,0.08613,0.08398,0.08528
0.08558,0.08583,0.08396,0.08444
0.08484,0.08716,0.0845,0.08614
0.08572,0.08651,0.08379,0.08527
0.08563,0.08665,0.0849,0.08557
0.08557,0.08716,0.08557,0.087
0.087,0.09447,0.08679,0.0931
0.0931,0.09311,0.08887,0.0904
0.09018,0.09349,0.086,0.08825
0.08823,0.0935,0.08601,0.0925
0.0925,0.09268,0.088,0.09114
0.09114,0.09473,0.09,0.09473
0.09446,0.09591,0.09121,0.09579
0.0958,0.105,0.09525,0.0993
0.10007,0.111,0.09999,0.10903
0.10904,0.1139,0.10399,0.11071
0.11071,0.11299,0.10616,0.10932
0.10905,0.10949,0.10377,0.10632
0.10684,0.1217,0.10684,0.11547
0.11547,0.11748,0.10987,0.11301
0.1126,0.11498,0.10213,0.10331
0.10331,0.10526,0.10138,0.10223
0.10223,0.10487,0.10151,0.10346
0.10336,0.10941,0.10285,0.10941
0.10941,0.11194,0.10411,0.10462
0.10463,0.10818,0.10343,0.10527
0.10526,0.10586,0.103,0.10416
0.10416,0.10599,0.10169,0.10222
0.10184,0.10354,0.10182,0.10297
0.10286,0.10387,0.102,0.10348
0.10346,0.10624,0.1005,0.10248
0.10299,0.10322,0.09939,0.09978
0.09987,0.10139,0.09882,0.10094
0.10128,0.10149,0.09746,0.0987
0.0987,0.09883,0.0969,0.09789
0.09789,0.09914,0.09743,0.09846
0.09852,0.09893,0.09628,0.09781
0.09788,0.10197,0.09714,0.10034
0.10036,0.10036,0.0975,0.09853
0.09853,0.09919,0.09715,0.0981
0.09801,0.10217,0.09717,0.09832
0.09802,0.102,0.0975,0.10051
0.10073,0.1055,0.09931,0.10288
0.10259,0.10408,0.10133,0.10277
0.10277,0.10396,0.0906,0.09486
0.09485,0.09906,0.09201,0.09616
0.09567,0.09641,0.09387,0.09612
0.09612,0.1008,0.09579,0.10036
0.10032,0.10185,0.09741,0.09849
0.09817,0.09902,0.09494,0.0975
0.09758,0.098,0.09398,0.0949
0.09474,0.09851,0.08564,0.08953
0.08945,0.09018,0.08637,0.0881
0.0881,0.09034,0.0805,0.08238
0.08252,0.08523,0.081,0.08403
0.08409,0.08495,0.0803,0.08324
0.08398,0.08813,0.08398,0.08549
0.08556,0.08993,0.081,0.0854
0.08489,0.08899,0.08462,0.08885
0.0889,0.08917,0.08688,0.08763
0.08764,0.08977,0.08687,0.08758
0.08759,0.08759,0.08528,0.08564
0.08564,0.08564,0.0811,0.08219
0.08208,0.08444,0.07744,0.08259
0.08259,0.08277,0.07092,0.07319
0.07321,0.08041,0.07227,0.07854
0.07854,0.08075,0.07429,0.07446
0.07452,0.07783,0.0723,0.07755
0.07797,0.08066,0.07497,0.07857
0.07866,0.0803,0.07417,0.07521
0.07494,0.07794,0.07476,0.07782
0.07781,0.07883,0.07603,0.07837
0.07854,0.08088,0.07764,0.07842
0.07831,0.07857,0.0758,0.0769
0.07672,0.07798,0.07286,0.07339
0.07334,0.07574,0.07,0.07562
0.07561,0.07613,0.07333,0.07383
0.0732,0.07699,0.07308,0.07699
0.07696,0.0775,0.07499,0.07527
0.07528,0.07557,0.07383,0.075
0.07519,0.07529,0.07081,0.07147
0.07147,0.07323,0.07093,0.0732
0.0732,0.0747,0.07057,0.07293
0.07295,0.07449,0.07114,0.07363
0.07389,0.07443,0.07146,0.07205
0.07205,0.07397,0.07199,0.07397
0.07371,0.07946,0.07312,0.07536
0.07529,0.077,0.07446,0.07674
0.07675,0.07899,0.0758,0.07766
0.07786,0.0785,0.07561,0.07754
0.07759,0.08236,0.07755,0.07888
0.07888,0.07976,0.0766,0.07712
0.07753,0.07846,0.03,0.0771
0.0773,0.081,0.07711,0.081
0.081,0.081,0.07767,0.08041
0.08016,0.08219,0.0795,0.08219
0.08219,0.08657,0.07998,0.08207
0.08193,0.08559,0.08188,0.083
0.083,0.08591,0.0829,0.0834
0.08366,0.085,0.08331,0.08331
0.08371,0.08419,0.08267,0.08407
0.08374,0.08554,0.08374,0.0854
0.08542,0.0855,0.08328,0.084
0.084,0.08441,0.08351,0.0841
0.08408,0.08424,0.08303,0.08365
0.08363,0.08373,0.0813,0.08315
0.08336,0.0855,0.08309,0.08418
0.08418,0.08526,0.08366,0.08481
0.085,0.08598,0.08476,0.08504
0.08538,0.08559,0.0841,0.08516
0.08535,0.08541,0.08069,0.08126
0.08071,0.08234,0.07967,0.07999
0.07977,0.08002,0.0788,0.07961
0.07961,0.08208,0.07909,0.08174
0.08174,0.08203,0.07925,0.08147
0.08144,0.08152,0.0808,0.08126
0.08114,0.08207,0.08012,0.08119
0.08126,0.08369,0.08122,0.08363
0.08336,0.08371,0.08205,0.08265
0.08245,0.08358,0.08173,0.08235
0.08235,0.08379,0.08225,0.08249
0.08249,0.08278,0.08128,0.08131
0.08152,0.08154,0.0797,0.08141
0.08137,0.08157,0.07938,0.07987
0.07959,0.07998,0.07901,0.07928
0.07928,0.08005,0.07911,0.07925
0.0791,0.07915,0.07624,0.07898
0.07885,0.08046,0.07854,0.08035
0.08007,0.08041,0.0786,0.07925
0.07926,0.07932,0.07775,0.07878
0.07878,0.07882,0.07744,0.07765
0.07777,0.07887,0.07751,0.07851
0.07874,0.0815,0.0782,0.07924
0.07907,0.07936,0.07721,0.07754
0.07757,0.07853,0.0767,0.07851
0.07848,0.07849,0.07667,0.07708
0.07708,0.07953,0.07708,0.07785
0.07808,0.08163,0.0779,0.07987
0.08035,0.08117,0.07999,0.08058
0.08058,0.08058,0.07946,0.08021
0.08021,0.0817,0.07959,0.08123
0.08147,0.08333,0.08098,0.08161
0.08168,0.08169,0.07894,0.07973
0.07973,0.08006,0.07819,0.07885
0.07896,0.07989,0.07868,0.07988
0.07958,0.08036,0.0793,0.08005
0.0797,0.08021,0.0789,0.07963
0.07963,0.08037,0.0785,0.08015
0.08023,0.08112,0.07987,0.08015
0.08017,0.08105,0.07951,0.08094
0.08082,0.08082,0.07881,0.07923
0.07896,0.08023,0.0789,0.08002
0.0799,0.08005,0.07899,0.07969
0.07943,0.0799,0.0779,0.07803
0.07803,0.08104,0.07718,0.07868
0.07887,0.07909,0.07842,0.07884
0.07885,0.07928,0.0782,0.07871
0.0787,0.07924,0.07738,0.07769
0.07742,0.07783,0.0708,0.07154
0.07155,0.07174,0.0683,0.06844
0.06883,0.06962,0.06804,0.06962
0.06962,0.07131,0.06962,0.06996
0.06996,0.07026,0.06903,0.0694
0.0696,0.0711,0.06714,0.06736
0.06782,0.06791,0.06689,0.06746
0.06746,0.06835,0.06658,0.06813
0.06814,0.06946,0.06793,0.0688
0.06929,0.07278,0.06773,0.07272
0.07285,0.07968,0.0724,0.0758
0.07596,0.07826,0.07146,0.07222
0.07224,0.07592,0.07224,0.0757
0.07552,0.07807,0.07326,0.07459
0.07472,0.07496,0.07076,0.07081
0.07104,0.07137,0.06847,0.06882
0.06895,0.06968,0.06798,0.06906
0.06929,0.07005,0.06836,0.07005
0.06987,0.07322,0.06944,0.07241
0.07254,0.07285,0.07075,0.07252
0.0723,0.07569,0.0723,0.074
0.07395,0.07583,0.07357,0.07556
0.07551,0.07778,0.07439,0.07439
0.07441,0.07461,0.07285,0.0732
0.0737,0.07429,0.0719,0.07396
0.07429,0.07734,0.07287,0.07543
0.07543,0.077,0.07493,0.0769
0.07691,0.07745,0.07611,0.07648
0.07649,0.08005,0.07629,0.07961
0.07985,0.07985,0.07787,0.07806
0.07801,0.08281,0.07735,0.08087
0.08087,0.08094,0.07825,0.08051
0.08079,0.0815,0.07954,0.08099
0.08082,0.08083,0.07871,0.07976
0.08,0.0821,0.07981,0.08047
0.08047,0.08073,0.07805,0.07835
0.07835,0.07835,0.07578,0.07668
0.07668,0.07912,0.07622,0.07901
0.07895,0.08073,0.078,0.0791
