Open,High,Low,Close
0.01897,0.01965,0.01852,0.01869
0.01869,0.01942,0.01803,0.01886
0.01884,0.01962,0.01866,0.01923
0.01921,0.0196,0.01896,0.01955
0.01954,0.01966,0.01863,0.01908
0.01907,0.02009,0.01889,0.01992
0.01994,0.0205,0.01956,0.0201
0.0201,0.02184,0.01988,0.02164
0.02164,0.0217,0.01968,0.02064
0.02061,0.0215,0.02007,0.02115
0.02114,0.02168,0.02056,0.02135
0.02136,0.02159,0.02031,0.02122
0.0212,0.02385,0.02109,0.02235
0.02237,0.02258,0.02103,0.02238
0.02239,0.02378,0.02214,0.02223
0.02223,0.02311,0.01995,0.02091
0.02089,0.02183,0.02067,0.02114
0.02114,0.02159,0.02071,0.02144
0.02148,0.0216,0.02075,0.02126
0.02127,0.02289,0.021,0.0216
0.02158,0.022,0.02081,0.02128
0.02127,0.0217,0.02092,0.02122
0.02123,0.0216,0.021,0.0211
0.02111,0.02136,0.01979,0.02062
0.02062,0.02134,0.0206,0.02091
0.0209,0.02139,0.0205,0.02072
0.02069,0.02094,0.01775,0.01995
0.01993,0.02111,0.0191,0.02047
0.02047,0.02098,0.02007,0.02034
0.02032,0.02109,0.02008,0.02041
0.02043,0.02067,0.02009,0.02025
0.02028,0.02145,0.02002,0.02109
0.02108,0.02142,0.01964,0.02002
0.02005,0.02093,0.0199,0.02043
0.02042,0.02087,0.02031,0.02067
0.02069,0.02198,0.02051,0.0213
0.02131,0.02228,0.02116,0.02176
0.02174,0.02233,0.02057,0.02135
0.02132,0.02294,0.02124,0.02287
0.02287,0.02378,0.02225,0.02268
0.02265,0.02459,0.02168,0.02449
0.02452,0.02625,0.0219,0.02303
0.02303,0.02598,0.0226,0.02528
0.02528,0.02868,0.0239,0.02715
0.02715,0.02877,0.02634,0.0282
0.02819,0.03238,0.027,0.03005
0.03009,0.031,0.02829,0.03014
0.03013,0.032,0.02772,0.02874
0.02874,0.02963,0.02508,0.02674
0.0268,0.02737,0.0237,0.02479
0.02482,0.02691,0.02462,0.02667
0.02668,0.02888,0.02471,0.02477
0.02478,0.02645,0.02332,0.02615
0.02609,0.02616,0.0248,0.0253
0.02531,0.02839,0.02491,0.02794
0.02794,0.02816,0.02486,0.0257
0.0257,0.02771,0.02549,0.02739
0.02736,0.02764,0.0249,0.02579
0.02578,0.02727,0.02539,0.02684
0.02688,0.02865,0.0265,0.02753
0.02753,0.02872,0.02706,0.02718
0.02715,0.02753,0.02611,0.02652
0.02659,0.02695,0.02528,0.02548
0.02547,0.02597,0.02145,0.02343
0.02345,0.02372,0.018,0.01908
0.01909,0.01997,0.01741,0.01924
0.01926,0.02006,0.01695,0.01797
0.01792,0.01911,0.01709,0.01868
0.01871,0.01894,0.01709,0.0188
0.01883,0.0191,0.01756,0.01821
0.01821,0.02072,0.01788,0.02005
0.02004,0.02151,0.0199,0.02038
0.02038,0.02147,0.01959,0.02107
0.02106,0.02124,0.02053,0.02098
0.02093,0.02129,0.01902,0.01976
0.01978,0.02039,0.0195,0.02009
0.02009,0.0217,0.02002,0.02045
0.02042,0.02046,0.0188,0.01981
0.01982,0.0205,0.01937,0.02044
0.02044,0.02175,0.01984,0.02103
0.02106,0.02158,0.02051,0.02088
0.02088,0.02262,0.02035,0.02188
0.02188,0.0235,0.01831,0.01881
0.01877,0.0197,0.01852,0.01959
0.01962,0.01982,0.0174,0.01769
0.01765,0.01904,0.01724,0.01895
0.01895,0.01955,0.01801,0.01912
0.01915,0.01938,0.01828,0.01883
0.01883,0.01918,0.01803,0.01875
0.01875,0.0205,0.01862,0.01884
0.01889,0.02006,0.01849,0.01962
0.01964,0.02038,0.01901,0.02014
0.02014,0.0205,0.0182,0.01898
0.01895,0.0191,0.01733,0.01819
0.01821,0.01876,0.0179,0.01849
0.01848,0.019,0.01817,0.01858
0.01858,0.01898,0.01844,0.01884
0.01885,0.01887,0.01688,0.01716
0.01709,0.01755,0.01645,0.01695
0.01695,0.01695,0.0154,0.01662
0.01663,0.01752,0.01617,0.01705
0.01705,0.01779,0.0169,0.0172
0.01721,0.01808,0.01714,0.0178
0.0178,0.0189,0.01768,0.01785
0.01782,0.01796,0.01737,0.01768
0.01767,0.01799,0.01703,0.01712
0.01714,0.01747,0.01653,0.01718
0.01717,0.01717,0.01597,0.01622
0.01623,0.01678,0.01599,0.01673
0.01671,0.01705,0.01646,0.01688
0.01689,0.01691,0.0161,0.01624
0.01624,0.01637,0.01532,0.01559
0.01559,0.01681,0.01553,0.01633
0.01632,0.0179,0.0161,0.01735
0.01734,0.01752,0.01643,0.01701
0.01704,0.01774,0.0168,0.01767
0.01766,0.01794,0.01713,0.01727
0.01727,0.01774,0.01609,0.01652
0.01653,0.01664,0.01558,0.01582
0.01582,0.01613,0.01482,0.01506
0.01503,0.01539,0.01364,0.01383
0.01383,0.0141,0.01291,0.01385
0.01382,0.01423,0.01359,0.01374
0.01371,0.01433,0.01355,0.01414
0.01415,0.01445,0.01332,0.01368
0.01369,0.01374,0.01255,0.01273
0.01273,0.01275,0.01169,0.01222
0.01223,0.01367,0.01209,0.01343
0.01342,0.0159,0.01336,0.01548
0.01547,0.01715,0.01381,0.01436
0.01438,0.01625,0.01412,0.0157
0.0157,0.01676,0.01529,0.01559
0.01559,0.01752,0.01539,0.01724
0.01727,0.01782,0.0165,0.01654
0.01656,0.01741,0.01559,0.01587
0.01588,0.01719,0.01575,0.01692
0.01691,0.01692,0.01596,0.01671
0.01672,0.01709,0.01581,0.01641
0.01641,0.01687,0.01621,0.01663
0.01664,0.01823,0.01658,0.01766
0.01765,0.01882,0.01621,0.01702
0.01703,0.01813,0.01673,0.01723
0.01724,0.01839,0.01716,0.01791
0.01791,0.0199,0.01762,0.01989
0.01989,0.02018,0.01791,0.01913
0.01913,0.022,0.0188,0.02113
0.02113,0.02257,0.02034,0.0216
0.02163,0.0239,0.0202,0.02087
0.02086,0.02153,0.01559,0.01775
0.01771,0.01861,0.01666,0.01766
0.01769,0.01899,0.01716,0.01872
0.01872,0.01896,0.01821,0.01888
0.01888,0.01976,0.01843,0.0196
0.01962,0.0201,0.01756,0.01863
0.01861,0.0195,0.01821,0.01932
0.01931,0.02098,0.019,0.02078
0.02079,0.02175,0.01855,0.01885
0.01884,0.01973,0.0183,0.01968
0.01967,0.02013,0.01891,0.01956
0.01952,0.01958,0.01892,0.01915
0.01916,0.01916,0.01736,0.0176
0.01761,0.01818,0.01655,0.01808
0.01809,0.0184,0.01722,0.0177
0.01772,0.01799,0.01696,0.01744
0.01744,0.0181,0.01736,0.01785
0.01788,0.01843,0.01783,0.01817
0.01816,0.0186,0.01793,0.01839
0.01838,0.01987,0.0183,0.01945
0.01945,0.01986,0.01872,0.0195
0.01951,0.0198,0.01825,0.01896
0.01896,0.0208,0.01864,0.02055
0.02056,0.02083,0.01967,0.0199
0.01989,0.02013,0.01871,0.01918
0.01921,0.0198,0.01782,0.01808
0.01809,0.01882,0.0174,0.01861
0.01861,0.01874,0.0144,0.01522
0.01521,0.0166,0.01468,0.01641
0.01643,0.01715,0.01578,0.01662
0.0166,0.01981,0.01626,0.01926
0.01933,0.02068,0.01765,0.01832
0.01833,0.01963,0.01803,0.01887
0.01885,0.01912,0.01775,0.01845
0.01845,0.019,0.01779,0.01808
0.01808,0.01809,0.01685,0.01758
0.01758,0.01873,0.0173,0.01777
0.01776,0.0196,0.01715,0.01904
0.01906,0.0207,0.01878,0.01997
0.01997,0.02499,0.01951,0.02468
0.02468,0.02708,0.02351,0.0244
0.02439,0.03673,0.02385,0.03555
0.03553,0.04033,0.0299,0.03297
0.03297,0.035,0.02738,0.03159
0.03154,0.0347,0.03052,0.03346
0.03343,0.03449,0.02732,0.03024
0.0302,0.03033,0.02281,0.02593
0.02593,0.0289,0.02501,0.02609
0.02608,0.03059,0.02467,0.02992
0.02992,0.033,0.029,0.03286
0.03278,0.03685,0.02912,0.03402
0.03401,0.03637,0.03161,0.03271
0.03269,0.0348,0.03058,0.03416
0.03413,0.038,0.03333,0.03612
0.03614,0.03624,0.03188,0.03229
0.03234,0.0348,0.03021,0.03443
0.03444,0.03502,0.02813,0.0286
0.02867,0.03295,0.02635,0.03119
0.03118,0.03521,0.03054,0.03403
0.03403,0.0352,0.03215,0.0331
0.03307,0.03685,0.03272,0.03273
0.03278,0.04478,0.0318,0.0433
0.04335,0.04833,0.03748,0.04175
0.04175,0.04459,0.03823,0.03856
0.03858,0.0435,0.0373,0.04016
0.04025,0.04689,0.039,0.03999
0.03996,0.04038,0.03598,0.03831
0.03828,0.04138,0.0362,0.0409
0.04092,0.04139,0.03916,0.04105
0.04107,0.04439,0.03975,0.04382
0.0438,0.0498,0.039,0.04737
0.04738,0.05642,0.04571,0.05481
0.05487,0.05572,0.04646,0.0525
0.05255,0.069,0.04783,0.06646
0.06645,0.08,0.06,0.07118
0.07115,0.108,0.069,0.09864
0.09863,0.1469,0.09635,0.11585
0.11587,0.13845,0.112,0.12333
0.12332,0.1298,0.11354,0.12071
0.12069,0.1259,0.10476,0.1115
0.11155,0.11597,0.09422,0.10002
0.10055,0.11977,0.08149,0.10717
0.10749,0.11588,0.10069,0.10899
0.10864,0.1195,0.09529,0.11213
0.11215,0.13395,0.11212,0.12214
0.12237,0.16539,0.1172,0.15327
0.15339,0.201,0.13,0.14443
0.14402,0.18471,0.13879,0.16231
0.16233,0.16757,0.11996,0.15217
0.15214,0.15296,0.099,0.13672
0.13673,0.17151,0.12724,0.1602
0.16021,0.2218,0.15858,0.17564
0.17564,0.20337,0.15942,0.19036
0.19067,0.23171,0.18833,0.1971
0.19717,0.23399,0.1716,0.2329
0.23291,0.25402,0.21607,0.2501
0.24928,0.2505,0.21026,0.23264
0.23227,0.238,0.21846,0.22302
0.22278,0.23625,0.19251,0.19877
0.19884,0.224,0.18288,0.21233
0.21236,0.22919,0.20526,0.21215
0.21229,0.22249,0.20707,0.21235
0.21209,0.22148,0.20472,0.21746
0.21747,0.308,0.21544,0.299
0.29921,0.3405,0.28,0.28678
0.28671,0.54344,0.27912,0.40884
0.40916,0.505,0.39591,0.41354
0.41356,0.47,0.41057,0.42474
0.42526,0.44049,0.37486,0.38043
0.38041,0.43098,0.37823,0.3911
0.39101,0.396,0.34452,0.37275
0.37275,0.42676,0.37141,0.40081
0.40132,0.43701,0.385,0.38919
0.38919,0.4235,0.375,0.40991
0.40992,0.42,0.38263,0.38276
0.38276,0.4095,0.36402,0.38016
0.38044,0.38422,0.321,0.34594
0.34594,0.36456,0.32557,0.32987
0.32977,0.37883,0.30136,0.32213
0.32151,0.33769,0.29743,0.30078
0.3004,0.34168,0.30017,0.33668
0.3361,0.35676,0.331,0.33195
0.33195,0.35561,0.32837,0.34624
0.34591,0.42396,0.33719,0.38456
0.38445,0.38869,0.36023,0.37122
0.37118,0.38267,0.33637,0.35995
0.36039,0.38,0.35205,0.36343
0.36302,0.39545,0.35717,0.38249
0.38274,0.3986,0.34976,0.35134
0.35158,0.37216,0.34359,0.36072
0.36085,0.37094,0.34784,0.37011
0.37006,0.38979,0.36039,0.37426
0.3743,0.37609,0.30871,0.33755
0.33754,0.361,0.33558,0.3559
0.35576,0.3836,0.34968,0.36713
0.36713,0.37567,0.34751,0.35775
0.35775,0.37,0.35,0.3692
0.36939,0.373,0.34952,0.35732
0.35733,0.424,0.35722,0.42281
0.42281,0.44972,0.36925,0.41376
0.41381,0.459,0.40093,0.43962
0.44,0.46738,0.40725,0.43532
0.4349,0.43906,0.39914,0.40185
0.40224,0.40609,0.26055,0.36329
0.36328,0.38686,0.32452,0.3254
0.32564,0.35166,0.2963,0.34227
0.34226,0.38287,0.32767,0.35664
0.35702,0.42159,0.3434,0.34929
0.34929,0.4,0.29501,0.3815
0.38151,0.39115,0.33717,0.35421
0.35421,0.405,0.344,0.38426
