Open,High,Low,Close
0.01897,0.01898,0.01852,0.01892
0.01892,0.01915,0.01869,0.0191
0.0191,0.0194,0.01898,0.01929
0.01929,0.01965,0.01907,0.01929
0.0193,0.01947,0.01863,0.0187
0.01869,0.0189,0.01854,0.01869
0.01869,0.0193,0.01864,0.01904
0.01902,0.0192,0.0189,0.01906
0.01905,0.01912,0.01891,0.01898
0.01896,0.01942,0.01835,0.01835
0.01841,0.0188,0.01803,0.01869
0.01867,0.01905,0.01865,0.01886
0.01884,0.01887,0.01866,0.01874
0.01874,0.01901,0.01866,0.01886
0.01888,0.01898,0.01869,0.01887
0.01887,0.01962,0.01884,0.01954
0.01953,0.01958,0.01916,0.01926
0.01926,0.0194,0.01893,0.01923
0.01921,0.01929,0.0191,0.01928
0.01926,0.0195,0.01914,0.01946
0.01946,0.01956,0.01917,0.0192
0.0192,0.01933,0.01896,0.01925
0.01923,0.01955,0.01917,0.01938
0.01938,0.0196,0.01932,0.01955
0.01954,0.01957,0.0193,0.01947
0.01946,0.01966,0.0193,0.0194
0.0194,0.01947,0.01882,0.01895
0.01896,0.01904,0.01877,0.0189
0.01889,0.01905,0.01882,0.01902
0.01904,0.01914,0.01863,0.01908
0.01907,0.01914,0.01889,0.01908
0.0191,0.01942,0.01904,0.01934
0.01936,0.01955,0.01926,0.01937
0.01937,0.01958,0.01929,0.01949
0.01949,0.01955,0.01937,0.01946
0.01946,0.02009,0.01936,0.01992
0.01994,0.02016,0.01966,0.01988
0.01988,0.01996,0.0196,0.01969
0.01971,0.01979,0.01956,0.01977
0.01977,0.02019,0.01975,0.01997
0.01997,0.0205,0.0199,0.02004
0.02007,0.02019,0.01975,0.0201
0.0201,0.0203,0.01993,0.02011
0.0201,0.02047,0.01988,0.02043
0.02044,0.02107,0.02039,0.02105
0.02105,0.02108,0.02039,0.02104
0.02104,0.02184,0.0208,0.0215
0.02149,0.0218,0.02125,0.02164
0.02164,0.02169,0.02104,0.02133
0.02135,0.0217,0.02117,0.0213
0.02131,0.02133,0.02054,0.02113
0.02115,0.02137,0.01968,0.02009
0.02011,0.02057,0.02,0.02051
0.0205,0.02085,0.02037,0.02064
0.02061,0.02075,0.02038,0.02051
0.02053,0.0206,0.0201,0.02025
0.02023,0.02044,0.02007,0.02012
0.02013,0.0212,0.0201,0.02116
0.02116,0.0215,0.02072,0.02084
0.02085,0.02123,0.02066,0.02115
0.02114,0.02116,0.02082,0.02094
0.02094,0.02124,0.02088,0.02117
0.0212,0.0212,0.02056,0.02066
0.02066,0.02124,0.02062,0.02117
0.02118,0.02168,0.0209,0.02146
0.02145,0.02165,0.02131,0.02135
0.02136,0.02141,0.02123,0.02132
0.02133,0.02151,0.02125,0.02144
0.02143,0.02156,0.02125,0.02154
0.02155,0.02159,0.02031,0.02089
0.02087,0.02105,0.02059,0.02082
0.02083,0.02143,0.02065,0.02122
0.0212,0.02179,0.02109,0.02174
0.02175,0.02212,0.02172,0.02186
0.02184,0.0234,0.0217,0.02297
0.02298,0.02385,0.02251,0.0232
0.02322,0.02354,0.02137,0.02214
0.02214,0.023,0.02183,0.02235
0.02237,0.02258,0.02199,0.02214
0.02216,0.02216,0.02155,0.02171
0.02173,0.02219,0.02122,0.02198
0.02199,0.02218,0.02103,0.02205
0.02205,0.0225,0.02172,0.02226
0.02224,0.02245,0.02182,0.02238
0.02239,0.02308,0.02222,0.02261
0.02257,0.02378,0.02248,0.02346
0.02347,0.02348,0.02257,0.02294
0.02295,0.0234,0.0222,0.02233
0.02232,0.0228,0.02214,0.02224
0.02224,0.02277,0.02221,0.02223
0.02223,0.02291,0.02214,0.02291
0.02292,0.02311,0.01995,0.02117
0.02119,0.02144,0.0203,0.02086
0.02084,0.02149,0.02058,0.02139
0.02137,0.02152,0.02112,0.02117
0.02116,0.02125,0.02037,0.02091
0.02089,0.02132,0.02067,0.02112
0.02113,0.02148,0.02101,0.02128
0.02129,0.02146,0.02104,0.02133
0.02131,0.02183,0.02126,0.02136
0.02137,0.02169,0.02129,0.02157
0.02156,0.02169,0.02092,0.02114
0.02114,0.02118,0.02071,0.02086
0.02086,0.02125,0.02082,0.02121
0.02119,0.02126,0.0208,0.02109
