Open,High,Low,Close
1.3,1.88,1.05,1.1685
1.1685,1.2522,1.0792,1.1209
1.1222,1.1524,0.812,0.8171
0.8171,0.8649,0.72,0.8073
0.8074,0.8753,0.8007,0.8692
0.8703,0.871,0.765,0.7993
0.7993,0.81,0.67,0.6757
0.6774,0.7475,0.6731,0.7044
0.7045,0.7881,0.7042,0.7484
0.7479,0.7535,0.6862,0.7271
0.7263,0.7585,0.7052,0.7391
0.7389,0.8581,0.729,0.8444
0.8456,0.8567,0.7396,0.7784
0.7803,0.8068,0.7447,0.7598
0.7609,0.7785,0.681,0.7
0.7006,0.7246,0.6702,0.6895
0.69,0.7042,0.6127,0.6306
0.6304,0.6564,0.6184,0.6385
0.6386,0.6568,0.6,0.635
0.6361,0.6517,0.5976,0.6064
0.6059,0.6123,0.5573,0.5621
0.5629,0.5644,0.5246,0.5338
0.5342,0.7179,0.5336,0.6912
0.6914,0.765,0.6881,0.7193
0.7198,0.7932,0.6697,0.6961
0.6957,0.8297,0.682,0.8169
0.8165,0.9289,0.7972,0.9289
0.9295,0.9744,0.882,0.9456
0.9456,0.9923,0.8571,0.8604
0.8599,0.8796,0.7603,0.7893
0.7896,0.918,0.779,0.8981
0.8992,0.9039,0.8213,0.8681
0.8685,0.8867,0.7978,0.8296
0.8293,0.8994,0.8167,0.866
0.8657,0.9845,0.8643,0.9313
0.9319,0.9455,0.8006,0.8324
0.8332,0.8769,0.8088,0.8454
0.8462,0.95,0.8361,0.9471
0.9485,1.2173,0.9433,1.1853
1.1865,1.189,0.997,1.0771
1.0779,1.2218,1.0573,1.1706
1.1703,1.2914,1.141,1.2434
1.2428,1.3,1.0766,1.1051
1.1042,1.1303,0.8972,1.0101
1.0103,1.051,0.9404,0.9959
0.9968,1.0378,0.9593,1.0203
1.0213,1.0448,0.9912,1.0138
1.0144,1.0967,1.0144,1.0779
1.078,1.1302,0.985,1.06
1.0608,1.2111,1.04,1.1768
1.1756,1.1924,1.135,1.1549
1.1538,1.2222,1.0927,1.1017
1.1012,1.1429,1.02,1.1126
1.1125,1.125,1.0091,1.0339
1.0341,1.0534,1.0107,1.0118
1.012,1.0225,0.915,0.9331
0.9337,1.0141,0.9108,0.995
0.9973,1.0472,0.9549,0.9559
0.9558,0.9586,0.8672,0.8692
0.8694,0.927,0.8685,0.9194
0.919,0.9793,0.9186,0.9527
0.9524,1.011,0.9428,0.9933
0.9933,1.0186,0.9759,1.0066
1.0068,1.0479,0.9636,1.0469
1.0471,1.0691,0.9858,0.9934
0.9944,1.02,0.9726,1.0048
1.0048,1.1226,0.994,1.0477
1.0479,1.081,1.0199,1.0583
1.0577,1.6631,1.0433,1.2183
1.2191,1.2357,1.078,1.1611
1.1609,1.182,0.9054,0.9619
0.9628,1.0774,0.9138,1.0635
1.0637,1.0784,0.9955,1.0201
1.019,1.0642,0.9825,1.0246
1.0253,1.2488,0.9979,1.199
1.1989,1.2514,1.1568,1.2217
1.2217,1.24,1.1011,1.1653
1.166,1.2665,1.166,1.21
1.2098,1.4174,1.1674,1.3917
1.3907,1.4948,1.2862,1.3587
1.3594,1.428,1.3063,1.4124
1.4124,1.5925,1.4094,1.4707
1.4731,1.5671,1.3,1.3868
1.3874,1.523,1.3325,1.4953
1.4956,1.596,1.4143,1.5413
1.5413,1.5647,1.46,1.4972
1.4993,1.9507,1.4272,1.7376
1.7375,1.8436,1.6418,1.7586
1.7596,1.9494,1.6235,1.7421
1.7421,1.7599,1.3485,1.4833
1.4834,1.616,1.4242,1.4319
1.432,1.6075,1.3927,1.606
1.6074,1.7689,1.5814,1.7274
1.7279,1.9155,1.685,1.832
1.8336,2.257,1.8331,2.0871
2.0842,2.7763,2.0078,2.5013
2.5013,2.6635,2.292,2.4086
2.4086,2.4743,2.1613,2.1637
2.1636,2.5929,2.1105,2.4825
2.4869,2.5666,2.13,2.1592
2.1631,2.5299,2.0,2.3683
2.3712,2.524,2.3083,2.385
2.3842,2.75,2.3518,2.5614
2.5582,2.682,2.4195,2.4466
2.4409,2.5622,2.1786,2.381
2.3819,2.3819,2.0154,2.0319
2.0312,2.316,2.0055,2.2485
2.2447,2.3499,2.1003,2.1989
2.202,2.2562,2.0581,2.1705
2.1706,2.4243,2.0514,2.1441
2.1436,2.3715,2.0872,2.2665
2.264,2.56,2.2213,2.46
2.4603,2.6471,2.3921,2.5575
2.558,2.6665,2.4,2.4917
2.4951,2.948,2.494,2.8576
2.8595,2.89,2.5139,2.6854
2.69,3.527,2.59,3.4
3.4017,3.6,3.0388,3.4627
3.4649,3.493,3.2133,3.3039
3.3086,3.7026,3.125,3.2441
3.2461,3.5367,3.1581,3.4505
3.4568,4.9547,3.4142,4.7182
4.7182,5.5929,4.4787,4.8194
4.8125,4.8599,4.1501,4.3099
4.3099,4.3862,3.454,4.0255
4.0326,4.448,3.8613,4.0889
4.089,4.3963,3.8155,4.2325
4.2299,4.6685,4.0273,4.4418
4.445,4.5668,4.0982,4.3833
4.3861,4.7383,3.7257,4.0
3.9977,4.1999,3.8582,4.1
4.1015,4.1072,2.9735,3.7383
3.734,3.7688,2.644,3.3799
3.3716,3.66,3.1686,3.5713
3.5768,4.6964,3.4623,3.8977
3.8915,4.89,3.787,4.2309
4.235,4.486,3.8907,4.001
4.0012,4.0144,3.4148,3.8234
3.8232,4.3,3.7931,4.1933
4.1972,4.2447,3.8459,4.0363
4.035,4.299,3.9976,4.1679
4.1654,4.6599,4.1107,4.5338
4.5338,4.6019,4.025,4.1615
4.1582,4.2499,3.927,4.0525
4.052,4.4043,4.0505,4.2756
4.2802,4.6305,4.1219,4.576
4.578,5.8067,4.5608,5.4092
5.4043,6.24,4.9098,5.3063
5.3086,6.292,5.1062,6.0766
6.0638,7.45,5.9,6.9148
6.9231,7.58,6.5115,7.3991
7.399,7.4,6.6077,6.6135
6.6092,6.8595,5.86,5.9027
5.8937,6.9,5.5878,6.3833
6.3898,6.4371,5.95,6.2294
6.2371,6.5984,6.0,6.05
6.0599,6.4464,5.8656,6.1663
6.1714,6.5988,6.1162,6.2722
6.2715,6.3037,5.8037,6.0388
6.0389,6.0562,5.27,5.4066
5.4069,5.8494,5.1046,5.3055
5.3086,5.69,4.794,4.8521
4.8578,5.0923,4.4628,4.8068
4.811,5.5807,4.8052,5.481
5.4755,5.6511,5.2464,5.3274
5.3333,5.99,5.272,5.6028
5.5996,5.95,5.5139,5.809
5.807,6.699,5.7286,6.346
6.3521,6.394,5.6744,5.9933
5.9957,6.2945,5.83,5.9728
5.9747,6.1658,5.8746,5.9834
5.9887,6.4101,5.5515,5.6862
5.6845,6.1049,5.5734,6.0884
6.0867,6.31,5.8413,6.1327
6.1317,7.35,6.1248,6.7694
6.769,6.9793,5.6968,6.1245
6.1274,6.8729,6.0182,6.8164
6.8057,6.9453,6.3142,6.4216
6.4222,6.871,6.3127,6.5032
6.5021,7.4333,6.4704,6.7628
6.7694,7.4,6.5729,6.7259
6.7258,6.9198,6.3626,6.5029
6.508,6.8262,6.1557,6.3349
6.3349,7.0,6.2386,6.5225
6.5189,6.562,5.88,5.9344
5.9369,6.3019,5.7153,5.8744
5.8754,5.9325,4.0122,5.1534
5.1563,5.35,4.5848,4.7332
4.7319,5.1422,4.4321,4.9324
4.937,5.2,4.6315,4.7757
4.7757,5.7569,4.6642,4.7945
4.7868,4.962,4.0084,4.6549
4.6545,4.666,4.1,4.2421
4.2448,4.8688,4.2208,4.6462
4.6484,5.1999,4.5921,5.0202
5.0202,5.25,4.794,5.157
5.1503,5.21,4.7224,4.9091
4.9184,5.6286,4.7512,5.4892
5.4888,6.0,5.2577,5.5601
5.5625,5.78,5.2923,5.5042
5.5081,5.5148,5.145,5.2757
5.2759,5.5582,5.268,5.4784
5.4834,5.493,4.7926,4.8169
4.8169,5.25,4.7641,5.25
5.247,5.586,5.0204,5.2065
5.2107,5.5,5.0441,5.32
5.3201,5.5679,5.1475,5.2338
5.235,5.2686,4.8832,5.0636
5.0642,5.2826,4.36,4.6959
4.6963,4.9594,4.6142,4.9431
4.944,5.985,4.604,4.7424
4.7637,5.6399,4.51,5.4844
5.4845,5.9499,5.45,5.7383
5.7393,7.3355,5.6194,5.9421
5.9437,6.6099,5.5355,5.8717
5.8729,5.9671,5.01,5.7248
5.7244,6.2988,5.4851,5.6737
5.6792,5.8743,2.9,3.6014
3.6059,4.3782,3.2,4.19
4.1923,4.3889,3.03,3.4615
3.4624,3.5319,2.9679,3.1639
3.1664,3.37,2.2037,2.6575
2.6552,3.28,2.5702,3.2661
3.2684,3.434,2.8214,3.3345
3.3338,3.65,3.2383,3.537
3.5388,3.5403,3.1213,3.3049
3.3018,3.3346,2.705,2.9212
2.92,2.97,2.5279,2.6967
2.6987,3.3,2.5312,3.1149
3.1135,3.3762,2.8785,3.3548
3.3548,3.3829,2.9876,3.2351
3.2358,3.5893,3.1482,3.3134
3.3117,3.65,3.2688,3.6096
3.6116,3.6177,3.0029,3.1698
3.177,3.4326,2.9938,3.2835
3.2836,3.3184,3.1048,3.2047
3.2052,3.3126,2.91,2.9256
2.9248,2.9911,2.69,2.9
2.9,3.3335,2.781,3.2245
3.2245,3.2471,2.8811,2.9685
2.9693,3.1988,2.8965,3.0208
3.0221,3.0224,2.7857,2.9171
2.916,3.16,2.8612,3.1376
3.1355,3.3655,3.055,3.2217
3.2246,3.3224,3.1607,3.2185
3.2182,3.2432,2.981,3.0811
3.0748,3.2,3.0,3.0892
3.089,3.3418,2.8601,2.9316
2.9294,2.983,2.8487,2.8639
2.8618,2.9159,2.6535,2.8853
2.8857,2.9346,2.2399,2.2436
2.2449,2.4017,1.9228,2.1317
2.1307,2.4014,2.0208,2.1481
2.1485,2.2572,2.0227,2.171
2.1709,2.233,1.8782,1.8947
1.8942,1.922,1.7473,1.89
1.8875,1.97,1.8105,1.9643
1.9649,2.0619,1.9222,1.9773
1.9767,2.1901,1.9631,2.0957
2.0971,2.1197,1.9202,2.0907
2.0917,2.1689,1.9202,2.0738
2.0713,2.2,1.936,2.1026
2.1049,2.2926,2.0952,2.2583
2.2587,2.3485,2.1605,2.2931
2.2917,2.3077,2.1125,2.1706
2.1714,2.3261,2.1698,2.2573
2.2558,2.4049,2.2371,2.3103
2.3078,2.3143,2.045,2.0996
2.0982,2.1206,2.0101,2.0887
2.0903,2.1378,2.0308,2.1117
2.1128,2.2477,2.0775,2.1749
2.1733,2.2292,2.0345,2.092
2.09,2.0979,1.9202,1.9486
1.9449,2.0865,1.8618,1.9939
1.994,2.0252,1.8575,1.9249
1.9279,1.9847,1.8195,1.8404
