Open,High,Low,Close
1.3,1.88,1.1111,1.2517
1.2597,1.3199,1.05,1.1051
1.1052,1.2819,1.0719,1.1281
1.127,1.1999,1.07,1.1089
1.1097,1.187,1.08,1.1685
1.1685,1.2522,1.1442,1.1813
1.1817,1.2245,1.1067,1.1249
1.1249,1.185,1.0792,1.1283
1.1256,1.2198,1.1015,1.177
1.1769,1.1781,1.115,1.16
1.1579,1.1636,1.116,1.1209
1.1222,1.1524,1.102,1.1073
1.1073,1.1073,0.9297,0.9345
0.9345,0.9767,0.86,0.9197
0.9199,0.945,0.87,0.8831
0.8831,0.9127,0.8648,0.8708
0.87,0.87,0.812,0.8171
0.8171,0.8649,0.72,0.8435
0.8438,0.8565,0.801,0.8377
0.8377,0.8393,0.773,0.7973
0.7973,0.8123,0.775,0.7886
0.7886,0.7969,0.7515,0.7518
0.752,0.81,0.752,0.8073
0.8074,0.8496,0.8014,0.812
0.811,0.8437,0.8011,0.8358
0.8361,0.8466,0.8132,0.823
0.8229,0.8352,0.8007,0.8135
0.8134,0.8559,0.8134,0.8544
0.8544,0.8753,0.845,0.8692
0.8703,0.871,0.8142,0.8212
0.8206,0.8356,0.81,0.8299
0.83,0.8391,0.816,0.827
0.8267,0.8375,0.813,0.8307
0.8286,0.8529,0.7711,0.799
0.7986,0.8005,0.765,0.7993
0.7993,0.81,0.7874,0.8046
0.8046,0.8061,0.7528,0.7528
0.7551,0.7697,0.7302,0.7339
0.7336,0.7487,0.6942,0.7043
0.7021,0.709,0.6794,0.6902
0.6902,0.6924,0.67,0.6757
0.6774,0.7475,0.6731,0.735
0.735,0.7373,0.6957,0.6977
0.6984,0.7205,0.696,0.7049
0.7049,0.7431,0.6737,0.7266
0.7276,0.7428,0.7175,0.723
0.7242,0.7278,0.6982,0.7044
0.7045,0.7775,0.7042,0.733
0.7333,0.7649,0.7315,0.7535
0.7516,0.7573,0.734,0.7515
0.7516,0.7881,0.73,0.7524
0.7533,0.7654,0.7484,0.7578
0.7585,0.7601,0.742,0.7484
0.7479,0.7479,0.7202,0.7257
0.7257,0.7426,0.7193,0.7213
0.7205,0.7535,0.7195,0.7374
0.7361,0.7403,0.71,0.7182
0.7178,0.7187,0.6862,0.715
0.7133,0.7343,0.7005,0.7271
0.7263,0.74,0.7133,0.7346
0.7356,0.736,0.712,0.7267
0.7264,0.7273,0.7052,0.7224
0.7231,0.7485,0.723,0.734
0.7341,0.7585,0.7297,0.7486
0.7486,0.749,0.735,0.7391
0.7389,0.7466,0.729,0.7383
0.7389,0.8181,0.7389,0.8038
0.8029,0.84,0.7755,0.7967
0.7974,0.8175,0.7855,0.7919
0.7926,0.8459,0.7794,0.8394
0.8392,0.8581,0.8125,0.8444
0.8456,0.8567,0.8043,0.8162
0.8162,0.8328,0.791,0.8027
0.8021,0.8063,0.7814,0.7937
0.7954,0.81,0.7556,0.7705
0.7701,0.7765,0.7396,0.775
0.7744,0.7821,0.7654,0.7784
0.7803,0.8068,0.7803,0.8
0.799,0.8025,0.78,0.7877
0.7875,0.7916,0.7504,0.7796
0.7784,0.7877,0.7619,0.7648
0.766,0.7748,0.75,0.7609
0.759,0.7619,0.7447,0.7598
0.7609,0.7785,0.7442,0.7442
0.7441,0.7568,0.703,0.7193
0.7191,0.7295,0.705,0.7159
0.7154,0.733,0.6988,0.7215
0.7201,0.7201,0.69,0.6993
0.6985,0.7065,0.681,0.7
0.7006,0.7142,0.7,0.7141
0.7141,0.7246,0.7071,0.715
0.7131,0.7198,0.6873,0.6874
0.688,0.7214,0.6702,0.7137
0.7137,0.7142,0.6826,0.6826
0.6825,0.6934,0.6742,0.6895
0.69,0.7042,0.6214,0.632
0.6319,0.6442,0.6127,0.6286
0.6297,0.6474,0.6168,0.6399
0.6397,0.6529,0.6347,0.6433
0.6424,0.6564,0.6352,0.6514
0.6537,0.655,0.63,0.6306
0.6304,0.6428,0.621,0.6422
0.643,0.65,0.6298,0.6396
0.6398,0.6564,0.6372,0.6387
