Open,High,Low,Close
2.85,3.47,2.85,2.9224
2.9626,3.1,2.8433,3.0497
3.0497,3.5208,2.8625,3.19
3.1751,3.384,3.1143,3.1886
3.1938,3.3191,2.95,3.2985
3.2985,3.32,3.08,3.2802
3.2802,3.3661,3.1323,3.3661
3.3577,3.9289,3.35,3.6842
3.6733,3.9,3.6434,3.7678
3.7704,3.8423,3.6,3.6788
3.6788,3.8225,3.6652,3.7558
3.75,3.8512,3.5537,3.7593
3.7404,4.1387,3.6243,4.0785
4.0946,4.1222,3.5003,3.87
3.87,4.0555,3.8,3.8065
3.8065,3.9645,3.7698,3.8566
3.8549,3.87,3.5385,3.73
3.7207,3.7676,3.5717,3.625
3.6251,3.7517,3.5,3.55
3.5327,3.7598,3.4267,3.7173
3.7036,3.7133,3.5106,3.5788
3.5753,3.5881,3.321,3.3792
3.3792,3.4897,3.3321,3.4099
3.4181,3.4242,3.1874,3.3289
3.3305,3.5713,3.163,3.5215
3.5216,3.74,3.4477,3.45
3.4527,3.4852,3.38,3.4324
3.4547,3.4654,3.34,3.3684
3.3684,3.4727,3.15,3.173
3.173,3.2602,3.12,3.1955
3.192,3.4907,3.1697,3.4401
3.4401,3.47,3.34,3.4193
3.4193,3.4427,3.34,3.3872
3.3911,3.4726,3.379,3.4071
3.4115,3.4426,3.36,3.3885
3.3885,3.3952,3.3235,3.3502
3.3551,3.3666,3.2,3.2001
3.2034,3.3234,3.2002,3.2891
3.2891,3.2934,3.1,3.1264
3.1347,3.215,3.11,3.1541
3.1546,3.2,3.1,3.11
3.11,3.1277,3.0,3.0328
3.0208,3.0671,2.878,2.99
2.99,3.25,2.91,3.0672
3.0501,3.7092,2.8105,3.3621
3.3777,3.5832,3.258,3.5289
3.5289,3.5543,3.32,3.3407
3.334,3.49,3.0814,3.1075
3.1001,3.1427,2.8,3.0375
3.0376,3.1799,3.0,3.01
3.01,3.1307,2.98,3.008
2.9955,3.0291,2.9012,2.9404
2.9407,2.9735,2.82,2.8868
2.8962,3.053,2.8871,2.9291
2.9291,3.0493,2.92,2.998
2.9955,3.1898,2.9895,3.1508
3.151,3.35,3.109,3.3254
3.3441,3.445,3.18,3.3261
3.3333,3.4106,3.1461,3.2038
3.2038,3.24,3.1104,3.16
3.1599,3.2168,3.0,3.0718
3.0617,3.1377,3.0185,3.0918
3.0918,3.1636,2.9738,3.0127
3.0149,3.0812,2.9877,3.0483
3.0483,3.1137,2.89,2.9317
2.9213,2.9386,2.8,2.814
2.82,2.8463,2.7431,2.805
2.8029,2.8655,2.7876,2.8599
2.8599,3.16,2.8586,3.061
3.0601,3.2,3.039,3.0536
3.0536,3.0661,2.979,3.0126
3.0224,3.2857,3.0014,3.1121
3.1122,3.2111,3.0483,3.0723
3.07,3.0782,3.0258,3.034
3.034,3.1301,3.0073,3.1301
3.1299,3.4,3.1105,3.3917
3.399,3.4,3.1949,3.25
3.2658,3.3711,3.2144,3.285
3.285,3.4849,3.2572,3.4479
3.4478,3.62,3.326,3.4632
3.4707,3.5727,3.3888,3.4696
3.4696,3.5363,3.25,3.2812
3.2768,3.356,3.21,3.3405
3.3406,3.3654,3.1421,3.1503
3.1506,3.2259,3.0601,3.1508
3.15,3.2379,3.0691,3.18
3.18,3.2294,3.0001,3.11
3.11,3.2495,3.0445,3.12
3.1215,3.2854,3.1,3.25
3.2576,3.4136,3.1809,3.378
3.37,3.5769,3.2836,3.443
3.443,3.614,3.3288,3.605
3.605,3.6886,3.4097,3.6567
3.6487,3.7999,3.59,3.627
3.6342,3.68,3.5,3.5684
3.5557,3.644,3.4761,3.5037
3.4901,3.8,3.39,3.697
3.6991,3.8575,3.3,3.4078
3.4078,3.8,3.315,3.4623
3.4623,3.5293,3.2434,3.3735
3.3674,3.4632,3.3246,3.4501
3.4503,3.8,3.4503,3.7605
3.7605,3.81,3.6,3.67
3.6654,3.95,3.6467,3.9479
3.9444,3.9673,3.8128,3.8769
3.8769,4.3,3.82,4.1871
4.1875,4.3091,3.8972,4.0063
4.007,4.1121,3.8751,3.9382
3.9382,3.9676,3.7911,3.794
3.794,4.0058,3.7748,3.8989
3.8989,4.0667,3.8663,4.0502
4.0381,4.1119,3.8701,3.97
3.97,4.08,3.9362,3.9535
3.9531,4.0262,3.9,4.0227
4.0085,4.3645,3.9923,4.31
4.31,4.5848,4.2843,4.5585
4.55,4.7117,4.362,4.4275
4.4185,4.6253,4.4,4.53
4.5397,4.6029,4.352,4.4309
4.4127,4.551,4.2787,4.339
4.3326,4.35,4.1,4.1058
4.1058,4.29,4.1028,4.2768
4.2708,4.5,4.1439,4.3641
4.364,4.7999,4.282,4.7997
4.7879,4.8865,4.5373,4.7435
4.7432,4.7948,4.5,4.7564
4.7466,4.9475,4.574,4.69
