Open,High,Low,Close
0.17533,0.17814,0.17373,0.17647
0.17645,0.1777,0.172,0.17477
0.17476,0.17865,0.1743,0.1762
0.17618,0.17964,0.17593,0.17808
0.1781,0.1788,0.17372,0.17695
0.17691,0.18934,0.17644,0.18875
0.18876,0.18969,0.18312,0.18508
0.18508,0.20669,0.18382,0.20551
0.20544,0.21186,0.19667,0.20263
0.20263,0.20272,0.19252,0.19909
0.19906,0.20482,0.19792,0.2011
0.20112,0.20401,0.19758,0.20128
0.20122,0.2066,0.191,0.19867
0.19866,0.19978,0.195,0.19909
0.19908,0.1999,0.19635,0.19721
0.19722,0.19756,0.18822,0.19444
0.19447,0.19824,0.19125,0.1944
0.19441,0.20203,0.19392,0.1999
0.19989,0.20205,0.19574,0.19956
0.19961,0.20019,0.19194,0.19465
0.19465,0.201,0.19386,0.19949
0.19946,0.20441,0.196,0.20348
0.20351,0.21584,0.20142,0.20851
0.20847,0.20855,0.20189,0.20392
0.20393,0.21756,0.2035,0.21463
0.21462,0.22499,0.21255,0.21532
0.21528,0.23,0.20861,0.22437
0.22445,0.23476,0.217,0.23029
0.23031,0.25,0.22919,0.24327
0.24323,0.24954,0.233,0.24408
0.24407,0.26042,0.24158,0.25939
0.25938,0.29739,0.25557,0.29089
0.29089,0.32628,0.2476,0.28803
0.28809,0.31999,0.28357,0.31016
0.31008,0.31926,0.29038,0.30138
0.30137,0.30813,0.2908,0.30228
0.30233,0.31126,0.29722,0.30311
0.30309,0.31037,0.27936,0.29437
0.29444,0.2987,0.2898,0.29527
0.29532,0.29839,0.28215,0.2879
0.28792,0.30008,0.28301,0.29469
0.29468,0.30736,0.26727,0.2831
0.28308,0.28737,0.27139,0.28233
0.28233,0.29561,0.27243,0.2942
0.2942,0.3073,0.28918,0.29995
0.29995,0.30537,0.2907,0.29884
0.2989,0.3048,0.29186,0.30455
0.3046,0.32689,0.29702,0.31539
0.31535,0.32156,0.29614,0.30251
0.3025,0.30616,0.27809,0.28975
0.28969,0.29465,0.28431,0.29218
0.29217,0.29585,0.27671,0.27933
0.27935,0.28663,0.2733,0.28592
0.28589,0.28808,0.27698,0.2848
0.2848,0.292,0.28224,0.2884
0.2884,0.28959,0.27,0.27625
0.27628,0.28078,0.2739,0.27653
0.27645,0.27833,0.25453,0.26469
0.26478,0.2732,0.26,0.27174
0.27166,0.27685,0.26865,0.2738
0.27375,0.28389,0.27375,0.28302
0.28302,0.2845,0.27804,0.28115
0.28115,0.29884,0.27574,0.29521
0.29515,0.304,0.2622,0.27595
0.27594,0.2765,0.238,0.24409
0.24404,0.26582,0.24012,0.25385
0.25385,0.25951,0.231,0.23738
0.23737,0.24358,0.22937,0.23986
