BB_UPPER,BB_SMA,BB_LOWER,Open,High,Low,Close
2.7833487966638857,2.6839,2.5844512033361142,2.733,2.772,2.724,2.748
2.7874574757053705,2.6879999999999997,2.588542524294629,2.746,2.766,2.723,2.727
2.7863205611172606,2.6944500000000002,2.60257943888274,2.723,2.758,2.71,2.729
2.786664102981328,2.70155,2.6164358970186723,2.728,2.76,2.704,2.749
2.7946500466917623,2.7087,2.6227499533082375,2.752,2.789,2.731,2.779
2.8022092926913684,2.71625,2.6302907073086317,2.781,2.805,2.746,2.788
2.819712686133569,2.7247,2.6296873138664307,2.785,2.87,2.781,2.828
2.8304768143274757,2.73035,2.6302231856725244,2.827,2.84,2.765,2.805
2.8445584864763593,2.7371000000000003,2.6296415135236413,2.807,2.835,2.765,2.828
2.886138379464104,2.7469,2.6076616205358962,2.828,2.988,2.826,2.935
2.915338106438244,2.7605500000000003,2.6057618935617564,2.936,2.944,2.807,2.93
2.955398840317344,2.7784000000000004,2.601401159682657,2.933,3.029,2.921,2.997
3.0210174204595592,2.80065,2.580282579540441,2.998,3.106,2.994,3.104
3.058162281853323,2.81895,2.579737718146677,3.1,3.13,3.03,3.049
3.0953863434726436,2.8345,2.573613656527356,3.052,3.089,2.994,3.065
3.1160370108212585,2.8471,2.578162989178742,3.068,3.078,2.992,3.007
3.1361435939322972,2.86075,2.5853564060677026,3.005,3.033,2.951,3.021
3.144345569870893,2.8745,2.6046544301291066,3.018,3.068,2.975,2.979
3.1543800458948605,2.8912500000000003,2.62811995410514,2.978,3.047,2.963,3.025
3.1727197784262766,2.90845,2.644180221573724,3.024,3.105,3.014,3.076
3.2172210990831855,2.9316500000000003,2.646078900916815,3.077,3.25,3.048,3.212
3.237996029519895,2.9530000000000003,2.6680039704801057,3.214,3.28,3.144,3.154
3.272698018917031,2.979,2.685301981082969,3.156,3.252,3.127,3.249
3.347436577656106,3.0127499999999996,2.678063422343893,3.244,3.43,3.157,3.424
3.4095845041996693,3.0453,2.681015495800331,3.425,3.474,3.32,3.43
3.478995157766018,3.08125,2.683504842233982,3.425,3.55,3.423,3.507
3.513344067733648,3.1099,2.706455932266352,3.511,3.513,3.326,3.401
