MACD_12_26,MACDsignal_12_26,MACDdifference_12_26,Open,High,Low,Close
-0.034021555488571886,-0.03850580268449908,0.004484247195927195,0.8286,0.8529,0.7711,0.799
-0.03376983565632374,-0.03744467114767912,0.0036748354913553744,0.7986,0.8005,0.765,0.7993
-0.032785547846339025,-0.03642528159127861,0.0036397337449395883,0.7993,0.81,0.7874,0.8046
-0.03555083411524618,-0.03623748694633798,0.0006866528310918024,0.8046,0.8061,0.7528,0.7528
-0.038739383690788554,-0.03676697522096422,-0.001972408469824334,0.7551,0.7697,0.7302,0.7339
-0.04304310900060693,-0.03807994709038772,-0.004963161910219206,0.7336,0.7487,0.6942,0.7043
-0.04699469967481429,-0.03992791727796171,-0.007066782396852579,0.7021,0.709,0.6794,0.6902
-0.050660101523876344,-0.04213652078933739,-0.008523580734538953,0.6902,0.6924,0.67,0.6757
-0.048390559489501106,-0.0434161430613062,-0.0049744164281949055,0.6774,0.7475,0.6731,0.735
-0.04893415397985701,-0.04453999068395469,-0.004394163295902316,0.735,0.7373,0.6957,0.6977
-0.04824283679598529,-0.04529138869289869,-0.002951448103086597,0.6984,0.7205,0.696,0.7049
-0.04546821424270253,-0.04532716629047575,-0.00014104795222678185,0.7049,0.7431,0.6737,0.7266
-0.04305447290305098,-0.04486839620582064,0.0018139233027696655,0.7276,0.7428,0.7175,0.723
-0.04211841470027944,-0.044314311481067334,0.0021958967807878954,0.7242,0.7278,0.6982,0.7044
-0.038674645046079315,-0.043179680515014085,0.0045050354689347705,0.7045,0.7775,0.7042,0.733
-0.033934839856978316,-0.04132193944926419,0.007387099592285874,0.7333,0.7649,0.7315,0.7535
-0.02999097425203512,-0.039047152507731685,0.009056178255696566,0.7516,0.7573,0.734,0.7515
-0.026488708473562883,-0.03652784957499087,0.010039141101427985,0.7516,0.7881,0.73,0.7524
-0.023019361858695575,-0.03381960389547616,0.010800242036780587,0.7533,0.7654,0.7484,0.7578
-0.02077696914214855,-0.031206021541307204,0.010429052399158655,0.7585,0.7601,0.742,0.7484
-0.02056765291020335,-0.02907505029680376,0.008507397386600411,0.7479,0.7479,0.7202,0.7257
-0.020515062354660607,-0.027360930731132663,0.006845868376472056,0.7257,0.7426,0.7193,0.7213
-0.01897130479271636,-0.02568134215949552,0.006710037366779161,0.7205,0.7535,0.7195,0.7374
-0.01905934100744433,-0.024355891799119716,0.0052965507916753855,0.7361,0.7403,0.71,0.7182
-0.01916326946014557,-0.023316708670766687,0.004153439210621116,0.7178,0.7187,0.6862,0.715
-0.018070273938340486,-0.022266889402671314,0.004196615464330828,0.7133,0.7343,0.7005,0.7271
-0.01641501843736637,-0.0210960402567711,0.004681021819404732,0.7263,0.74,0.7133,0.7346
-0.015555846380292615,-0.019987641785606667,0.004431795405314052,0.7356,0.736,0.712,0.7267
-0.015045603139404062,-0.018998977384412925,0.003953374245008863,0.7264,0.7273,0.7052,0.7224
-0.01355560577906545,-0.01791007690756242,0.004354471128496972,0.7231,0.7485,0.723,0.734
-0.011076875776758088,-0.016543209571610373,0.005466333794852285,0.7341,0.7585,0.7297,0.7486
-0.00976176075478341,-0.015186739502445843,0.005424978747662432,0.7486,0.749,0.735,0.7391
-0.008683581922994343,-0.013885969664980824,0.00520238774198648,0.7389,0.7466,0.729,0.7383
-0.002542784012248278,-0.011617139523711661,0.009074355511463383,0.7389,0.8181,0.7389,0.8038
0.0017334850274485225,-0.008946832881826723,0.010680317909275245,0.8029,0.84,0.7755,0.7967
0.004682712346903206,-0.00622077541539481,0.010903487762298016,0.7974,0.8175,0.7855,0.7919
0.010712892696523424,-0.0028338942735319406,0.013546786970055364,0.7926,0.8459,0.7794,0.8394
0.015712271482218987,0.0008754681300335738,0.014836803352185414,0.8392,0.8581,0.8125,0.8444
0.01720843576552933,0.004142152719008553,0.013066283046520775,0.8456,0.8567,0.8043,0.8162
0.017111088086248172,0.00673599763713108,0.01037509044911709,0.8162,0.8328,0.791,0.8027
0.016124019749653273,0.008613635557815394,0.007510384191837879,0.8021,0.8063,0.7814,0.7937
0.013321511841499656,0.009555224253355176,0.0037662875881444794,0.7954,0.81,0.7556,0.7705
0.011332027917120624,0.009910589043656883,0.0014214388734637411,0.7701,0.7765,0.7396,0.775
0.00991472742135091,0.009911416726756064,3.3106945948463418e-06,0.7744,0.7821,0.7654,0.7784
0.010410430401621928,0.01001122019104387,0.000399210210578059,0.7803,0.8068,0.7803,0.8
0.009701002236879308,0.009949176237501599,-0.0002481740006222907,0.799,0.8025,0.78,0.7877
0.008389727153034765,0.00963728496195348,-0.0012475578089187148,0.7875,0.7916,0.7504,0.7796
0.00608828716706622,0.008927482747290653,-0.0028391955802244337,0.7784,0.7877,0.7619,0.7648
0.0039052175348409657,0.007923026698307717,-0.004017809163466751,0.766,0.7748,0.75,0.7609
0.002062743156444391,0.0067509671834100815,-0.0046882240269656905,0.759,0.7619,0.7447,0.7598
-0.0006469199060308295,0.005271386931209226,-0.005918306837240056,0.7609,0.7785,0.7442,0.7442
-0.004746127827842228,0.0032678809090348907,-0.008014008736877118,0.7441,0.7568,0.703,0.7193
-0.008174496550924948,0.0009794026113766944,-0.009153899162301643,0.7191,0.7295,0.705,0.7159
-0.010321115392104119,-0.0012807032060248033,-0.009040412186079316,0.7154,0.733,0.6988,0.7215
-0.01365433295144125,-0.0037554310968729338,-0.009898901854568317,0.7201,0.7201,0.69,0.6993
-0.016054379251623008,-0.006215222271858893,-0.009839156979764115,0.6985,0.7065,0.681,0.7
-0.016627991105701678,-0.008297777084420125,-0.008330214021281554,0.7006,0.7142,0.7,0.7141
-0.016816144124800814,-0.010001451176920941,-0.0068146929478798725,0.7141,0.7246,0.7071,0.715
-0.018971883266203804,-0.011795538171374844,-0.0071763450948289596,0.7131,0.7198,0.6873,0.6874
-0.01834812004188946,-0.013106054882424834,-0.005242065159464626,0.688,0.7214,0.6702,0.7137
-0.0201295521410233,-0.014510754623074506,-0.005618797517948793,0.7137,0.7142,0.6826,0.6826
-0.020745744140154065,-0.015757752731684525,-0.00498799140846954,0.6825,0.6934,0.6742,0.6895
-0.02557633090172784,-0.017721468624197465,-0.007854862277530374,0.69,0.7042,0.6214,0.632
-0.029340539807600208,-0.02004528310560424,-0.009295256701995967,0.6319,0.6442,0.6127,0.6286
-0.03105431489035726,-0.022247089648056675,-0.008807225242300584,0.6297,0.6474,0.6168,0.6399
-0.03177198520574298,-0.02415206888798928,-0.007619916317753699,0.6397,0.6529,0.6347,0.6433
-0.031326279613015706,-0.025586911110361106,-0.0057393685026546,0.6424,0.6564,0.6352,0.6514
-0.032278675118806444,-0.026925263969781253,-0.00535341114902519,0.6537,0.655,0.63,0.6306
-0.03173195941779383,-0.027886603092558367,-0.0038453563252354647,0.6304,0.6428,0.621,0.6422
-0.031149323179690436,-0.028539147127999553,-0.002610176051690883,0.643,0.65,0.6298,0.6396
-0.030409620266711235,-0.028913241764003988,-0.001496378502707247,0.6398,0.6564,0.6372,0.6387
-0.0292362961411049,-0.028977852640565745,-0.0002584435005391558,0.638,0.6508,0.6327,0.6418
-0.0286138684673376,-0.028905055804891146,0.0002911873375535459,0.642,0.6449,0.6311,0.6339
-0.027433254802915474,-0.028610695601167437,0.0011774407982519629,0.634,0.6385,0.6184,0.6385
-0.025230612039611855,-0.027934678882740902,0.0027040668431290472,0.6386,0.6568,0.6293,0.6506
-0.02472473519524787,-0.027292690140596217,0.0025679549453483455,0.6496,0.6496,0.6176,0.6317
-0.026391462143627975,-0.027112444540159018,0.0007209823965310426,0.6323,0.6329,0.6,0.6023
-0.02664681120761514,-0.027019317873218908,0.00037250666560376816,0.6025,0.6137,0.6001,0.6117
-0.026670808851471994,-0.026949616068611255,0.0002788072171392604,0.6116,0.6119,0.6021,0.6101
-0.024399645405456583,-0.026439621934468558,0.0020399765290119755,0.6106,0.6437,0.61,0.635
-0.022685152674811637,-0.025688728080756493,0.0030035754059448555,0.6361,0.6517,0.6269,0.6307
-0.020620749118844373,-0.02467513228645114,0.004054383167606767,0.6305,0.6393,0.6236,0.6365
-0.020299777715863554,-0.02380006137100552,0.003500283655141965,0.6369,0.6375,0.6077,0.6173
-0.019011357889989977,-0.022842320673639553,0.003830962783649576,0.6167,0.6313,0.5976,0.6274
-0.018646703613998672,-0.022003197260896307,0.0033564936468976347,0.6273,0.6299,0.6123,0.6166
-0.018962100372263646,-0.021394977882697144,0.0024328775104334975,0.6162,0.6214,0.6035,0.6064
-0.020261371491546387,-0.02116825660432605,0.0009068851127796637,0.6059,0.6123,0.5841,0.5905
-0.021606773589651684,-0.021255960001434794,-0.0003508135882168903,0.5897,0.5901,0.5748,0.5835
-0.022725715284224846,-0.021549911058109755,-0.001175804226115091,0.5845,0.5876,0.5745,0.5796
-0.02447607472770008,-0.022135143792214092,-0.0023409309354859888,0.58,0.5812,0.565,0.5654
-0.025672201920094784,-0.022842555417970357,-0.002829646502124427,0.5649,0.5653,0.5592,0.5641
-0.02647630853596228,-0.02356930604171678,-0.0029070024942454975,0.564,0.5658,0.5573,0.5621
-0.027450695974562178,-0.024345584028412363,-0.0031051119461498154,0.5629,0.5644,0.5437,0.554
-0.029010046582536142,-0.025278476539358743,-0.003731570043177399,0.5524,0.5524,0.5349,0.5401
-0.030156415948064064,-0.026254064421201557,-0.003902351526862507,0.5401,0.5453,0.5342,0.5369
-0.03150061046497521,-0.027303373630043842,-0.004197236834931367,0.5367,0.544,0.527,0.527
-0.030519626571280378,-0.027946624218334083,-0.002573002352946295,0.5261,0.5501,0.5246,0.548
-0.03053596515401802,-0.028464492405498525,-0.002071472748519494,0.5483,0.5537,0.5322,0.5338
-0.027241338067582666,-0.028219861537904907,0.0009785234703222415,0.5342,0.5733,0.5336,0.5709
-0.02191666695805905,-0.02695922262189265,0.0050425556638336,0.5711,0.62,0.5675,0.6014
-0.017215960254723828,-0.02501057014840561,0.007794609893681782,0.6015,0.6105,0.5786,0.6049
-0.009037285226802028,-0.02181591316401502,0.012778627937212992,0.6049,0.6922,0.6033,0.6588
-0.0010667136938515842,-0.017666073269909717,0.016599359576058133,0.6593,0.7002,0.6591,0.6771
0.00631494921135356,-0.012869868773589923,0.01918481798494348,0.6777,0.7179,0.6759,0.6912
0.013103234799482277,-0.00767524805891731,0.02077848285839959,0.6914,0.765,0.6881,0.7047
0.021112192032488597,-0.0019177600405845489,0.023029952073073144,0.7042,0.7411,0.7031,0.7403
0.02753729453727427,0.003973250875029436,0.023564043662244835,0.7409,0.7554,0.7145,0.7452
0.029792476415424707,0.009137095983138098,0.02065538043228661,0.7458,0.75,0.7107,0.7143
0.031339496223625085,0.013577576031255862,0.017761920192369225,0.7141,0.7285,0.7136,0.7158
0.03247360035417424,0.017356780895853408,0.01511681945832083,0.715,0.7294,0.7044,0.7193
0.03545699498893673,0.0209768237144807,0.01448017127445603,0.7198,0.7932,0.7197,0.7502
0.036241640086668414,0.024029786988925408,0.012211853097743006,0.7499,0.7569,0.734,0.7358
0.03784735086555924,0.026793299764257365,0.011054051101301872,0.7369,0.7652,0.7271,0.7534
0.03494876266267544,0.02842439234394343,0.006524370318732008,0.7547,0.7725,0.6805,0.7067
0.03130630297465831,0.029000774470087098,0.002305528504571209,0.7065,0.714,0.6697,0.6945
0.028223390914723367,0.0288452977590142,-0.0006219068442908336,0.6942,0.708,0.6812,0.6961
0.026443626041877222,0.028364963415586437,-0.001921337373709215,0.6957,0.7203,0.682,0.7081
0.024269242752165132,0.02754581928290167,-0.003276576530736538,0.7085,0.7145,0.7006,0.7021
0.025511860512072437,0.027139027528735624,-0.001627167016663187,0.7021,0.7433,0.699,0.7425
0.03058212059289389,0.02782764614156755,0.0027544744513263407,0.7434,0.8225,0.737,0.7975
0.035610010984531426,0.02938411911016081,0.006225891874370615,0.7978,0.8297,0.7978,0.8151
0.03928701740126883,0.031364698768382916,0.007922318632885915,0.8158,0.8257,0.8058,0.8169
0.04285290406730824,0.03366233982816844,0.009190564239139797,0.8165,0.8699,0.8113,0.8311
0.04302045661340903,0.035533963185216864,0.007486493428192166,0.83,0.8301,0.8027,0.8043
0.048692207870721704,0.03816561212231818,0.010526595748403526,0.8043,0.8881,0.7972,0.8799
0.04697303804764885,0.03992709730738449,0.007045940740264364,0.88,0.8818,0.8084,0.8096
0.050571123589676525,0.04205590256384307,0.008515221025833457,0.8088,0.881,0.8038,0.8783
0.05685027852880409,0.04501477775683547,0.01183550077196862,0.8786,0.9289,0.8782,0.9289
0.06089861631029492,0.04819154546752752,0.012707070842767398,0.9295,0.9629,0.9064,0.9261
0.06128636751511918,0.05081050987704596,0.010475857638073217,0.9266,0.948,0.8899,0.8999
0.06178518524607779,0.053005444950852396,0.008779740295225394,0.9002,0.9376,0.895,0.9111
0.060793831089011374,0.05456312217848423,0.006230708910527141,0.9111,0.92,0.882,0.9026
0.06188499868559183,0.056027497479905784,0.005857501205686046,0.9026,0.9443,0.896,0.9347
0.06290417317052122,0.0574028326180289,0.005501340552492316,0.9337,0.9744,0.9267,0.9456
0.06478068248982738,0.05887840259238861,0.0059022798974387725,0.9456,0.9923,0.9448,0.9681
0.06399697405720717,0.059902116885352324,0.004094857171854843,0.9695,0.9786,0.9382,0.9491
0.05679838767022638,0.05928137104232713,-0.002482983372100747,0.9476,0.9476,0.8751,0.8757
0.04905136798069598,0.05723537043000088,-0.008184002449304902,0.8762,0.8913,0.8574,0.8574
0.04469627620123118,0.05472755158424693,-0.01003127538301575,0.8571,0.8998,0.8571,0.8859
0.03874062300913039,0.051530165869223606,-0.012789542860093213,0.8851,0.8902,0.8595,0.8604
0.03352134360808445,0.04792840141699577,-0.014407057808911314,0.8599,0.8753,0.8498,0.859
0.030047304651347306,0.04435218206386606,-0.014304877412518756,0.8594,0.8763,0.8564,0.8715
0.02358477334382436,0.040198700319857714,-0.016613926976033352,0.8712,0.8796,0.826,0.8289
0.016976412405391716,0.03555424273696451,-0.018577830331572794,0.8278,0.8391,0.7975,0.8129
0.0076407900614418045,0.02997155220185996,-0.022330762140418157,0.8111,0.8118,0.7603,0.7632
0.002321530849977993,0.02444154793148356,-0.02212001708150557,0.7642,0.8041,0.7625,0.7893
-0.0008752859702036986,0.019378181151146104,-0.020253467121349802,0.7896,0.8266,0.7886,0.8018
-0.00413575106731956,0.014675394707452967,-0.018811145774772525,0.8017,0.8029,0.7816,0.7922
-0.001577592234843772,0.011424797318993618,-0.01300238955383739,0.7925,0.8649,0.779,0.8557
0.0014816778040123157,0.009436173415997359,-0.007954495611985043,0.8559,0.9006,0.8372,0.8687
0.007020628837255294,0.008953064500248947,-0.0019324356629936527,0.8697,0.918,0.8696,0.9083
0.010466580910646561,0.00925576778232847,0.001210813128318092,0.9083,0.9138,0.8958,0.8981
0.011810657065463581,0.009766745638955493,0.002043911426508088,0.8992,0.9039,0.8798,0.8826
0.010958174536056409,0.010005031418375677,0.0009531431176807315,0.8832,0.8832,0.8521,0.8604
0.008952860604299118,0.009794597255560367,-0.000841736651261249,0.8594,0.8639,0.8213,0.8452
0.009258065493928047,0.009687290903233904,-0.00042922540930585666,0.8455,0.886,0.8336,0.87
0.00965492885984398,0.00968081849455592,-2.5889634711938683e-05,0.8699,0.8948,0.85,0.8733
0.009441019352942392,0.009632858666233216,-0.00019183931329082304,0.874,0.8868,0.8657,0.8681
0.007658144692655577,0.009237915871517689,-0.0015797711788621115,0.8685,0.8867,0.8479,0.8492
0.006533007509387789,0.00869693419909171,-0.0021639266897039208,0.8491,0.8607,0.8455,0.8537
0.004077324901955781,0.007773012339664524,-0.003695687437708743,0.8551,0.8701,0.8334,0.8349
0.002824840326540734,0.006783377937039766,-0.003958537610499032,0.835,0.8486,0.8317,0.8439
-0.0008769613045311875,0.005251310088725575,-0.0061282713932567625,0.8433,0.8522,0.8018,0.8102
-0.0022196613936683596,0.003757115792246788,-0.005976777185915147,0.8087,0.8337,0.7978,0.8296
-0.0017705559619818345,0.0026515814414010633,-0.004422137403382898,0.8293,0.8513,0.8167,0.8481
-0.00031361539631935553,0.0020585420738569796,-0.002372157470176335,0.8481,0.8733,0.8459,0.8617
-0.00031728151155907547,0.0015833773567737685,-0.001900658868332844,0.8618,0.869,0.8473,0.8473
