MACD_12_26,MACDsignal_12_26,MACDdifference_12_26,Open,High,Low,Close
-0.0506190772872821,-0.053968513895813607,0.003349436608531507,3.3911,3.4726,3.379,3.4071
-0.04806306309860231,-0.05264535010628996,0.0045822870076876535,3.4115,3.4426,3.36,3.3885
-0.048390469511443435,-0.05171440654425327,0.003323937032809837,3.3885,3.3952,3.3235,3.3502
-0.0594271982658916,-0.05337079074406583,-0.00605640752182577,3.3551,3.3666,3.2,3.2001
-0.06063065887632657,-0.054907231070746444,-0.005723427805580127,3.2034,3.3234,3.2002,3.2891
-0.0732616336616072,-0.05874698578726331,-0.014514647874343894,3.2891,3.2934,3.1,3.1264
-0.08019102686505253,-0.06319219593051435,-0.016998830934538176,3.1347,3.215,3.11,3.1541
-0.08807508011675047,-0.0683129079987772,-0.019762172117973265,3.1546,3.2,3.1,3.11
-0.09917151647539413,-0.07462680603839293,-0.024544710437001196,3.11,3.1277,3.0,3.0328
-0.11002175729307728,-0.08183565944743676,-0.028186097845640523,3.0208,3.0671,2.878,2.99
-0.11129128826947499,-0.08781292671143752,-0.023478361558037467,2.99,3.25,2.91,3.0672
-0.08816804640798148,-0.08788477905183026,-0.00028326735615122334,3.0501,3.7092,2.8105,3.3621
-0.05610269894122055,-0.08146918966192956,0.025366490720709012,3.3777,3.5832,3.258,3.5289
-0.04498921738449013,-0.07411896008488539,0.029129742700395256,3.5289,3.5543,3.32,3.3407
-0.05394509462794961,-0.07006022847082674,0.016115133842877133,3.334,3.49,3.0814,3.1075
-0.06580718165890342,-0.06920558316007183,0.0033984015011684077,3.1001,3.1427,2.8,3.0375
-0.0764957695556907,-0.07066914963701655,-0.005826619918674156,3.0376,3.1799,3.0,3.01
-0.08414979728188277,-0.07337345241963471,-0.010776344862248058,3.01,3.1307,2.98,3.008
-0.09448441983518485,-0.07760587928297417,-0.016878540552210677,2.9955,3.0291,2.9012,2.9404
-0.10570846995406091,-0.0832372901499883,-0.022471179804072608,2.9407,2.9735,2.82,2.8868
-0.10996751963857632,-0.08859162147411809,-0.02137589816445823,2.8962,3.053,2.8871,2.9291
-0.10662555631679904,-0.0922028789628918,-0.014422677353907246,2.9291,3.0493,2.92,2.998
