rsi,Open,High,Low,Close
50.0,0.2053,0.2075,0.202,0.2042
50.0,0.2042,0.2077,0.2039,0.2055
50.0,0.2057,0.2084,0.2052,0.2069
50.0,0.2069,0.2072,0.2022,0.2034
50.0,0.2034,0.206,0.2031,0.2049
50.0,0.2049,0.2069,0.2041,0.2061
50.0,0.206,0.2122,0.2056,0.2099
50.0,0.2097,0.2132,0.2088,0.21
50.0,0.21,0.2158,0.2094,0.2143
50.0,0.2143,0.2178,0.2142,0.2177
50.0,0.2172,0.2192,0.2146,0.2161
50.0,0.2166,0.217,0.212,0.2137
50.0,0.2136,0.2145,0.2101,0.2131
50.0,0.2134,0.2141,0.2101,0.2115
50.0,0.2118,0.2142,0.2109,0.2138
50.0,0.2139,0.2159,0.2079,0.2154
50.0,0.2154,0.2183,0.2154,0.2176
81.89993388341503,0.2177,0.2313,0.2176,0.228
81.89993388341503,0.228,0.2313,0.2262,0.2296
81.89993388341503,0.2296,0.2314,0.2237,0.226
81.89993388341503,0.2259,0.2276,0.2229,0.2253
81.89993388341503,0.2254,0.2308,0.2231,0.229
81.89993388341503,0.229,0.2305,0.2239,0.2256
81.89993388341503,0.2256,0.226,0.2241,0.225
81.89993388341503,0.2246,0.2274,0.2235,0.2274
91.59794591295878,0.2274,0.236,0.2256,0.2328
91.59794591295878,0.2327,0.2363,0.229,0.2326
91.59794591295878,0.2327,0.233,0.2295,0.2329
91.59794591295878,0.233,0.2353,0.2296,0.2353
95.11700976247486,0.2353,0.2408,0.2332,0.2406
95.11700976247486,0.2407,0.2461,0.2386,0.2437
95.11700976247486,0.2437,0.2455,0.2366,0.2423
95.11700976247486,0.2425,0.2455,0.2406,0.2451
95.11700976247486,0.2451,0.2524,0.2446,0.2468
59.2006884669082,0.247,0.2471,0.238,0.2395
70.9953594449499,0.2395,0.2537,0.2395,0.2501
70.9953594449499,0.2506,0.2541,0.2464,0.2532
42.498148080482615,0.2534,0.2545,0.2336,0.2373
42.49814808048262,0.2373,0.2439,0.235,0.2379
42.498148080482615,0.2375,0.2432,0.2372,0.2417
42.498148080482615,0.2413,0.2414,0.2376,0.2395
33.464462137453125,0.2393,0.2399,0.2282,0.2315
33.464462137453125,0.2315,0.2383,0.231,0.2347
46.62326436292614,0.2347,0.2423,0.2347,0.2417
46.62326436292614,0.2418,0.242,0.2377,0.2412
56.58195644340107,0.2416,0.2528,0.2416,0.2501
69.02805943497754,0.2502,0.2763,0.249,0.271
73.16946002699716,0.2709,0.2839,0.2705,0.2766
73.16946002699714,0.2766,0.2776,0.2666,0.2727
79.5210881513697,0.2727,0.2935,0.272,0.2935
63.36637661342784,0.2934,0.2949,0.275,0.2766
63.36637661342784,0.2766,0.282,0.2728,0.2794
56.68832337744963,0.2793,0.2861,0.2728,0.2741
61.10293514860765,0.2739,0.2803,0.2703,0.2802
55.05924166798785,0.2802,0.2802,0.2702,0.2718
55.05924166798785,0.2721,0.277,0.2607,0.2684
55.05924166798785,0.2684,0.2714,0.265,0.2687
60.000615551810974,0.2687,0.2798,0.2687,0.279
53.64809200683219,0.2793,0.28,0.2688,0.2709
53.64809200683219,0.2708,0.2723,0.2682,0.2717
58.71717449173478,0.2714,0.2831,0.271,0.2781
58.71717449173479,0.2784,0.2914,0.2753,0.2804
46.83640308704834,0.2805,0.288,0.2601,0.2637
46.83640308704834,0.2635,0.2726,0.2603,0.2653
41.918047669201094,0.2651,0.2657,0.2555,0.2567
41.918047669201094,0.2567,0.2601,0.25,0.2566
41.918047669201094,0.2563,0.263,0.2513,0.2615
41.9180476692011,0.262,0.2663,0.258,0.263
49.106529432724706,0.2634,0.2715,0.2634,0.2696
49.106529432724706,0.27,0.2773,0.2661,0.2722
49.106529432724706,0.2723,0.2768,0.2676,0.2703
49.106529432724706,0.2703,0.2745,0.264,0.2663
56.369652095562486,0.266,0.2762,0.2608,0.2715
56.369652095562486,0.2716,0.2864,0.2712,0.2737
56.369652095562486,0.2737,0.2818,0.2718,0.2774
62.97002896418401,0.2774,0.2926,0.2771,0.2881
68.157666536843,0.2881,0.3036,0.2779,0.2992
52.35894845036521,0.2996,0.3058,0.2725,0.2834
46.549001184518104,0.2836,0.2884,0.264,0.2737
52.25455614370399,0.2736,0.2865,0.271,0.2852
73.5435832381233,0.2853,0.3556,0.2779,0.3524
73.5435832381233,0.3521,0.3604,0.3283,0.3546
75.36358854787264,0.3546,0.3868,0.3386,0.3601
70.16543017304986,0.3606,0.3623,0.3424,0.3537
72.22831442457122,0.3536,0.3648,0.346,0.3646
62.865955626619595,0.3646,0.367,0.348,0.3487
58.76441598913247,0.3488,0.3521,0.3326,0.3365
61.4714792792087,0.3367,0.3539,0.3358,0.346
61.4714792792087,0.346,0.348,0.3319,0.3428
61.4714792792087,0.3421,0.3461,0.3374,0.3397
61.4714792792087,0.3398,0.3495,0.3359,0.341
61.4714792792087,0.341,0.3455,0.3375,0.3416
67.62816506659968,0.3416,0.364,0.3376,0.357
67.62816506659968,0.3566,0.3602,0.3495,0.3558
67.62816506659968,0.3558,0.3653,0.353,0.3563
61.49186775469805,0.3561,0.3565,0.3498,0.3513
56.018037072195526,0.3513,0.353,0.3368,0.3448
56.018037072195526,0.3448,0.3516,0.3406,0.3415
63.54514887055628,0.3415,0.3631,0.3407,0.362
71.44062606784324,0.362,0.399,0.361,0.3883
66.28697860336341,0.3887,0.3957,0.3734,0.3805
66.28697860336341,0.3802,0.3829,0.3744,0.3815
