Open,High,Low,Close,rsi_o,rsi_h,rsi_l,rsi_c
1.5,1.799,0.5,1.7,,,,
1.3,1.681,1.3,1.625,,,,
1.6011,1.676,1.58,1.6288,,,,
1.6288,1.6288,1.5645,1.6148,,,,
1.6148,1.631,1.5645,1.5868,,,,
1.5948,1.598,1.55,1.571,,,,
1.571,1.6188,1.5389,1.6188,,,,
1.6184,1.6188,1.5548,1.5705,,,,
1.59,1.6184,1.5548,1.5864,,,,
1.6183,1.7885,1.5801,1.7353,,,,
1.7191,1.799,1.6593,1.799,,,,
1.79,1.8,1.7196,1.8,,,,
1.7901,1.946,1.7479,1.81,,,,
1.8891,1.99,1.8235,1.8631,,,,
1.9448,1.9448,1.8736,1.8736,72.54901960784314,60.0,97.27891156462584,66.03773584905662
1.87,1.93,1.821,1.93,67.5561797752809,59.022118742724096,93.84149419485108,69.72833117723155
1.9249,1.99,1.78,1.95,69.18735891647856,62.92635501903913,91.06907336925802,70.86485968776937
1.91,1.99,1.875,1.9889,68.44616225501679,62.92635501903913,91.6656973520127,73.04459849089012
1.9781,2.05,1.9,2.05,70.80399429576862,66.61530963369586,91.79684403886182,75.9510280379078
1.96,2.0295,1.96,2.0182,69.21265486375816,64.31792619010649,92.19370549900225,71.7833659329267
2.0182,2.07,1.9704,2.0001,71.2968597829204,66.78513869942574,92.26090738081746,69.06257581891094
2.0599,2.1997,2.0118,2.0711,72.62725288884607,73.25706525358956,92.53763816945454,72.92992517899896
2.11,2.1302,2.08,2.1294,74.234852535192,65.8200493298192,93.00877133300314,75.73038898239365
2.1279,2.1279,1.9,1.99,74.87060238988788,65.8200493298192,79.16756864306323,60.105521410573594
1.99,2.02,1.9,1.9498,63.128135983447585,55.5435172064811,79.16756864306323,56.517572140145276
1.94,1.9497,1.8923,1.895,59.536768005114254,50.17487213254214,78.415686566663,52.31376665725944
1.9459,2.0101,1.7998,1.7998,60.02657276863606,54.25619969254555,71.8058677863751,45.09013877072885
1.7998,1.825,1.6631,1.7723,50.20870085165058,42.4093755504334,62.920973831836555,43.164511858255864
1.744,1.89,1.6168,1.6501,46.904026886936315,46.390251747102965,60.06257445212949,36.45759052286041
1.67,1.8799,1.6019,1.7133,43.32153706703687,45.82174976119608,59.48058198755218,41.363495574253484
1.79,1.925,1.79,1.8799,50.325957818472645,49.17551697145989,66.18500013045245,52.5433238177542
1.9178,1.9179,1.8001,1.848,56.58541415076399,48.52849439304628,66.49918434222198,50.70600929575336
1.8023,1.8471,1.69,1.7304,50.28630138226729,44.14945756918784,59.90562472519223,44.06805147790732
1.7304,1.7304,1.58,1.6,46.99952731354609,37.84486993035583,54.12606498828753,38.229320971225505
1.65,1.7,1.58,1.7,43.50017408151548,36.443738336955164,54.12606498828753,44.33860098604438
1.6521,1.7,1.6401,1.655,43.500174081515475,36.443738336955164,56.76478156177715,42.52678181980039
1.6567,1.6567,1.5,1.53,43.50017408151548,34.47029349002392,49.59615110587326,37.56717407886547
1.51,1.62,1.34,1.5302,37.041565713273066,32.57089350780241,42.924423275713735,37.56717407886547
1.5676,1.7,1.51,1.5851,40.826185017085045,39.72452801277102,50.53780118336141,40.89795046264415
1.6003,1.6792,1.5313,1.575,42.68150055308399,38.62138485206067,51.35983163533727,40.43334233215591
1.575,1.6389,1.5058,1.5879,41.28741139449627,36.44173441614124,50.01704063446841,41.153275592386734
1.5879,1.6,1.45,1.49,41.96784072994214,34.353792658888594,47.35064023791516,36.41370922383306
1.5,1.6,1.5,1.5995,37.729814298050044,34.353792658888594,49.7544939504481,44.047357891002896
1.5995,1.65,1.5406,1.5933,44.44299083359361,39.388280814584846,51.6561452619408,43.53566910634663
1.6298,1.7381,1.6,1.71,46.31291364727612,47.23280930940759,54.44149098047518,50.90590256323287
1.7039,1.7097,1.6428,1.6748,50.4994628748502,45.13582557603467,56.25115458349019,48.62738990089178
1.6741,1.6999,1.6,1.6408,48.74507737437686,44.42776698206755,53.94359502662892,46.93076104838546
1.6628,1.6893,1.6201,1.68,48.144664680624494,43.68967363340555,54.93894883846094,49.462634014695425
1.6801,1.7381,1.65,1.694,49.48482165534958,48.313373949638546,56.45901212381963,50.103538763848256
1.6755,1.6947,1.66,1.6613,49.484821655349585,45.12140321620422,56.97996037646279,48.13149662302457
1.6688,1.6688,1.56,1.5898,48.75416504416185,42.83558253601711,50.47615872313878,43.799588023701
1.5898,1.6277,1.5321,1.5899,43.25212857639064,39.93094111426463,48.68096922238092,43.799588023701006
1.58,1.6181,1.5553,1.5976,42.60488780947172,39.21502030627666,49.95871908935854,44.62530758336783
1.5976,1.6181,1.5553,1.5911,44.39702433599095,39.21502030627665,49.95871908935854,43.930217472640194
1.5721,1.633,1.563,1.5992,42.26518300144196,40.45319876129006,50.6709317381038,44.85523269355356
1.5991,1.5992,1.5604,1.5968,45.10393164957049,37.95535126202091,50.6709317381038,44.85523269355356
1.5959,1.6794,1.555,1.5806,45.103931649570484,47.3002577224529,49.84812198240431,43.20203946013191
1.5806,1.5837,1.5001,1.5004,43.45205514314268,39.32668950574782,45.84000926361385,37.28282597813121
1.5005,1.5678,1.49,1.5403,37.531013173617474,37.948838143309956,45.05965171613866,41.5919329548152
1.5595,1.5596,1.5,1.5532,43.72473007474554,37.24616837222904,46.04874034915594,42.65274423025413
1.5533,1.6699,1.5499,1.6013,42.960213763989124,48.534853691788925,50.816535700545984,47.76145218484842
1.6222,1.6244,1.55,1.5595,49.60295606987406,44.60689330986084,50.816535700545984,44.357087120867035
1.57,1.6099,1.511,1.6,45.52471064579134,43.84266175433062,46.9656903234388,48.323826207476046
1.5811,1.6354,1.5455,1.6157,46.47259781422641,46.78802141361681,50.02451105246261,50.2341623174628
1.6157,1.6299,1.5702,1.5998,49.321557450630536,45.923393561401475,52.0116417001458,48.31085432740037
1.581,1.62,1.5594,1.5599,46.647776873286965,45.02729641162055,50.92139605860489,44.630449347164216
1.5599,1.5765,1.51,1.5498,44.90022171632437,41.53597221972899,45.75682383153422,43.733455674888596
1.54,1.5527,1.4925,1.4925,43.15899259004931,39.87129757834973,43.841407369828026,38.70677761653551
1.4951,1.5346,1.49,1.5147,39.83198305755196,38.221621144961325,43.841407369828026,41.13553377432813
1.5147,1.5599,1.5,1.545,42.22993401966539,42.091995242211205,45.172311140565824,44.67677025094921
1.5448,1.5448,1.5003,1.5396,45.72420616454603,40.28023048242214,45.172311140565824,43.73234431295926
1.5396,1.5555,1.4912,1.5041,44.752500800208026,41.63300166263316,43.96395064576862,40.08241316952077
1.5041,1.5899,1.492,1.53,40.999238701192525,45.613208114470005,43.96395064576862,43.86640929636278
1.53,1.5685,1.5259,1.5632,44.74232741089255,43.48426621063466,48.73521992255569,47.441014062595784
1.5457,1.5845,1.5327,1.55,47.14954134853138,46.18902615872698,50.25567430702373,46.38076823285966
1.56,1.5999,1.5494,1.5827,48.36085287266101,48.82650577485228,53.2425671002128,49.991555432019915
1.5827,1.65,1.5818,1.62,50.79011360390832,54.79214339618509,57.37682726921311,54.400779278636875
1.636,1.6699,1.6113,1.6699,56.32210460495861,56.953821736467305,61.082575570129684,59.23872764689854
1.6524,1.6948,1.58,1.6398,58.339532034042385,59.06191287912404,55.8530562705605,55.438159322717986
1.65,1.676,1.6195,1.6469,58.339532034042385,56.10304288327949,60.68603313741269,56.44134362095478
1.6423,1.6759,1.635,1.6601,56.817725540094884,56.10304288327949,62.874505222650264,57.472378556723285
1.6601,1.6945,1.5924,1.609,59.1148111391859,58.51347445281299,56.14310724126441,50.97536280807196
1.6239,1.6395,1.576,1.5919,53.038028314057215,50.97713418111646,53.08297209918966,48.6082996166101
1.595,1.65,1.575,1.6,48.97199309978413,52.30036126394843,53.08297209918966,49.86193652610124
1.6,1.6166,1.5605,1.5768,50.338669037777045,48.105333379421815,51.456582924328266,47.372942670327284
1.5768,1.6118,1.5768,1.61,47.593200133964764,48.105333379421815,54.46169572066981,51.299935948112896
1.61,1.6136,1.582,1.6,51.83654542319252,48.10533337942182,55.93069414976967,49.96164293430462
1.6,1.63,1.59,1.6157,50.372424277931145,51.35424503469858,57.41025950637409,52.623658482408686
1.6157,1.6488,1.6051,1.6219,53.21839704318781,54.42686444287038,60.28233796164199,53.94300192093183
1.638,1.6522,1.6193,1.64,55.93948117210542,54.42686444287038,61.67401764857863,56.5492077925879
1.6257,1.6419,1.547,1.5623,54.240664328559006,52.50379960852808,48.787234124741715,45.46643010623776
1.5623,1.6391,1.54,1.6,45.3430292682759,52.50379960852808,47.26775780101726,50.67202178756395
1.6,1.63,1.583,1.6,51.10187233001898,50.436996095398094,53.50558325911664,50.672021787563956
1.5952,1.64,1.5801,1.615,51.10187233001898,52.452665555282366,53.50558325911664,52.000493522542236
1.6098,1.6211,1.5763,1.5763,52.55138689512224,48.22814942743635,53.50558325911664,46.594914763328916
