Open,High,Low,Close,rsi_o,rsi_h,rsi_l,rsi_c
0.5397,0.5397,0.401,0.45,,,,
0.4494,0.4544,0.4258,0.454,,,,
0.452,0.46,0.4445,0.4467,,,,
0.4472,0.4473,0.4285,0.4314,,,,
0.4317,0.4326,0.412,0.421,,,,
0.4207,0.4222,0.4185,0.4222,,,,
0.4231,0.4313,0.4222,0.43,,,,
0.43,0.4987,0.4299,0.4939,,,,
0.4939,0.4939,0.459,0.4676,,,,
0.4676,0.4716,0.4649,0.4712,,,,
0.469,0.4716,0.4523,0.4547,,,,
0.4548,0.494,0.4531,0.48,,,,
0.48,0.483,0.4635,0.4635,,,,
0.4637,0.4797,0.462,0.4678,,,,
0.4678,0.49,0.465,0.4815,35.71428571428572,44.44444444444444,68.75,50.0
0.4792,0.4908,0.4789,0.4821,38.095238095238095,44.44444444444444,70.72072072072072,50.0
0.4821,0.5,0.4792,0.4937,38.095238095238095,46.73250682916579,70.72072072072072,52.50383239652529
0.4934,0.5126,0.4911,0.4984,40.64479332392759,48.994753215396756,72.71620883214942,52.50383239652529
0.4984,0.4985,0.4908,0.4944,43.165582154299244,46.851913625294436,72.71620883214942,52.5038323965253
0.4944,0.4981,0.4889,0.4946,43.165582154299244,46.85191362529444,72.71620883214942,52.5038323965253
0.4946,0.5136,0.4934,0.508,43.165582154299244,51.74703489246595,72.71620883214942,55.50108538335056
0.508,0.5334,0.5017,0.5315,46.02842047985158,56.10127535759826,75.00729178997193,60.8256198825437
0.5323,0.5324,0.5111,0.5168,51.31083427948338,56.10127535759826,77.0799878636731,57.14385182238424
0.5182,0.522,0.4785,0.4858,48.74206048234347,53.31162547976298,60.7917858913783,47.796800155782115
0.4852,0.5079,0.4811,0.5015,41.956012437886606,50.60188118168876,60.7917858913783,53.28302124546497
0.4995,0.5013,0.4751,0.4818,44.71883904342477,47.97577048752983,56.200642070487504,47.86569227927886
0.4819,0.4819,0.4478,0.4593,40.56054800560804,43.15224637929868,45.17752604472504,43.14200268220246
0.4588,0.47,0.4559,0.4619,36.86852183178137,40.93607480271259,48.783607365578234,43.14200268220246
0.4619,0.4693,0.4603,0.4666,36.86852183178137,40.93607480271259,48.783607365578234,43.14200268220246
0.469,0.477,0.469,0.4752,40.033765211341134,44.256282605020196,52.413781418319296,46.442657303791464
0.4749,0.476,0.4658,0.4679,43.10571745290573,44.256282605020196,52.413781418319296,43.71006607428526
0.4688,0.4979,0.465,0.494,40.851969421938776,50.68627071083639,52.413781418319296,52.701186141078644
0.494,0.494,0.4787,0.4843,49.3993411525624,50.68627071083639,56.28381527654243,49.84324801458797
0.4837,0.4983,0.4821,0.498,46.96314152377133,50.686270710836375,56.28381527654243,52.610804247667424
0.4983,0.5163,0.4953,0.503,49.63787460657094,56.89616495949991,60.05172879127711,55.26884620949473
0.503,0.504,0.4884,0.4995,49.63787460657094,53.28321873742135,54.951142673789974,55.26884620949473
0.4995,0.5161,0.4862,0.4862,49.63787460657094,56.2734733417745,54.951142673789974,51.89316066226284
0.4862,0.5,0.4721,0.4775,46.696559256509985,49.45537262196084,50.02351235418416,48.69050291859104
0.4764,0.4869,0.4701,0.4829,43.89543452677292,46.42650449675434,50.02351235418416,51.888195683519406
0.4833,0.5182,0.4814,0.5046,47.2998613768535,55.27591410326695,54.73141700135962,57.58201509494584
0.5033,0.5121,0.5017,0.5036,53.39139427935001,52.18172956133023,62.367047426097486,57.58201509494584
0.5037,0.5315,0.5033,0.5259,53.39139427935001,57.32668205910906,62.367047426097486,62.70136018144094
0.5259,0.56,0.525,0.5452,58.90094336819503,63.64532375905184,68.52436871118505,66.99152971120782
0.5452,0.5528,0.5277,0.5523,63.542100500921684,60.433101200927126,68.52436871118505,68.91667544117342
0.5523,0.5537,0.5317,0.5413,65.63190004176298,60.43310120092713,68.52436871118505,64.8438862564066
0.5413,0.57,0.54,0.5662,61.81598693396412,64.57968895392847,71.44227404811502,68.8135054968573
0.5662,0.5691,0.5449,0.5572,66.06550403713592,64.57968895392847,71.44227404811502,64.86945105132307
0.5579,0.5585,0.5165,0.5174,62.33031958720285,60.87993856047158,54.018874318470026,52.024752490806755
0.5178,0.5377,0.5165,0.534,50.12302899642718,54.1929038453112,54.018874318470026,56.64704174359151
0.5341,0.5372,0.5301,0.5342,54.88112181705962,54.1929038453112,57.98052654559275,56.64704174359151
0.5359,0.5488,0.5309,0.5394,54.88112181705962,56.93583420975463,57.98052654559277,58.94101062256808
0.5402,0.5422,0.5347,0.538,54.88112181705962,53.48668198722375,57.98052654559275,58.94101062256808
