Open,High,Low,Close,rsi_o,rsi_h,rsi_l,rsi_c
2.85,3.47,2.85,2.9224,,,,
2.9626,3.1,2.8433,3.0497,,,,
3.0497,3.5208,2.8625,3.19,,,,
3.1751,3.384,3.1143,3.1886,,,,
3.1938,3.3191,2.95,3.2985,,,,
3.2985,3.32,3.08,3.2802,,,,
3.2802,3.3661,3.1323,3.3661,,,,
3.3577,3.9289,3.35,3.6842,,,,
3.6733,3.9,3.6434,3.7678,,,,
3.7704,3.8423,3.6,3.6788,,,,
3.6788,3.8225,3.6652,3.7558,,,,
3.75,3.8512,3.5537,3.7593,,,,
3.7404,4.1387,3.6243,4.0785,,,,
4.0946,4.1222,3.5003,3.87,,,,
3.87,4.0555,3.8,3.8065,80.11695906432749,63.679245283018865,76.08695652173913,76.96969696969697
3.8065,3.9645,3.7698,3.8566,77.19982661465107,60.89521165857044,74.77403451109285,77.69751693002257
3.8549,3.87,3.5385,3.73,77.92128119854058,58.157022686719344,65.44951590594744,71.38116963915388
3.7207,3.7676,3.5717,3.625,71.57941569034554,55.18765234542173,66.0443094888557,66.87736692887313
3.6251,3.7517,3.5,3.55,67.0582103405215,54.58735156981984,63.30578272820379,63.429415963556536
3.5327,3.7598,3.4267,3.7173,63.189735184646516,54.851788570467754,60.59972580591943,67.28883189860018
3.7036,3.7133,3.5106,3.5788,67.05571064060187,53.184223078806525,62.56898024998466,61.52992723882132
3.5753,3.5881,3.321,3.3792,61.717704944827595,49.0121324328354,55.47705302437479,54.37095753750509
3.3792,3.4897,3.3321,3.4099,54.526199430008624,46.021435480206954,55.76126279066989,55.212729889518855
3.4181,3.4242,3.1874,3.3289,55.63952183174356,43.99757632099503,50.86580062362277,52.43476930489158
3.3305,3.5713,3.163,3.5215,52.52363503166455,49.15730204427314,50.18792967421508,57.85791392504219
3.5216,3.74,3.4477,3.45,57.885607696634295,54.29667288591834,58.521912164801975,55.35388794088628
3.4527,3.4852,3.38,3.4324,55.402992106665714,46.80395037761776,55.99944008531374,54.626450448871765
3.4547,3.4654,3.34,3.3684,55.402992106665714,46.25404143027276,54.55243961649203,52.40161369772982
3.3684,3.4727,3.15,3.173,52.072840640270584,46.59192717592227,48.18357134098213,45.71753703602677
3.173,3.2602,3.12,3.1955,45.52427777082288,40.79222806646237,47.2456588151469,46.45309318931325
3.192,3.4907,3.1697,3.4401,46.252191939036116,48.37226139958843,49.02656357766552,54.432606520593296
3.4401,3.47,3.34,3.4193,54.44620153709138,47.799201679355356,54.63414044943512,53.71425827313993
3.4193,3.4427,3.34,3.3872,53.740353999455074,46.9016335894604,54.63414044943512,52.59306539023268
3.3911,3.4726,3.379,3.4071,52.638006072106045,47.95412309603856,55.95633454896944,53.293013780021695
3.4115,3.4426,3.36,3.3885,53.32537894998183,46.951877263455586,55.091750281054075,52.45889487350277
3.3885,3.3952,3.3235,3.3502,52.504752123624264,45.254254638765865,53.31739069534983,50.74812206329846
3.3551,3.3666,3.2,3.2001,51.231184244735836,44.22112710799442,48.292352502795076,44.8423399537633
3.2034,3.3234,3.2002,3.2891,45.31284925399288,42.81753912352298,48.29235250279507,48.699890867900436
3.2891,3.2934,3.1,3.1264,49.111429729767515,41.74729194920333,44.2607528672288,42.94916442974811
3.1347,3.215,3.11,3.1541,43.66732962463871,38.95128893201117,44.75741121671504,44.27780913052442
3.1546,3.2,3.1,3.11,44.54993987365705,38.60324994828083,44.33200997992476,42.84505721646949
3.11,3.1277,3.0,3.0328,43.095631335795055,36.16710813235861,40.21564812539287,40.05353911267625
3.0208,3.0671,2.878,2.99,39.936641875912336,34.17624702942328,35.90699870819037,38.6959754401868
2.99,3.25,2.91,3.0672,38.912712820025014,44.11493149179191,37.70392982332288,42.86680553145039
3.0501,3.7092,2.8105,3.3621,42.109545885845755,60.520410107806214,34.25627062216361,54.85679049365577
3.3777,3.5832,3.258,3.5289,55.80772527100877,55.5567697403594,54.44377511810834,60.13790793919709
3.5289,3.5543,3.32,3.3407,60.395124600184424,54.4469947214251,56.367579994711775,52.71525630078492
3.334,3.49,3.0814,3.1075,52.90386848372451,52.201085634029155,47.69191575289648,45.40875775427926
3.1001,3.1427,2.8,3.0375,45.540019195200244,41.4580187396793,39.963830156077584,43.43554835353231
3.0376,3.1799,3.0,3.01,43.826221370628026,42.9042221104214,46.61779241279011,42.581538654222896
3.01,3.1307,2.98,3.008,42.95577381015503,41.52336361586174,46.0679341241753,42.581538654222896
2.9955,3.0291,2.9012,2.9404,42.651679600167824,38.831529345773674,43.84042982680316,40.43038457257799
2.9407,2.9735,2.82,2.8868,41.08554062356058,37.27034172161867,41.67055927384844,38.91801645410938
2.8962,3.053,2.8871,2.9291,39.8256532081078,40.6940167505477,44.26977631225196,40.825066499955476
